age,sex,inc,mort,ylds (years lived with disability)_rate_adaod,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,1e-8,0,0,0,6598,adaod,0,10,0,0,0,5,female_adaod
1,female,1e-8,0,0,0,6598,adaod,0,10,0,0,0,5,female_adaod
2,female,1e-8,0,0,0,6598,adaod,0,10,0,0,0,5,female_adaod
3,female,1e-8,0,0,0,6598,adaod,0,10,0,0,0,5,female_adaod
4,female,1e-8,0,0,0,6598,adaod,0,10,0,0,0,5,female_adaod
5,female,1e-8,0,0,0,6603,adaod,0,10,5,0,0,5,female_adaod
6,female,1e-8,0,0,0,6603,adaod,0,10,5,0,0,5,female_adaod
7,female,1e-8,0,0,0,6603,adaod,0,10,5,0,0,5,female_adaod
8,female,1e-8,0,0,0,6603,adaod,0,10,5,0,0,5,female_adaod
9,female,1e-8,0,0,0,6603,adaod,0,10,5,0,0,5,female_adaod
10,female,1e-8,0,0,0,6051,adaod,0,50,10,0,0,5,female_adaod
11,female,1e-8,0,0,0,6051,adaod,0,50,10,0,0,5,female_adaod
12,female,1e-8,0,0,0,6051,adaod,0,50,10,0,0,5,female_adaod
13,female,1e-8,0,0,0,6051,adaod,0,50,10,0,0,5,female_adaod
14,female,1e-8,0,0,0,6051,adaod,0,50,10,0,0,5,female_adaod
15,female,1e-8,0,0,0,6338,adaod,0,50,15,0,0,5,female_adaod
16,female,1e-8,0,0,0,6338,adaod,0,50,15,0,0,5,female_adaod
17,female,1e-8,0,0,0,6338,adaod,0,50,15,0,0,5,female_adaod
18,female,1e-8,0,0,0,6338,adaod,0,50,15,0,0,5,female_adaod
19,female,1e-8,0,0,0,6338,adaod,0,50,15,0,0,5,female_adaod
20,female,1e-8,0,0,0,7828,adaod,0,50,20,0,0,5,female_adaod
21,female,1e-8,0,0,0,7828,adaod,0,50,20,0,0,5,female_adaod
22,female,1e-8,0,0,0,7828,adaod,0,50,20,0,0,5,female_adaod
23,female,1e-8,0,0,0,7828,adaod,0,50,20,0,0,5,female_adaod
24,female,1e-8,0,0,0,7828,adaod,0,50,20,0,0,5,female_adaod
25,female,1e-8,0,0,0,8833,adaod,0,50,25,0,0,5,female_adaod
26,female,1e-8,0,0,0,8833,adaod,0,50,25,0,0,5,female_adaod
27,female,1e-8,0,0,0,8833,adaod,0,50,25,0,0,5,female_adaod
28,female,1e-8,0,0,0,8833,adaod,0,50,25,0,0,5,female_adaod
29,female,1e-8,0,0,0,8833,adaod,0,50,25,0,0,5,female_adaod
30,female,1e-8,0,0,0,7963,adaod,0,50,30,0,0,5,female_adaod
31,female,1e-8,0,0,0,7963,adaod,0,50,30,0,0,5,female_adaod
32,female,1e-8,0,0,0,7963,adaod,0,50,30,0,0,5,female_adaod
33,female,1e-8,0,0,0,7963,adaod,0,50,30,0,0,5,female_adaod
34,female,1e-8,0,0,0,7963,adaod,0,50,30,0,0,5,female_adaod
35,female,1e-8,0,0,0,7482,adaod,0,50,35,0,0,5,female_adaod
36,female,1e-8,0,0,0,7482,adaod,0,50,35,0,0,5,female_adaod
37,female,1e-8,0,0,0,7482,adaod,0,50,35,0,0,5,female_adaod
38,female,1e-8,0,0,0,7482,adaod,0,50,35,0,0,5,female_adaod
39,female,1e-8,0,0,0,7482,adaod,0,50,35,0,0,5,female_adaod
40,female,4.340644159066597e-5,1.4426366461710726e-6,9.738886188813953e-6,7.31162610608938e-5,6901,adaod,0,50,40,0,0,5,female_adaod
41,female,4.340644159066597e-5,1.4426366461710726e-6,9.738886188813953e-6,7.31162610608938e-5,6901,adaod,0,50,40,0,0,5,female_adaod
42,female,4.340644159066597e-5,1.4426366461710726e-6,9.738886188813953e-6,7.31162610608938e-5,6901,adaod,0,50,40,0,0,5,female_adaod
43,female,4.340644159066597e-5,1.4426366461710726e-6,9.738886188813953e-6,7.31162610608938e-5,6901,adaod,0,50,40,0,0,5,female_adaod
44,female,4.340644159066597e-5,1.4426366461710726e-6,9.738886188813953e-6,7.31162610608938e-5,6901,adaod,0,50,40,0,0,5,female_adaod
45,female,1.3331982278115415e-4,6.5236189413114766e-6,6.456249819477796e-5,4.993365843694635e-4,7531,adaod,0,50,45,0,0,5,female_adaod
