age,sex,inc,mort,ylds (years lived with disability)_rate_dmt2,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,1e-8,0,0,0,6980,dmt2,0,10,0,0,0,5,male_dmt2
1,male,1e-8,0,0,0,6980,dmt2,0,10,0,0,0,5,male_dmt2
2,male,1e-8,0,0,0,6980,dmt2,0,10,0,0,0,5,male_dmt2
3,male,1e-8,0,0,0,6980,dmt2,0,10,0,0,0,5,male_dmt2
4,male,1e-8,0,0,0,6980,dmt2,0,10,0,0,0,5,male_dmt2
5,male,1e-8,0,0,0,6917,dmt2,0,10,5,0,0,5,male_dmt2
6,male,1e-8,0,0,0,6917,dmt2,0,10,5,0,0,5,male_dmt2
7,male,1e-8,0,0,0,6917,dmt2,0,10,5,0,0,5,male_dmt2
8,male,1e-8,0,0,0,6917,dmt2,0,10,5,0,0,5,male_dmt2
9,male,1e-8,0,0,0,6917,dmt2,0,10,5,0,0,5,male_dmt2
10,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,dmt2,0,50,10,0,0,5,male_dmt2
11,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,dmt2,0,50,10,0,0,5,male_dmt2
12,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,dmt2,0,50,10,0,0,5,male_dmt2
13,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,dmt2,0,50,10,0,0,5,male_dmt2
14,male,7.177394632809101e-4,0,4.089039921398484e-5,8.22467655756481e-4,6234,dmt2,0,50,10,0,0,5,male_dmt2
15,male,0.0029695108333978194,7.334523049334656e-8,5.008771055537584e-4,0.009553000819518879,6436,dmt2,0,50,15,0,0,5,male_dmt2
16,male,0.0029695108333978194,7.334523049334656e-8,5.008771055537584e-4,0.009553000819518879,6436,dmt2,0,50,15,0,0,5,male_dmt2
17,male,0.0029695108333978194,7.334523049334656e-8,5.008771055537584e-4,0.009553000819518879,6436,dmt2,0,50,15,0,0,5,male_dmt2
18,male,0.0029695108333978194,7.334523049334656e-8,5.008771055537584e-4,0.009553000819518879,6436,dmt2,0,50,15,0,0,5,male_dmt2
19,male,0.0029695108333978194,7.334523049334656e-8,5.008771055537584e-4,0.009553000819518879,6436,dmt2,0,50,15,0,0,5,male_dmt2
20,male,0.0031581537845868394,1.2924714178191128e-7,0.0014958316991200565,0.026737727272004897,7845,dmt2,0,50,20,1,0,5,male_dmt2
21,male,0.0031581537845868394,1.2924714178191128e-7,0.0014958316991200565,0.026737727272004897,7845,dmt2,0,50,20,1,0,5,male_dmt2
22,male,0.0031581537845868394,1.2924714178191128e-7,0.0014958316991200565,0.026737727272004897,7845,dmt2,0,50,20,1,0,5,male_dmt2
23,male,0.0031581537845868394,1.2924714178191128e-7,0.0014958316991200565,0.026737727272004897,7845,dmt2,0,50,20,1,0,5,male_dmt2
24,male,0.0031581537845868394,1.2924714178191128e-7,0.0014958316991200565,0.026737727272004897,7845,dmt2,0,50,20,1,0,5,male_dmt2
25,male,0.0012574137906136375,2.2762396700351454e-7,0.002158137113705209,0.03660773351616346,9023,dmt2,0,50,25,2,0,5,male_dmt2
26,male,0.0012574137906136375,2.2762396700351454e-7,0.002158137113705209,0.03660773351616346,9023,dmt2,0,50,25,2,0,5,male_dmt2
27,male,0.0012574137906136375,2.2762396700351454e-7,0.002158137113705209,0.03660773351616346,9023,dmt2,0,50,25,2,0,5,male_dmt2
28,male,0.0012574137906136375,2.2762396700351454e-7,0.002158137113705209,0.03660773351616346,9023,dmt2,0,50,25,2,0,5,male_dmt2
29,male,0.0012574137906136375,2.2762396700351454e-7,0.002158137113705209,0.03660773351616346,9023,dmt2,0,50,25,2,0,5,male_dmt2
30,male,9.216180065113408e-4,9.703867878938132e-7,0.0025039367589943773,0.0405777804247506,8448,dmt2,0,50,30,2,0,5,male_dmt2
31,male,9.216180065113408e-4,9.703867878938132e-7,0.0025039367589943773,0.0405777804247506,8448,dmt2,0,50,30,2,0,5,male_dmt2
32,male,9.216180065113408e-4,9.703867878938132e-7,0.0025039367589943773,0.0405777804247506,8448,dmt2,0,50,30,2,0,5,male_dmt2
33,male,9.216180065113408e-4,9.703867878938132e-7,0.0025039367589943773,0.0405777804247506,8448,dmt2,0,50,30,2,0,5,male_dmt2
34,male,9.216180065113408e-4,9.703867878938132e-7,0.0025039367589943773,0.0405777804247506,8448,dmt2,0,50,30,2,0,5,male_dmt2
