age,sex,inc,mort,ylds (years lived with disability)_rate_iscs,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,4.528417573173309e-5,3.228591899796306e-7,2.0307485188137504e-5,1.4304214629034682e-4,6598,iscs,0,10,0,0,0,5,female_iscs
1,female,4.528417573173309e-5,3.228591899796306e-7,2.0307485188137504e-5,1.4304214629034682e-4,6598,iscs,0,10,0,0,0,5,female_iscs
2,female,4.528417573173309e-5,3.228591899796306e-7,2.0307485188137504e-5,1.4304214629034682e-4,6598,iscs,0,10,0,0,0,5,female_iscs
3,female,4.528417573173309e-5,3.228591899796306e-7,2.0307485188137504e-5,1.4304214629034682e-4,6598,iscs,0,10,0,0,0,5,female_iscs
4,female,4.528417573173309e-5,3.228591899796306e-7,2.0307485188137504e-5,1.4304214629034682e-4,6598,iscs,0,10,0,0,0,5,female_iscs
5,female,3.5294779851606785e-5,4.547016375638887e-8,5.625103820292466e-5,3.9933029670275626e-4,6603,iscs,0,10,5,0,0,5,female_iscs
6,female,3.5294779851606785e-5,4.547016375638887e-8,5.625103820292466e-5,3.9933029670275626e-4,6603,iscs,0,10,5,0,0,5,female_iscs
7,female,3.5294779851606785e-5,4.547016375638887e-8,5.625103820292466e-5,3.9933029670275626e-4,6603,iscs,0,10,5,0,0,5,female_iscs
8,female,3.5294779851606785e-5,4.547016375638887e-8,5.625103820292466e-5,3.9933029670275626e-4,6603,iscs,0,10,5,0,0,5,female_iscs
9,female,3.5294779851606785e-5,4.547016375638887e-8,5.625103820292466e-5,3.9933029670275626e-4,6603,iscs,0,10,5,0,0,5,female_iscs
10,female,3.2199930180635175e-5,6.60855566143114e-8,8.875563430550272e-5,6.265304152981737e-4,6051,iscs,0,50,10,0,0,5,female_iscs
11,female,3.2199930180635175e-5,6.60855566143114e-8,8.875563430550272e-5,6.265304152981737e-4,6051,iscs,0,50,10,0,0,5,female_iscs
12,female,3.2199930180635175e-5,6.60855566143114e-8,8.875563430550272e-5,6.265304152981737e-4,6051,iscs,0,50,10,0,0,5,female_iscs
13,female,3.2199930180635175e-5,6.60855566143114e-8,8.875563430550272e-5,6.265304152981737e-4,6051,iscs,0,50,10,0,0,5,female_iscs
14,female,3.2199930180635175e-5,6.60855566143114e-8,8.875563430550272e-5,6.265304152981737e-4,6051,iscs,0,50,10,0,0,5,female_iscs
15,female,2.8568786809894552e-5,2.839668119017528e-7,1.1739577779169803e-4,8.443978352982455e-4,6338,iscs,0,50,15,0,0,5,female_iscs
16,female,2.8568786809894552e-5,2.839668119017528e-7,1.1739577779169803e-4,8.443978352982455e-4,6338,iscs,0,50,15,0,0,5,female_iscs
