age,sex,inc,mort,ylds (years lived with disability)_rate_ishd,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,female,1e-8,0,0,0,6598,ishd,0,10,0,0,0,5,female_ishd
1,female,1e-8,0,0,0,6598,ishd,0,10,0,0,0,5,female_ishd
2,female,1e-8,0,0,0,6598,ishd,0,10,0,0,0,5,female_ishd
3,female,1e-8,0,0,0,6598,ishd,0,10,0,0,0,5,female_ishd
4,female,1e-8,0,0,0,6598,ishd,0,10,0,0,0,5,female_ishd
5,female,1e-8,0,0,0,6603,ishd,0,10,5,0,0,5,female_ishd
6,female,1e-8,0,0,0,6603,ishd,0,10,5,0,0,5,female_ishd
7,female,1e-8,0,0,0,6603,ishd,0,10,5,0,0,5,female_ishd
8,female,1e-8,0,0,0,6603,ishd,0,10,5,0,0,5,female_ishd
9,female,1e-8,0,0,0,6603,ishd,0,10,5,0,0,5,female_ishd
10,female,1e-8,0,0,0,6051,ishd,0,50,10,0,0,5,female_ishd
11,female,1e-8,0,0,0,6051,ishd,0,50,10,0,0,5,female_ishd
12,female,1e-8,0,0,0,6051,ishd,0,50,10,0,0,5,female_ishd
13,female,1e-8,0,0,0,6051,ishd,0,50,10,0,0,5,female_ishd
14,female,1e-8,0,0,0,6051,ishd,0,50,10,0,0,5,female_ishd
15,female,1.56823163635867e-5,6.299617465752942e-7,4.3545899675031294e-6,1.1565661249282816e-4,6338,ishd,0,50,15,0,0,5,female_ishd
16,female,1.56823163635867e-5,6.299617465752942e-7,4.3545899675031294e-6,1.1565661249282816e-4,6338,ishd,0,50,15,0,0,5,female_ishd
17,female,1.56823163635867e-5,6.299617465752942e-7,4.3545899675031294e-6,1.1565661249282816e-4,6338,ishd,0,50,15,0,0,5,female_ishd
18,female,1.56823163635867e-5,6.299617465752942e-7,4.3545899675031294e-6,1.1565661249282816e-4,6338,ishd,0,50,15,0,0,5,female_ishd
19,female,1.56823163635867e-5,6.299617465752942e-7,4.3545899675031294e-6,1.1565661249282816e-4,6338,ishd,0,50,15,0,0,5,female_ishd
20,female,3.6010543803359415e-5,1.242282315970043e-6,1.899737551177691e-5,3.8227518329703305e-4,7828,ishd,0,50,20,0,0,5,female_ishd
21,female,3.6010543803359415e-5,1.242282315970043e-6,1.899737551177691e-5,3.8227518329703305e-4,7828,ishd,0,50,20,0,0,5,female_ishd
22,female,3.6010543803359415e-5,1.242282315970043e-6,1.899737551177691e-5,3.8227518329703305e-4,7828,ishd,0,50,20,0,0,5,female_ishd
23,female,3.6010543803359415e-5,1.242282315970043e-6,1.899737551177691e-5,3.8227518329703305e-4,7828,ishd,0,50,20,0,0,5,female_ishd
24,female,3.6010543803359415e-5,1.242282315970043e-6,1.899737551177691e-5,3.8227518329703305e-4,7828,ishd,0,50,20,0,0,5,female_ishd
25,female,4.509457032540317e-5,2.148261528186958e-6,3.793825237717437e-5,8.035572957596228e-4,8833,ishd,0,50,25,0,0,5,female_ishd
26,female,4.509457032540317e-5,2.148261528186958e-6,3.793825237717437e-5,8.035572957596228e-4,8833,ishd,0,50,25,0,0,5,female_ishd
27,female,4.509457032540317e-5,2.148261528186958e-6,3.793825237717437e-5,8.035572957596228e-4,8833,ishd,0,50,25,0,0,5,female_ishd
28,female,4.509457032540317e-5,2.148261528186958e-6,3.793825237717437e-5,8.035572957596228e-4,8833,ishd,0,50,25,0,0,5,female_ishd
29,female,4.509457032540317e-5,2.148261528186958e-6,3.793825237717437e-5,8.035572957596228e-4,8833,ishd,0,50,25,0,0,5,female_ishd
30,female,9.642905853012487e-5,6.400467175216451e-6,7.069149569751688e-5,0.0015471880793058888,7963,ishd,0,50,30,0,0,5,female_ishd
31,female,9.642905853012487e-5,6.400467175216451e-6,7.069149569751688e-5,0.0015471880793058888,7963,ishd,0,50,30,0,0,5,female_ishd
32,female,9.642905853012487e-5,6.400467175216451e-6,7.069149569751688e-5,0.0015471880793058888,7963,ishd,0,50,30,0,0,5,female_ishd
33,female,9.642905853012487e-5,6.400467175216451e-6,7.069149569751688e-5,0.0015471880793058888,7963,ishd,0,50,30,0,0,5,female_ishd
34,female,9.642905853012487e-5,6.400467175216451e-6,7.069149569751688e-5,0.0015471880793058888,7963,ishd,0,50,30,0,0,5,female_ishd
35,female,1.9017819375946772e-4,1.65297181388295e-5,1.268806905106689e-4,0.0029968040657058245,7482,ishd,0,50,35,0,0,5,female_ishd
36,female,1.9017819375946772e-4,1.65297181388295e-5,1.268806905106689e-4,0.0029968040657058245,7482,ishd,0,50,35,0,0,5,female_ishd
37,female,1.9017819375946772e-4,1.65297181388295e-5,1.268806905106689e-4,0.0029968040657058245,7482,ishd,0,50,35,0,0,5,female_ishd
38,female,1.9017819375946772e-4,1.65297181388295e-5,1.268806905106689e-4,0.0029968040657058245,7482,ishd,0,50,35,0,0,5,female_ishd
39,female,1.9017819375946772e-4,1.65297181388295e-5,1.268806905106689e-4,0.0029968040657058245,7482,ishd,0,50,35,0,0,5,female_ishd
40,female,3.727806734607263e-4,3.375819820289928e-5,2.3102560072420052e-4,0.005695474151541329,6901,ishd,0,50,40,0,0,5,female_ishd
41,female,3.727806734607263e-4,3.375819820289928e-5,2.3102560072420052e-4,0.005695474151541329,6901,ishd,0,50,40,0,0,5,female_ishd
42,female,3.727806734607263e-4,3.375819820289928e-5,2.3102560072420052e-4,0.005695474151541329,6901,ishd,0,50,40,0,0,5,female_ishd
43,female,3.727806734607263e-4,3.375819820289928e-5,2.3102560072420052e-4,0.005695474151541329,6901,ishd,0,50,40,0,0,5,female_ishd
44,female,3.727806734607263e-4,3.375819820289928e-5,2.3102560072420052e-4,0.005695474151541329,6901,ishd,0,50,40,0,0,5,female_ishd
45,female,6.443372250752666e-4,7.386784610658965e-5,3.8554237911600346e-4,0.00983833627255373,7531,ishd,0,50,45,0,1,5,female_ishd
46,female,6.443372250752666e-4,7.386784610658965e-5,3.8554237911600346e-4,0.00983833627255373,7531,ishd,0,50,45,0,1,5,female_ishd
47,female,6.443372250752666e-4,7.386784610658965e-5,3.8554237911600346e-4,0.00983833627255373,7531,ishd,0,50,45,0,1,5,female_ishd
48,female,6.443372250752666e-4,7.386784610658965e-5,3.8554237911600346e-4,0.00983833627255373,7531,ishd,0,50,45,0,1,5,female_ishd
49,female,6.443372250752666e-4,7.386784610658965e-5,3.8554237911600346e-4,0.00983833627255373,7531,ishd,0,50,45,0,1,5,female_ishd
50,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
51,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
52,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
53,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
54,female,0.0011336564859278624,1.229987102364227e-4,5.832236183437743e-4,0.01586127227157213,7629,ishd,0,50,50,1,1,5,female_ishd
55,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
56,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
57,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
58,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
59,female,0.0018415626309271921,2.2278786406175686e-4,8.478242075954877e-4,0.024482143050388986,6580,ishd,0,50,55,1,1,5,female_ishd
60,female,0.00334033838092859,4.346912542058371e-4,0.0012199672805144675,0.03676855425151747,5725,ishd,0,50,60,2,2,5,female_ishd
61,female,0.00334033838092859,4.346912542058371e-4,0.0012199672805144675,0.03676855425151747,5725,ishd,0,50,60,2,2,5,female_ishd
