age,sex,inc,mort,ylds (years lived with disability)_rate_lvrc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,1e-8,0,0,0,6980,lvrc,0,10,0,0,0,5,male_lvrc
1,male,1e-8,0,0,0,6980,lvrc,0,10,0,0,0,5,male_lvrc
2,male,1e-8,0,0,0,6980,lvrc,0,10,0,0,0,5,male_lvrc
3,male,1e-8,0,0,0,6980,lvrc,0,10,0,0,0,5,male_lvrc
4,male,1e-8,0,0,0,6980,lvrc,0,10,0,0,0,5,male_lvrc
5,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0,6917,lvrc,0,10,5,0,0,5,male_lvrc
6,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0,6917,lvrc,0,10,5,0,0,5,male_lvrc
7,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0,6917,lvrc,0,10,5,0,0,5,male_lvrc
8,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0,6917,lvrc,0,10,5,0,0,5,male_lvrc
9,male,1.4345130995672122e-6,2.8202498122885374e-7,2.9642415209049004e-7,0,6917,lvrc,0,10,5,0,0,5,male_lvrc
10,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0,6234,lvrc,0,50,10,0,0,5,male_lvrc
11,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0,6234,lvrc,0,50,10,0,0,5,male_lvrc
12,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0,6234,lvrc,0,50,10,0,0,5,male_lvrc
13,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0,6234,lvrc,0,50,10,0,0,5,male_lvrc
14,male,2.128204088366054e-6,4.272936949911754e-7,4.491297580212652e-7,0,6234,lvrc,0,50,10,0,0,5,male_lvrc
15,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0,6436,lvrc,0,50,15,0,0,5,male_lvrc
16,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0,6436,lvrc,0,50,15,0,0,5,male_lvrc
17,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0,6436,lvrc,0,50,15,0,0,5,male_lvrc
18,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0,6436,lvrc,0,50,15,0,0,5,male_lvrc
19,male,3.221360899915215e-6,5.260536352920818e-7,6.815557424873942e-7,0,6436,lvrc,0,50,15,0,0,5,male_lvrc
20,male,5.906740477379569e-6,9.052433011737349e-7,1.2442394611214387e-6,0,7845,lvrc,0,50,20,0,0,5,male_lvrc
21,male,5.906740477379569e-6,9.052433011737349e-7,1.2442394611214387e-6,0,7845,lvrc,0,50,20,0,0,5,male_lvrc
22,male,5.906740477379569e-6,9.052433011737349e-7,1.2442394611214387e-6,0,7845,lvrc,0,50,20,0,0,5,male_lvrc
23,male,5.906740477379569e-6,9.052433011737349e-7,1.2442394611214387e-6,0,7845,lvrc,0,50,20,0,0,5,male_lvrc
24,male,5.906740477379569e-6,9.052433011737349e-7,1.2442394611214387e-6,0,7845,lvrc,0,50,20,0,0,5,male_lvrc
25,male,4.981613564932615e-6,1.5680935133696004e-6,1.3619832492149593e-6,0,9023,lvrc,0,50,25,0,0,5,male_lvrc
26,male,4.981613564932615e-6,1.5680935133696004e-6,1.3619832492149593e-6,0,9023,lvrc,0,50,25,0,0,5,male_lvrc
27,male,4.981613564932615e-6,1.5680935133696004e-6,1.3619832492149593e-6,0,9023,lvrc,0,50,25,0,0,5,male_lvrc
28,male,4.981613564932615e-6,1.5680935133696004e-6,1.3619832492149593e-6,0,9023,lvrc,0,50,25,0,0,5,male_lvrc
29,male,4.981613564932615e-6,1.5680935133696004e-6,1.3619832492149593e-6,0,9023,lvrc,0,50,25,0,0,5,male_lvrc
30,male,1.055940733705107e-5,2.9557518867470855e-6,3.009014993149479e-6,0,8448,lvrc,0,50,30,0,0,5,male_lvrc
31,male,1.055940733705107e-5,2.9557518867470855e-6,3.009014993149479e-6,0,8448,lvrc,0,50,30,0,0,5,male_lvrc
32,male,1.055940733705107e-5,2.9557518867470855e-6,3.009014993149479e-6,0,8448,lvrc,0,50,30,0,0,5,male_lvrc
33,male,1.055940733705107e-5,2.9557518867470855e-6,3.009014993149479e-6,0,8448,lvrc,0,50,30,0,0,5,male_lvrc
34,male,1.055940733705107e-5,2.9557518867470855e-6,3.009014993149479e-6,0,8448,lvrc,0,50,30,0,0,5,male_lvrc
35,male,9.813097469673174e-6,3.9385292555407945e-6,2.982144163022074e-6,0,7997,lvrc,0,50,35,0,0,5,male_lvrc
36,male,9.813097469673174e-6,3.9385292555407945e-6,2.982144163022074e-6,0,7997,lvrc,0,50,35,0,0,5,male_lvrc
37,male,9.813097469673174e-6,3.9385292555407945e-6,2.982144163022074e-6,0,7997,lvrc,0,50,35,0,0,5,male_lvrc
38,male,9.813097469673174e-6,3.9385292555407945e-6,2.982144163022074e-6,0,7997,lvrc,0,50,35,0,0,5,male_lvrc
39,male,9.813097469673174e-6,3.9385292555407945e-6,2.982144163022074e-6,0,7997,lvrc,0,50,35,0,0,5,male_lvrc
40,male,2.387646559684835e-5,1.0555096931936823e-5,7.193087369920606e-6,0,7179,lvrc,0,50,40,0,0,5,male_lvrc
41,male,2.387646559684835e-5,1.0555096931936823e-5,7.193087369920606e-6,0,7179,lvrc,0,50,40,0,0,5,male_lvrc
42,male,2.387646559684835e-5,1.0555096931936823e-5,7.193087369920606e-6,0,7179,lvrc,0,50,40,0,0,5,male_lvrc
43,male,2.387646559684835e-5,1.0555096931936823e-5,7.193087369920606e-6,0,7179,lvrc,0,50,40,0,0,5,male_lvrc
44,male,2.387646559684835e-5,1.0555096931936823e-5,7.193087369920606e-6,0,7179,lvrc,0,50,40,0,0,5,male_lvrc
45,male,4.2351403905700744e-5,2.2057979738830282e-5,1.2795057108728123e-5,0,7628,lvrc,0,50,45,0,0,5,male_lvrc
46,male,4.2351403905700744e-5,2.2057979738830282e-5,1.2795057108728123e-5,0,7628,lvrc,0,50,45,0,0,5,male_lvrc
47,male,4.2351403905700744e-5,2.2057979738830282e-5,1.2795057108728123e-5,0,7628,lvrc,0,50,45,0,0,5,male_lvrc
48,male,4.2351403905700744e-5,2.2057979738830282e-5,1.2795057108728123e-5,0,7628,lvrc,0,50,45,0,0,5,male_lvrc
