age,sex,inc,mort,ylds (years lived with disability)_rate_stmc,prev,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease
0,male,1e-8,0,0,0,6980,stmc,0,10,0,0,0,5,male_stmc
1,male,1e-8,0,0,0,6980,stmc,0,10,0,0,0,5,male_stmc
2,male,1e-8,0,0,0,6980,stmc,0,10,0,0,0,5,male_stmc
3,male,1e-8,0,0,0,6980,stmc,0,10,0,0,0,5,male_stmc
4,male,1e-8,0,0,0,6980,stmc,0,10,0,0,0,5,male_stmc
5,male,1e-8,0,0,0,6917,stmc,0,10,5,0,0,5,male_stmc
6,male,1e-8,0,0,0,6917,stmc,0,10,5,0,0,5,male_stmc
7,male,1e-8,0,0,0,6917,stmc,0,10,5,0,0,5,male_stmc
8,male,1e-8,0,0,0,6917,stmc,0,10,5,0,0,5,male_stmc
9,male,1e-8,0,0,0,6917,stmc,0,10,5,0,0,5,male_stmc
10,male,1e-8,0,0,0,6234,stmc,0,50,10,0,0,5,male_stmc
11,male,1e-8,0,0,0,6234,stmc,0,50,10,0,0,5,male_stmc
12,male,1e-8,0,0,0,6234,stmc,0,50,10,0,0,5,male_stmc
13,male,1e-8,0,0,0,6234,stmc,0,50,10,0,0,5,male_stmc
14,male,1e-8,0,0,0,6234,stmc,0,50,10,0,0,5,male_stmc
15,male,7.741797839979145e-7,1.258273851240275e-7,3.2815070163640273e-7,3.4487289346457866e-6,6436,stmc,0,50,15,0,0,5,male_stmc
16,male,7.741797839979145e-7,1.258273851240275e-7,3.2815070163640273e-7,3.4487289346457866e-6,6436,stmc,0,50,15,0,0,5,male_stmc
17,male,7.741797839979145e-7,1.258273851240275e-7,3.2815070163640273e-7,3.4487289346457866e-6,6436,stmc,0,50,15,0,0,5,male_stmc
18,male,7.741797839979145e-7,1.258273851240275e-7,3.2815070163640273e-7,3.4487289346457866e-6,6436,stmc,0,50,15,0,0,5,male_stmc
19,male,7.741797839979145e-7,1.258273851240275e-7,3.2815070163640273e-7,3.4487289346457866e-6,6436,stmc,0,50,15,0,0,5,male_stmc
20,male,1.774101951400896e-6,3.7371381030096466e-7,7.463533667646987e-7,7.79762959278808e-6,7845,stmc,0,50,20,0,0,5,male_stmc
21,male,1.774101951400896e-6,3.7371381030096466e-7,7.463533667646987e-7,7.79762959278808e-6,7845,stmc,0,50,20,0,0,5,male_stmc
22,male,1.774101951400896e-6,3.7371381030096466e-7,7.463533667646987e-7,7.79762959278808e-6,7845,stmc,0,50,20,0,0,5,male_stmc
23,male,1.774101951400896e-6,3.7371381030096466e-7,7.463533667646987e-7,7.79762959278808e-6,7845,stmc,0,50,20,0,0,5,male_stmc
24,male,1.774101951400896e-6,3.7371381030096466e-7,7.463533667646987e-7,7.79762959278808e-6,7845,stmc,0,50,20,0,0,5,male_stmc
25,male,3.9958311958495195e-6,1.086556035331571e-6,1.599520628556342e-6,1.595360487894037e-5,9023,stmc,0,50,25,0,0,5,male_stmc
26,male,3.9958311958495195e-6,1.086556035331571e-6,1.599520628556342e-6,1.595360487894037e-5,9023,stmc,0,50,25,0,0,5,male_stmc
27,male,3.9958311958495195e-6,1.086556035331571e-6,1.599520628556342e-6,1.595360487894037e-5,9023,stmc,0,50,25,0,0,5,male_stmc
28,male,3.9958311958495195e-6,1.086556035331571e-6,1.599520628556342e-6,1.595360487894037e-5,9023,stmc,0,50,25,0,0,5,male_stmc
29,male,3.9958311958495195e-6,1.086556035331571e-6,1.599520628556342e-6,1.595360487894037e-5,9023,stmc,0,50,25,0,0,5,male_stmc
30,male,1.0080896273728869e-5,2.886602626145994e-6,4.096866770973925e-6,4.143085981704988e-5,8448,stmc,0,50,30,0,0,5,male_stmc
31,male,1.0080896273728869e-5,2.886602626145994e-6,4.096866770973925e-6,4.143085981704988e-5,8448,stmc,0,50,30,0,0,5,male_stmc
32,male,1.0080896273728869e-5,2.886602626145994e-6,4.096866770973925e-6,4.143085981704988e-5,8448,stmc,0,50,30,0,0,5,male_stmc
33,male,1.0080896273728869e-5,2.886602626145994e-6,4.096866770973925e-6,4.143085981704988e-5,8448,stmc,0,50,30,0,0,5,male_stmc
34,male,1.0080896273728869e-5,2.886602626145994e-6,4.096866770973925e-6,4.143085981704988e-5,8448,stmc,0,50,30,0,0,5,male_stmc
35,male,2.279961241499709e-5,6.444258381650775e-6,9.31916012797678e-6,9.472947171813654e-5,7997,stmc,0,50,35,0,0,5,male_stmc
36,male,2.279961241499709e-5,6.444258381650775e-6,9.31916012797678e-6,9.472947171813654e-5,7997,stmc,0,50,35,0,0,5,male_stmc
37,male,2.279961241499709e-5,6.444258381650775e-6,9.31916012797678e-6,9.472947171813654e-5,7997,stmc,0,50,35,0,0,5,male_stmc
38,male,2.279961241499709e-5,6.444258381650775e-6,9.31916012797678e-6,9.472947171813654e-5,7997,stmc,0,50,35,0,0,5,male_stmc
39,male,2.279961241499709e-5,6.444258381650775e-6,9.31916012797678e-6,9.472947171813654e-5,7997,stmc,0,50,35,0,0,5,male_stmc
