age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,26517,brsc,0,10,0,0,0,5,female_brsc,East Midlands
1,female,0,0,0,1e-8,26517,brsc,0,10,0,0,0,5,female_brsc,East Midlands
2,female,0,0,0,1e-8,26517,brsc,0,10,0,0,0,5,female_brsc,East Midlands
3,female,0,0,0,1e-8,26517,brsc,0,10,0,0,0,5,female_brsc,East Midlands
4,female,0,0,0,1e-8,26517,brsc,0,10,0,0,0,5,female_brsc,East Midlands
5,female,0,0,0,1e-8,28290,brsc,0,10,5,0,0,5,female_brsc,East Midlands
6,female,0,0,0,1e-8,28290,brsc,0,10,5,0,0,5,female_brsc,East Midlands
7,female,0,0,0,1e-8,28290,brsc,0,10,5,0,0,5,female_brsc,East Midlands
8,female,0,0,0,1e-8,28290,brsc,0,10,5,0,0,5,female_brsc,East Midlands
9,female,0,0,0,1e-8,28290,brsc,0,10,5,0,0,5,female_brsc,East Midlands
10,female,0,0,0,1e-8,26654,brsc,0,50,10,0,0,5,female_brsc,East Midlands
11,female,0,0,0,1e-8,26654,brsc,0,50,10,0,0,5,female_brsc,East Midlands
12,female,0,0,0,1e-8,26654,brsc,0,50,10,0,0,5,female_brsc,East Midlands
13,female,0,0,0,1e-8,26654,brsc,0,50,10,0,0,5,female_brsc,East Midlands
14,female,0,0,0,1e-8,26654,brsc,0,50,10,0,0,5,female_brsc,East Midlands
15,female,2.130484794770629e-7,2.2116160458223705e-6,2.7028691127487447e-5,2.7518210066764293e-6,26868,brsc,0,50,15,0,0,5,female_brsc,East Midlands
16,female,2.130484794770629e-7,2.2116160458223705e-6,2.7028691127487447e-5,2.7518210066764293e-6,26868,brsc,0,50,15,0,0,5,female_brsc,East Midlands
17,female,2.130484794770629e-7,2.2116160458223705e-6,2.7028691127487447e-5,2.7518210066764293e-6,26868,brsc,0,50,15,0,0,5,female_brsc,East Midlands
18,female,2.130484794770629e-7,2.2116160458223705e-6,2.7028691127487447e-5,2.7518210066764293e-6,26868,brsc,0,50,15,0,0,5,female_brsc,East Midlands
19,female,2.130484794770629e-7,2.2116160458223705e-6,2.7028691127487447e-5,2.7518210066764293e-6,26868,brsc,0,50,15,0,0,5,female_brsc,East Midlands
