age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,26517,carc,0,10,0,0,0,5,female_carc,East Midlands
1,female,0,0,0,1e-8,26517,carc,0,10,0,0,0,5,female_carc,East Midlands
2,female,0,0,0,1e-8,26517,carc,0,10,0,0,0,5,female_carc,East Midlands
3,female,0,0,0,1e-8,26517,carc,0,10,0,0,0,5,female_carc,East Midlands
4,female,0,0,0,1e-8,26517,carc,0,10,0,0,0,5,female_carc,East Midlands
5,female,0,0,0,1e-8,28290,carc,0,10,5,0,0,5,female_carc,East Midlands
6,female,0,0,0,1e-8,28290,carc,0,10,5,0,0,5,female_carc,East Midlands
7,female,0,0,0,1e-8,28290,carc,0,10,5,0,0,5,female_carc,East Midlands
8,female,0,0,0,1e-8,28290,carc,0,10,5,0,0,5,female_carc,East Midlands
9,female,0,0,0,1e-8,28290,carc,0,10,5,0,0,5,female_carc,East Midlands
10,female,0,0,0,1e-8,26654,carc,0,50,10,0,0,5,female_carc,East Midlands
11,female,0,0,0,1e-8,26654,carc,0,50,10,0,0,5,female_carc,East Midlands
12,female,0,0,0,1e-8,26654,carc,0,50,10,0,0,5,female_carc,East Midlands
13,female,0,0,0,1e-8,26654,carc,0,50,10,0,0,5,female_carc,East Midlands
14,female,0,0,0,1e-8,26654,carc,0,50,10,0,0,5,female_carc,East Midlands
15,female,2.8707010249675734e-7,1.1059310677520098e-6,9.98388328119531e-6,1.4266742778207294e-6,26868,carc,0,50,15,0,0,5,female_carc,East Midlands
16,female,2.8707010249675734e-7,1.1059310677520098e-6,9.98388328119531e-6,1.4266742778207294e-6,26868,carc,0,50,15,0,0,5,female_carc,East Midlands
17,female,2.8707010249675734e-7,1.1059310677520098e-6,9.98388328119531e-6,1.4266742778207294e-6,26868,carc,0,50,15,0,0,5,female_carc,East Midlands
18,female,2.8707010249675734e-7,1.1059310677520098e-6,9.98388328119531e-6,1.4266742778207294e-6,26868,carc,0,50,15,0,0,5,female_carc,East Midlands
19,female,2.8707010249675734e-7,1.1059310677520098e-6,9.98388328119531e-6,1.4266742778207294e-6,26868,carc,0,50,15,0,0,5,female_carc,East Midlands
20,female,9.937853718841435e-7,4.338143356933555e-6,4.081359177974223e-5,5.716782720890026e-6,29925,carc,0,50,20,0,0,5,female_carc,East Midlands
21,female,9.937853718841435e-7,4.338143356933555e-6,4.081359177974223e-5,5.716782720890026e-6,29925,carc,0,50,20,0,0,5,female_carc,East Midlands
22,female,9.937853718841435e-7,4.338143356933555e-6,4.081359177974223e-5,5.716782720890026e-6,29925,carc,0,50,20,0,0,5,female_carc,East Midlands
23,female,9.937853718841435e-7,4.338143356933555e-6,4.081359177974223e-5,5.716782720890026e-6,29925,carc,0,50,20,0,0,5,female_carc,East Midlands
24,female,9.937853718841435e-7,4.338143356933555e-6,4.081359177974223e-5,5.716782720890026e-6,29925,carc,0,50,20,0,0,5,female_carc,East Midlands
25,female,3.3545247748967217e-6,1.4016527562628526e-5,1.38249273139382e-4,1.941112847064117e-5,32416,carc,0,50,25,0,0,5,female_carc,East Midlands
26,female,3.3545247748967217e-6,1.4016527562628526e-5,1.38249273139382e-4,1.941112847064117e-5,32416,carc,0,50,25,0,0,5,female_carc,East Midlands
27,female,3.3545247748967217e-6,1.4016527562628526e-5,1.38249273139382e-4,1.941112847064117e-5,32416,carc,0,50,25,0,0,5,female_carc,East Midlands
28,female,3.3545247748967217e-6,1.4016527562628526e-5,1.38249273139382e-4,1.941112847064117e-5,32416,carc,0,50,25,0,0,5,female_carc,East Midlands
29,female,3.3545247748967217e-6,1.4016527562628526e-5,1.38249273139382e-4,1.941112847064117e-5,32416,carc,0,50,25,0,0,5,female_carc,East Midlands
30,female,1.0080398748126984e-5,3.850645152827837e-5,4.121190312751189e-4,5.8514036889113504e-5,30632,carc,0,50,30,0,0,5,female_carc,East Midlands
31,female,1.0080398748126984e-5,3.850645152827837e-5,4.121190312751189e-4,5.8514036889113504e-5,30632,carc,0,50,30,0,0,5,female_carc,East Midlands
32,female,1.0080398748126984e-5,3.850645152827837e-5,4.121190312751189e-4,5.8514036889113504e-5,30632,carc,0,50,30,0,0,5,female_carc,East Midlands
33,female,1.0080398748126984e-5,3.850645152827837e-5,4.121190312751189e-4,5.8514036889113504e-5,30632,carc,0,50,30,0,0,5,female_carc,East Midlands
34,female,1.0080398748126984e-5,3.850645152827837e-5,4.121190312751189e-4,5.8514036889113504e-5,30632,carc,0,50,30,0,0,5,female_carc,East Midlands
35,female,1.7997862695328173e-5,5.978296587507843e-5,6.782779542033465e-4,9.562761169454152e-5,29373,carc,0,50,35,0,1,5,female_carc,East Midlands
36,female,1.7997862695328173e-5,5.978296587507843e-5,6.782779542033465e-4,9.562761169454152e-5,29373,carc,0,50,35,0,1,5,female_carc,East Midlands
37,female,1.7997862695328173e-5,5.978296587507843e-5,6.782779542033465e-4,9.562761169454152e-5,29373,carc,0,50,35,0,1,5,female_carc,East Midlands
38,female,1.7997862695328173e-5,5.978296587507843e-5,6.782779542033465e-4,9.562761169454152e-5,29373,carc,0,50,35,0,1,5,female_carc,East Midlands
39,female,1.7997862695328173e-5,5.978296587507843e-5,6.782779542033465e-4,9.562761169454152e-5,29373,carc,0,50,35,0,1,5,female_carc,East Midlands
40,female,3.440930401057494e-5,1.0360904318092868e-4,0.001197818231781379,1.6876072144967214e-4,29200,carc,0,50,40,0,1,5,female_carc,East Midlands
41,female,3.440930401057494e-5,1.0360904318092868e-4,0.001197818231781379,1.6876072144967214e-4,29200,carc,0,50,40,0,1,5,female_carc,East Midlands
42,female,3.440930401057494e-5,1.0360904318092868e-4,0.001197818231781379,1.6876072144967214e-4,29200,carc,0,50,40,0,1,5,female_carc,East Midlands
43,female,3.440930401057494e-5,1.0360904318092868e-4,0.001197818231781379,1.6876072144967214e-4,29200,carc,0,50,40,0,1,5,female_carc,East Midlands
44,female,3.440930401057494e-5,1.0360904318092868e-4,0.001197818231781379,1.6876072144967214e-4,29200,carc,0,50,40,0,1,5,female_carc,East Midlands
45,female,6.100537316365405e-5,1.4279713508867818e-4,0.001660587673635526,2.4034360916023328e-4,34655,carc,0,50,45,0,2,5,female_carc,East Midlands
46,female,6.100537316365405e-5,1.4279713508867818e-4,0.001660587673635526,2.4034360916023328e-4,34655,carc,0,50,45,0,2,5,female_carc,East Midlands
47,female,6.100537316365405e-5,1.4279713508867818e-4,0.001660587673635526,2.4034360916023328e-4,34655,carc,0,50,45,0,2,5,female_carc,East Midlands
48,female,6.100537316365405e-5,1.4279713508867818e-4,0.001660587673635526,2.4034360916023328e-4,34655,carc,0,50,45,0,2,5,female_carc,East Midlands
49,female,6.100537316365405e-5,1.4279713508867818e-4,0.001660587673635526,2.4034360916023328e-4,34655,carc,0,50,45,0,2,5,female_carc,East Midlands
50,female,1.072438231397209e-4,2.3246688467218592e-4,0.00280147578582942,4.0753703267527554e-4,35223,carc,0,50,50,0,4,5,female_carc,East Midlands
51,female,1.072438231397209e-4,2.3246688467218592e-4,0.00280147578582942,4.0753703267527554e-4,35223,carc,0,50,50,0,4,5,female_carc,East Midlands
52,female,1.072438231397209e-4,2.3246688467218592e-4,0.00280147578582942,4.0753703267527554e-4,35223,carc,0,50,50,0,4,5,female_carc,East Midlands
53,female,1.072438231397209e-4,2.3246688467218592e-4,0.00280147578582942,4.0753703267527554e-4,35223,carc,0,50,50,0,4,5,female_carc,East Midlands
54,female,1.072438231397209e-4,2.3246688467218592e-4,0.00280147578582942,4.0753703267527554e-4,35223,carc,0,50,50,0,4,5,female_carc,East Midlands
55,female,1.9218813767449394e-4,3.9222002879406016e-4,0.00472598953930171,6.960426575900672e-4,31061,carc,0,50,55,0,6,5,female_carc,East Midlands
56,female,1.9218813767449394e-4,3.9222002879406016e-4,0.00472598953930171,6.960426575900672e-4,31061,carc,0,50,55,0,6,5,female_carc,East Midlands
57,female,1.9218813767449394e-4,3.9222002879406016e-4,0.00472598953930171,6.960426575900672e-4,31061,carc,0,50,55,0,6,5,female_carc,East Midlands
58,female,1.9218813767449394e-4,3.9222002879406016e-4,0.00472598953930171,6.960426575900672e-4,31061,carc,0,50,55,0,6,5,female_carc,East Midlands
