age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,26517,dmt2,0,10,0,0,0,5,female_dmt2,East Midlands
1,female,0,0,0,1e-8,26517,dmt2,0,10,0,0,0,5,female_dmt2,East Midlands
2,female,0,0,0,1e-8,26517,dmt2,0,10,0,0,0,5,female_dmt2,East Midlands
3,female,0,0,0,1e-8,26517,dmt2,0,10,0,0,0,5,female_dmt2,East Midlands
4,female,0,0,0,1e-8,26517,dmt2,0,10,0,0,0,5,female_dmt2,East Midlands
5,female,0,0,0,1e-8,28290,dmt2,0,10,5,0,0,5,female_dmt2,East Midlands
6,female,0,0,0,1e-8,28290,dmt2,0,10,5,0,0,5,female_dmt2,East Midlands
7,female,0,0,0,1e-8,28290,dmt2,0,10,5,0,0,5,female_dmt2,East Midlands
8,female,0,0,0,1e-8,28290,dmt2,0,10,5,0,0,5,female_dmt2,East Midlands
9,female,0,0,0,1e-8,28290,dmt2,0,10,5,0,0,5,female_dmt2,East Midlands
10,female,0,1.806635902484307e-4,0.003632306605292685,0.0018885997391314827,26654,dmt2,0,50,10,0,0,5,female_dmt2,East Midlands
11,female,0,1.806635902484307e-4,0.003632306605292685,0.0018885997391314827,26654,dmt2,0,50,10,0,0,5,female_dmt2,East Midlands
12,female,0,1.806635902484307e-4,0.003632306605292685,0.0018885997391314827,26654,dmt2,0,50,10,0,0,5,female_dmt2,East Midlands
13,female,0,1.806635902484307e-4,0.003632306605292685,0.0018885997391314827,26654,dmt2,0,50,10,0,0,5,female_dmt2,East Midlands
14,female,0,1.806635902484307e-4,0.003632306605292685,0.0018885997391314827,26654,dmt2,0,50,10,0,0,5,female_dmt2,East Midlands
15,female,1.363293732286295e-7,9.895036104831886e-4,0.01895623490780408,0.0033737797553418927,26868,dmt2,0,50,15,1,0,5,female_dmt2,East Midlands
16,female,1.363293732286295e-7,9.895036104831886e-4,0.01895623490780408,0.0033737797553418927,26868,dmt2,0,50,15,1,0,5,female_dmt2,East Midlands
17,female,1.363293732286295e-7,9.895036104831886e-4,0.01895623490780408,0.0033737797553418927,26868,dmt2,0,50,15,1,0,5,female_dmt2,East Midlands
18,female,1.363293732286295e-7,9.895036104831886e-4,0.01895623490780408,0.0033737797553418927,26868,dmt2,0,50,15,1,0,5,female_dmt2,East Midlands
19,female,1.363293732286295e-7,9.895036104831886e-4,0.01895623490780408,0.0033737797553418927,26868,dmt2,0,50,15,1,0,5,female_dmt2,East Midlands
