age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,4.841799618408381e-7,2.5077721702720644e-5,1.7573678659388306e-4,6.351556848699102e-5,26517,iscs,0,10,0,0,0,5,female_iscs,East Midlands
1,female,4.841799618408381e-7,2.5077721702720644e-5,1.7573678659388306e-4,6.351556848699102e-5,26517,iscs,0,10,0,0,0,5,female_iscs,East Midlands
2,female,4.841799618408381e-7,2.5077721702720644e-5,1.7573678659388306e-4,6.351556848699102e-5,26517,iscs,0,10,0,0,0,5,female_iscs,East Midlands
3,female,4.841799618408381e-7,2.5077721702720644e-5,1.7573678659388306e-4,6.351556848699102e-5,26517,iscs,0,10,0,0,0,5,female_iscs,East Midlands
4,female,4.841799618408381e-7,2.5077721702720644e-5,1.7573678659388306e-4,6.351556848699102e-5,26517,iscs,0,10,0,0,0,5,female_iscs,East Midlands
5,female,3.724514272723861e-8,6.453077871218785e-5,4.5838599271090855e-4,3.485848555271582e-5,28290,iscs,0,10,5,0,0,5,female_iscs,East Midlands
6,female,3.724514272723861e-8,6.453077871218785e-5,4.5838599271090855e-4,3.485848555271582e-5,28290,iscs,0,10,5,0,0,5,female_iscs,East Midlands
7,female,3.724514272723861e-8,6.453077871218785e-5,4.5838599271090855e-4,3.485848555271582e-5,28290,iscs,0,10,5,0,0,5,female_iscs,East Midlands
8,female,3.724514272723861e-8,6.453077871218785e-5,4.5838599271090855e-4,3.485848555271582e-5,28290,iscs,0,10,5,0,0,5,female_iscs,East Midlands
9,female,3.724514272723861e-8,6.453077871218785e-5,4.5838599271090855e-4,3.485848555271582e-5,28290,iscs,0,10,5,0,0,5,female_iscs,East Midlands
10,female,8.28996647737774e-8,9.889573135987228e-5,6.997326343038131e-4,3.193167918719643e-5,26654,iscs,0,50,10,0,0,5,female_iscs,East Midlands
11,female,8.28996647737774e-8,9.889573135987228e-5,6.997326343038131e-4,3.193167918719643e-5,26654,iscs,0,50,10,0,0,5,female_iscs,East Midlands
12,female,8.28996647737774e-8,9.889573135987228e-5,6.997326343038131e-4,3.193167918719643e-5,26654,iscs,0,50,10,0,0,5,female_iscs,East Midlands
13,female,8.28996647737774e-8,9.889573135987228e-5,6.997326343038131e-4,3.193167918719643e-5,26654,iscs,0,50,10,0,0,5,female_iscs,East Midlands
14,female,8.28996647737774e-8,9.889573135987228e-5,6.997326343038131e-4,3.193167918719643e-5,26654,iscs,0,50,10,0,0,5,female_iscs,East Midlands
15,female,2.583370595790841e-7,1.2901337031851018e-4,9.321163793613929e-4,2.857765330508008e-5,26868,iscs,0,50,15,0,0,5,female_iscs,East Midlands
