age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,26517,stmc,0,10,0,0,0,5,female_stmc,East Midlands
1,female,0,0,0,1e-8,26517,stmc,0,10,0,0,0,5,female_stmc,East Midlands
2,female,0,0,0,1e-8,26517,stmc,0,10,0,0,0,5,female_stmc,East Midlands
3,female,0,0,0,1e-8,26517,stmc,0,10,0,0,0,5,female_stmc,East Midlands
4,female,0,0,0,1e-8,26517,stmc,0,10,0,0,0,5,female_stmc,East Midlands
5,female,0,0,0,1e-8,28290,stmc,0,10,5,0,0,5,female_stmc,East Midlands
6,female,0,0,0,1e-8,28290,stmc,0,10,5,0,0,5,female_stmc,East Midlands
7,female,0,0,0,1e-8,28290,stmc,0,10,5,0,0,5,female_stmc,East Midlands
8,female,0,0,0,1e-8,28290,stmc,0,10,5,0,0,5,female_stmc,East Midlands
9,female,0,0,0,1e-8,28290,stmc,0,10,5,0,0,5,female_stmc,East Midlands
10,female,0,0,0,1e-8,26654,stmc,0,50,10,0,0,5,female_stmc,East Midlands
11,female,0,0,0,1e-8,26654,stmc,0,50,10,0,0,5,female_stmc,East Midlands
12,female,0,0,0,1e-8,26654,stmc,0,50,10,0,0,5,female_stmc,East Midlands
13,female,0,0,0,1e-8,26654,stmc,0,50,10,0,0,5,female_stmc,East Midlands
14,female,0,0,0,1e-8,26654,stmc,0,50,10,0,0,5,female_stmc,East Midlands
15,female,1.4340515941407576e-7,1.3099247909259632e-7,1.1982493954253704e-6,3.7734247603772494e-7,26868,stmc,0,50,15,0,0,5,female_stmc,East Midlands
16,female,1.4340515941407576e-7,1.3099247909259632e-7,1.1982493954253704e-6,3.7734247603772494e-7,26868,stmc,0,50,15,0,0,5,female_stmc,East Midlands
17,female,1.4340515941407576e-7,1.3099247909259632e-7,1.1982493954253704e-6,3.7734247603772494e-7,26868,stmc,0,50,15,0,0,5,female_stmc,East Midlands
18,female,1.4340515941407576e-7,1.3099247909259632e-7,1.1982493954253704e-6,3.7734247603772494e-7,26868,stmc,0,50,15,0,0,5,female_stmc,East Midlands
19,female,1.4340515941407576e-7,1.3099247909259632e-7,1.1982493954253704e-6,3.7734247603772494e-7,26868,stmc,0,50,15,0,0,5,female_stmc,East Midlands
20,female,3.3684943031252615e-7,3.536802763118856e-7,3.346860641150627e-6,9.914408971321564e-7,29925,stmc,0,50,20,0,0,5,female_stmc,East Midlands
21,female,3.3684943031252615e-7,3.536802763118856e-7,3.346860641150627e-6,9.914408971321564e-7,29925,stmc,0,50,20,0,0,5,female_stmc,East Midlands
22,female,3.3684943031252615e-7,3.536802763118856e-7,3.346860641150627e-6,9.914408971321564e-7,29925,stmc,0,50,20,0,0,5,female_stmc,East Midlands
23,female,3.3684943031252615e-7,3.536802763118856e-7,3.346860641150627e-6,9.914408971321564e-7,29925,stmc,0,50,20,0,0,5,female_stmc,East Midlands
24,female,3.3684943031252615e-7,3.536802763118856e-7,3.346860641150627e-6,9.914408971321564e-7,29925,stmc,0,50,20,0,0,5,female_stmc,East Midlands
25,female,1.4683263979656266e-6,1.636316749808588e-6,1.5655766575221864e-5,4.531659268278859e-6,32416,stmc,0,50,25,0,0,5,female_stmc,East Midlands
26,female,1.4683263979656266e-6,1.636316749808588e-6,1.5655766575221864e-5,4.531659268278859e-6,32416,stmc,0,50,25,0,0,5,female_stmc,East Midlands
27,female,1.4683263979656266e-6,1.636316749808588e-6,1.5655766575221864e-5,4.531659268278859e-6,32416,stmc,0,50,25,0,0,5,female_stmc,East Midlands
28,female,1.4683263979656266e-6,1.636316749808588e-6,1.5655766575221864e-5,4.531659268278859e-6,32416,stmc,0,50,25,0,0,5,female_stmc,East Midlands
29,female,1.4683263979656266e-6,1.636316749808588e-6,1.5655766575221864e-5,4.531659268278859e-6,32416,stmc,0,50,25,0,0,5,female_stmc,East Midlands
30,female,4.500013126230764e-6,4.9467996556010215e-6,4.7926735666661745e-5,1.3542753595450731e-5,30632,stmc,0,50,30,0,0,5,female_stmc,East Midlands
31,female,4.500013126230764e-6,4.9467996556010215e-6,4.7926735666661745e-5,1.3542753595450731e-5,30632,stmc,0,50,30,0,0,5,female_stmc,East Midlands
32,female,4.500013126230764e-6,4.9467996556010215e-6,4.7926735666661745e-5,1.3542753595450731e-5,30632,stmc,0,50,30,0,0,5,female_stmc,East Midlands
33,female,4.500013126230764e-6,4.9467996556010215e-6,4.7926735666661745e-5,1.3542753595450731e-5,30632,stmc,0,50,30,0,0,5,female_stmc,East Midlands
34,female,4.500013126230764e-6,4.9467996556010215e-6,4.7926735666661745e-5,1.3542753595450731e-5,30632,stmc,0,50,30,0,0,5,female_stmc,East Midlands
35,female,7.373263789179734e-6,6.387692761931849e-6,5.829658628543224e-5,1.8370591256957774e-5,29373,stmc,0,50,35,0,0,5,female_stmc,East Midlands
36,female,7.373263789179734e-6,6.387692761931849e-6,5.829658628543224e-5,1.8370591256957774e-5,29373,stmc,0,50,35,0,0,5,female_stmc,East Midlands
37,female,7.373263789179734e-6,6.387692761931849e-6,5.829658628543224e-5,1.8370591256957774e-5,29373,stmc,0,50,35,0,0,5,female_stmc,East Midlands
38,female,7.373263789179734e-6,6.387692761931849e-6,5.829658628543224e-5,1.8370591256957774e-5,29373,stmc,0,50,35,0,0,5,female_stmc,East Midlands
39,female,7.373263789179734e-6,6.387692761931849e-6,5.829658628543224e-5,1.8370591256957774e-5,29373,stmc,0,50,35,0,0,5,female_stmc,East Midlands
40,female,1.4103550843852721e-5,1.0269606949370903e-5,9.176586100858827e-5,3.00066580309605e-5,29200,stmc,0,50,40,0,0,5,female_stmc,East Midlands
41,female,1.4103550843852721e-5,1.0269606949370903e-5,9.176586100858827e-5,3.00066580309605e-5,29200,stmc,0,50,40,0,0,5,female_stmc,East Midlands
42,female,1.4103550843852721e-5,1.0269606949370903e-5,9.176586100858827e-5,3.00066580309605e-5,29200,stmc,0,50,40,0,0,5,female_stmc,East Midlands
43,female,1.4103550843852721e-5,1.0269606949370903e-5,9.176586100858827e-5,3.00066580309605e-5,29200,stmc,0,50,40,0,0,5,female_stmc,East Midlands
44,female,1.4103550843852721e-5,1.0269606949370903e-5,9.176586100858827e-5,3.00066580309605e-5,29200,stmc,0,50,40,0,0,5,female_stmc,East Midlands
45,female,1.863011205535868e-5,1.3399143766138837e-5,1.2271969230498483e-4,3.9401372869902175e-5,34655,stmc,0,50,45,0,1,5,female_stmc,East Midlands
46,female,1.863011205535868e-5,1.3399143766138837e-5,1.2271969230498483e-4,3.9401372869902175e-5,34655,stmc,0,50,45,0,1,5,female_stmc,East Midlands
47,female,1.863011205535868e-5,1.3399143766138837e-5,1.2271969230498483e-4,3.9401372869902175e-5,34655,stmc,0,50,45,0,1,5,female_stmc,East Midlands
48,female,1.863011205535868e-5,1.3399143766138837e-5,1.2271969230498483e-4,3.9401372869902175e-5,34655,stmc,0,50,45,0,1,5,female_stmc,East Midlands
49,female,1.863011205535868e-5,1.3399143766138837e-5,1.2271969230498483e-4,3.9401372869902175e-5,34655,stmc,0,50,45,0,1,5,female_stmc,East Midlands
50,female,2.9620649134742474e-5,1.9567854816752218e-5,1.781542207452663e-4,5.8689145694707885e-5,35223,stmc,0,50,50,0,1,5,female_stmc,East Midlands
51,female,2.9620649134742474e-5,1.9567854816752218e-5,1.781542207452663e-4,5.8689145694707885e-5,35223,stmc,0,50,50,0,1,5,female_stmc,East Midlands
52,female,2.9620649134742474e-5,1.9567854816752218e-5,1.781542207452663e-4,5.8689145694707885e-5,35223,stmc,0,50,50,0,1,5,female_stmc,East Midlands
53,female,2.9620649134742474e-5,1.9567854816752218e-5,1.781542207452663e-4,5.8689145694707885e-5,35223,stmc,0,50,50,0,1,5,female_stmc,East Midlands
54,female,2.9620649134742474e-5,1.9567854816752218e-5,1.781542207452663e-4,5.8689145694707885e-5,35223,stmc,0,50,50,0,1,5,female_stmc,East Midlands
55,female,5.258140729184676e-5,3.2346825782706096e-5,2.870356478479504e-4,9.869299152108679e-5,31061,stmc,0,50,55,0,2,5,female_stmc,East Midlands
56,female,5.258140729184676e-5,3.2346825782706096e-5,2.870356478479504e-4,9.869299152108679e-5,31061,stmc,0,50,55,0,2,5,female_stmc,East Midlands
57,female,5.258140729184676e-5,3.2346825782706096e-5,2.870356478479504e-4,9.869299152108679e-5,31061,stmc,0,50,55,0,2,5,female_stmc,East Midlands
58,female,5.258140729184676e-5,3.2346825782706096e-5,2.870356478479504e-4,9.869299152108679e-5,31061,stmc,0,50,55,0,2,5,female_stmc,East Midlands
59,female,5.258140729184676e-5,3.2346825782706096e-5,2.870356478479504e-4,9.869299152108679e-5,31061,stmc,0,50,55,0,2,5,female_stmc,East Midlands
60,female,8.154648171152739e-5,4.3957128327239615e-5,3.661258782186697e-4,1.3960453207729259e-4,27136,stmc,0,50,60,0,2,5,female_stmc,East Midlands
61,female,8.154648171152739e-5,4.3957128327239615e-5,3.661258782186697e-4,1.3960453207729259e-4,27136,stmc,0,50,60,0,2,5,female_stmc,East Midlands
62,female,8.154648171152739e-5,4.3957128327239615e-5,3.661258782186697e-4,1.3960453207729259e-4,27136,stmc,0,50,60,0,2,5,female_stmc,East Midlands
63,female,8.154648171152739e-5,4.3957128327239615e-5,3.661258782186697e-4,1.3960453207729259e-4,27136,stmc,0,50,60,0,2,5,female_stmc,East Midlands
64,female,8.154648171152739e-5,4.3957128327239615e-5,3.661258782186697e-4,1.3960453207729259e-4,27136,stmc,0,50,60,0,2,5,female_stmc,East Midlands
65,female,1.2859154443570345e-4,6.085371646662017e-5,4.765491657598445e-4,2.0074985579904587e-4,27523,stmc,0,50,65,0,4,5,female_stmc,East Midlands
66,female,1.2859154443570345e-4,6.085371646662017e-5,4.765491657598445e-4,2.0074985579904587e-4,27523,stmc,0,50,65,0,4,5,female_stmc,East Midlands
67,female,1.2859154443570345e-4,6.085371646662017e-5,4.765491657598445e-4,2.0074985579904587e-4,27523,stmc,0,50,65,0,4,5,female_stmc,East Midlands
68,female,1.2859154443570345e-4,6.085371646662017e-5,4.765491657598445e-4,2.0074985579904587e-4,27523,stmc,0,50,65,0,4,5,female_stmc,East Midlands
69,female,1.2859154443570345e-4,6.085371646662017e-5,4.765491657598445e-4,2.0074985579904587e-4,27523,stmc,0,50,65,0,4,5,female_stmc,East Midlands
70,female,2.1272413525042283e-4,1.1123196352285926e-4,9.61240657841482e-4,3.622648699678343e-4,24276,stmc,0,50,70,0,5,5,female_stmc,East Midlands
71,female,2.1272413525042283e-4,1.1123196352285926e-4,9.61240657841482e-4,3.622648699678343e-4,24276,stmc,0,50,70,0,5,5,female_stmc,East Midlands
72,female,2.1272413525042283e-4,1.1123196352285926e-4,9.61240657841482e-4,3.622648699678343e-4,24276,stmc,0,50,70,0,5,5,female_stmc,East Midlands
73,female,2.1272413525042283e-4,1.1123196352285926e-4,9.61240657841482e-4,3.622648699678343e-4,24276,stmc,0,50,70,0,5,5,female_stmc,East Midlands
74,female,2.1272413525042283e-4,1.1123196352285926e-4,9.61240657841482e-4,3.622648699678343e-4,24276,stmc,0,50,70,0,5,5,female_stmc,East Midlands
75,female,4.17339433885805e-4,1.6080996441578772e-4,0.0012827100424198127,6.174646518943908e-4,17408,stmc,0,50,75,0,7,5,female_stmc,East Midlands
76,female,4.17339433885805e-4,1.6080996441578772e-4,0.0012827100424198127,6.174646518943908e-4,17408,stmc,0,50,75,0,7,5,female_stmc,East Midlands
77,female,4.17339433885805e-4,1.6080996441578772e-4,0.0012827100424198127,6.174646518943908e-4,17408,stmc,0,50,75,0,7,5,female_stmc,East Midlands
78,female,4.17339433885805e-4,1.6080996441578772e-4,0.0012827100424198127,6.174646518943908e-4,17408,stmc,0,50,75,0,7,5,female_stmc,East Midlands
79,female,4.17339433885805e-4,1.6080996441578772e-4,0.0012827100424198127,6.174646518943908e-4,17408,stmc,0,50,75,0,7,5,female_stmc,East Midlands
80,female,6.443918408418232e-4,1.9945339616449576e-4,0.0013465014460035778,8.451107218651157e-4,13227,stmc,0,20,80,0,9,5,female_stmc,East Midlands
81,female,6.443918408418232e-4,1.9945339616449576e-4,0.0013465014460035778,8.451107218651157e-4,13227,stmc,0,20,80,0,9,5,female_stmc,East Midlands
82,female,6.443918408418232e-4,1.9945339616449576e-4,0.0013465014460035778,8.451107218651157e-4,13227,stmc,0,20,80,0,9,5,female_stmc,East Midlands
83,female,6.443918408418232e-4,1.9945339616449576e-4,0.0013465014460035778,8.451107218651157e-4,13227,stmc,0,20,80,0,9,5,female_stmc,East Midlands
