age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,4.392381675866764e-7,2.2391260373121426e-5,3.444002389709646e-4,1.1508230979110966e-4,27766,copd,0,10,0,0,0,5,male_copd,East Midlands
1,male,4.392381675866764e-7,2.2391260373121426e-5,3.444002389709646e-4,1.1508230979110966e-4,27766,copd,0,10,0,0,0,5,male_copd,East Midlands
2,male,4.392381675866764e-7,2.2391260373121426e-5,3.444002389709646e-4,1.1508230979110966e-4,27766,copd,0,10,0,0,0,5,male_copd,East Midlands
3,male,4.392381675866764e-7,2.2391260373121426e-5,3.444002389709646e-4,1.1508230979110966e-4,27766,copd,0,10,0,0,0,5,male_copd,East Midlands
4,male,4.392381675866764e-7,2.2391260373121426e-5,3.444002389709646e-4,1.1508230979110966e-4,27766,copd,0,10,0,0,0,5,male_copd,East Midlands
5,male,1.5366435719406006e-7,6.917441925348041e-5,0.001082588180237169,1.4650362401372934e-4,29412,copd,0,10,5,0,0,5,male_copd,East Midlands
6,male,1.5366435719406006e-7,6.917441925348041e-5,0.001082588180237169,1.4650362401372934e-4,29412,copd,0,10,5,0,0,5,male_copd,East Midlands
7,male,1.5366435719406006e-7,6.917441925348041e-5,0.001082588180237169,1.4650362401372934e-4,29412,copd,0,10,5,0,0,5,male_copd,East Midlands
8,male,1.5366435719406006e-7,6.917441925348041e-5,0.001082588180237169,1.4650362401372934e-4,29412,copd,0,10,5,0,0,5,male_copd,East Midlands
9,male,1.5366435719406006e-7,6.917441925348041e-5,0.001082588180237169,1.4650362401372934e-4,29412,copd,0,10,5,0,0,5,male_copd,East Midlands
10,male,1.6685865996828583e-7,1.273555480016409e-4,0.002039868454109708,2.7766593505070144e-4,27670,copd,0,50,10,0,0,5,male_copd,East Midlands
11,male,1.6685865996828583e-7,1.273555480016409e-4,0.002039868454109708,2.7766593505070144e-4,27670,copd,0,50,10,0,0,5,male_copd,East Midlands
12,male,1.6685865996828583e-7,1.273555480016409e-4,0.002039868454109708,2.7766593505070144e-4,27670,copd,0,50,10,0,0,5,male_copd,East Midlands
