age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,27766,dmt2,0,10,0,0,0,5,male_dmt2,East Midlands
1,male,0,0,0,1e-8,27766,dmt2,0,10,0,0,0,5,male_dmt2,East Midlands
2,male,0,0,0,1e-8,27766,dmt2,0,10,0,0,0,5,male_dmt2,East Midlands
3,male,0,0,0,1e-8,27766,dmt2,0,10,0,0,0,5,male_dmt2,East Midlands
4,male,0,0,0,1e-8,27766,dmt2,0,10,0,0,0,5,male_dmt2,East Midlands
5,male,0,0,0,1e-8,29412,dmt2,0,10,5,0,0,5,male_dmt2,East Midlands
6,male,0,0,0,1e-8,29412,dmt2,0,10,5,0,0,5,male_dmt2,East Midlands
7,male,0,0,0,1e-8,29412,dmt2,0,10,5,0,0,5,male_dmt2,East Midlands
8,male,0,0,0,1e-8,29412,dmt2,0,10,5,0,0,5,male_dmt2,East Midlands
9,male,0,0,0,1e-8,29412,dmt2,0,10,5,0,0,5,male_dmt2,East Midlands
10,male,0,4.079140191772575e-5,8.135438862207987e-4,7.261411281223722e-4,27670,dmt2,0,50,10,0,0,5,male_dmt2,East Midlands
11,male,0,4.079140191772575e-5,8.135438862207987e-4,7.261411281223722e-4,27670,dmt2,0,50,10,0,0,5,male_dmt2,East Midlands
12,male,0,4.079140191772575e-5,8.135438862207987e-4,7.261411281223722e-4,27670,dmt2,0,50,10,0,0,5,male_dmt2,East Midlands
13,male,0,4.079140191772575e-5,8.135438862207987e-4,7.261411281223722e-4,27670,dmt2,0,50,10,0,0,5,male_dmt2,East Midlands
14,male,0,4.079140191772575e-5,8.135438862207987e-4,7.261411281223722e-4,27670,dmt2,0,50,10,0,0,5,male_dmt2,East Midlands
15,male,1.0957146770813799e-7,5.291807718054981e-4,0.01006555265701979,0.0032470360259658723,28023,dmt2,0,50,15,1,0,5,male_dmt2,East Midlands
16,male,1.0957146770813799e-7,5.291807718054981e-4,0.01006555265701979,0.0032470360259658723,28023,dmt2,0,50,15,1,0,5,male_dmt2,East Midlands
17,male,1.0957146770813799e-7,5.291807718054981e-4,0.01006555265701979,0.0032470360259658723,28023,dmt2,0,50,15,1,0,5,male_dmt2,East Midlands
18,male,1.0957146770813799e-7,5.291807718054981e-4,0.01006555265701979,0.0032470360259658723,28023,dmt2,0,50,15,1,0,5,male_dmt2,East Midlands
19,male,1.0957146770813799e-7,5.291807718054981e-4,0.01006555265701979,0.0032470360259658723,28023,dmt2,0,50,15,1,0,5,male_dmt2,East Midlands
20,male,2.654698206613917e-7,0.001615701234904411,0.028884890264762368,0.003419197856641512,30631,dmt2,0,50,20,1,0,5,male_dmt2,East Midlands
21,male,2.654698206613917e-7,0.001615701234904411,0.028884890264762368,0.003419197856641512,30631,dmt2,0,50,20,1,0,5,male_dmt2,East Midlands
22,male,2.654698206613917e-7,0.001615701234904411,0.028884890264762368,0.003419197856641512,30631,dmt2,0,50,20,1,0,5,male_dmt2,East Midlands
23,male,2.654698206613917e-7,0.001615701234904411,0.028884890264762368,0.003419197856641512,30631,dmt2,0,50,20,1,0,5,male_dmt2,East Midlands
24,male,2.654698206613917e-7,0.001615701234904411,0.028884890264762368,0.003419197856641512,30631,dmt2,0,50,20,1,0,5,male_dmt2,East Midlands
25,male,3.7972774849690384e-7,0.0023108542566646737,0.03913233343734056,0.0012501259145585488,32124,dmt2,0,50,25,2,0,5,male_dmt2,East Midlands
26,male,3.7972774849690384e-7,0.0023108542566646737,0.03913233343734056,0.0012501259145585488,32124,dmt2,0,50,25,2,0,5,male_dmt2,East Midlands
27,male,3.7972774849690384e-7,0.0023108542566646737,0.03913233343734056,0.0012501259145585488,32124,dmt2,0,50,25,2,0,5,male_dmt2,East Midlands
28,male,3.7972774849690384e-7,0.0023108542566646737,0.03913233343734056,0.0012501259145585488,32124,dmt2,0,50,25,2,0,5,male_dmt2,East Midlands
