age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,5.936660719728421e-7,1.962005958009287e-5,1.6337731213385474e-4,6.177795654081555e-5,27766,iscs,0,10,0,0,0,5,male_iscs,East Midlands
1,male,5.936660719728421e-7,1.962005958009287e-5,1.6337731213385474e-4,6.177795654081555e-5,27766,iscs,0,10,0,0,0,5,male_iscs,East Midlands
2,male,5.936660719728421e-7,1.962005958009287e-5,1.6337731213385474e-4,6.177795654081555e-5,27766,iscs,0,10,0,0,0,5,male_iscs,East Midlands
3,male,5.936660719728421e-7,1.962005958009287e-5,1.6337731213385474e-4,6.177795654081555e-5,27766,iscs,0,10,0,0,0,5,male_iscs,East Midlands
4,male,5.936660719728421e-7,1.962005958009287e-5,1.6337731213385474e-4,6.177795654081555e-5,27766,iscs,0,10,0,0,0,5,male_iscs,East Midlands
5,male,8.991960717273304e-8,4.8120000786879676e-5,4.091955555289786e-4,2.9915217509838805e-5,29412,iscs,0,10,5,0,0,5,male_iscs,East Midlands
6,male,8.991960717273304e-8,4.8120000786879676e-5,4.091955555289786e-4,2.9915217509838805e-5,29412,iscs,0,10,5,0,0,5,male_iscs,East Midlands
7,male,8.991960717273304e-8,4.8120000786879676e-5,4.091955555289786e-4,2.9915217509838805e-5,29412,iscs,0,10,5,0,0,5,male_iscs,East Midlands
8,male,8.991960717273304e-8,4.8120000786879676e-5,4.091955555289786e-4,2.9915217509838805e-5,29412,iscs,0,10,5,0,0,5,male_iscs,East Midlands
9,male,8.991960717273304e-8,4.8120000786879676e-5,4.091955555289786e-4,2.9915217509838805e-5,29412,iscs,0,10,5,0,0,5,male_iscs,East Midlands
10,male,7.634974695760414e-8,7.3745499312503e-5,6.160040506524029e-4,2.748336513768378e-5,27670,iscs,0,50,10,0,0,5,male_iscs,East Midlands
11,male,7.634974695760414e-8,7.3745499312503e-5,6.160040506524029e-4,2.748336513768378e-5,27670,iscs,0,50,10,0,0,5,male_iscs,East Midlands
12,male,7.634974695760414e-8,7.3745499312503e-5,6.160040506524029e-4,2.748336513768378e-5,27670,iscs,0,50,10,0,0,5,male_iscs,East Midlands
13,male,7.634974695760414e-8,7.3745499312503e-5,6.160040506524029e-4,2.748336513768378e-5,27670,iscs,0,50,10,0,0,5,male_iscs,East Midlands
14,male,7.634974695760414e-8,7.3745499312503e-5,6.160040506524029e-4,2.748336513768378e-5,27670,iscs,0,50,10,0,0,5,male_iscs,East Midlands
15,male,2.9704136943368204e-7,9.669985644099091e-5,8.124375669789849e-4,2.3796547851967063e-5,28023,iscs,0,50,15,0,0,5,male_iscs,East Midlands
16,male,2.9704136943368204e-7,9.669985644099091e-5,8.124375669789849e-4,2.3796547851967063e-5,28023,iscs,0,50,15,0,0,5,male_iscs,East Midlands
17,male,2.9704136943368204e-7,9.669985644099091e-5,8.124375669789849e-4,2.3796547851967063e-5,28023,iscs,0,50,15,0,0,5,male_iscs,East Midlands
18,male,2.9704136943368204e-7,9.669985644099091e-5,8.124375669789849e-4,2.3796547851967063e-5,28023,iscs,0,50,15,0,0,5,male_iscs,East Midlands
19,male,2.9704136943368204e-7,9.669985644099091e-5,8.124375669789849e-4,2.3796547851967063e-5,28023,iscs,0,50,15,0,0,5,male_iscs,East Midlands
20,male,4.769686051992337e-7,1.2132135847725797e-4,0.0010121665131025736,2.4607797980406186e-5,30631,iscs,0,50,20,0,0,5,male_iscs,East Midlands
21,male,4.769686051992337e-7,1.2132135847725797e-4,0.0010121665131025736,2.4607797980406186e-5,30631,iscs,0,50,20,0,0,5,male_iscs,East Midlands
22,male,4.769686051992337e-7,1.2132135847725797e-4,0.0010121665131025736,2.4607797980406186e-5,30631,iscs,0,50,20,0,0,5,male_iscs,East Midlands
23,male,4.769686051992337e-7,1.2132135847725797e-4,0.0010121665131025736,2.4607797980406186e-5,30631,iscs,0,50,20,0,0,5,male_iscs,East Midlands
24,male,4.769686051992337e-7,1.2132135847725797e-4,0.0010121665131025736,2.4607797980406186e-5,30631,iscs,0,50,20,0,0,5,male_iscs,East Midlands
25,male,8.053170168923313e-7,1.4764818910133415e-4,0.0012352927888798168,2.9870417828788906e-5,32124,iscs,0,50,25,0,0,5,male_iscs,East Midlands
26,male,8.053170168923313e-7,1.4764818910133415e-4,0.0012352927888798168,2.9870417828788906e-5,32124,iscs,0,50,25,0,0,5,male_iscs,East Midlands
27,male,8.053170168923313e-7,1.4764818910133415e-4,0.0012352927888798168,2.9870417828788906e-5,32124,iscs,0,50,25,0,0,5,male_iscs,East Midlands
28,male,8.053170168923313e-7,1.4764818910133415e-4,0.0012352927888798168,2.9870417828788906e-5,32124,iscs,0,50,25,0,0,5,male_iscs,East Midlands
29,male,8.053170168923313e-7,1.4764818910133415e-4,0.0012352927888798168,2.9870417828788906e-5,32124,iscs,0,50,25,0,0,5,male_iscs,East Midlands
30,male,1.8841678628769523e-6,1.835452416797687e-4,0.0015309806984934496,5.562100455635303e-5,30384,iscs,0,50,30,0,0,5,male_iscs,East Midlands
31,male,1.8841678628769523e-6,1.835452416797687e-4,0.0015309806984934496,5.562100455635303e-5,30384,iscs,0,50,30,0,0,5,male_iscs,East Midlands
32,male,1.8841678628769523e-6,1.835452416797687e-4,0.0015309806984934496,5.562100455635303e-5,30384,iscs,0,50,30,0,0,5,male_iscs,East Midlands
33,male,1.8841678628769523e-6,1.835452416797687e-4,0.0015309806984934496,5.562100455635303e-5,30384,iscs,0,50,30,0,0,5,male_iscs,East Midlands
34,male,1.8841678628769523e-6,1.835452416797687e-4,0.0015309806984934496,5.562100455635303e-5,30384,iscs,0,50,30,0,0,5,male_iscs,East Midlands
35,male,3.170886457001495e-6,2.3497725078168135e-4,0.002077759404334778,1.0188686493950569e-4,29870,iscs,0,50,35,0,0,5,male_iscs,East Midlands
36,male,3.170886457001495e-6,2.3497725078168135e-4,0.002077759404334778,1.0188686493950569e-4,29870,iscs,0,50,35,0,0,5,male_iscs,East Midlands
37,male,3.170886457001495e-6,2.3497725078168135e-4,0.002077759404334778,1.0188686493950569e-4,29870,iscs,0,50,35,0,0,5,male_iscs,East Midlands
38,male,3.170886457001495e-6,2.3497725078168135e-4,0.002077759404334778,1.0188686493950569e-4,29870,iscs,0,50,35,0,0,5,male_iscs,East Midlands
39,male,3.170886457001495e-6,2.3497725078168135e-4,0.002077759404334778,1.0188686493950569e-4,29870,iscs,0,50,35,0,0,5,male_iscs,East Midlands
40,male,7.82808787196204e-6,3.497281106592611e-4,0.0030405149929694482,2.4019345502582592e-4,29224,iscs,0,50,40,0,0,5,male_iscs,East Midlands
41,male,7.82808787196204e-6,3.497281106592611e-4,0.0030405149929694482,2.4019345502582592e-4,29224,iscs,0,50,40,0,0,5,male_iscs,East Midlands
42,male,7.82808787196204e-6,3.497281106592611e-4,0.0030405149929694482,2.4019345502582592e-4,29224,iscs,0,50,40,0,0,5,male_iscs,East Midlands
43,male,7.82808787196204e-6,3.497281106592611e-4,0.0030405149929694482,2.4019345502582592e-4,29224,iscs,0,50,40,0,0,5,male_iscs,East Midlands
44,male,7.82808787196204e-6,3.497281106592611e-4,0.0030405149929694482,2.4019345502582592e-4,29224,iscs,0,50,40,0,0,5,male_iscs,East Midlands
45,male,1.469911438675237e-5,5.749625209282136e-4,0.004924689360559959,4.703976946182e-4,33894,iscs,0,50,45,0,0,5,male_iscs,East Midlands
46,male,1.469911438675237e-5,5.749625209282136e-4,0.004924689360559959,4.703976946182e-4,33894,iscs,0,50,45,0,0,5,male_iscs,East Midlands
47,male,1.469911438675237e-5,5.749625209282136e-4,0.004924689360559959,4.703976946182e-4,33894,iscs,0,50,45,0,0,5,male_iscs,East Midlands
48,male,1.469911438675237e-5,5.749625209282136e-4,0.004924689360559959,4.703976946182e-4,33894,iscs,0,50,45,0,0,5,male_iscs,East Midlands
49,male,1.469911438675237e-5,5.749625209282136e-4,0.004924689360559959,4.703976946182e-4,33894,iscs,0,50,45,0,0,5,male_iscs,East Midlands
50,male,2.7536714742520444e-5,9.534123683661257e-4,0.008091698653862897,8.949981287951861e-4,34709,iscs,0,50,50,0,1,5,male_iscs,East Midlands
51,male,2.7536714742520444e-5,9.534123683661257e-4,0.008091698653862897,8.949981287951861e-4,34709,iscs,0,50,50,0,1,5,male_iscs,East Midlands
52,male,2.7536714742520444e-5,9.534123683661257e-4,0.008091698653862897,8.949981287951861e-4,34709,iscs,0,50,50,0,1,5,male_iscs,East Midlands
53,male,2.7536714742520444e-5,9.534123683661257e-4,0.008091698653862897,8.949981287951861e-4,34709,iscs,0,50,50,0,1,5,male_iscs,East Midlands
54,male,2.7536714742520444e-5,9.534123683661257e-4,0.008091698653862897,8.949981287951861e-4,34709,iscs,0,50,50,0,1,5,male_iscs,East Midlands
55,male,4.583805279709874e-5,0.001632846258984992,0.013480963766639063,0.001513985367776291,30728,iscs,0,50,55,1,1,5,male_iscs,East Midlands
56,male,4.583805279709874e-5,0.001632846258984992,0.013480963766639063,0.001513985367776291,30728,iscs,0,50,55,1,1,5,male_iscs,East Midlands
57,male,4.583805279709874e-5,0.001632846258984992,0.013480963766639063,0.001513985367776291,30728,iscs,0,50,55,1,1,5,male_iscs,East Midlands
58,male,4.583805279709874e-5,0.001632846258984992,0.013480963766639063,0.001513985367776291,30728,iscs,0,50,55,1,1,5,male_iscs,East Midlands
59,male,4.583805279709874e-5,0.001632846258984992,0.013480963766639063,0.001513985367776291,30728,iscs,0,50,55,1,1,5,male_iscs,East Midlands
60,male,1.072006853636232e-4,0.0025746952971575396,0.021245766012476477,0.0020059927509922257,26637,iscs,0,50,60,1,3,5,male_iscs,East Midlands
61,male,1.072006853636232e-4,0.0025746952971575396,0.021245766012476477,0.0020059927509922257,26637,iscs,0,50,60,1,3,5,male_iscs,East Midlands
