age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,27766,lvrc,0,10,0,0,0,5,male_lvrc,East Midlands
1,male,0,0,0,1e-8,27766,lvrc,0,10,0,0,0,5,male_lvrc,East Midlands
2,male,0,0,0,1e-8,27766,lvrc,0,10,0,0,0,5,male_lvrc,East Midlands
3,male,0,0,0,1e-8,27766,lvrc,0,10,0,0,0,5,male_lvrc,East Midlands
4,male,0,0,0,1e-8,27766,lvrc,0,10,0,0,0,5,male_lvrc,East Midlands
5,male,3.1593106951021025e-7,2.485649598872185e-7,0,1.1741846582196229e-6,29412,lvrc,0,10,5,0,0,5,male_lvrc,East Midlands
6,male,3.1593106951021025e-7,2.485649598872185e-7,0,1.1741846582196229e-6,29412,lvrc,0,10,5,0,0,5,male_lvrc,East Midlands
7,male,3.1593106951021025e-7,2.485649598872185e-7,0,1.1741846582196229e-6,29412,lvrc,0,10,5,0,0,5,male_lvrc,East Midlands
8,male,3.1593106951021025e-7,2.485649598872185e-7,0,1.1741846582196229e-6,29412,lvrc,0,10,5,0,0,5,male_lvrc,East Midlands
9,male,3.1593106951021025e-7,2.485649598872185e-7,0,1.1741846582196229e-6,29412,lvrc,0,10,5,0,0,5,male_lvrc,East Midlands
10,male,3.893339663145159e-7,3.009076156158825e-7,0,1.3936812695869286e-6,27670,lvrc,0,50,10,0,0,5,male_lvrc,East Midlands
11,male,3.893339663145159e-7,3.009076156158825e-7,0,1.3936812695869286e-6,27670,lvrc,0,50,10,0,0,5,male_lvrc,East Midlands
12,male,3.893339663145159e-7,3.009076156158825e-7,0,1.3936812695869286e-6,27670,lvrc,0,50,10,0,0,5,male_lvrc,East Midlands
13,male,3.893339663145159e-7,3.009076156158825e-7,0,1.3936812695869286e-6,27670,lvrc,0,50,10,0,0,5,male_lvrc,East Midlands
14,male,3.893339663145159e-7,3.009076156158825e-7,0,1.3936812695869286e-6,27670,lvrc,0,50,10,0,0,5,male_lvrc,East Midlands
15,male,6.764403732022915e-7,6.453864320259502e-7,0,2.9841705445719734e-6,28023,lvrc,0,50,15,0,0,5,male_lvrc,East Midlands
16,male,6.764403732022915e-7,6.453864320259502e-7,0,2.9841705445719734e-6,28023,lvrc,0,50,15,0,0,5,male_lvrc,East Midlands
17,male,6.764403732022915e-7,6.453864320259502e-7,0,2.9841705445719734e-6,28023,lvrc,0,50,15,0,0,5,male_lvrc,East Midlands
18,male,6.764403732022915e-7,6.453864320259502e-7,0,2.9841705445719734e-6,28023,lvrc,0,50,15,0,0,5,male_lvrc,East Midlands
19,male,6.764403732022915e-7,6.453864320259502e-7,0,2.9841705445719734e-6,28023,lvrc,0,50,15,0,0,5,male_lvrc,East Midlands
20,male,1.2628908817574311e-6,1.3091079100119351e-6,0,6.101793002829547e-6,30631,lvrc,0,50,20,0,0,5,male_lvrc,East Midlands
21,male,1.2628908817574311e-6,1.3091079100119351e-6,0,6.101793002829547e-6,30631,lvrc,0,50,20,0,0,5,male_lvrc,East Midlands
22,male,1.2628908817574311e-6,1.3091079100119351e-6,0,6.101793002829547e-6,30631,lvrc,0,50,20,0,0,5,male_lvrc,East Midlands
23,male,1.2628908817574311e-6,1.3091079100119351e-6,0,6.101793002829547e-6,30631,lvrc,0,50,20,0,0,5,male_lvrc,East Midlands
24,male,1.2628908817574311e-6,1.3091079100119351e-6,0,6.101793002829547e-6,30631,lvrc,0,50,20,0,0,5,male_lvrc,East Midlands
25,male,1.8932828638015993e-6,1.5354692246377852e-6,0,5.60748402887387e-6,32124,lvrc,0,50,25,0,0,5,male_lvrc,East Midlands
26,male,1.8932828638015993e-6,1.5354692246377852e-6,0,5.60748402887387e-6,32124,lvrc,0,50,25,0,0,5,male_lvrc,East Midlands
27,male,1.8932828638015993e-6,1.5354692246377852e-6,0,5.60748402887387e-6,32124,lvrc,0,50,25,0,0,5,male_lvrc,East Midlands
28,male,1.8932828638015993e-6,1.5354692246377852e-6,0,5.60748402887387e-6,32124,lvrc,0,50,25,0,0,5,male_lvrc,East Midlands
29,male,1.8932828638015993e-6,1.5354692246377852e-6,0,5.60748402887387e-6,32124,lvrc,0,50,25,0,0,5,male_lvrc,East Midlands
30,male,3.4405108016261696e-6,3.1018731319536214e-6,0,1.0942436022064736e-5,30384,lvrc,0,50,30,0,0,5,male_lvrc,East Midlands
31,male,3.4405108016261696e-6,3.1018731319536214e-6,0,1.0942436022064736e-5,30384,lvrc,0,50,30,0,0,5,male_lvrc,East Midlands
32,male,3.4405108016261696e-6,3.1018731319536214e-6,0,1.0942436022064736e-5,30384,lvrc,0,50,30,0,0,5,male_lvrc,East Midlands
33,male,3.4405108016261696e-6,3.1018731319536214e-6,0,1.0942436022064736e-5,30384,lvrc,0,50,30,0,0,5,male_lvrc,East Midlands
34,male,3.4405108016261696e-6,3.1018731319536214e-6,0,1.0942436022064736e-5,30384,lvrc,0,50,30,0,0,5,male_lvrc,East Midlands
35,male,4.467044364768874e-6,3.136211716436153e-6,0,1.0449735332567234e-5,29870,lvrc,0,50,35,0,0,5,male_lvrc,East Midlands
36,male,4.467044364768874e-6,3.136211716436153e-6,0,1.0449735332567234e-5,29870,lvrc,0,50,35,0,0,5,male_lvrc,East Midlands
37,male,4.467044364768874e-6,3.136211716436153e-6,0,1.0449735332567234e-5,29870,lvrc,0,50,35,0,0,5,male_lvrc,East Midlands
38,male,4.467044364768874e-6,3.136211716436153e-6,0,1.0449735332567234e-5,29870,lvrc,0,50,35,0,0,5,male_lvrc,East Midlands
39,male,4.467044364768874e-6,3.136211716436153e-6,0,1.0449735332567234e-5,29870,lvrc,0,50,35,0,0,5,male_lvrc,East Midlands
40,male,1.0356343314098792e-5,6.641914947900158e-6,0,2.2081495312081132e-5,29224,lvrc,0,50,40,0,0,5,male_lvrc,East Midlands
41,male,1.0356343314098792e-5,6.641914947900158e-6,0,2.2081495312081132e-5,29224,lvrc,0,50,40,0,0,5,male_lvrc,East Midlands
42,male,1.0356343314098792e-5,6.641914947900158e-6,0,2.2081495312081132e-5,29224,lvrc,0,50,40,0,0,5,male_lvrc,East Midlands
43,male,1.0356343314098792e-5,6.641914947900158e-6,0,2.2081495312081132e-5,29224,lvrc,0,50,40,0,0,5,male_lvrc,East Midlands
44,male,1.0356343314098792e-5,6.641914947900158e-6,0,2.2081495312081132e-5,29224,lvrc,0,50,40,0,0,5,male_lvrc,East Midlands
45,male,1.975235810248838e-5,1.0279601932728726e-5,0,3.4969527834257974e-5,33894,lvrc,0,50,45,0,1,5,male_lvrc,East Midlands
46,male,1.975235810248838e-5,1.0279601932728726e-5,0,3.4969527834257974e-5,33894,lvrc,0,50,45,0,1,5,male_lvrc,East Midlands
47,male,1.975235810248838e-5,1.0279601932728726e-5,0,3.4969527834257974e-5,33894,lvrc,0,50,45,0,1,5,male_lvrc,East Midlands
48,male,1.975235810248838e-5,1.0279601932728726e-5,0,3.4969527834257974e-5,33894,lvrc,0,50,45,0,1,5,male_lvrc,East Midlands
49,male,1.975235810248838e-5,1.0279601932728726e-5,0,3.4969527834257974e-5,33894,lvrc,0,50,45,0,1,5,male_lvrc,East Midlands
