age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,27766,stmc,0,10,0,0,0,5,male_stmc,East Midlands
1,male,0,0,0,1e-8,27766,stmc,0,10,0,0,0,5,male_stmc,East Midlands
2,male,0,0,0,1e-8,27766,stmc,0,10,0,0,0,5,male_stmc,East Midlands
3,male,0,0,0,1e-8,27766,stmc,0,10,0,0,0,5,male_stmc,East Midlands
4,male,0,0,0,1e-8,27766,stmc,0,10,0,0,0,5,male_stmc,East Midlands
5,male,0,0,0,1e-8,29412,stmc,0,10,5,0,0,5,male_stmc,East Midlands
6,male,0,0,0,1e-8,29412,stmc,0,10,5,0,0,5,male_stmc,East Midlands
7,male,0,0,0,1e-8,29412,stmc,0,10,5,0,0,5,male_stmc,East Midlands
8,male,0,0,0,1e-8,29412,stmc,0,10,5,0,0,5,male_stmc,East Midlands
9,male,0,0,0,1e-8,29412,stmc,0,10,5,0,0,5,male_stmc,East Midlands
10,male,0,0,0,1e-8,27670,stmc,0,50,10,0,0,5,male_stmc,East Midlands
11,male,0,0,0,1e-8,27670,stmc,0,50,10,0,0,5,male_stmc,East Midlands
12,male,0,0,0,1e-8,27670,stmc,0,50,10,0,0,5,male_stmc,East Midlands
13,male,0,0,0,1e-8,27670,stmc,0,50,10,0,0,5,male_stmc,East Midlands
14,male,0,0,0,1e-8,27670,stmc,0,50,10,0,0,5,male_stmc,East Midlands
15,male,2.049226920184321e-7,3.923358678127904e-7,4.004596935872688e-6,9.61013437253247e-7,28023,stmc,0,50,15,0,0,5,male_stmc,East Midlands
16,male,2.049226920184321e-7,3.923358678127904e-7,4.004596935872688e-6,9.61013437253247e-7,28023,stmc,0,50,15,0,0,5,male_stmc,East Midlands
17,male,2.049226920184321e-7,3.923358678127904e-7,4.004596935872688e-6,9.61013437253247e-7,28023,stmc,0,50,15,0,0,5,male_stmc,East Midlands
18,male,2.049226920184321e-7,3.923358678127904e-7,4.004596935872688e-6,9.61013437253247e-7,28023,stmc,0,50,15,0,0,5,male_stmc,East Midlands
19,male,2.049226920184321e-7,3.923358678127904e-7,4.004596935872688e-6,9.61013437253247e-7,28023,stmc,0,50,15,0,0,5,male_stmc,East Midlands
20,male,6.307839036177482e-7,1.1207236855375885e-6,1.1550470432062718e-5,2.7072229139100167e-6,30631,stmc,0,50,20,0,0,5,male_stmc,East Midlands
21,male,6.307839036177482e-7,1.1207236855375885e-6,1.1550470432062718e-5,2.7072229139100167e-6,30631,stmc,0,50,20,0,0,5,male_stmc,East Midlands
22,male,6.307839036177482e-7,1.1207236855375885e-6,1.1550470432062718e-5,2.7072229139100167e-6,30631,stmc,0,50,20,0,0,5,male_stmc,East Midlands
23,male,6.307839036177482e-7,1.1207236855375885e-6,1.1550470432062718e-5,2.7072229139100167e-6,30631,stmc,0,50,20,0,0,5,male_stmc,East Midlands
24,male,6.307839036177482e-7,1.1207236855375885e-6,1.1550470432062718e-5,2.7072229139100167e-6,30631,stmc,0,50,20,0,0,5,male_stmc,East Midlands
25,male,1.6008260491041892e-6,2.304643692443029e-6,2.2999654544585936e-5,5.764425533216664e-6,32124,stmc,0,50,25,0,0,5,male_stmc,East Midlands
26,male,1.6008260491041892e-6,2.304643692443029e-6,2.2999654544585936e-5,5.764425533216664e-6,32124,stmc,0,50,25,0,0,5,male_stmc,East Midlands
27,male,1.6008260491041892e-6,2.304643692443029e-6,2.2999654544585936e-5,5.764425533216664e-6,32124,stmc,0,50,25,0,0,5,male_stmc,East Midlands
28,male,1.6008260491041892e-6,2.304643692443029e-6,2.2999654544585936e-5,5.764425533216664e-6,32124,stmc,0,50,25,0,0,5,male_stmc,East Midlands
29,male,1.6008260491041892e-6,2.304643692443029e-6,2.2999654544585936e-5,5.764425533216664e-6,32124,stmc,0,50,25,0,0,5,male_stmc,East Midlands
30,male,4.213824466001357e-6,5.909388650123212e-6,5.973782431546574e-5,1.454323020370755e-5,30384,stmc,0,50,30,0,0,5,male_stmc,East Midlands
31,male,4.213824466001357e-6,5.909388650123212e-6,5.973782431546574e-5,1.454323020370755e-5,30384,stmc,0,50,30,0,0,5,male_stmc,East Midlands
32,male,4.213824466001357e-6,5.909388650123212e-6,5.973782431546574e-5,1.454323020370755e-5,30384,stmc,0,50,30,0,0,5,male_stmc,East Midlands
33,male,4.213824466001357e-6,5.909388650123212e-6,5.973782431546574e-5,1.454323020370755e-5,30384,stmc,0,50,30,0,0,5,male_stmc,East Midlands
34,male,4.213824466001357e-6,5.909388650123212e-6,5.973782431546574e-5,1.454323020370755e-5,30384,stmc,0,50,30,0,0,5,male_stmc,East Midlands
35,male,8.940503979183507e-6,1.2296868321537962e-5,1.2693866279610248e-4,3.0670504400515505e-5,29870,stmc,0,50,35,0,0,5,male_stmc,East Midlands
36,male,8.940503979183507e-6,1.2296868321537962e-5,1.2693866279610248e-4,3.0670504400515505e-5,29870,stmc,0,50,35,0,0,5,male_stmc,East Midlands
37,male,8.940503979183507e-6,1.2296868321537962e-5,1.2693866279610248e-4,3.0670504400515505e-5,29870,stmc,0,50,35,0,0,5,male_stmc,East Midlands
38,male,8.940503979183507e-6,1.2296868321537962e-5,1.2693866279610248e-4,3.0670504400515505e-5,29870,stmc,0,50,35,0,0,5,male_stmc,East Midlands
39,male,8.940503979183507e-6,1.2296868321537962e-5,1.2693866279610248e-4,3.0670504400515505e-5,29870,stmc,0,50,35,0,0,5,male_stmc,East Midlands
40,male,1.923794749230541e-5,2.2336670721026575e-5,0.00022494337497360242,5.671910986091904e-5,29224,stmc,0,50,40,0,1,5,male_stmc,East Midlands
41,male,1.923794749230541e-5,2.2336670721026575e-5,0.00022494337497360242,5.671910986091904e-5,29224,stmc,0,50,40,0,1,5,male_stmc,East Midlands
42,male,1.923794749230541e-5,2.2336670721026575e-5,0.00022494337497360242,5.671910986091904e-5,29224,stmc,0,50,40,0,1,5,male_stmc,East Midlands
43,male,1.923794749230541e-5,2.2336670721026575e-5,0.00022494337497360242,5.671910986091904e-5,29224,stmc,0,50,40,0,1,5,male_stmc,East Midlands
44,male,1.923794749230541e-5,2.2336670721026575e-5,0.00022494337497360242,5.671910986091904e-5,29224,stmc,0,50,40,0,1,5,male_stmc,East Midlands
45,male,3.2593022328648246e-5,3.2751472099260345e-5,3.245207890803687e-4,8.523106318052011e-5,33894,stmc,0,50,45,0,1,5,male_stmc,East Midlands
46,male,3.2593022328648246e-5,3.2751472099260345e-5,3.245207890803687e-4,8.523106318052011e-5,33894,stmc,0,50,45,0,1,5,male_stmc,East Midlands
47,male,3.2593022328648246e-5,3.2751472099260345e-5,3.245207890803687e-4,8.523106318052011e-5,33894,stmc,0,50,45,0,1,5,male_stmc,East Midlands
48,male,3.2593022328648246e-5,3.2751472099260345e-5,3.245207890803687e-4,8.523106318052011e-5,33894,stmc,0,50,45,0,1,5,male_stmc,East Midlands
49,male,3.2593022328648246e-5,3.2751472099260345e-5,3.245207890803687e-4,8.523106318052011e-5,33894,stmc,0,50,45,0,1,5,male_stmc,East Midlands
