age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,34903,adaod,0,10,0,0,0,5,female_adaod,East of England
1,female,0,0,0,1e-8,34903,adaod,0,10,0,0,0,5,female_adaod,East of England
2,female,0,0,0,1e-8,34903,adaod,0,10,0,0,0,5,female_adaod,East of England
3,female,0,0,0,1e-8,34903,adaod,0,10,0,0,0,5,female_adaod,East of England
4,female,0,0,0,1e-8,34903,adaod,0,10,0,0,0,5,female_adaod,East of England
5,female,0,0,0,1e-8,37337,adaod,0,10,5,0,0,5,female_adaod,East of England
6,female,0,0,0,1e-8,37337,adaod,0,10,5,0,0,5,female_adaod,East of England
7,female,0,0,0,1e-8,37337,adaod,0,10,5,0,0,5,female_adaod,East of England
8,female,0,0,0,1e-8,37337,adaod,0,10,5,0,0,5,female_adaod,East of England
9,female,0,0,0,1e-8,37337,adaod,0,10,5,0,0,5,female_adaod,East of England
10,female,0,0,0,1e-8,34707,adaod,0,50,10,0,0,5,female_adaod,East of England
11,female,0,0,0,1e-8,34707,adaod,0,50,10,0,0,5,female_adaod,East of England
12,female,0,0,0,1e-8,34707,adaod,0,50,10,0,0,5,female_adaod,East of England
13,female,0,0,0,1e-8,34707,adaod,0,50,10,0,0,5,female_adaod,East of England
14,female,0,0,0,1e-8,34707,adaod,0,50,10,0,0,5,female_adaod,East of England
15,female,0,0,0,1e-8,33724,adaod,0,50,15,0,0,5,female_adaod,East of England
16,female,0,0,0,1e-8,33724,adaod,0,50,15,0,0,5,female_adaod,East of England
17,female,0,0,0,1e-8,33724,adaod,0,50,15,0,0,5,female_adaod,East of England
18,female,0,0,0,1e-8,33724,adaod,0,50,15,0,0,5,female_adaod,East of England
19,female,0,0,0,1e-8,33724,adaod,0,50,15,0,0,5,female_adaod,East of England
20,female,0,0,0,1e-8,35613,adaod,0,50,20,0,0,5,female_adaod,East of England
21,female,0,0,0,1e-8,35613,adaod,0,50,20,0,0,5,female_adaod,East of England
22,female,0,0,0,1e-8,35613,adaod,0,50,20,0,0,5,female_adaod,East of England
23,female,0,0,0,1e-8,35613,adaod,0,50,20,0,0,5,female_adaod,East of England
24,female,0,0,0,1e-8,35613,adaod,0,50,20,0,0,5,female_adaod,East of England
25,female,0,0,0,1e-8,39100,adaod,0,50,25,0,0,5,female_adaod,East of England
26,female,0,0,0,1e-8,39100,adaod,0,50,25,0,0,5,female_adaod,East of England
27,female,0,0,0,1e-8,39100,adaod,0,50,25,0,0,5,female_adaod,East of England
28,female,0,0,0,1e-8,39100,adaod,0,50,25,0,0,5,female_adaod,East of England
29,female,0,0,0,1e-8,39100,adaod,0,50,25,0,0,5,female_adaod,East of England
30,female,0,0,0,1e-8,40356,adaod,0,50,30,0,0,5,female_adaod,East of England
31,female,0,0,0,1e-8,40356,adaod,0,50,30,0,0,5,female_adaod,East of England
32,female,0,0,0,1e-8,40356,adaod,0,50,30,0,0,5,female_adaod,East of England
33,female,0,0,0,1e-8,40356,adaod,0,50,30,0,0,5,female_adaod,East of England
34,female,0,0,0,1e-8,40356,adaod,0,50,30,0,0,5,female_adaod,East of England
35,female,0,0,0,1e-8,39952,adaod,0,50,35,0,0,5,female_adaod,East of England
36,female,0,0,0,1e-8,39952,adaod,0,50,35,0,0,5,female_adaod,East of England
37,female,0,0,0,1e-8,39952,adaod,0,50,35,0,0,5,female_adaod,East of England
38,female,0,0,0,1e-8,39952,adaod,0,50,35,0,0,5,female_adaod,East of England
39,female,0,0,0,1e-8,39952,adaod,0,50,35,0,0,5,female_adaod,East of England
40,female,1.4550123782560331e-6,9.768557498287649e-6,7.333402044822276e-5,4.3531622725433e-5,39421,adaod,0,50,40,0,0,5,female_adaod,East of England
41,female,1.4550123782560331e-6,9.768557498287649e-6,7.333402044822276e-5,4.3531622725433e-5,39421,adaod,0,50,40,0,0,5,female_adaod,East of England
42,female,1.4550123782560331e-6,9.768557498287649e-6,7.333402044822276e-5,4.3531622725433e-5,39421,adaod,0,50,40,0,0,5,female_adaod,East of England
43,female,1.4550123782560331e-6,9.768557498287649e-6,7.333402044822276e-5,4.3531622725433e-5,39421,adaod,0,50,40,0,0,5,female_adaod,East of England
44,female,1.4550123782560331e-6,9.768557498287649e-6,7.333402044822276e-5,4.3531622725433e-5,39421,adaod,0,50,40,0,0,5,female_adaod,East of England
45,female,6.231637959721598e-6,6.498925460397158e-5,5.00331872722194e-4,1.3347310554753596e-4,44654,adaod,0,50,45,0,0,5,female_adaod,East of England
46,female,6.231637959721598e-6,6.498925460397158e-5,5.00331872722194e-4,1.3347310554753596e-4,44654,adaod,0,50,45,0,0,5,female_adaod,East of England
47,female,6.231637959721598e-6,6.498925460397158e-5,5.00331872722194e-4,1.3347310554753596e-4,44654,adaod,0,50,45,0,0,5,female_adaod,East of England
48,female,6.231637959721598e-6,6.498925460397158e-5,5.00331872722194e-4,1.3347310554753596e-4,44654,adaod,0,50,45,0,0,5,female_adaod,East of England
49,female,6.231637959721598e-6,6.498925460397158e-5,5.00331872722194e-4,1.3347310554753596e-4,44654,adaod,0,50,45,0,0,5,female_adaod,East of England
50,female,1.4429785424857563e-5,1.6467770423398228e-4,0.0013295593145860403,2.108608019766085e-4,45062,adaod,0,50,50,0,1,5,female_adaod,East of England
51,female,1.4429785424857563e-5,1.6467770423398228e-4,0.0013295593145860403,2.108608019766085e-4,45062,adaod,0,50,50,0,1,5,female_adaod,East of England
52,female,1.4429785424857563e-5,1.6467770423398228e-4,0.0013295593145860403,2.108608019766085e-4,45062,adaod,0,50,50,0,1,5,female_adaod,East of England
53,female,1.4429785424857563e-5,1.6467770423398228e-4,0.0013295593145860403,2.108608019766085e-4,45062,adaod,0,50,50,0,1,5,female_adaod,East of England
54,female,1.4429785424857563e-5,1.6467770423398228e-4,0.0013295593145860403,2.108608019766085e-4,45062,adaod,0,50,50,0,1,5,female_adaod,East of England
55,female,3.929074140409081e-5,3.189483465321745e-4,0.0026386434168551333,3.918770939529168e-4,39307,adaod,0,50,55,0,2,5,female_adaod,East of England
56,female,3.929074140409081e-5,3.189483465321745e-4,0.0026386434168551333,3.918770939529168e-4,39307,adaod,0,50,55,0,2,5,female_adaod,East of England
57,female,3.929074140409081e-5,3.189483465321745e-4,0.0026386434168551333,3.918770939529168e-4,39307,adaod,0,50,55,0,2,5,female_adaod,East of England
58,female,3.929074140409081e-5,3.189483465321745e-4,0.0026386434168551333,3.918770939529168e-4,39307,adaod,0,50,55,0,2,5,female_adaod,East of England
59,female,3.929074140409081e-5,3.189483465321745e-4,0.0026386434168551333,3.918770939529168e-4,39307,adaod,0,50,55,0,2,5,female_adaod,East of England
60,female,1.0320096965260406e-4,6.551528665724934e-4,0.005476575094745393,9.355344786924498e-4,34389,adaod,0,50,60,0,4,5,female_adaod,East of England
61,female,1.0320096965260406e-4,6.551528665724934e-4,0.005476575094745393,9.355344786924498e-4,34389,adaod,0,50,60,0,4,5,female_adaod,East of England
