age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,34903,brsc,0,10,0,0,0,5,female_brsc,East of England
1,female,0,0,0,1e-8,34903,brsc,0,10,0,0,0,5,female_brsc,East of England
2,female,0,0,0,1e-8,34903,brsc,0,10,0,0,0,5,female_brsc,East of England
3,female,0,0,0,1e-8,34903,brsc,0,10,0,0,0,5,female_brsc,East of England
4,female,0,0,0,1e-8,34903,brsc,0,10,0,0,0,5,female_brsc,East of England
5,female,0,0,0,1e-8,37337,brsc,0,10,5,0,0,5,female_brsc,East of England
6,female,0,0,0,1e-8,37337,brsc,0,10,5,0,0,5,female_brsc,East of England
7,female,0,0,0,1e-8,37337,brsc,0,10,5,0,0,5,female_brsc,East of England
8,female,0,0,0,1e-8,37337,brsc,0,10,5,0,0,5,female_brsc,East of England
9,female,0,0,0,1e-8,37337,brsc,0,10,5,0,0,5,female_brsc,East of England
10,female,0,0,0,1e-8,34707,brsc,0,50,10,0,0,5,female_brsc,East of England
11,female,0,0,0,1e-8,34707,brsc,0,50,10,0,0,5,female_brsc,East of England
12,female,0,0,0,1e-8,34707,brsc,0,50,10,0,0,5,female_brsc,East of England
13,female,0,0,0,1e-8,34707,brsc,0,50,10,0,0,5,female_brsc,East of England
14,female,0,0,0,1e-8,34707,brsc,0,50,10,0,0,5,female_brsc,East of England
15,female,2.483294407577017e-7,2.7598087650600654e-6,3.3331118568087826e-5,3.456146780710983e-6,33724,brsc,0,50,15,0,0,5,female_brsc,East of England
16,female,2.483294407577017e-7,2.7598087650600654e-6,3.3331118568087826e-5,3.456146780710983e-6,33724,brsc,0,50,15,0,0,5,female_brsc,East of England
17,female,2.483294407577017e-7,2.7598087650600654e-6,3.3331118568087826e-5,3.456146780710983e-6,33724,brsc,0,50,15,0,0,5,female_brsc,East of England
18,female,2.483294407577017e-7,2.7598087650600654e-6,3.3331118568087826e-5,3.456146780710983e-6,33724,brsc,0,50,15,0,0,5,female_brsc,East of England
19,female,2.483294407577017e-7,2.7598087650600654e-6,3.3331118568087826e-5,3.456146780710983e-6,33724,brsc,0,50,15,0,0,5,female_brsc,East of England
20,female,1.2382482467294848e-6,1.5734852113134863e-5,1.899651154366513e-4,2.006388494692489e-5,35613,brsc,0,50,20,0,0,5,female_brsc,East of England
21,female,1.2382482467294848e-6,1.5734852113134863e-5,1.899651154366513e-4,2.006388494692489e-5,35613,brsc,0,50,20,0,0,5,female_brsc,East of England
22,female,1.2382482467294848e-6,1.5734852113134863e-5,1.899651154366513e-4,2.006388494692489e-5,35613,brsc,0,50,20,0,0,5,female_brsc,East of England
23,female,1.2382482467294848e-6,1.5734852113134863e-5,1.899651154366513e-4,2.006388494692489e-5,35613,brsc,0,50,20,0,0,5,female_brsc,East of England
24,female,1.2382482467294848e-6,1.5734852113134863e-5,1.899651154366513e-4,2.006388494692489e-5,35613,brsc,0,50,20,0,0,5,female_brsc,East of England
25,female,8.992997981930242e-6,1.2511387627020293e-4,0.0014686122911153924,1.6654468889713383e-4,39100,brsc,0,50,25,0,0,5,female_brsc,East of England
26,female,8.992997981930242e-6,1.2511387627020293e-4,0.0014686122911153924,1.6654468889713383e-4,39100,brsc,0,50,25,0,0,5,female_brsc,East of England
27,female,8.992997981930242e-6,1.2511387627020293e-4,0.0014686122911153924,1.6654468889713383e-4,39100,brsc,0,50,25,0,0,5,female_brsc,East of England
