age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,34903,carc,0,10,0,0,0,5,female_carc,East of England
1,female,0,0,0,1e-8,34903,carc,0,10,0,0,0,5,female_carc,East of England
2,female,0,0,0,1e-8,34903,carc,0,10,0,0,0,5,female_carc,East of England
3,female,0,0,0,1e-8,34903,carc,0,10,0,0,0,5,female_carc,East of England
4,female,0,0,0,1e-8,34903,carc,0,10,0,0,0,5,female_carc,East of England
5,female,0,0,0,1e-8,37337,carc,0,10,5,0,0,5,female_carc,East of England
6,female,0,0,0,1e-8,37337,carc,0,10,5,0,0,5,female_carc,East of England
7,female,0,0,0,1e-8,37337,carc,0,10,5,0,0,5,female_carc,East of England
8,female,0,0,0,1e-8,37337,carc,0,10,5,0,0,5,female_carc,East of England
9,female,0,0,0,1e-8,37337,carc,0,10,5,0,0,5,female_carc,East of England
10,female,0,0,0,1e-8,34707,carc,0,50,10,0,0,5,female_carc,East of England
11,female,0,0,0,1e-8,34707,carc,0,50,10,0,0,5,female_carc,East of England
12,female,0,0,0,1e-8,34707,carc,0,50,10,0,0,5,female_carc,East of England
13,female,0,0,0,1e-8,34707,carc,0,50,10,0,0,5,female_carc,East of England
14,female,0,0,0,1e-8,34707,carc,0,50,10,0,0,5,female_carc,East of England
15,female,3.25376700217768e-7,1.3605914700417176e-6,1.2319248963915896e-5,1.7420078682955846e-6,33724,carc,0,50,15,0,0,5,female_carc,East of England
16,female,3.25376700217768e-7,1.3605914700417176e-6,1.2319248963915896e-5,1.7420078682955846e-6,33724,carc,0,50,15,0,0,5,female_carc,East of England
17,female,3.25376700217768e-7,1.3605914700417176e-6,1.2319248963915896e-5,1.7420078682955846e-6,33724,carc,0,50,15,0,0,5,female_carc,East of England
18,female,3.25376700217768e-7,1.3605914700417176e-6,1.2319248963915896e-5,1.7420078682955846e-6,33724,carc,0,50,15,0,0,5,female_carc,East of England
19,female,3.25376700217768e-7,1.3605914700417176e-6,1.2319248963915896e-5,1.7420078682955846e-6,33724,carc,0,50,15,0,0,5,female_carc,East of England
20,female,1.47059873827048e-6,6.972528592912554e-6,6.570934754866491e-5,9.164722787817105e-6,35613,carc,0,50,20,0,0,5,female_carc,East of England
21,female,1.47059873827048e-6,6.972528592912554e-6,6.570934754866491e-5,9.164722787817105e-6,35613,carc,0,50,20,0,0,5,female_carc,East of England
22,female,1.47059873827048e-6,6.972528592912554e-6,6.570934754866491e-5,9.164722787817105e-6,35613,carc,0,50,20,0,0,5,female_carc,East of England
23,female,1.47059873827048e-6,6.972528592912554e-6,6.570934754866491e-5,9.164722787817105e-6,35613,carc,0,50,20,0,0,5,female_carc,East of England
