age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,3.1933690480287346e-7,2.127526778806128e-5,1.4944773653470953e-4,5.094204288336462e-5,34903,iscs,0,10,0,0,0,5,female_iscs,East of England
1,female,3.1933690480287346e-7,2.127526778806128e-5,1.4944773653470953e-4,5.094204288336462e-5,34903,iscs,0,10,0,0,0,5,female_iscs,East of England
2,female,3.1933690480287346e-7,2.127526778806128e-5,1.4944773653470953e-4,5.094204288336462e-5,34903,iscs,0,10,0,0,0,5,female_iscs,East of England
3,female,3.1933690480287346e-7,2.127526778806128e-5,1.4944773653470953e-4,5.094204288336462e-5,34903,iscs,0,10,0,0,0,5,female_iscs,East of England
4,female,3.1933690480287346e-7,2.127526778806128e-5,1.4944773653470953e-4,5.094204288336462e-5,34903,iscs,0,10,0,0,0,5,female_iscs,East of England
5,female,5.536124262541521e-8,5.718968605921555e-5,4.0618046264264134e-4,3.4796990896819516e-5,37337,iscs,0,10,5,0,0,5,female_iscs,East of England
6,female,5.536124262541521e-8,5.718968605921555e-5,4.0618046264264134e-4,3.4796990896819516e-5,37337,iscs,0,10,5,0,0,5,female_iscs,East of England
7,female,5.536124262541521e-8,5.718968605921555e-5,4.0618046264264134e-4,3.4796990896819516e-5,37337,iscs,0,10,5,0,0,5,female_iscs,East of England
8,female,5.536124262541521e-8,5.718968605921555e-5,4.0618046264264134e-4,3.4796990896819516e-5,37337,iscs,0,10,5,0,0,5,female_iscs,East of England
9,female,5.536124262541521e-8,5.718968605921555e-5,4.0618046264264134e-4,3.4796990896819516e-5,37337,iscs,0,10,5,0,0,5,female_iscs,East of England
10,female,5.380030513265518e-8,8.951051089795644e-5,6.318282209973295e-4,3.171650895477229e-5,34707,iscs,0,50,10,0,0,5,female_iscs,East of England
11,female,5.380030513265518e-8,8.951051089795644e-5,6.318282209973295e-4,3.171650895477229e-5,34707,iscs,0,50,10,0,0,5,female_iscs,East of England
12,female,5.380030513265518e-8,8.951051089795644e-5,6.318282209973295e-4,3.171650895477229e-5,34707,iscs,0,50,10,0,0,5,female_iscs,East of England
13,female,5.380030513265518e-8,8.951051089795644e-5,6.318282209973295e-4,3.171650895477229e-5,34707,iscs,0,50,10,0,0,5,female_iscs,East of England
14,female,5.380030513265518e-8,8.951051089795644e-5,6.318282209973295e-4,3.171650895477229e-5,34707,iscs,0,50,10,0,0,5,female_iscs,East of England
15,female,2.6081849057331754e-7,1.1714703476752814e-4,8.471139488203831e-4,2.8259487155978915e-5,33724,iscs,0,50,15,0,0,5,female_iscs,East of England
16,female,2.6081849057331754e-7,1.1714703476752814e-4,8.471139488203831e-4,2.8259487155978915e-5,33724,iscs,0,50,15,0,0,5,female_iscs,East of England
17,female,2.6081849057331754e-7,1.1714703476752814e-4,8.471139488203831e-4,2.8259487155978915e-5,33724,iscs,0,50,15,0,0,5,female_iscs,East of England
18,female,2.6081849057331754e-7,1.1714703476752814e-4,8.471139488203831e-4,2.8259487155978915e-5,33724,iscs,0,50,15,0,0,5,female_iscs,East of England
19,female,2.6081849057331754e-7,1.1714703476752814e-4,8.471139488203831e-4,2.8259487155978915e-5,33724,iscs,0,50,15,0,0,5,female_iscs,East of England
20,female,5.118506721891616e-7,1.4882177465850452e-4,0.0010675532353954635,3.3265700060942376e-5,35613,iscs,0,50,20,0,0,5,female_iscs,East of England
21,female,5.118506721891616e-7,1.4882177465850452e-4,0.0010675532353954635,3.3265700060942376e-5,35613,iscs,0,50,20,0,0,5,female_iscs,East of England
22,female,5.118506721891616e-7,1.4882177465850452e-4,0.0010675532353954635,3.3265700060942376e-5,35613,iscs,0,50,20,0,0,5,female_iscs,East of England
23,female,5.118506721891616e-7,1.4882177465850452e-4,0.0010675532353954635,3.3265700060942376e-5,35613,iscs,0,50,20,0,0,5,female_iscs,East of England
24,female,5.118506721891616e-7,1.4882177465850452e-4,0.0010675532353954635,3.3265700060942376e-5,35613,iscs,0,50,20,0,0,5,female_iscs,East of England
25,female,8.502457672701703e-7,1.841498785384937e-4,0.0013300632901022884,4.671265019246226e-5,39100,iscs,0,50,25,0,0,5,female_iscs,East of England
26,female,8.502457672701703e-7,1.841498785384937e-4,0.0013300632901022884,4.671265019246226e-5,39100,iscs,0,50,25,0,0,5,female_iscs,East of England
27,female,8.502457672701703e-7,1.841498785384937e-4,0.0013300632901022884,4.671265019246226e-5,39100,iscs,0,50,25,0,0,5,female_iscs,East of England
