age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,34903,ishd,0,10,0,0,0,5,female_ishd,East of England
1,female,0,0,0,1e-8,34903,ishd,0,10,0,0,0,5,female_ishd,East of England
2,female,0,0,0,1e-8,34903,ishd,0,10,0,0,0,5,female_ishd,East of England
3,female,0,0,0,1e-8,34903,ishd,0,10,0,0,0,5,female_ishd,East of England
4,female,0,0,0,1e-8,34903,ishd,0,10,0,0,0,5,female_ishd,East of England
5,female,0,0,0,1e-8,37337,ishd,0,10,5,0,0,5,female_ishd,East of England
6,female,0,0,0,1e-8,37337,ishd,0,10,5,0,0,5,female_ishd,East of England
7,female,0,0,0,1e-8,37337,ishd,0,10,5,0,0,5,female_ishd,East of England
8,female,0,0,0,1e-8,37337,ishd,0,10,5,0,0,5,female_ishd,East of England
9,female,0,0,0,1e-8,37337,ishd,0,10,5,0,0,5,female_ishd,East of England
10,female,0,0,0,1e-8,34707,ishd,0,50,10,0,0,5,female_ishd,East of England
11,female,0,0,0,1e-8,34707,ishd,0,50,10,0,0,5,female_ishd,East of England
12,female,0,0,0,1e-8,34707,ishd,0,50,10,0,0,5,female_ishd,East of England
13,female,0,0,0,1e-8,34707,ishd,0,50,10,0,0,5,female_ishd,East of England
14,female,0,0,0,1e-8,34707,ishd,0,50,10,0,0,5,female_ishd,East of England
15,female,5.945855460723752e-7,4.350374293687222e-6,1.1539033463211286e-4,1.5731958330041614e-5,33724,ishd,0,50,15,0,0,5,female_ishd,East of England
16,female,5.945855460723752e-7,4.350374293687222e-6,1.1539033463211286e-4,1.5731958330041614e-5,33724,ishd,0,50,15,0,0,5,female_ishd,East of England
17,female,5.945855460723752e-7,4.350374293687222e-6,1.1539033463211286e-4,1.5731958330041614e-5,33724,ishd,0,50,15,0,0,5,female_ishd,East of England
