age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,34903,stmc,0,10,0,0,0,5,female_stmc,East of England
1,female,0,0,0,1e-8,34903,stmc,0,10,0,0,0,5,female_stmc,East of England
2,female,0,0,0,1e-8,34903,stmc,0,10,0,0,0,5,female_stmc,East of England
3,female,0,0,0,1e-8,34903,stmc,0,10,0,0,0,5,female_stmc,East of England
4,female,0,0,0,1e-8,34903,stmc,0,10,0,0,0,5,female_stmc,East of England
5,female,0,0,0,1e-8,37337,stmc,0,10,5,0,0,5,female_stmc,East of England
6,female,0,0,0,1e-8,37337,stmc,0,10,5,0,0,5,female_stmc,East of England
7,female,0,0,0,1e-8,37337,stmc,0,10,5,0,0,5,female_stmc,East of England
8,female,0,0,0,1e-8,37337,stmc,0,10,5,0,0,5,female_stmc,East of England
9,female,0,0,0,1e-8,37337,stmc,0,10,5,0,0,5,female_stmc,East of England
10,female,0,0,0,1e-8,34707,stmc,0,50,10,0,0,5,female_stmc,East of England
11,female,0,0,0,1e-8,34707,stmc,0,50,10,0,0,5,female_stmc,East of England
12,female,0,0,0,1e-8,34707,stmc,0,50,10,0,0,5,female_stmc,East of England
13,female,0,0,0,1e-8,34707,stmc,0,50,10,0,0,5,female_stmc,East of England
14,female,0,0,0,1e-8,34707,stmc,0,50,10,0,0,5,female_stmc,East of England
15,female,1.4678257945900443e-7,1.6707684978168374e-7,1.6033618316676355e-6,4.61685826067053e-7,33724,stmc,0,50,15,0,0,5,female_stmc,East of England
16,female,1.4678257945900443e-7,1.6707684978168374e-7,1.6033618316676355e-6,4.61685826067053e-7,33724,stmc,0,50,15,0,0,5,female_stmc,East of England
17,female,1.4678257945900443e-7,1.6707684978168374e-7,1.6033618316676355e-6,4.61685826067053e-7,33724,stmc,0,50,15,0,0,5,female_stmc,East of England
18,female,1.4678257945900443e-7,1.6707684978168374e-7,1.6033618316676355e-6,4.61685826067053e-7,33724,stmc,0,50,15,0,0,5,female_stmc,East of England
19,female,1.4678257945900443e-7,1.6707684978168374e-7,1.6033618316676355e-6,4.61685826067053e-7,33724,stmc,0,50,15,0,0,5,female_stmc,East of England
20,female,4.4256343137267223e-7,5.616613680655205e-7,5.517387154177158e-6,1.5182018610660057e-6,35613,stmc,0,50,20,0,0,5,female_stmc,East of England
21,female,4.4256343137267223e-7,5.616613680655205e-7,5.517387154177158e-6,1.5182018610660057e-6,35613,stmc,0,50,20,0,0,5,female_stmc,East of England
22,female,4.4256343137267223e-7,5.616613680655205e-7,5.517387154177158e-6,1.5182018610660057e-6,35613,stmc,0,50,20,0,0,5,female_stmc,East of England
23,female,4.4256343137267223e-7,5.616613680655205e-7,5.517387154177158e-6,1.5182018610660057e-6,35613,stmc,0,50,20,0,0,5,female_stmc,East of England
24,female,4.4256343137267223e-7,5.616613680655205e-7,5.517387154177158e-6,1.5182018610660057e-6,35613,stmc,0,50,20,0,0,5,female_stmc,East of England
25,female,1.493340161860013e-6,1.851089568908833e-6,1.8302246073867956e-5,4.983701852900684e-6,39100,stmc,0,50,25,0,0,5,female_stmc,East of England
26,female,1.493340161860013e-6,1.851089568908833e-6,1.8302246073867956e-5,4.983701852900684e-6,39100,stmc,0,50,25,0,0,5,female_stmc,East of England
27,female,1.493340161860013e-6,1.851089568908833e-6,1.8302246073867956e-5,4.983701852900684e-6,39100,stmc,0,50,25,0,0,5,female_stmc,East of England
28,female,1.493340161860013e-6,1.851089568908833e-6,1.8302246073867956e-5,4.983701852900684e-6,39100,stmc,0,50,25,0,0,5,female_stmc,East of England
29,female,1.493340161860013e-6,1.851089568908833e-6,1.8302246073867956e-5,4.983701852900684e-6,39100,stmc,0,50,25,0,0,5,female_stmc,East of England
30,female,3.850971110056361e-6,4.690947415378724e-6,4.712248294153816e-5,1.2447842623875927e-5,40356,stmc,0,50,30,0,0,5,female_stmc,East of England
31,female,3.850971110056361e-6,4.690947415378724e-6,4.712248294153816e-5,1.2447842623875927e-5,40356,stmc,0,50,30,0,0,5,female_stmc,East of England
32,female,3.850971110056361e-6,4.690947415378724e-6,4.712248294153816e-5,1.2447842623875927e-5,40356,stmc,0,50,30,0,0,5,female_stmc,East of England
33,female,3.850971110056361e-6,4.690947415378724e-6,4.712248294153816e-5,1.2447842623875927e-5,40356,stmc,0,50,30,0,0,5,female_stmc,East of England
34,female,3.850971110056361e-6,4.690947415378724e-6,4.712248294153816e-5,1.2447842623875927e-5,40356,stmc,0,50,30,0,0,5,female_stmc,East of England
35,female,5.7080317844041765e-6,5.6989256482069145e-6,5.455661463119594e-5,1.577280384272055e-5,39952,stmc,0,50,35,0,0,5,female_stmc,East of England
