age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.019824578305525e-6,2.9738700063135607e-5,0,7.553581411149614e-5,34903,strk,0,10,0,0,0,5,female_strk,East of England
1,female,1.019824578305525e-6,2.9738700063135607e-5,0,7.553581411149614e-5,34903,strk,0,10,0,0,0,5,female_strk,East of England
2,female,1.019824578305525e-6,2.9738700063135607e-5,0,7.553581411149614e-5,34903,strk,0,10,0,0,0,5,female_strk,East of England
3,female,1.019824578305525e-6,2.9738700063135607e-5,0,7.553581411149614e-5,34903,strk,0,10,0,0,0,5,female_strk,East of England
4,female,1.019824578305525e-6,2.9738700063135607e-5,0,7.553581411149614e-5,34903,strk,0,10,0,0,0,5,female_strk,East of England
5,female,4.050919123453383e-7,8.290217166468435e-5,2.1161422345833354e-4,6.086784838142152e-5,37337,strk,0,10,5,0,0,5,female_strk,East of England
6,female,4.050919123453383e-7,8.290217166468435e-5,2.1161422345833354e-4,6.086784838142152e-5,37337,strk,0,10,5,0,0,5,female_strk,East of England
7,female,4.050919123453383e-7,8.290217166468435e-5,2.1161422345833354e-4,6.086784838142152e-5,37337,strk,0,10,5,0,0,5,female_strk,East of England
8,female,4.050919123453383e-7,8.290217166468435e-5,2.1161422345833354e-4,6.086784838142152e-5,37337,strk,0,10,5,0,0,5,female_strk,East of England
9,female,4.050919123453383e-7,8.290217166468435e-5,2.1161422345833354e-4,6.086784838142152e-5,37337,strk,0,10,5,0,0,5,female_strk,East of England
10,female,6.530064419709179e-7,1.3232211285639793e-4,3.681987578427788e-4,5.561773313046238e-5,34707,strk,0,50,10,0,0,5,female_strk,East of England
11,female,6.530064419709179e-7,1.3232211285639793e-4,3.681987578427788e-4,5.561773313046238e-5,34707,strk,0,50,10,0,0,5,female_strk,East of England
12,female,6.530064419709179e-7,1.3232211285639793e-4,3.681987578427788e-4,5.561773313046238e-5,34707,strk,0,50,10,0,0,5,female_strk,East of England
13,female,6.530064419709179e-7,1.3232211285639793e-4,3.681987578427788e-4,5.561773313046238e-5,34707,strk,0,50,10,0,0,5,female_strk,East of England
14,female,6.530064419709179e-7,1.3232211285639793e-4,3.681987578427788e-4,5.561773313046238e-5,34707,strk,0,50,10,0,0,5,female_strk,East of England
15,female,2.346845789485959e-6,1.7708012720409066e-4,7.272067517936052e-4,5.2285238567662e-5,33724,strk,0,50,15,0,0,5,female_strk,East of England
16,female,2.346845789485959e-6,1.7708012720409066e-4,7.272067517936052e-4,5.2285238567662e-5,33724,strk,0,50,15,0,0,5,female_strk,East of England
17,female,2.346845789485959e-6,1.7708012720409066e-4,7.272067517936052e-4,5.2285238567662e-5,33724,strk,0,50,15,0,0,5,female_strk,East of England
18,female,2.346845789485959e-6,1.7708012720409066e-4,7.272067517936052e-4,5.2285238567662e-5,33724,strk,0,50,15,0,0,5,female_strk,East of England
19,female,2.346845789485959e-6,1.7708012720409066e-4,7.272067517936052e-4,5.2285238567662e-5,33724,strk,0,50,15,0,0,5,female_strk,East of England
20,female,4.996398907332169e-6,2.2871053349100484e-4,9.997899994937255e-4,6.75117615629759e-5,35613,strk,0,50,20,0,0,5,female_strk,East of England
21,female,4.996398907332169e-6,2.2871053349100484e-4,9.997899994937255e-4,6.75117615629759e-5,35613,strk,0,50,20,0,0,5,female_strk,East of England
22,female,4.996398907332169e-6,2.2871053349100484e-4,9.997899994937255e-4,6.75117615629759e-5,35613,strk,0,50,20,0,0,5,female_strk,East of England
23,female,4.996398907332169e-6,2.2871053349100484e-4,9.997899994937255e-4,6.75117615629759e-5,35613,strk,0,50,20,0,0,5,female_strk,East of England
24,female,4.996398907332169e-6,2.2871053349100484e-4,9.997899994937255e-4,6.75117615629759e-5,35613,strk,0,50,20,0,0,5,female_strk,East of England
25,female,7.113705720140622e-6,2.929065678265524e-4,0.0014003231350300906,1.0124981832688418e-4,39100,strk,0,50,25,0,0,5,female_strk,East of England
