age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,3.791735219367736e-7,2.2237737121638492e-5,3.417476816072574e-4,1.1390873260620429e-4,36715,copd,0,10,0,0,0,5,male_copd,East of England
1,male,3.791735219367736e-7,2.2237737121638492e-5,3.417476816072574e-4,1.1390873260620429e-4,36715,copd,0,10,0,0,0,5,male_copd,East of England
2,male,3.791735219367736e-7,2.2237737121638492e-5,3.417476816072574e-4,1.1390873260620429e-4,36715,copd,0,10,0,0,0,5,male_copd,East of England
3,male,3.791735219367736e-7,2.2237737121638492e-5,3.417476816072574e-4,1.1390873260620429e-4,36715,copd,0,10,0,0,0,5,male_copd,East of England
4,male,3.791735219367736e-7,2.2237737121638492e-5,3.417476816072574e-4,1.1390873260620429e-4,36715,copd,0,10,0,0,0,5,male_copd,East of England
5,male,1.3097366996031475e-7,6.825859109797426e-5,0.001065763342186908,1.4379995723595588e-4,39351,copd,0,10,5,0,0,5,male_copd,East of England
6,male,1.3097366996031475e-7,6.825859109797426e-5,0.001065763342186908,1.4379995723595588e-4,39351,copd,0,10,5,0,0,5,male_copd,East of England
7,male,1.3097366996031475e-7,6.825859109797426e-5,0.001065763342186908,1.4379995723595588e-4,39351,copd,0,10,5,0,0,5,male_copd,East of England
8,male,1.3097366996031475e-7,6.825859109797426e-5,0.001065763342186908,1.4379995723595588e-4,39351,copd,0,10,5,0,0,5,male_copd,East of England
9,male,1.3097366996031475e-7,6.825859109797426e-5,0.001065763342186908,1.4379995723595588e-4,39351,copd,0,10,5,0,0,5,male_copd,East of England
10,male,1.3314207145050737e-7,1.2390132231137238e-4,0.0019992484675194263,2.6902891756413333e-4,36736,copd,0,50,10,0,0,5,male_copd,East of England
11,male,1.3314207145050737e-7,1.2390132231137238e-4,0.0019992484675194263,2.6902891756413333e-4,36736,copd,0,50,10,0,0,5,male_copd,East of England
12,male,1.3314207145050737e-7,1.2390132231137238e-4,0.0019992484675194263,2.6902891756413333e-4,36736,copd,0,50,10,0,0,5,male_copd,East of England
13,male,1.3314207145050737e-7,1.2390132231137238e-4,0.0019992484675194263,2.6902891756413333e-4,36736,copd,0,50,10,0,0,5,male_copd,East of England
14,male,1.3314207145050737e-7,1.2390132231137238e-4,0.0019992484675194263,2.6902891756413333e-4,36736,copd,0,50,10,0,0,5,male_copd,East of England
15,male,3.2201435573308137e-7,2.4252775113552306e-4,0.003960185422526272,5.158257714063096e-4,35788,copd,0,50,15,0,0,5,male_copd,East of England
16,male,3.2201435573308137e-7,2.4252775113552306e-4,0.003960185422526272,5.158257714063096e-4,35788,copd,0,50,15,0,0,5,male_copd,East of England
17,male,3.2201435573308137e-7,2.4252775113552306e-4,0.003960185422526272,5.158257714063096e-4,35788,copd,0,50,15,0,0,5,male_copd,East of England
