age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,36715,lvrc,0,10,0,0,0,5,male_lvrc,East of England
1,male,0,0,0,1e-8,36715,lvrc,0,10,0,0,0,5,male_lvrc,East of England
2,male,0,0,0,1e-8,36715,lvrc,0,10,0,0,0,5,male_lvrc,East of England
3,male,0,0,0,1e-8,36715,lvrc,0,10,0,0,0,5,male_lvrc,East of England
4,male,0,0,0,1e-8,36715,lvrc,0,10,0,0,0,5,male_lvrc,East of England
5,male,3.243180880602022e-7,3.0703621698396754e-7,0,1.4743176630180446e-6,39351,lvrc,0,10,5,0,0,5,male_lvrc,East of England
6,male,3.243180880602022e-7,3.0703621698396754e-7,0,1.4743176630180446e-6,39351,lvrc,0,10,5,0,0,5,male_lvrc,East of England
7,male,3.243180880602022e-7,3.0703621698396754e-7,0,1.4743176630180446e-6,39351,lvrc,0,10,5,0,0,5,male_lvrc,East of England
8,male,3.243180880602022e-7,3.0703621698396754e-7,0,1.4743176630180446e-6,39351,lvrc,0,10,5,0,0,5,male_lvrc,East of England
9,male,3.243180880602022e-7,3.0703621698396754e-7,0,1.4743176630180446e-6,39351,lvrc,0,10,5,0,0,5,male_lvrc,East of England
10,male,3.6375467798059234e-7,3.477615434970307e-7,0,1.6393591250126983e-6,36736,lvrc,0,50,10,0,0,5,male_lvrc,East of England
11,male,3.6375467798059234e-7,3.477615434970307e-7,0,1.6393591250126983e-6,36736,lvrc,0,50,10,0,0,5,male_lvrc,East of England
12,male,3.6375467798059234e-7,3.477615434970307e-7,0,1.6393591250126983e-6,36736,lvrc,0,50,10,0,0,5,male_lvrc,East of England
13,male,3.6375467798059234e-7,3.477615434970307e-7,0,1.6393591250126983e-6,36736,lvrc,0,50,10,0,0,5,male_lvrc,East of England
14,male,3.6375467798059234e-7,3.477615434970307e-7,0,1.6393591250126983e-6,36736,lvrc,0,50,10,0,0,5,male_lvrc,East of England
15,male,4.497144629349932e-7,5.357790932850463e-7,0,2.5211788760745636e-6,35788,lvrc,0,50,15,0,0,5,male_lvrc,East of England
16,male,4.497144629349932e-7,5.357790932850463e-7,0,2.5211788760745636e-6,35788,lvrc,0,50,15,0,0,5,male_lvrc,East of England
17,male,4.497144629349932e-7,5.357790932850463e-7,0,2.5211788760745636e-6,35788,lvrc,0,50,15,0,0,5,male_lvrc,East of England
