age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,4.5294545288525145e-7,2.3638104723709576e-5,1.6555871069111048e-4,6.121184419507202e-5,1303568,iscs,0,10,0,0,1,5,female_iscs,England
1,female,4.5294545288525145e-7,2.3638104723709576e-5,1.6555871069111048e-4,6.121184419507202e-5,1303568,iscs,0,10,0,0,1,5,female_iscs,England
2,female,4.5294545288525145e-7,2.3638104723709576e-5,1.6555871069111048e-4,6.121184419507202e-5,1303568,iscs,0,10,0,0,1,5,female_iscs,England
3,female,4.5294545288525145e-7,2.3638104723709576e-5,1.6555871069111048e-4,6.121184419507202e-5,1303568,iscs,0,10,0,0,1,5,female_iscs,England
4,female,4.5294545288525145e-7,2.3638104723709576e-5,1.6555871069111048e-4,6.121184419507202e-5,1303568,iscs,0,10,0,0,1,5,female_iscs,England
5,female,6.354053020004912e-8,6.200765896785257e-5,4.404257783566097e-4,3.5607553353148364e-5,1360455,iscs,0,10,5,0,0,5,female_iscs,England
6,female,6.354053020004912e-8,6.200765896785257e-5,4.404257783566097e-4,3.5607553353148364e-5,1360455,iscs,0,10,5,0,0,5,female_iscs,England
7,female,6.354053020004912e-8,6.200765896785257e-5,4.404257783566097e-4,3.5607553353148364e-5,1360455,iscs,0,10,5,0,0,5,female_iscs,England
8,female,6.354053020004912e-8,6.200765896785257e-5,4.404257783566097e-4,3.5607553353148364e-5,1360455,iscs,0,10,5,0,0,5,female_iscs,England
9,female,6.354053020004912e-8,6.200765896785257e-5,4.404257783566097e-4,3.5607553353148364e-5,1360455,iscs,0,10,5,0,0,5,female_iscs,England
10,female,8.078836984569467e-8,9.540876044206626e-5,6.770868933640954e-4,3.233082424271483e-5,1253968,iscs,0,50,10,0,0,5,female_iscs,England
11,female,8.078836984569467e-8,9.540876044206626e-5,6.770868933640954e-4,3.233082424271483e-5,1253968,iscs,0,50,10,0,0,5,female_iscs,England
12,female,8.078836984569467e-8,9.540876044206626e-5,6.770868933640954e-4,3.233082424271483e-5,1253968,iscs,0,50,10,0,0,5,female_iscs,England
13,female,8.078836984569467e-8,9.540876044206626e-5,6.770868933640954e-4,3.233082424271483e-5,1253968,iscs,0,50,10,0,0,5,female_iscs,England
14,female,8.078836984569467e-8,9.540876044206626e-5,6.770868933640954e-4,3.233082424271483e-5,1253968,iscs,0,50,10,0,0,5,female_iscs,England
