age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,1303568,ishd,0,10,0,0,0,5,female_ishd,England
1,female,0,0,0,1e-8,1303568,ishd,0,10,0,0,0,5,female_ishd,England
2,female,0,0,0,1e-8,1303568,ishd,0,10,0,0,0,5,female_ishd,England
3,female,0,0,0,1e-8,1303568,ishd,0,10,0,0,0,5,female_ishd,England
4,female,0,0,0,1e-8,1303568,ishd,0,10,0,0,0,5,female_ishd,England
5,female,0,0,0,1e-8,1360455,ishd,0,10,5,0,0,5,female_ishd,England
6,female,0,0,0,1e-8,1360455,ishd,0,10,5,0,0,5,female_ishd,England
7,female,0,0,0,1e-8,1360455,ishd,0,10,5,0,0,5,female_ishd,England
8,female,0,0,0,1e-8,1360455,ishd,0,10,5,0,0,5,female_ishd,England
9,female,0,0,0,1e-8,1360455,ishd,0,10,5,0,0,5,female_ishd,England
10,female,0,0,0,1e-8,1253968,ishd,0,50,10,0,0,5,female_ishd,England
11,female,0,0,0,1e-8,1253968,ishd,0,50,10,0,0,5,female_ishd,England
12,female,0,0,0,1e-8,1253968,ishd,0,50,10,0,0,5,female_ishd,England
13,female,0,0,0,1e-8,1253968,ishd,0,50,10,0,0,5,female_ishd,England
14,female,0,0,0,1e-8,1253968,ishd,0,50,10,0,0,5,female_ishd,England
15,female,5.828442082526933e-7,4.435365987096909e-6,1.1864454988681655e-4,1.607620875949857e-5,1237874,ishd,0,50,15,0,1,5,female_ishd,England
16,female,5.828442082526933e-7,4.435365987096909e-6,1.1864454988681655e-4,1.607620875949857e-5,1237874,ishd,0,50,15,0,1,5,female_ishd,England
17,female,5.828442082526933e-7,4.435365987096909e-6,1.1864454988681655e-4,1.607620875949857e-5,1237874,ishd,0,50,15,0,1,5,female_ishd,England
18,female,5.828442082526933e-7,4.435365987096909e-6,1.1864454988681655e-4,1.607620875949857e-5,1237874,ishd,0,50,15,0,1,5,female_ishd,England
19,female,5.828442082526933e-7,4.435365987096909e-6,1.1864454988681655e-4,1.607620875949857e-5,1237874,ishd,0,50,15,0,1,5,female_ishd,England
20,female,1.4950908472530285e-6,1.9248285858379237e-5,3.8895686297309184e-4,3.7193367693346935e-5,1387453,ishd,0,50,20,0,2,5,female_ishd,England
21,female,1.4950908472530285e-6,1.9248285858379237e-5,3.8895686297309184e-4,3.7193367693346935e-5,1387453,ishd,0,50,20,0,2,5,female_ishd,England
22,female,1.4950908472530285e-6,1.9248285858379237e-5,3.8895686297309184e-4,3.7193367693346935e-5,1387453,ishd,0,50,20,0,2,5,female_ishd,England
23,female,1.4950908472530285e-6,1.9248285858379237e-5,3.8895686297309184e-4,3.7193367693346935e-5,1387453,ishd,0,50,20,0,2,5,female_ishd,England
24,female,1.4950908472530285e-6,1.9248285858379237e-5,3.8895686297309184e-4,3.7193367693346935e-5,1387453,ishd,0,50,20,0,2,5,female_ishd,England
25,female,2.6222286817519897e-6,3.909744595441649e-5,8.253126146913691e-4,4.7192723112271726e-5,1583607,ishd,0,50,25,0,4,5,female_ishd,England
26,female,2.6222286817519897e-6,3.909744595441649e-5,8.253126146913691e-4,4.7192723112271726e-5,1583607,ishd,0,50,25,0,4,5,female_ishd,England
27,female,2.6222286817519897e-6,3.909744595441649e-5,8.253126146913691e-4,4.7192723112271726e-5,1583607,ishd,0,50,25,0,4,5,female_ishd,England
28,female,2.6222286817519897e-6,3.909744595441649e-5,8.253126146913691e-4,4.7192723112271726e-5,1583607,ishd,0,50,25,0,4,5,female_ishd,England
29,female,2.6222286817519897e-6,3.909744595441649e-5,8.253126146913691e-4,4.7192723112271726e-5,1583607,ishd,0,50,25,0,4,5,female_ishd,England
30,female,8.847085355170611e-6,7.385519998029898e-5,0.0015991513066927825,1.0055535569031016e-4,1578359,ishd,0,50,30,0,14,5,female_ishd,England
31,female,8.847085355170611e-6,7.385519998029898e-5,0.0015991513066927825,1.0055535569031016e-4,1578359,ishd,0,50,30,0,14,5,female_ishd,England
32,female,8.847085355170611e-6,7.385519998029898e-5,0.0015991513066927825,1.0055535569031016e-4,1578359,ishd,0,50,30,0,14,5,female_ishd,England
33,female,8.847085355170611e-6,7.385519998029898e-5,0.0015991513066927825,1.0055535569031016e-4,1578359,ishd,0,50,30,0,14,5,female_ishd,England
34,female,8.847085355170611e-6,7.385519998029898e-5,0.0015991513066927825,1.0055535569031016e-4,1578359,ishd,0,50,30,0,14,5,female_ishd,England
35,female,2.0241196975921727e-5,1.3242806249606147e-4,0.00310861046096952,1.972139882636501e-4,1498204,ishd,0,50,35,0,30,5,female_ishd,England
36,female,2.0241196975921727e-5,1.3242806249606147e-4,0.00310861046096952,1.972139882636501e-4,1498204,ishd,0,50,35,0,30,5,female_ishd,England
37,female,2.0241196975921727e-5,1.3242806249606147e-4,0.00310861046096952,1.972139882636501e-4,1498204,ishd,0,50,35,0,30,5,female_ishd,England
38,female,2.0241196975921727e-5,1.3242806249606147e-4,0.00310861046096952,1.972139882636501e-4,1498204,ishd,0,50,35,0,30,5,female_ishd,England
39,female,2.0241196975921727e-5,1.3242806249606147e-4,0.00310861046096952,1.972139882636501e-4,1498204,ishd,0,50,35,0,30,5,female_ishd,England
40,female,4.39107561173893e-5,2.4350956323869607e-4,0.005919960040447682,3.849968597931609e-4,1408651,ishd,0,50,40,0,62,5,female_ishd,England
41,female,4.39107561173893e-5,2.4350956323869607e-4,0.005919960040447682,3.849968597931609e-4,1408651,ishd,0,50,40,0,62,5,female_ishd,England
42,female,4.39107561173893e-5,2.4350956323869607e-4,0.005919960040447682,3.849968597931609e-4,1408651,ishd,0,50,40,0,62,5,female_ishd,England
43,female,4.39107561173893e-5,2.4350956323869607e-4,0.005919960040447682,3.849968597931609e-4,1408651,ishd,0,50,40,0,62,5,female_ishd,England
44,female,4.39107561173893e-5,2.4350956323869607e-4,0.005919960040447682,3.849968597931609e-4,1408651,ishd,0,50,40,0,62,5,female_ishd,England
45,female,8.6216565115851e-5,4.05898997660778e-4,0.01021285901293857,6.646456240770186e-4,1575993,ishd,0,50,45,1,136,5,female_ishd,England
46,female,8.6216565115851e-5,4.05898997660778e-4,0.01021285901293857,6.646456240770186e-4,1575993,ishd,0,50,45,1,136,5,female_ishd,England
47,female,8.6216565115851e-5,4.05898997660778e-4,0.01021285901293857,6.646456240770186e-4,1575993,ishd,0,50,45,1,136,5,female_ishd,England
48,female,8.6216565115851e-5,4.05898997660778e-4,0.01021285901293857,6.646456240770186e-4,1575993,ishd,0,50,45,1,136,5,female_ishd,England
49,female,8.6216565115851e-5,4.05898997660778e-4,0.01021285901293857,6.646456240770186e-4,1575993,ishd,0,50,45,1,136,5,female_ishd,England
50,female,1.505557182206046e-4,6.16112015270476e-4,0.016421885986257264,0.0011734031822569913,1582582,ishd,0,50,50,1,238,5,female_ishd,England
51,female,1.505557182206046e-4,6.16112015270476e-4,0.016421885986257264,0.0011734031822569913,1582582,ishd,0,50,50,1,238,5,female_ishd,England
52,female,1.505557182206046e-4,6.16112015270476e-4,0.016421885986257264,0.0011734031822569913,1582582,ishd,0,50,50,1,238,5,female_ishd,England
53,female,1.505557182206046e-4,6.16112015270476e-4,0.016421885986257264,0.0011734031822569913,1582582,ishd,0,50,50,1,238,5,female_ishd,England
54,female,1.505557182206046e-4,6.16112015270476e-4,0.016421885986257264,0.0011734031822569913,1582582,ishd,0,50,50,1,238,5,female_ishd,England
55,female,2.7223483579157966e-4,8.925313000981883e-4,0.025316809950955324,0.0019125447662188644,1390203,ishd,0,50,55,1,378,5,female_ishd,England
56,female,2.7223483579157966e-4,8.925313000981883e-4,0.025316809950955324,0.0019125447662188644,1390203,ishd,0,50,55,1,378,5,female_ishd,England
57,female,2.7223483579157966e-4,8.925313000981883e-4,0.025316809950955324,0.0019125447662188644,1390203,ishd,0,50,55,1,378,5,female_ishd,England
58,female,2.7223483579157966e-4,8.925313000981883e-4,0.025316809950955324,0.0019125447662188644,1390203,ishd,0,50,55,1,378,5,female_ishd,England
59,female,2.7223483579157966e-4,8.925313000981883e-4,0.025316809950955324,0.0019125447662188644,1390203,ishd,0,50,55,1,378,5,female_ishd,England
60,female,4.860597616068059e-4,0.0012863807232775571,0.03792270988234728,0.0034696362956226586,1195743,ishd,0,50,60,2,581,5,female_ishd,England
61,female,4.860597616068059e-4,0.0012863807232775571,0.03792270988234728,0.0034696362956226586,1195743,ishd,0,50,60,2,581,5,female_ishd,England
62,female,4.860597616068059e-4,0.0012863807232775571,0.03792270988234728,0.0034696362956226586,1195743,ishd,0,50,60,2,581,5,female_ishd,England
63,female,4.860597616068059e-4,0.0012863807232775571,0.03792270988234728,0.0034696362956226586,1195743,ishd,0,50,60,2,581,5,female_ishd,England
64,female,4.860597616068059e-4,0.0012863807232775571,0.03792270988234728,0.0034696362956226586,1195743,ishd,0,50,60,2,581,5,female_ishd,England
65,female,8.598192193513462e-4,0.0019204531640744811,0.060274476099324154,0.005844324825428483,1195564,ishd,0,50,65,3,1028,5,female_ishd,England
66,female,8.598192193513462e-4,0.0019204531640744811,0.060274476099324154,0.005844324825428483,1195564,ishd,0,50,65,3,1028,5,female_ishd,England
67,female,8.598192193513462e-4,0.0019204531640744811,0.060274476099324154,0.005844324825428483,1195564,ishd,0,50,65,3,1028,5,female_ishd,England
68,female,8.598192193513462e-4,0.0019204531640744811,0.060274476099324154,0.005844324825428483,1195564,ishd,0,50,65,3,1028,5,female_ishd,England
69,female,8.598192193513462e-4,0.0019204531640744811,0.060274476099324154,0.005844324825428483,1195564,ishd,0,50,65,3,1028,5,female_ishd,England
70,female,0.0015421391865646228,0.0027264543097553647,0.08753378038670898,0.010069774401944035,1045617,ishd,0,50,70,4,1611,5,female_ishd,England
71,female,0.0015421391865646228,0.0027264543097553647,0.08753378038670898,0.010069774401944035,1045617,ishd,0,50,70,4,1611,5,female_ishd,England
72,female,0.0015421391865646228,0.0027264543097553647,0.08753378038670898,0.010069774401944035,1045617,ishd,0,50,70,4,1611,5,female_ishd,England
73,female,0.0015421391865646228,0.0027264543097553647,0.08753378038670898,0.010069774401944035,1045617,ishd,0,50,70,4,1611,5,female_ishd,England
