age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,1303568,stmc,0,10,0,0,0,5,female_stmc,England
1,female,0,0,0,1e-8,1303568,stmc,0,10,0,0,0,5,female_stmc,England
2,female,0,0,0,1e-8,1303568,stmc,0,10,0,0,0,5,female_stmc,England
3,female,0,0,0,1e-8,1303568,stmc,0,10,0,0,0,5,female_stmc,England
4,female,0,0,0,1e-8,1303568,stmc,0,10,0,0,0,5,female_stmc,England
5,female,0,0,0,1e-8,1360455,stmc,0,10,5,0,0,5,female_stmc,England
6,female,0,0,0,1e-8,1360455,stmc,0,10,5,0,0,5,female_stmc,England
7,female,0,0,0,1e-8,1360455,stmc,0,10,5,0,0,5,female_stmc,England
8,female,0,0,0,1e-8,1360455,stmc,0,10,5,0,0,5,female_stmc,England
9,female,0,0,0,1e-8,1360455,stmc,0,10,5,0,0,5,female_stmc,England
10,female,0,0,0,1e-8,1253968,stmc,0,50,10,0,0,5,female_stmc,England
11,female,0,0,0,1e-8,1253968,stmc,0,50,10,0,0,5,female_stmc,England
12,female,0,0,0,1e-8,1253968,stmc,0,50,10,0,0,5,female_stmc,England
13,female,0,0,0,1e-8,1253968,stmc,0,50,10,0,0,5,female_stmc,England
14,female,0,0,0,1e-8,1253968,stmc,0,50,10,0,0,5,female_stmc,England
15,female,1.4402842576844108e-7,1.403557556752133e-7,1.3033385310210848e-6,3.989669818011945e-7,1237874,stmc,0,50,15,0,0,5,female_stmc,England
16,female,1.4402842576844108e-7,1.403557556752133e-7,1.3033385310210848e-6,3.989669818011945e-7,1237874,stmc,0,50,15,0,0,5,female_stmc,England
17,female,1.4402842576844108e-7,1.403557556752133e-7,1.3033385310210848e-6,3.989669818011945e-7,1237874,stmc,0,50,15,0,0,5,female_stmc,England
18,female,1.4402842576844108e-7,1.403557556752133e-7,1.3033385310210848e-6,3.989669818011945e-7,1237874,stmc,0,50,15,0,0,5,female_stmc,England
19,female,1.4402842576844108e-7,1.403557556752133e-7,1.3033385310210848e-6,3.989669818011945e-7,1237874,stmc,0,50,15,0,0,5,female_stmc,England
20,female,4.4074997237244825e-7,4.89018947020367e-7,4.683026552654033e-6,1.3542293746215904e-6,1387453,stmc,0,50,20,0,1,5,female_stmc,England
21,female,4.4074997237244825e-7,4.89018947020367e-7,4.683026552654033e-6,1.3542293746215904e-6,1387453,stmc,0,50,20,0,1,5,female_stmc,England
22,female,4.4074997237244825e-7,4.89018947020367e-7,4.683026552654033e-6,1.3542293746215904e-6,1387453,stmc,0,50,20,0,1,5,female_stmc,England
23,female,4.4074997237244825e-7,4.89018947020367e-7,4.683026552654033e-6,1.3542293746215904e-6,1387453,stmc,0,50,20,0,1,5,female_stmc,England
24,female,4.4074997237244825e-7,4.89018947020367e-7,4.683026552654033e-6,1.3542293746215904e-6,1387453,stmc,0,50,20,0,1,5,female_stmc,England
25,female,1.5741761092967018e-6,1.7848358606807529e-6,1.720014014192474e-5,4.913920866459025e-6,1583607,stmc,0,50,25,0,2,5,female_stmc,England
26,female,1.5741761092967018e-6,1.7848358606807529e-6,1.720014014192474e-5,4.913920866459025e-6,1583607,stmc,0,50,25,0,2,5,female_stmc,England
27,female,1.5741761092967018e-6,1.7848358606807529e-6,1.720014014192474e-5,4.913920866459025e-6,1583607,stmc,0,50,25,0,2,5,female_stmc,England
28,female,1.5741761092967018e-6,1.7848358606807529e-6,1.720014014192474e-5,4.913920866459025e-6,1583607,stmc,0,50,25,0,2,5,female_stmc,England
29,female,1.5741761092967018e-6,1.7848358606807529e-6,1.720014014192474e-5,4.913920866459025e-6,1583607,stmc,0,50,25,0,2,5,female_stmc,England
30,female,4.439670371217984e-6,4.9418623016094245e-6,4.8236123851509706e-5,1.3455339336999186e-5,1578359,stmc,0,50,30,0,7,5,female_stmc,England
31,female,4.439670371217984e-6,4.9418623016094245e-6,4.8236123851509706e-5,1.3455339336999186e-5,1578359,stmc,0,50,30,0,7,5,female_stmc,England
32,female,4.439670371217984e-6,4.9418623016094245e-6,4.8236123851509706e-5,1.3455339336999186e-5,1578359,stmc,0,50,30,0,7,5,female_stmc,England
33,female,4.439670371217984e-6,4.9418623016094245e-6,4.8236123851509706e-5,1.3455339336999186e-5,1578359,stmc,0,50,30,0,7,5,female_stmc,England
34,female,4.439670371217984e-6,4.9418623016094245e-6,4.8236123851509706e-5,1.3455339336999186e-5,1578359,stmc,0,50,30,0,7,5,female_stmc,England
35,female,7.138721984616766e-6,6.329331091308211e-6,5.841986534070861e-5,1.8048595938643103e-5,1498204,stmc,0,50,35,0,11,5,female_stmc,England
36,female,7.138721984616766e-6,6.329331091308211e-6,5.841986534070861e-5,1.8048595938643103e-5,1498204,stmc,0,50,35,0,11,5,female_stmc,England
37,female,7.138721984616766e-6,6.329331091308211e-6,5.841986534070861e-5,1.8048595938643103e-5,1498204,stmc,0,50,35,0,11,5,female_stmc,England
38,female,7.138721984616766e-6,6.329331091308211e-6,5.841986534070861e-5,1.8048595938643103e-5,1498204,stmc,0,50,35,0,11,5,female_stmc,England
39,female,7.138721984616766e-6,6.329331091308211e-6,5.841986534070861e-5,1.8048595938643103e-5,1498204,stmc,0,50,35,0,11,5,female_stmc,England
40,female,1.3545811980790939e-5,1.0246287405304203e-5,9.30763853324938e-5,2.9686458955140714e-5,1408651,stmc,0,50,40,0,19,5,female_stmc,England
41,female,1.3545811980790939e-5,1.0246287405304203e-5,9.30763853324938e-5,2.9686458955140714e-5,1408651,stmc,0,50,40,0,19,5,female_stmc,England
42,female,1.3545811980790939e-5,1.0246287405304203e-5,9.30763853324938e-5,2.9686458955140714e-5,1408651,stmc,0,50,40,0,19,5,female_stmc,England
43,female,1.3545811980790939e-5,1.0246287405304203e-5,9.30763853324938e-5,2.9686458955140714e-5,1408651,stmc,0,50,40,0,19,5,female_stmc,England
44,female,1.3545811980790939e-5,1.0246287405304203e-5,9.30763853324938e-5,2.9686458955140714e-5,1408651,stmc,0,50,40,0,19,5,female_stmc,England
45,female,1.8901528902335385e-5,1.3940496826186073e-5,1.2955031752312558e-4,4.065946685941894e-5,1575993,stmc,0,50,45,0,30,5,female_stmc,England
46,female,1.8901528902335385e-5,1.3940496826186073e-5,1.2955031752312558e-4,4.065946685941894e-5,1575993,stmc,0,50,45,0,30,5,female_stmc,England
47,female,1.8901528902335385e-5,1.3940496826186073e-5,1.2955031752312558e-4,4.065946685941894e-5,1575993,stmc,0,50,45,0,30,5,female_stmc,England
48,female,1.8901528902335385e-5,1.3940496826186073e-5,1.2955031752312558e-4,4.065946685941894e-5,1575993,stmc,0,50,45,0,30,5,female_stmc,England
49,female,1.8901528902335385e-5,1.3940496826186073e-5,1.2955031752312558e-4,4.065946685941894e-5,1575993,stmc,0,50,45,0,30,5,female_stmc,England
50,female,3.0313517434582688e-5,2.073012078656098e-5,1.910832703079027e-4,6.150161321179834e-5,1582582,stmc,0,50,50,0,48,5,female_stmc,England
51,female,3.0313517434582688e-5,2.073012078656098e-5,1.910832703079027e-4,6.150161321179834e-5,1582582,stmc,0,50,50,0,48,5,female_stmc,England
52,female,3.0313517434582688e-5,2.073012078656098e-5,1.910832703079027e-4,6.150161321179834e-5,1582582,stmc,0,50,50,0,48,5,female_stmc,England
53,female,3.0313517434582688e-5,2.073012078656098e-5,1.910832703079027e-4,6.150161321179834e-5,1582582,stmc,0,50,50,0,48,5,female_stmc,England
54,female,3.0313517434582688e-5,2.073012078656098e-5,1.910832703079027e-4,6.150161321179834e-5,1582582,stmc,0,50,50,0,48,5,female_stmc,England
55,female,5.180130949483076e-5,3.290086559024088e-5,2.959224572888122e-4,9.92286011784233e-5,1390203,stmc,0,50,55,0,72,5,female_stmc,England
56,female,5.180130949483076e-5,3.290086559024088e-5,2.959224572888122e-4,9.92286011784233e-5,1390203,stmc,0,50,55,0,72,5,female_stmc,England
57,female,5.180130949483076e-5,3.290086559024088e-5,2.959224572888122e-4,9.92286011784233e-5,1390203,stmc,0,50,55,0,72,5,female_stmc,England
58,female,5.180130949483076e-5,3.290086559024088e-5,2.959224572888122e-4,9.92286011784233e-5,1390203,stmc,0,50,55,0,72,5,female_stmc,England
59,female,5.180130949483076e-5,3.290086559024088e-5,2.959224572888122e-4,9.92286011784233e-5,1390203,stmc,0,50,55,0,72,5,female_stmc,England
60,female,8.192611456008788e-5,4.525262578361064e-5,3.834838501321249e-4,1.4223711287024294e-4,1195743,stmc,0,50,60,0,98,5,female_stmc,England
61,female,8.192611456008788e-5,4.525262578361064e-5,3.834838501321249e-4,1.4223711287024294e-4,1195743,stmc,0,50,60,0,98,5,female_stmc,England
62,female,8.192611456008788e-5,4.525262578361064e-5,3.834838501321249e-4,1.4223711287024294e-4,1195743,stmc,0,50,60,0,98,5,female_stmc,England
63,female,8.192611456008788e-5,4.525262578361064e-5,3.834838501321249e-4,1.4223711287024294e-4,1195743,stmc,0,50,60,0,98,5,female_stmc,England
64,female,8.192611456008788e-5,4.525262578361064e-5,3.834838501321249e-4,1.4223711287024294e-4,1195743,stmc,0,50,60,0,98,5,female_stmc,England
65,female,1.2836538281516967e-4,6.298968874653378e-5,5.030568971874495e-4,2.0529178653076518e-4,1195564,stmc,0,50,65,0,153,5,female_stmc,England
66,female,1.2836538281516967e-4,6.298968874653378e-5,5.030568971874495e-4,2.0529178653076518e-4,1195564,stmc,0,50,65,0,153,5,female_stmc,England
67,female,1.2836538281516967e-4,6.298968874653378e-5,5.030568971874495e-4,2.0529178653076518e-4,1195564,stmc,0,50,65,0,153,5,female_stmc,England
68,female,1.2836538281516967e-4,6.298968874653378e-5,5.030568971874495e-4,2.0529178653076518e-4,1195564,stmc,0,50,65,0,153,5,female_stmc,England
69,female,1.2836538281516967e-4,6.298968874653378e-5,5.030568971874495e-4,2.0529178653076518e-4,1195564,stmc,0,50,65,0,153,5,female_stmc,England
70,female,2.0754750697356443e-4,1.1095272256192131e-4,9.662492342770742e-4,3.5863355821191264e-4,1045617,stmc,0,50,70,0,217,5,female_stmc,England
71,female,2.0754750697356443e-4,1.1095272256192131e-4,9.662492342770742e-4,3.5863355821191264e-4,1045617,stmc,0,50,70,0,217,5,female_stmc,England
72,female,2.0754750697356443e-4,1.1095272256192131e-4,9.662492342770742e-4,3.5863355821191264e-4,1045617,stmc,0,50,70,0,217,5,female_stmc,England
73,female,2.0754750697356443e-4,1.1095272256192131e-4,9.662492342770742e-4,3.5863355821191264e-4,1045617,stmc,0,50,70,0,217,5,female_stmc,England
74,female,2.0754750697356443e-4,1.1095272256192131e-4,9.662492342770742e-4,3.5863355821191264e-4,1045617,stmc,0,50,70,0,217,5,female_stmc,England
75,female,3.957081079631559e-4,1.577707825907961e-4,0.0012921676647308649,5.929015954407743e-4,778572,stmc,0,50,75,0,308,5,female_stmc,England
76,female,3.957081079631559e-4,1.577707825907961e-4,0.0012921676647308649,5.929015954407743e-4,778572,stmc,0,50,75,0,308,5,female_stmc,England
77,female,3.957081079631559e-4,1.577707825907961e-4,0.0012921676647308649,5.929015954407743e-4,778572,stmc,0,50,75,0,308,5,female_stmc,England
78,female,3.957081079631559e-4,1.577707825907961e-4,0.0012921676647308649,5.929015954407743e-4,778572,stmc,0,50,75,0,308,5,female_stmc,England
79,female,3.957081079631559e-4,1.577707825907961e-4,0.0012921676647308649,5.929015954407743e-4,778572,stmc,0,50,75,0,308,5,female_stmc,England
80,female,6.33954032243205e-4,2.045077607378081e-4,0.0014877111758233516,8.386822928846044e-4,602821,stmc,0,20,80,0,382,5,female_stmc,England
81,female,6.33954032243205e-4,2.045077607378081e-4,0.0014877111758233516,8.386822928846044e-4,602821,stmc,0,20,80,0,382,5,female_stmc,England
82,female,6.33954032243205e-4,2.045077607378081e-4,0.0014877111758233516,8.386822928846044e-4,602821,stmc,0,20,80,0,382,5,female_stmc,England
83,female,6.33954032243205e-4,2.045077607378081e-4,0.0014877111758233516,8.386822928846044e-4,602821,stmc,0,20,80,0,382,5,female_stmc,England
84,female,6.33954032243205e-4,2.045077607378081e-4,0.0014877111758233516,8.386822928846044e-4,602821,stmc,0,20,80,0,382,5,female_stmc,England
85,female,9.502063299208233e-4,2.894744744008047e-4,0.0020170189058928236,0.001261076654320893,400548,stmc,0,20,85,0,380,5,female_stmc,England
86,female,9.502063299208233e-4,2.894744744008047e-4,0.0020170189058928236,0.001261076654320893,400548,stmc,0,20,85,0,380,5,female_stmc,England
87,female,9.502063299208233e-4,2.894744744008047e-4,0.0020170189058928236,0.001261076654320893,400548,stmc,0,20,85,0,380,5,female_stmc,England
88,female,9.502063299208233e-4,2.894744744008047e-4,0.0020170189058928236,0.001261076654320893,400548,stmc,0,20,85,0,380,5,female_stmc,England
89,female,9.502063299208233e-4,2.894744744008047e-4,0.0020170189058928236,0.001261076654320893,400548,stmc,0,20,85,0,380,5,female_stmc,England
90,female,0.0013559371664997569,3.85343210632963e-4,0.002489869023274224,0.001808986152675029,200042,stmc,0,10,90,0,271,5,female_stmc,England
91,female,0.0013559371664997569,3.85343210632963e-4,0.002489869023274224,0.001808986152675029,200042,stmc,0,10,90,0,271,5,female_stmc,England
92,female,0.0013559371664997569,3.85343210632963e-4,0.002489869023274224,0.001808986152675029,200042,stmc,0,10,90,0,271,5,female_stmc,England
93,female,0.0013559371664997569,3.85343210632963e-4,0.002489869023274224,0.001808986152675029,200042,stmc,0,10,90,0,271,5,female_stmc,England
