age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.4098863331429581e-6,3.2044981419969076e-5,1.9934750361872274e-6,8.520695855102524e-5,1303568,strk,0,10,0,0,2,5,female_strk,England
1,female,1.4098863331429581e-6,3.2044981419969076e-5,1.9934750361872274e-6,8.520695855102524e-5,1303568,strk,0,10,0,0,2,5,female_strk,England
2,female,1.4098863331429581e-6,3.2044981419969076e-5,1.9934750361872274e-6,8.520695855102524e-5,1303568,strk,0,10,0,0,2,5,female_strk,England
3,female,1.4098863331429581e-6,3.2044981419969076e-5,1.9934750361872274e-6,8.520695855102524e-5,1303568,strk,0,10,0,0,2,5,female_strk,England
4,female,1.4098863331429581e-6,3.2044981419969076e-5,1.9934750361872274e-6,8.520695855102524e-5,1303568,strk,0,10,0,0,2,5,female_strk,England
5,female,5.513166187027966e-7,8.778211176922672e-5,2.347098091383733e-4,6.138000871080816e-5,1360455,strk,0,10,5,0,1,5,female_strk,England
6,female,5.513166187027966e-7,8.778211176922672e-5,2.347098091383733e-4,6.138000871080816e-5,1360455,strk,0,10,5,0,1,5,female_strk,England
7,female,5.513166187027966e-7,8.778211176922672e-5,2.347098091383733e-4,6.138000871080816e-5,1360455,strk,0,10,5,0,1,5,female_strk,England
8,female,5.513166187027966e-7,8.778211176922672e-5,2.347098091383733e-4,6.138000871080816e-5,1360455,strk,0,10,5,0,1,5,female_strk,England
9,female,5.513166187027966e-7,8.778211176922672e-5,2.347098091383733e-4,6.138000871080816e-5,1360455,strk,0,10,5,0,1,5,female_strk,England
10,female,1.0040462541341502e-6,1.3842612166161717e-4,4.532849902790502e-4,5.623661813996464e-5,1253968,strk,0,50,10,0,1,5,female_strk,England
11,female,1.0040462541341502e-6,1.3842612166161717e-4,4.532849902790502e-4,5.623661813996464e-5,1253968,strk,0,50,10,0,1,5,female_strk,England
12,female,1.0040462541341502e-6,1.3842612166161717e-4,4.532849902790502e-4,5.623661813996464e-5,1253968,strk,0,50,10,0,1,5,female_strk,England
13,female,1.0040462541341502e-6,1.3842612166161717e-4,4.532849902790502e-4,5.623661813996464e-5,1253968,strk,0,50,10,0,1,5,female_strk,England
14,female,1.0040462541341502e-6,1.3842612166161717e-4,4.532849902790502e-4,5.623661813996464e-5,1253968,strk,0,50,10,0,1,5,female_strk,England
15,female,2.2195048239083377e-6,1.8556433788096983e-4,7.752970627091748e-4,5.308032472934993e-5,1237874,strk,0,50,15,0,3,5,female_strk,England
16,female,2.2195048239083377e-6,1.8556433788096983e-4,7.752970627091748e-4,5.308032472934993e-5,1237874,strk,0,50,15,0,3,5,female_strk,England
17,female,2.2195048239083377e-6,1.8556433788096983e-4,7.752970627091748e-4,5.308032472934993e-5,1237874,strk,0,50,15,0,3,5,female_strk,England
18,female,2.2195048239083377e-6,1.8556433788096983e-4,7.752970627091748e-4,5.308032472934993e-5,1237874,strk,0,50,15,0,3,5,female_strk,England
19,female,2.2195048239083377e-6,1.8556433788096983e-4,7.752970627091748e-4,5.308032472934993e-5,1237874,strk,0,50,15,0,3,5,female_strk,England
20,female,4.795458953328082e-6,2.3800995287287388e-4,0.0010492984378631858,6.833278446010253e-5,1387453,strk,0,50,20,0,7,5,female_strk,England
21,female,4.795458953328082e-6,2.3800995287287388e-4,0.0010492984378631858,6.833278446010253e-5,1387453,strk,0,50,20,0,7,5,female_strk,England
22,female,4.795458953328082e-6,2.3800995287287388e-4,0.0010492984378631858,6.833278446010253e-5,1387453,strk,0,50,20,0,7,5,female_strk,England
23,female,4.795458953328082e-6,2.3800995287287388e-4,0.0010492984378631858,6.833278446010253e-5,1387453,strk,0,50,20,0,7,5,female_strk,England
24,female,4.795458953328082e-6,2.3800995287287388e-4,0.0010492984378631858,6.833278446010253e-5,1387453,strk,0,50,20,0,7,5,female_strk,England
25,female,7.30730518182404e-6,3.001762834770192e-4,0.0015397628784749437,1.0191133039434019e-4,1583607,strk,0,50,25,0,12,5,female_strk,England
26,female,7.30730518182404e-6,3.001762834770192e-4,0.0015397628784749437,1.0191133039434019e-4,1583607,strk,0,50,25,0,12,5,female_strk,England
27,female,7.30730518182404e-6,3.001762834770192e-4,0.0015397628784749437,1.0191133039434019e-4,1583607,strk,0,50,25,0,12,5,female_strk,England
28,female,7.30730518182404e-6,3.001762834770192e-4,0.0015397628784749437,1.0191133039434019e-4,1583607,strk,0,50,25,0,12,5,female_strk,England
29,female,7.30730518182404e-6,3.001762834770192e-4,0.0015397628784749437,1.0191133039434019e-4,1583607,strk,0,50,25,0,12,5,female_strk,England
30,female,1.4846652163333053e-5,3.913200379230558e-4,0.002365231115014374,1.9060624895640306e-4,1578359,strk,0,50,30,0,23,5,female_strk,England
31,female,1.4846652163333053e-5,3.913200379230558e-4,0.002365231115014374,1.9060624895640306e-4,1578359,strk,0,50,30,0,23,5,female_strk,England
32,female,1.4846652163333053e-5,3.913200379230558e-4,0.002365231115014374,1.9060624895640306e-4,1578359,strk,0,50,30,0,23,5,female_strk,England
33,female,1.4846652163333053e-5,3.913200379230558e-4,0.002365231115014374,1.9060624895640306e-4,1578359,strk,0,50,30,0,23,5,female_strk,England
34,female,1.4846652163333053e-5,3.913200379230558e-4,0.002365231115014374,1.9060624895640306e-4,1578359,strk,0,50,30,0,23,5,female_strk,England
35,female,2.5160097757949996e-5,5.552885230561904e-4,0.0038273930975343618,3.345015168377107e-4,1498204,strk,0,50,35,0,38,5,female_strk,England
36,female,2.5160097757949996e-5,5.552885230561904e-4,0.0038273930975343618,3.345015168377107e-4,1498204,strk,0,50,35,0,38,5,female_strk,England
37,female,2.5160097757949996e-5,5.552885230561904e-4,0.0038273930975343618,3.345015168377107e-4,1498204,strk,0,50,35,0,38,5,female_strk,England
38,female,2.5160097757949996e-5,5.552885230561904e-4,0.0038273930975343618,3.345015168377107e-4,1498204,strk,0,50,35,0,38,5,female_strk,England
39,female,2.5160097757949996e-5,5.552885230561904e-4,0.0038273930975343618,3.345015168377107e-4,1498204,strk,0,50,35,0,38,5,female_strk,England
40,female,4.453468083637622e-5,8.060275491483715e-4,0.006042480339194247,5.315938011849737e-4,1408651,strk,0,50,40,0,63,5,female_strk,England
41,female,4.453468083637622e-5,8.060275491483715e-4,0.006042480339194247,5.315938011849737e-4,1408651,strk,0,50,40,0,63,5,female_strk,England
42,female,4.453468083637622e-5,8.060275491483715e-4,0.006042480339194247,5.315938011849737e-4,1408651,strk,0,50,40,0,63,5,female_strk,England
43,female,4.453468083637622e-5,8.060275491483715e-4,0.006042480339194247,5.315938011849737e-4,1408651,strk,0,50,40,0,63,5,female_strk,England
44,female,4.453468083637622e-5,8.060275491483715e-4,0.006042480339194247,5.315938011849737e-4,1408651,strk,0,50,40,0,63,5,female_strk,England
45,female,6.932684621798515e-5,0.0011920731650691728,0.009143983165108331,7.816586977882576e-4,1575993,strk,0,50,45,0,109,5,female_strk,England
46,female,6.932684621798515e-5,0.0011920731650691728,0.009143983165108331,7.816586977882576e-4,1575993,strk,0,50,45,0,109,5,female_strk,England
47,female,6.932684621798515e-5,0.0011920731650691728,0.009143983165108331,7.816586977882576e-4,1575993,strk,0,50,45,0,109,5,female_strk,England
48,female,6.932684621798515e-5,0.0011920731650691728,0.009143983165108331,7.816586977882576e-4,1575993,strk,0,50,45,0,109,5,female_strk,England
49,female,6.932684621798515e-5,0.0011920731650691728,0.009143983165108331,7.816586977882576e-4,1575993,strk,0,50,45,0,109,5,female_strk,England
50,female,1.090897219461669e-4,0.0017512514889402215,0.013512090290253916,0.0010949877110054665,1582582,strk,0,50,50,1,173,5,female_strk,England
51,female,1.090897219461669e-4,0.0017512514889402215,0.013512090290253916,0.0010949877110054665,1582582,strk,0,50,50,1,173,5,female_strk,England
52,female,1.090897219461669e-4,0.0017512514889402215,0.013512090290253916,0.0010949877110054665,1582582,strk,0,50,50,1,173,5,female_strk,England
53,female,1.090897219461669e-4,0.0017512514889402215,0.013512090290253916,0.0010949877110054665,1582582,strk,0,50,50,1,173,5,female_strk,England
