age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,1303568,utrc,0,10,0,0,0,5,female_utrc,England
1,female,0,0,0,1e-8,1303568,utrc,0,10,0,0,0,5,female_utrc,England
2,female,0,0,0,1e-8,1303568,utrc,0,10,0,0,0,5,female_utrc,England
3,female,0,0,0,1e-8,1303568,utrc,0,10,0,0,0,5,female_utrc,England
4,female,0,0,0,1e-8,1303568,utrc,0,10,0,0,0,5,female_utrc,England
5,female,0,0,0,1e-8,1360455,utrc,0,10,5,0,0,5,female_utrc,England
6,female,0,0,0,1e-8,1360455,utrc,0,10,5,0,0,5,female_utrc,England
7,female,0,0,0,1e-8,1360455,utrc,0,10,5,0,0,5,female_utrc,England
8,female,0,0,0,1e-8,1360455,utrc,0,10,5,0,0,5,female_utrc,England
9,female,0,0,0,1e-8,1360455,utrc,0,10,5,0,0,5,female_utrc,England
10,female,0,0,0,1e-8,1253968,utrc,0,50,10,0,0,5,female_utrc,England
11,female,0,0,0,1e-8,1253968,utrc,0,50,10,0,0,5,female_utrc,England
12,female,0,0,0,1e-8,1253968,utrc,0,50,10,0,0,5,female_utrc,England
13,female,0,0,0,1e-8,1253968,utrc,0,50,10,0,0,5,female_utrc,England
14,female,0,0,0,1e-8,1253968,utrc,0,50,10,0,0,5,female_utrc,England
15,female,1.0348101889281865e-7,1.0902962385145614e-6,1.6294100972846715e-5,1.8982596960372752e-6,1237874,utrc,0,50,15,0,0,5,female_utrc,England
16,female,1.0348101889281865e-7,1.0902962385145614e-6,1.6294100972846715e-5,1.8982596960372752e-6,1237874,utrc,0,50,15,0,0,5,female_utrc,England
17,female,1.0348101889281865e-7,1.0902962385145614e-6,1.6294100972846715e-5,1.8982596960372752e-6,1237874,utrc,0,50,15,0,0,5,female_utrc,England
18,female,1.0348101889281865e-7,1.0902962385145614e-6,1.6294100972846715e-5,1.8982596960372752e-6,1237874,utrc,0,50,15,0,0,5,female_utrc,England
19,female,1.0348101889281865e-7,1.0902962385145614e-6,1.6294100972846715e-5,1.8982596960372752e-6,1237874,utrc,0,50,15,0,0,5,female_utrc,England
20,female,1.5774309415850158e-7,1.8995740426084662e-6,2.8402204256638367e-5,3.301601229647632e-6,1387453,utrc,0,50,20,0,0,5,female_utrc,England
21,female,1.5774309415850158e-7,1.8995740426084662e-6,2.8402204256638367e-5,3.301601229647632e-6,1387453,utrc,0,50,20,0,0,5,female_utrc,England
22,female,1.5774309415850158e-7,1.8995740426084662e-6,2.8402204256638367e-5,3.301601229647632e-6,1387453,utrc,0,50,20,0,0,5,female_utrc,England
23,female,1.5774309415850158e-7,1.8995740426084662e-6,2.8402204256638367e-5,3.301601229647632e-6,1387453,utrc,0,50,20,0,0,5,female_utrc,England
24,female,1.5774309415850158e-7,1.8995740426084662e-6,2.8402204256638367e-5,3.301601229647632e-6,1387453,utrc,0,50,20,0,0,5,female_utrc,England
25,female,4.0364927949708147e-7,5.707646712105961e-6,8.6250100798965e-5,1.001868453724325e-5,1583607,utrc,0,50,25,0,1,5,female_utrc,England
26,female,4.0364927949708147e-7,5.707646712105961e-6,8.6250100798965e-5,1.001868453724325e-5,1583607,utrc,0,50,25,0,1,5,female_utrc,England
27,female,4.0364927949708147e-7,5.707646712105961e-6,8.6250100798965e-5,1.001868453724325e-5,1583607,utrc,0,50,25,0,1,5,female_utrc,England
28,female,4.0364927949708147e-7,5.707646712105961e-6,8.6250100798965e-5,1.001868453724325e-5,1583607,utrc,0,50,25,0,1,5,female_utrc,England
29,female,4.0364927949708147e-7,5.707646712105961e-6,8.6250100798965e-5,1.001868453724325e-5,1583607,utrc,0,50,25,0,1,5,female_utrc,England
30,female,8.237759357547679e-7,1.0352558797202124e-5,1.5877250449783734e-4,1.8480808147798406e-5,1578359,utrc,0,50,30,0,1,5,female_utrc,England
31,female,8.237759357547679e-7,1.0352558797202124e-5,1.5877250449783734e-4,1.8480808147798406e-5,1578359,utrc,0,50,30,0,1,5,female_utrc,England
32,female,8.237759357547679e-7,1.0352558797202124e-5,1.5877250449783734e-4,1.8480808147798406e-5,1578359,utrc,0,50,30,0,1,5,female_utrc,England
33,female,8.237759357547679e-7,1.0352558797202124e-5,1.5877250449783734e-4,1.8480808147798406e-5,1578359,utrc,0,50,30,0,1,5,female_utrc,England
34,female,8.237759357547679e-7,1.0352558797202124e-5,1.5877250449783734e-4,1.8480808147798406e-5,1578359,utrc,0,50,30,0,1,5,female_utrc,England
35,female,1.6556195919449323e-6,2.0468561453010617e-5,3.15809176970173e-4,3.670795571887071e-5,1498204,utrc,0,50,35,0,2,5,female_utrc,England
36,female,1.6556195919449323e-6,2.0468561453010617e-5,3.15809176970173e-4,3.670795571887071e-5,1498204,utrc,0,50,35,0,2,5,female_utrc,England
37,female,1.6556195919449323e-6,2.0468561453010617e-5,3.15809176970173e-4,3.670795571887071e-5,1498204,utrc,0,50,35,0,2,5,female_utrc,England
38,female,1.6556195919449323e-6,2.0468561453010617e-5,3.15809176970173e-4,3.670795571887071e-5,1498204,utrc,0,50,35,0,2,5,female_utrc,England
39,female,1.6556195919449323e-6,2.0468561453010617e-5,3.15809176970173e-4,3.670795571887071e-5,1498204,utrc,0,50,35,0,2,5,female_utrc,England
40,female,4.211753130122797e-6,4.534930224970124e-5,7.007332467954162e-4,8.159086801108462e-5,1408651,utrc,0,50,40,0,6,5,female_utrc,England
41,female,4.211753130122797e-6,4.534930224970124e-5,7.007332467954162e-4,8.159086801108462e-5,1408651,utrc,0,50,40,0,6,5,female_utrc,England
42,female,4.211753130122797e-6,4.534930224970124e-5,7.007332467954162e-4,8.159086801108462e-5,1408651,utrc,0,50,40,0,6,5,female_utrc,England
43,female,4.211753130122797e-6,4.534930224970124e-5,7.007332467954162e-4,8.159086801108462e-5,1408651,utrc,0,50,40,0,6,5,female_utrc,England
44,female,4.211753130122797e-6,4.534930224970124e-5,7.007332467954162e-4,8.159086801108462e-5,1408651,utrc,0,50,40,0,6,5,female_utrc,England
45,female,9.555967249659193e-6,9.26766466112915e-5,0.0014296536028968504,1.6709401107680322e-4,1575993,utrc,0,50,45,0,15,5,female_utrc,England
46,female,9.555967249659193e-6,9.26766466112915e-5,0.0014296536028968504,1.6709401107680322e-4,1575993,utrc,0,50,45,0,15,5,female_utrc,England
47,female,9.555967249659193e-6,9.26766466112915e-5,0.0014296536028968504,1.6709401107680322e-4,1575993,utrc,0,50,45,0,15,5,female_utrc,England
48,female,9.555967249659193e-6,9.26766466112915e-5,0.0014296536028968504,1.6709401107680322e-4,1575993,utrc,0,50,45,0,15,5,female_utrc,England
49,female,9.555967249659193e-6,9.26766466112915e-5,0.0014296536028968504,1.6709401107680322e-4,1575993,utrc,0,50,45,0,15,5,female_utrc,England
50,female,2.2030170237072788e-5,2.0732848851620712e-4,0.0032470670453269607,3.8067918708392336e-4,1582582,utrc,0,50,50,0,35,5,female_utrc,England
51,female,2.2030170237072788e-5,2.0732848851620712e-4,0.0032470670453269607,3.8067918708392336e-4,1582582,utrc,0,50,50,0,35,5,female_utrc,England
52,female,2.2030170237072788e-5,2.0732848851620712e-4,0.0032470670453269607,3.8067918708392336e-4,1582582,utrc,0,50,50,0,35,5,female_utrc,England
53,female,2.2030170237072788e-5,2.0732848851620712e-4,0.0032470670453269607,3.8067918708392336e-4,1582582,utrc,0,50,50,0,35,5,female_utrc,England
54,female,2.2030170237072788e-5,2.0732848851620712e-4,0.0032470670453269607,3.8067918708392336e-4,1582582,utrc,0,50,50,0,35,5,female_utrc,England
55,female,4.910934657392032e-5,3.933521515955368e-4,0.0062161574617149605,7.35169734892075e-4,1390203,utrc,0,50,55,0,68,5,female_utrc,England
56,female,4.910934657392032e-5,3.933521515955368e-4,0.0062161574617149605,7.35169734892075e-4,1390203,utrc,0,50,55,0,68,5,female_utrc,England
57,female,4.910934657392032e-5,3.933521515955368e-4,0.0062161574617149605,7.35169734892075e-4,1390203,utrc,0,50,55,0,68,5,female_utrc,England
58,female,4.910934657392032e-5,3.933521515955368e-4,0.0062161574617149605,7.35169734892075e-4,1390203,utrc,0,50,55,0,68,5,female_utrc,England
59,female,4.910934657392032e-5,3.933521515955368e-4,0.0062161574617149605,7.35169734892075e-4,1390203,utrc,0,50,55,0,68,5,female_utrc,England
60,female,8.952393683932183e-5,4.6619554669279556e-4,0.007312828606732017,8.85006176641911e-4,1195743,utrc,0,50,60,0,107,5,female_utrc,England
61,female,8.952393683932183e-5,4.6619554669279556e-4,0.007312828606732017,8.85006176641911e-4,1195743,utrc,0,50,60,0,107,5,female_utrc,England
62,female,8.952393683932183e-5,4.6619554669279556e-4,0.007312828606732017,8.85006176641911e-4,1195743,utrc,0,50,60,0,107,5,female_utrc,England
63,female,8.952393683932183e-5,4.6619554669279556e-4,0.007312828606732017,8.85006176641911e-4,1195743,utrc,0,50,60,0,107,5,female_utrc,England
64,female,8.952393683932183e-5,4.6619554669279556e-4,0.007312828606732017,8.85006176641911e-4,1195743,utrc,0,50,60,0,107,5,female_utrc,England
65,female,1.4862371005295306e-4,5.309934608456969e-4,0.008203997842158089,0.0010267704646365285,1195564,utrc,0,50,65,0,178,5,female_utrc,England
66,female,1.4862371005295306e-4,5.309934608456969e-4,0.008203997842158089,0.0010267704646365285,1195564,utrc,0,50,65,0,178,5,female_utrc,England
67,female,1.4862371005295306e-4,5.309934608456969e-4,0.008203997842158089,0.0010267704646365285,1195564,utrc,0,50,65,0,178,5,female_utrc,England
68,female,1.4862371005295306e-4,5.309934608456969e-4,0.008203997842158089,0.0010267704646365285,1195564,utrc,0,50,65,0,178,5,female_utrc,England
69,female,1.4862371005295306e-4,5.309934608456969e-4,0.008203997842158089,0.0010267704646365285,1195564,utrc,0,50,65,0,178,5,female_utrc,England
70,female,1.9364542228350866e-4,5.215505546991968e-4,0.007847289558767144,0.0010299432502583344,1045617,utrc,0,50,70,0,202,5,female_utrc,England
71,female,1.9364542228350866e-4,5.215505546991968e-4,0.007847289558767144,0.0010299432502583344,1045617,utrc,0,50,70,0,202,5,female_utrc,England
72,female,1.9364542228350866e-4,5.215505546991968e-4,0.007847289558767144,0.0010299432502583344,1045617,utrc,0,50,70,0,202,5,female_utrc,England
73,female,1.9364542228350866e-4,5.215505546991968e-4,0.007847289558767144,0.0010299432502583344,1045617,utrc,0,50,70,0,202,5,female_utrc,England
74,female,1.9364542228350866e-4,5.215505546991968e-4,0.007847289558767144,0.0010299432502583344,1045617,utrc,0,50,70,0,202,5,female_utrc,England
75,female,2.5610186995419425e-4,4.8309937875747305e-4,0.006883613735844367,9.910288005576208e-4,778572,utrc,0,50,75,0,199,5,female_utrc,England
76,female,2.5610186995419425e-4,4.8309937875747305e-4,0.006883613735844367,9.910288005576208e-4,778572,utrc,0,50,75,0,199,5,female_utrc,England
77,female,2.5610186995419425e-4,4.8309937875747305e-4,0.006883613735844367,9.910288005576208e-4,778572,utrc,0,50,75,0,199,5,female_utrc,England
78,female,2.5610186995419425e-4,4.8309937875747305e-4,0.006883613735844367,9.910288005576208e-4,778572,utrc,0,50,75,0,199,5,female_utrc,England
79,female,2.5610186995419425e-4,4.8309937875747305e-4,0.006883613735844367,9.910288005576208e-4,778572,utrc,0,50,75,0,199,5,female_utrc,England
80,female,3.0538494845922106e-4,3.260847395183675e-4,0.00419469874085428,7.094041127470854e-4,602821,utrc,0,20,80,0,184,5,female_utrc,England
81,female,3.0538494845922106e-4,3.260847395183675e-4,0.00419469874085428,7.094041127470854e-4,602821,utrc,0,20,80,0,184,5,female_utrc,England
82,female,3.0538494845922106e-4,3.260847395183675e-4,0.00419469874085428,7.094041127470854e-4,602821,utrc,0,20,80,0,184,5,female_utrc,England
83,female,3.0538494845922106e-4,3.260847395183675e-4,0.00419469874085428,7.094041127470854e-4,602821,utrc,0,20,80,0,184,5,female_utrc,England
84,female,3.0538494845922106e-4,3.260847395183675e-4,0.00419469874085428,7.094041127470854e-4,602821,utrc,0,20,80,0,184,5,female_utrc,England
85,female,3.826823189238077e-4,4.0638833245110195e-4,0.004505761807270254,8.902517730950265e-4,400548,utrc,0,20,85,0,153,5,female_utrc,England
86,female,3.826823189238077e-4,4.0638833245110195e-4,0.004505761807270254,8.902517730950265e-4,400548,utrc,0,20,85,0,153,5,female_utrc,England
