age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,1370518,brsc,0,10,0,0,0,5,male_brsc,England
1,male,0,0,0,1e-8,1370518,brsc,0,10,0,0,0,5,male_brsc,England
2,male,0,0,0,1e-8,1370518,brsc,0,10,0,0,0,5,male_brsc,England
3,male,0,0,0,1e-8,1370518,brsc,0,10,0,0,0,5,male_brsc,England
4,male,0,0,0,1e-8,1370518,brsc,0,10,0,0,0,5,male_brsc,England
5,male,0,0,0,1e-8,1427100,brsc,0,10,5,0,0,5,male_brsc,England
6,male,0,0,0,1e-8,1427100,brsc,0,10,5,0,0,5,male_brsc,England
7,male,0,0,0,1e-8,1427100,brsc,0,10,5,0,0,5,male_brsc,England
8,male,0,0,0,1e-8,1427100,brsc,0,10,5,0,0,5,male_brsc,England
9,male,0,0,0,1e-8,1427100,brsc,0,10,5,0,0,5,male_brsc,England
10,male,0,0,0,1e-8,1314525,brsc,0,50,10,0,0,5,male_brsc,England
11,male,0,0,0,1e-8,1314525,brsc,0,50,10,0,0,5,male_brsc,England
12,male,0,0,0,1e-8,1314525,brsc,0,50,10,0,0,5,male_brsc,England
13,male,0,0,0,1e-8,1314525,brsc,0,50,10,0,0,5,male_brsc,England
14,male,0,0,0,1e-8,1314525,brsc,0,50,10,0,0,5,male_brsc,England
15,male,8.707178942945778e-8,5.290009968540676e-7,5.681837248935828e-6,6.354089680746157e-7,1297063,brsc,0,50,15,0,0,5,male_brsc,England
16,male,8.707178942945778e-8,5.290009968540676e-7,5.681837248935828e-6,6.354089680746157e-7,1297063,brsc,0,50,15,0,0,5,male_brsc,England
17,male,8.707178942945778e-8,5.290009968540676e-7,5.681837248935828e-6,6.354089680746157e-7,1297063,brsc,0,50,15,0,0,5,male_brsc,England
18,male,8.707178942945778e-8,5.290009968540676e-7,5.681837248935828e-6,6.354089680746157e-7,1297063,brsc,0,50,15,0,0,5,male_brsc,England
19,male,8.707178942945778e-8,5.290009968540676e-7,5.681837248935828e-6,6.354089680746157e-7,1297063,brsc,0,50,15,0,0,5,male_brsc,England
20,male,9.254565613387473e-8,7.022831047926938e-7,8.086617323372952e-6,7.895643787590329e-7,1425256,brsc,0,50,20,0,0,5,male_brsc,England
21,male,9.254565613387473e-8,7.022831047926938e-7,8.086617323372952e-6,7.895643787590329e-7,1425256,brsc,0,50,20,0,0,5,male_brsc,England
22,male,9.254565613387473e-8,7.022831047926938e-7,8.086617323372952e-6,7.895643787590329e-7,1425256,brsc,0,50,20,0,0,5,male_brsc,England
23,male,9.254565613387473e-8,7.022831047926938e-7,8.086617323372952e-6,7.895643787590329e-7,1425256,brsc,0,50,20,0,0,5,male_brsc,England
24,male,9.254565613387473e-8,7.022831047926938e-7,8.086617323372952e-6,7.895643787590329e-7,1425256,brsc,0,50,20,0,0,5,male_brsc,England
25,male,1.115186167932246e-7,9.733749132704852e-7,1.1319153554133064e-5,1.09241366523174e-6,1600539,brsc,0,50,25,0,0,5,male_brsc,England
26,male,1.115186167932246e-7,9.733749132704852e-7,1.1319153554133064e-5,1.09241366523174e-6,1600539,brsc,0,50,25,0,0,5,male_brsc,England
27,male,1.115186167932246e-7,9.733749132704852e-7,1.1319153554133064e-5,1.09241366523174e-6,1600539,brsc,0,50,25,0,0,5,male_brsc,England
28,male,1.115186167932246e-7,9.733749132704852e-7,1.1319153554133064e-5,1.09241366523174e-6,1600539,brsc,0,50,25,0,0,5,male_brsc,England
29,male,1.115186167932246e-7,9.733749132704852e-7,1.1319153554133064e-5,1.09241366523174e-6,1600539,brsc,0,50,25,0,0,5,male_brsc,England
30,male,1.9909274268174028e-7,1.140134171355951e-6,1.31464217086109e-5,1.3027270839056677e-6,1598175,brsc,0,50,30,0,0,5,male_brsc,England
31,male,1.9909274268174028e-7,1.140134171355951e-6,1.31464217086109e-5,1.3027270839056677e-6,1598175,brsc,0,50,30,0,0,5,male_brsc,England
32,male,1.9909274268174028e-7,1.140134171355951e-6,1.31464217086109e-5,1.3027270839056677e-6,1598175,brsc,0,50,30,0,0,5,male_brsc,England
33,male,1.9909274268174028e-7,1.140134171355951e-6,1.31464217086109e-5,1.3027270839056677e-6,1598175,brsc,0,50,30,0,0,5,male_brsc,England
34,male,1.9909274268174028e-7,1.140134171355951e-6,1.31464217086109e-5,1.3027270839056677e-6,1598175,brsc,0,50,30,0,0,5,male_brsc,England
35,male,4.982440463507835e-7,2.2137799671948482e-6,2.443987516331512e-5,2.6280883562752387e-6,1516645,brsc,0,50,35,0,1,5,male_brsc,England
36,male,4.982440463507835e-7,2.2137799671948482e-6,2.443987516331512e-5,2.6280883562752387e-6,1516645,brsc,0,50,35,0,1,5,male_brsc,England
37,male,4.982440463507835e-7,2.2137799671948482e-6,2.443987516331512e-5,2.6280883562752387e-6,1516645,brsc,0,50,35,0,1,5,male_brsc,England
38,male,4.982440463507835e-7,2.2137799671948482e-6,2.443987516331512e-5,2.6280883562752387e-6,1516645,brsc,0,50,35,0,1,5,male_brsc,England
39,male,4.982440463507835e-7,2.2137799671948482e-6,2.443987516331512e-5,2.6280883562752387e-6,1516645,brsc,0,50,35,0,1,5,male_brsc,England
40,male,9.890903727352898e-7,3.971023763191345e-6,4.2973873731927524e-5,4.768792629887028e-6,1412579,brsc,0,50,40,0,1,5,male_brsc,England
41,male,9.890903727352898e-7,3.971023763191345e-6,4.2973873731927524e-5,4.768792629887028e-6,1412579,brsc,0,50,40,0,1,5,male_brsc,England
42,male,9.890903727352898e-7,3.971023763191345e-6,4.2973873731927524e-5,4.768792629887028e-6,1412579,brsc,0,50,40,0,1,5,male_brsc,England
43,male,9.890903727352898e-7,3.971023763191345e-6,4.2973873731927524e-5,4.768792629887028e-6,1412579,brsc,0,50,40,0,1,5,male_brsc,England
44,male,9.890903727352898e-7,3.971023763191345e-6,4.2973873731927524e-5,4.768792629887028e-6,1412579,brsc,0,50,40,0,1,5,male_brsc,England
45,male,1.7267997752983913e-6,6.0890159849916766e-6,6.507497357046897e-5,7.28652530809086e-6,1549860,brsc,0,50,45,0,3,5,male_brsc,England
46,male,1.7267997752983913e-6,6.0890159849916766e-6,6.507497357046897e-5,7.28652530809086e-6,1549860,brsc,0,50,45,0,3,5,male_brsc,England
47,male,1.7267997752983913e-6,6.0890159849916766e-6,6.507497357046897e-5,7.28652530809086e-6,1549860,brsc,0,50,45,0,3,5,male_brsc,England
48,male,1.7267997752983913e-6,6.0890159849916766e-6,6.507497357046897e-5,7.28652530809086e-6,1549860,brsc,0,50,45,0,3,5,male_brsc,England
49,male,1.7267997752983913e-6,6.0890159849916766e-6,6.507497357046897e-5,7.28652530809086e-6,1549860,brsc,0,50,45,0,3,5,male_brsc,England
50,male,3.100309459131313e-6,8.273263688856181e-6,8.768827873329924e-5,9.931783931499012e-6,1552090,brsc,0,50,50,0,5,5,male_brsc,England
51,male,3.100309459131313e-6,8.273263688856181e-6,8.768827873329924e-5,9.931783931499012e-6,1552090,brsc,0,50,50,0,5,5,male_brsc,England
