age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,1370518,carc,0,10,0,0,0,5,male_carc,England
1,male,0,0,0,1e-8,1370518,carc,0,10,0,0,0,5,male_carc,England
2,male,0,0,0,1e-8,1370518,carc,0,10,0,0,0,5,male_carc,England
3,male,0,0,0,1e-8,1370518,carc,0,10,0,0,0,5,male_carc,England
4,male,0,0,0,1e-8,1370518,carc,0,10,0,0,0,5,male_carc,England
5,male,0,0,0,1e-8,1427100,carc,0,10,5,0,0,5,male_carc,England
6,male,0,0,0,1e-8,1427100,carc,0,10,5,0,0,5,male_carc,England
7,male,0,0,0,1e-8,1427100,carc,0,10,5,0,0,5,male_carc,England
8,male,0,0,0,1e-8,1427100,carc,0,10,5,0,0,5,male_carc,England
9,male,0,0,0,1e-8,1427100,carc,0,10,5,0,0,5,male_carc,England
10,male,0,0,0,1e-8,1314525,carc,0,50,10,0,0,5,male_carc,England
11,male,0,0,0,1e-8,1314525,carc,0,50,10,0,0,5,male_carc,England
12,male,0,0,0,1e-8,1314525,carc,0,50,10,0,0,5,male_carc,England
13,male,0,0,0,1e-8,1314525,carc,0,50,10,0,0,5,male_carc,England
14,male,0,0,0,1e-8,1314525,carc,0,50,10,0,0,5,male_carc,England
15,male,4.160633730465857e-7,1.6247682830026513e-6,1.457750187544903e-5,2.0817277815727702e-6,1297063,carc,0,50,15,0,1,5,male_carc,England
16,male,4.160633730465857e-7,1.6247682830026513e-6,1.457750187544903e-5,2.0817277815727702e-6,1297063,carc,0,50,15,0,1,5,male_carc,England
17,male,4.160633730465857e-7,1.6247682830026513e-6,1.457750187544903e-5,2.0817277815727702e-6,1297063,carc,0,50,15,0,1,5,male_carc,England
18,male,4.160633730465857e-7,1.6247682830026513e-6,1.457750187544903e-5,2.0817277815727702e-6,1297063,carc,0,50,15,0,1,5,male_carc,England
19,male,4.160633730465857e-7,1.6247682830026513e-6,1.457750187544903e-5,2.0817277815727702e-6,1297063,carc,0,50,15,0,1,5,male_carc,England
20,male,1.5799488732866762e-6,7.088042245500431e-6,6.61197498802546e-5,9.262833586789781e-6,1425256,carc,0,50,20,0,2,5,male_carc,England
21,male,1.5799488732866762e-6,7.088042245500431e-6,6.61197498802546e-5,9.262833586789781e-6,1425256,carc,0,50,20,0,2,5,male_carc,England
22,male,1.5799488732866762e-6,7.088042245500431e-6,6.61197498802546e-5,9.262833586789781e-6,1425256,carc,0,50,20,0,2,5,male_carc,England
23,male,1.5799488732866762e-6,7.088042245500431e-6,6.61197498802546e-5,9.262833586789781e-6,1425256,carc,0,50,20,0,2,5,male_carc,England
24,male,1.5799488732866762e-6,7.088042245500431e-6,6.61197498802546e-5,9.262833586789781e-6,1425256,carc,0,50,20,0,2,5,male_carc,England
25,male,4.0986788551849355e-6,1.7226157807870918e-5,1.687939062317221e-4,2.370506308090985e-5,1600539,carc,0,50,25,0,7,5,male_carc,England
26,male,4.0986788551849355e-6,1.7226157807870918e-5,1.687939062317221e-4,2.370506308090985e-5,1600539,carc,0,50,25,0,7,5,male_carc,England
27,male,4.0986788551849355e-6,1.7226157807870918e-5,1.687939062317221e-4,2.370506308090985e-5,1600539,carc,0,50,25,0,7,5,male_carc,England
28,male,4.0986788551849355e-6,1.7226157807870918e-5,1.687939062317221e-4,2.370506308090985e-5,1600539,carc,0,50,25,0,7,5,male_carc,England
29,male,4.0986788551849355e-6,1.7226157807870918e-5,1.687939062317221e-4,2.370506308090985e-5,1600539,carc,0,50,25,0,7,5,male_carc,England
30,male,1.0641320977642543e-5,4.13311343602808e-5,4.362337784712144e-4,6.178167038370391e-5,1598175,carc,0,50,30,0,17,5,male_carc,England
31,male,1.0641320977642543e-5,4.13311343602808e-5,4.362337784712144e-4,6.178167038370391e-5,1598175,carc,0,50,30,0,17,5,male_carc,England
32,male,1.0641320977642543e-5,4.13311343602808e-5,4.362337784712144e-4,6.178167038370391e-5,1598175,carc,0,50,30,0,17,5,male_carc,England
33,male,1.0641320977642543e-5,4.13311343602808e-5,4.362337784712144e-4,6.178167038370391e-5,1598175,carc,0,50,30,0,17,5,male_carc,England
34,male,1.0641320977642543e-5,4.13311343602808e-5,4.362337784712144e-4,6.178167038370391e-5,1598175,carc,0,50,30,0,17,5,male_carc,England
35,male,1.9086523015415634e-5,6.576822073428663e-5,7.24197982720225e-4,1.0185838117268886e-4,1516645,carc,0,50,35,0,29,5,male_carc,England
36,male,1.9086523015415634e-5,6.576822073428663e-5,7.24197982720225e-4,1.0185838117268886e-4,1516645,carc,0,50,35,0,29,5,male_carc,England
37,male,1.9086523015415634e-5,6.576822073428663e-5,7.24197982720225e-4,1.0185838117268886e-4,1516645,carc,0,50,35,0,29,5,male_carc,England
38,male,1.9086523015415634e-5,6.576822073428663e-5,7.24197982720225e-4,1.0185838117268886e-4,1516645,carc,0,50,35,0,29,5,male_carc,England
39,male,1.9086523015415634e-5,6.576822073428663e-5,7.24197982720225e-4,1.0185838117268886e-4,1516645,carc,0,50,35,0,29,5,male_carc,England
40,male,3.7391321399542866e-5,1.178126924138653e-4,0.0013296998782723391,1.8704725596475495e-4,1412579,carc,0,50,40,0,53,5,male_carc,England
41,male,3.7391321399542866e-5,1.178126924138653e-4,0.0013296998782723391,1.8704725596475495e-4,1412579,carc,0,50,40,0,53,5,male_carc,England
42,male,3.7391321399542866e-5,1.178126924138653e-4,0.0013296998782723391,1.8704725596475495e-4,1412579,carc,0,50,40,0,53,5,male_carc,England
43,male,3.7391321399542866e-5,1.178126924138653e-4,0.0013296998782723391,1.8704725596475495e-4,1412579,carc,0,50,40,0,53,5,male_carc,England
