age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,1370518,dmt2,0,10,0,0,0,5,male_dmt2,England
1,male,0,0,0,1e-8,1370518,dmt2,0,10,0,0,0,5,male_dmt2,England
2,male,0,0,0,1e-8,1370518,dmt2,0,10,0,0,0,5,male_dmt2,England
3,male,0,0,0,1e-8,1370518,dmt2,0,10,0,0,0,5,male_dmt2,England
4,male,0,0,0,1e-8,1370518,dmt2,0,10,0,0,0,5,male_dmt2,England
5,male,0,0,0,1e-8,1427100,dmt2,0,10,5,0,0,5,male_dmt2,England
6,male,0,0,0,1e-8,1427100,dmt2,0,10,5,0,0,5,male_dmt2,England
7,male,0,0,0,1e-8,1427100,dmt2,0,10,5,0,0,5,male_dmt2,England
8,male,0,0,0,1e-8,1427100,dmt2,0,10,5,0,0,5,male_dmt2,England
9,male,0,0,0,1e-8,1427100,dmt2,0,10,5,0,0,5,male_dmt2,England
10,male,0,5.806617796588312e-5,0.0011649594692809278,8.168474100136287e-4,1314525,dmt2,0,50,10,0,0,5,male_dmt2,England
11,male,0,5.806617796588312e-5,0.0011649594692809278,8.168474100136287e-4,1314525,dmt2,0,50,10,0,0,5,male_dmt2,England
12,male,0,5.806617796588312e-5,0.0011649594692809278,8.168474100136287e-4,1314525,dmt2,0,50,10,0,0,5,male_dmt2,England
13,male,0,5.806617796588312e-5,0.0011649594692809278,8.168474100136287e-4,1314525,dmt2,0,50,10,0,0,5,male_dmt2,England
14,male,0,5.806617796588312e-5,0.0011649594692809278,8.168474100136287e-4,1314525,dmt2,0,50,10,0,0,5,male_dmt2,England
15,male,9.54556967689788e-8,5.760546384749168e-4,0.010962184537282984,0.003281007133472309,1297063,dmt2,0,50,15,1,0,5,male_dmt2,England
16,male,9.54556967689788e-8,5.760546384749168e-4,0.010962184537282984,0.003281007133472309,1297063,dmt2,0,50,15,1,0,5,male_dmt2,England
17,male,9.54556967689788e-8,5.760546384749168e-4,0.010962184537282984,0.003281007133472309,1297063,dmt2,0,50,15,1,0,5,male_dmt2,England
18,male,9.54556967689788e-8,5.760546384749168e-4,0.010962184537282984,0.003281007133472309,1297063,dmt2,0,50,15,1,0,5,male_dmt2,England
