age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,5.387826513762132e-7,1.7957360175343524e-5,1.4970954612310227e-4,5.559614500877373e-5,1370518,iscs,0,10,0,0,1,5,male_iscs,England
1,male,5.387826513762132e-7,1.7957360175343524e-5,1.4970954612310227e-4,5.559614500877373e-5,1370518,iscs,0,10,0,0,1,5,male_iscs,England
2,male,5.387826513762132e-7,1.7957360175343524e-5,1.4970954612310227e-4,5.559614500877373e-5,1370518,iscs,0,10,0,0,1,5,male_iscs,England
3,male,5.387826513762132e-7,1.7957360175343524e-5,1.4970954612310227e-4,5.559614500877373e-5,1370518,iscs,0,10,0,0,1,5,male_iscs,England
4,male,5.387826513762132e-7,1.7957360175343524e-5,1.4970954612310227e-4,5.559614500877373e-5,1370518,iscs,0,10,0,0,1,5,male_iscs,England
5,male,7.84438727206698e-8,4.529259239218802e-5,3.851110280415664e-4,3.044319292099157e-5,1427100,iscs,0,10,5,0,0,5,male_iscs,England
6,male,7.84438727206698e-8,4.529259239218802e-5,3.851110280415664e-4,3.044319292099157e-5,1427100,iscs,0,10,5,0,0,5,male_iscs,England
7,male,7.84438727206698e-8,4.529259239218802e-5,3.851110280415664e-4,3.044319292099157e-5,1427100,iscs,0,10,5,0,0,5,male_iscs,England
8,male,7.84438727206698e-8,4.529259239218802e-5,3.851110280415664e-4,3.044319292099157e-5,1427100,iscs,0,10,5,0,0,5,male_iscs,England
9,male,7.84438727206698e-8,4.529259239218802e-5,3.851110280415664e-4,3.044319292099157e-5,1427100,iscs,0,10,5,0,0,5,male_iscs,England
10,male,7.765199077095309e-8,7.038164561974956e-5,5.878892436502144e-4,2.772244776092499e-5,1314525,iscs,0,50,10,0,0,5,male_iscs,England
11,male,7.765199077095309e-8,7.038164561974956e-5,5.878892436502144e-4,2.772244776092499e-5,1314525,iscs,0,50,10,0,0,5,male_iscs,England
12,male,7.765199077095309e-8,7.038164561974956e-5,5.878892436502144e-4,2.772244776092499e-5,1314525,iscs,0,50,10,0,0,5,male_iscs,England
13,male,7.765199077095309e-8,7.038164561974956e-5,5.878892436502144e-4,2.772244776092499e-5,1314525,iscs,0,50,10,0,0,5,male_iscs,England
14,male,7.765199077095309e-8,7.038164561974956e-5,5.878892436502144e-4,2.772244776092499e-5,1314525,iscs,0,50,10,0,0,5,male_iscs,England
15,male,2.456832984017013e-7,9.265763936531632e-5,7.789771060995709e-4,2.401995660659496e-5,1297063,iscs,0,50,15,0,0,5,male_iscs,England
16,male,2.456832984017013e-7,9.265763936531632e-5,7.789771060995709e-4,2.401995660659496e-5,1297063,iscs,0,50,15,0,0,5,male_iscs,England
17,male,2.456832984017013e-7,9.265763936531632e-5,7.789771060995709e-4,2.401995660659496e-5,1297063,iscs,0,50,15,0,0,5,male_iscs,England
