age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,1370518,ishd,0,10,0,0,0,5,male_ishd,England
1,male,0,0,0,1e-8,1370518,ishd,0,10,0,0,0,5,male_ishd,England
2,male,0,0,0,1e-8,1370518,ishd,0,10,0,0,0,5,male_ishd,England
3,male,0,0,0,1e-8,1370518,ishd,0,10,0,0,0,5,male_ishd,England
4,male,0,0,0,1e-8,1370518,ishd,0,10,0,0,0,5,male_ishd,England
5,male,0,0,0,1e-8,1427100,ishd,0,10,5,0,0,5,male_ishd,England
6,male,0,0,0,1e-8,1427100,ishd,0,10,5,0,0,5,male_ishd,England
7,male,0,0,0,1e-8,1427100,ishd,0,10,5,0,0,5,male_ishd,England
8,male,0,0,0,1e-8,1427100,ishd,0,10,5,0,0,5,male_ishd,England
9,male,0,0,0,1e-8,1427100,ishd,0,10,5,0,0,5,male_ishd,England
10,male,0,0,0,1e-8,1314525,ishd,0,50,10,0,0,5,male_ishd,England
11,male,0,0,0,1e-8,1314525,ishd,0,50,10,0,0,5,male_ishd,England
12,male,0,0,0,1e-8,1314525,ishd,0,50,10,0,0,5,male_ishd,England
13,male,0,0,0,1e-8,1314525,ishd,0,50,10,0,0,5,male_ishd,England
14,male,0,0,0,1e-8,1314525,ishd,0,50,10,0,0,5,male_ishd,England
15,male,9.72327195961168e-7,5.060410363660079e-6,1.2471296623437798e-4,2.086094449356879e-5,1297063,ishd,0,50,15,0,1,5,male_ishd,England
16,male,9.72327195961168e-7,5.060410363660079e-6,1.2471296623437798e-4,2.086094449356879e-5,1297063,ishd,0,50,15,0,1,5,male_ishd,England
17,male,9.72327195961168e-7,5.060410363660079e-6,1.2471296623437798e-4,2.086094449356879e-5,1297063,ishd,0,50,15,0,1,5,male_ishd,England
18,male,9.72327195961168e-7,5.060410363660079e-6,1.2471296623437798e-4,2.086094449356879e-5,1297063,ishd,0,50,15,0,1,5,male_ishd,England
19,male,9.72327195961168e-7,5.060410363660079e-6,1.2471296623437798e-4,2.086094449356879e-5,1297063,ishd,0,50,15,0,1,5,male_ishd,England
20,male,3.680949566382131e-6,2.086785777715925e-5,4.254114389666566e-4,6.30004387267352e-5,1425256,ishd,0,50,20,0,5,5,male_ishd,England
21,male,3.680949566382131e-6,2.086785777715925e-5,4.254114389666566e-4,6.30004387267352e-5,1425256,ishd,0,50,20,0,5,5,male_ishd,England
22,male,3.680949566382131e-6,2.086785777715925e-5,4.254114389666566e-4,6.30004387267352e-5,1425256,ishd,0,50,20,0,5,5,male_ishd,England
23,male,3.680949566382131e-6,2.086785777715925e-5,4.254114389666566e-4,6.30004387267352e-5,1425256,ishd,0,50,20,0,5,5,male_ishd,England
24,male,3.680949566382131e-6,2.086785777715925e-5,4.254114389666566e-4,6.30004387267352e-5,1425256,ishd,0,50,20,0,5,5,male_ishd,England
25,male,1.1247191023948649e-5,4.344380399897383e-5,9.789774862040555e-4,1.0539890533380321e-4,1600539,ishd,0,50,25,0,18,5,male_ishd,England
26,male,1.1247191023948649e-5,4.344380399897383e-5,9.789774862040555e-4,1.0539890533380321e-4,1600539,ishd,0,50,25,0,18,5,male_ishd,England
