age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,1370518,stmc,0,10,0,0,0,5,male_stmc,England
1,male,0,0,0,1e-8,1370518,stmc,0,10,0,0,0,5,male_stmc,England
2,male,0,0,0,1e-8,1370518,stmc,0,10,0,0,0,5,male_stmc,England
3,male,0,0,0,1e-8,1370518,stmc,0,10,0,0,0,5,male_stmc,England
4,male,0,0,0,1e-8,1370518,stmc,0,10,0,0,0,5,male_stmc,England
5,male,0,0,0,1e-8,1427100,stmc,0,10,5,0,0,5,male_stmc,England
6,male,0,0,0,1e-8,1427100,stmc,0,10,5,0,0,5,male_stmc,England
7,male,0,0,0,1e-8,1427100,stmc,0,10,5,0,0,5,male_stmc,England
8,male,0,0,0,1e-8,1427100,stmc,0,10,5,0,0,5,male_stmc,England
9,male,0,0,0,1e-8,1427100,stmc,0,10,5,0,0,5,male_stmc,England
10,male,0,0,0,1e-8,1314525,stmc,0,50,10,0,0,5,male_stmc,England
11,male,0,0,0,1e-8,1314525,stmc,0,50,10,0,0,5,male_stmc,England
12,male,0,0,0,1e-8,1314525,stmc,0,50,10,0,0,5,male_stmc,England
13,male,0,0,0,1e-8,1314525,stmc,0,50,10,0,0,5,male_stmc,England
14,male,0,0,0,1e-8,1314525,stmc,0,50,10,0,0,5,male_stmc,England
15,male,1.771758983421275e-7,3.498323196583788e-7,3.5819677417019853e-6,8.505113593761591e-7,1297063,stmc,0,50,15,0,0,5,male_stmc,England
16,male,1.771758983421275e-7,3.498323196583788e-7,3.5819677417019853e-6,8.505113593761591e-7,1297063,stmc,0,50,15,0,0,5,male_stmc,England
17,male,1.771758983421275e-7,3.498323196583788e-7,3.5819677417019853e-6,8.505113593761591e-7,1297063,stmc,0,50,15,0,0,5,male_stmc,England
18,male,1.771758983421275e-7,3.498323196583788e-7,3.5819677417019853e-6,8.505113593761591e-7,1297063,stmc,0,50,15,0,0,5,male_stmc,England
19,male,1.771758983421275e-7,3.498323196583788e-7,3.5819677417019853e-6,8.505113593761591e-7,1297063,stmc,0,50,15,0,0,5,male_stmc,England
20,male,5.063421089528969e-7,9.030988672500894e-7,9.294856355492865e-6,2.180010278858811e-6,1425256,stmc,0,50,20,0,1,5,male_stmc,England
21,male,5.063421089528969e-7,9.030988672500894e-7,9.294856355492865e-6,2.180010278858811e-6,1425256,stmc,0,50,20,0,1,5,male_stmc,England
22,male,5.063421089528969e-7,9.030988672500894e-7,9.294856355492865e-6,2.180010278858811e-6,1425256,stmc,0,50,20,0,1,5,male_stmc,England
23,male,5.063421089528969e-7,9.030988672500894e-7,9.294856355492865e-6,2.180010278858811e-6,1425256,stmc,0,50,20,0,1,5,male_stmc,England
24,male,5.063421089528969e-7,9.030988672500894e-7,9.294856355492865e-6,2.180010278858811e-6,1425256,stmc,0,50,20,0,1,5,male_stmc,England
25,male,1.3388694372492538e-6,1.914196905296491e-6,1.905524353886964e-5,4.7943536407441385e-6,1600539,stmc,0,50,25,0,2,5,male_stmc,England
26,male,1.3388694372492538e-6,1.914196905296491e-6,1.905524353886964e-5,4.7943536407441385e-6,1600539,stmc,0,50,25,0,2,5,male_stmc,England
27,male,1.3388694372492538e-6,1.914196905296491e-6,1.905524353886964e-5,4.7943536407441385e-6,1600539,stmc,0,50,25,0,2,5,male_stmc,England
28,male,1.3388694372492538e-6,1.914196905296491e-6,1.905524353886964e-5,4.7943536407441385e-6,1600539,stmc,0,50,25,0,2,5,male_stmc,England
29,male,1.3388694372492538e-6,1.914196905296491e-6,1.905524353886964e-5,4.7943536407441385e-6,1600539,stmc,0,50,25,0,2,5,male_stmc,England
30,male,3.7467524980582358e-6,5.223330610804744e-6,5.272738469038005e-5,1.2878178453060307e-5,1598175,stmc,0,50,30,0,6,5,male_stmc,England
31,male,3.7467524980582358e-6,5.223330610804744e-6,5.272738469038005e-5,1.2878178453060307e-5,1598175,stmc,0,50,30,0,6,5,male_stmc,England
32,male,3.7467524980582358e-6,5.223330610804744e-6,5.272738469038005e-5,1.2878178453060307e-5,1598175,stmc,0,50,30,0,6,5,male_stmc,England
33,male,3.7467524980582358e-6,5.223330610804744e-6,5.272738469038005e-5,1.2878178453060307e-5,1598175,stmc,0,50,30,0,6,5,male_stmc,England
34,male,3.7467524980582358e-6,5.223330610804744e-6,5.272738469038005e-5,1.2878178453060307e-5,1598175,stmc,0,50,30,0,6,5,male_stmc,England
35,male,8.081776372882698e-6,1.1072104750873393e-5,1.1289712806074215e-4,2.7501076595149673e-5,1516645,stmc,0,50,35,0,12,5,male_stmc,England
36,male,8.081776372882698e-6,1.1072104750873393e-5,1.1289712806074215e-4,2.7501076595149673e-5,1516645,stmc,0,50,35,0,12,5,male_stmc,England
37,male,8.081776372882698e-6,1.1072104750873393e-5,1.1289712806074215e-4,2.7501076595149673e-5,1516645,stmc,0,50,35,0,12,5,male_stmc,England
38,male,8.081776372882698e-6,1.1072104750873393e-5,1.1289712806074215e-4,2.7501076595149673e-5,1516645,stmc,0,50,35,0,12,5,male_stmc,England
39,male,8.081776372882698e-6,1.1072104750873393e-5,1.1289712806074215e-4,2.7501076595149673e-5,1516645,stmc,0,50,35,0,12,5,male_stmc,England
40,male,1.712286140857133e-5,2.0047764995247185e-5,2.0288790214119382e-4,5.100624571234534e-5,1412579,stmc,0,50,40,0,24,5,male_stmc,England
41,male,1.712286140857133e-5,2.0047764995247185e-5,2.0288790214119382e-4,5.100624571234534e-5,1412579,stmc,0,50,40,0,24,5,male_stmc,England
42,male,1.712286140857133e-5,2.0047764995247185e-5,2.0288790214119382e-4,5.100624571234534e-5,1412579,stmc,0,50,40,0,24,5,male_stmc,England
43,male,1.712286140857133e-5,2.0047764995247185e-5,2.0288790214119382e-4,5.100624571234534e-5,1412579,stmc,0,50,40,0,24,5,male_stmc,England
