age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,1370518,tbalc,0,10,0,0,0,5,male_tbalc,England
1,male,0,0,0,1e-8,1370518,tbalc,0,10,0,0,0,5,male_tbalc,England
2,male,0,0,0,1e-8,1370518,tbalc,0,10,0,0,0,5,male_tbalc,England
3,male,0,0,0,1e-8,1370518,tbalc,0,10,0,0,0,5,male_tbalc,England
4,male,0,0,0,1e-8,1370518,tbalc,0,10,0,0,0,5,male_tbalc,England
5,male,0,0,0,1e-8,1427100,tbalc,0,10,5,0,0,5,male_tbalc,England
6,male,0,0,0,1e-8,1427100,tbalc,0,10,5,0,0,5,male_tbalc,England
7,male,0,0,0,1e-8,1427100,tbalc,0,10,5,0,0,5,male_tbalc,England
8,male,0,0,0,1e-8,1427100,tbalc,0,10,5,0,0,5,male_tbalc,England
9,male,0,0,0,1e-8,1427100,tbalc,0,10,5,0,0,5,male_tbalc,England
10,male,0,0,0,1e-8,1314525,tbalc,0,50,10,0,0,5,male_tbalc,England
11,male,0,0,0,1e-8,1314525,tbalc,0,50,10,0,0,5,male_tbalc,England
12,male,0,0,0,1e-8,1314525,tbalc,0,50,10,0,0,5,male_tbalc,England
13,male,0,0,0,1e-8,1314525,tbalc,0,50,10,0,0,5,male_tbalc,England
14,male,0,0,0,1e-8,1314525,tbalc,0,50,10,0,0,5,male_tbalc,England
15,male,1.3810470140075882e-7,4.8771958152341153e-8,2.259277219697774e-7,1.8577957968053472e-7,1297063,tbalc,0,50,15,0,0,5,male_tbalc,England
16,male,1.3810470140075882e-7,4.8771958152341153e-8,2.259277219697774e-7,1.8577957968053472e-7,1297063,tbalc,0,50,15,0,0,5,male_tbalc,England
17,male,1.3810470140075882e-7,4.8771958152341153e-8,2.259277219697774e-7,1.8577957968053472e-7,1297063,tbalc,0,50,15,0,0,5,male_tbalc,England
18,male,1.3810470140075882e-7,4.8771958152341153e-8,2.259277219697774e-7,1.8577957968053472e-7,1297063,tbalc,0,50,15,0,0,5,male_tbalc,England
19,male,1.3810470140075882e-7,4.8771958152341153e-8,2.259277219697774e-7,1.8577957968053472e-7,1297063,tbalc,0,50,15,0,0,5,male_tbalc,England
20,male,5.861507663406024e-7,2.649942102332924e-7,1.5830847577375675e-6,9.195833876218273e-7,1425256,tbalc,0,50,20,0,1,5,male_tbalc,England
21,male,5.861507663406024e-7,2.649942102332924e-7,1.5830847577375675e-6,9.195833876218273e-7,1425256,tbalc,0,50,20,0,1,5,male_tbalc,England
22,male,5.861507663406024e-7,2.649942102332924e-7,1.5830847577375675e-6,9.195833876218273e-7,1425256,tbalc,0,50,20,0,1,5,male_tbalc,England
23,male,5.861507663406024e-7,2.649942102332924e-7,1.5830847577375675e-6,9.195833876218273e-7,1425256,tbalc,0,50,20,0,1,5,male_tbalc,England
24,male,5.861507663406024e-7,2.649942102332924e-7,1.5830847577375675e-6,9.195833876218273e-7,1425256,tbalc,0,50,20,0,1,5,male_tbalc,England
25,male,1.2921954936058921e-6,6.933345397735138e-7,4.43766251350199e-6,2.331606582046661e-6,1600539,tbalc,0,50,25,0,2,5,male_tbalc,England
26,male,1.2921954936058921e-6,6.933345397735138e-7,4.43766251350199e-6,2.331606582046661e-6,1600539,tbalc,0,50,25,0,2,5,male_tbalc,England
27,male,1.2921954936058921e-6,6.933345397735138e-7,4.43766251350199e-6,2.331606582046661e-6,1600539,tbalc,0,50,25,0,2,5,male_tbalc,England
28,male,1.2921954936058921e-6,6.933345397735138e-7,4.43766251350199e-6,2.331606582046661e-6,1600539,tbalc,0,50,25,0,2,5,male_tbalc,England
29,male,1.2921954936058921e-6,6.933345397735138e-7,4.43766251350199e-6,2.331606582046661e-6,1600539,tbalc,0,50,25,0,2,5,male_tbalc,England
30,male,4.570537688970403e-6,2.1044586178332187e-6,1.1997753310011504e-5,7.447082687945055e-6,1598175,tbalc,0,50,30,0,7,5,male_tbalc,England
31,male,4.570537688970403e-6,2.1044586178332187e-6,1.1997753310011504e-5,7.447082687945055e-6,1598175,tbalc,0,50,30,0,7,5,male_tbalc,England
32,male,4.570537688970403e-6,2.1044586178332187e-6,1.1997753310011504e-5,7.447082687945055e-6,1598175,tbalc,0,50,30,0,7,5,male_tbalc,England
33,male,4.570537688970403e-6,2.1044586178332187e-6,1.1997753310011504e-5,7.447082687945055e-6,1598175,tbalc,0,50,30,0,7,5,male_tbalc,England
34,male,4.570537688970403e-6,2.1044586178332187e-6,1.1997753310011504e-5,7.447082687945055e-6,1598175,tbalc,0,50,30,0,7,5,male_tbalc,England
35,male,1.3987141811276914e-5,5.680858509860702e-6,3.206133571506249e-5,2.0183490894899247e-5,1516645,tbalc,0,50,35,0,21,5,male_tbalc,England
36,male,1.3987141811276914e-5,5.680858509860702e-6,3.206133571506249e-5,2.0183490894899247e-5,1516645,tbalc,0,50,35,0,21,5,male_tbalc,England
37,male,1.3987141811276914e-5,5.680858509860702e-6,3.206133571506249e-5,2.0183490894899247e-5,1516645,tbalc,0,50,35,0,21,5,male_tbalc,England
38,male,1.3987141811276914e-5,5.680858509860702e-6,3.206133571506249e-5,2.0183490894899247e-5,1516645,tbalc,0,50,35,0,21,5,male_tbalc,England
39,male,1.3987141811276914e-5,5.680858509860702e-6,3.206133571506249e-5,2.0183490894899247e-5,1516645,tbalc,0,50,35,0,21,5,male_tbalc,England
40,male,4.400206253455453e-5,1.5920382387470002e-5,8.956729447861404e-5,5.6608743859559206e-5,1412579,tbalc,0,50,40,0,62,5,male_tbalc,England
41,male,4.400206253455453e-5,1.5920382387470002e-5,8.956729447861404e-5,5.6608743859559206e-5,1412579,tbalc,0,50,40,0,62,5,male_tbalc,England
42,male,4.400206253455453e-5,1.5920382387470002e-5,8.956729447861404e-5,5.6608743859559206e-5,1412579,tbalc,0,50,40,0,62,5,male_tbalc,England
43,male,4.400206253455453e-5,1.5920382387470002e-5,8.956729447861404e-5,5.6608743859559206e-5,1412579,tbalc,0,50,40,0,62,5,male_tbalc,England
44,male,4.400206253455453e-5,1.5920382387470002e-5,8.956729447861404e-5,5.6608743859559206e-5,1412579,tbalc,0,50,40,0,62,5,male_tbalc,England
45,male,1.1440247713651345e-4,3.7846992475929283e-5,2.0265330183061233e-4,1.3851763104579253e-4,1549860,tbalc,0,50,45,0,177,5,male_tbalc,England
46,male,1.1440247713651345e-4,3.7846992475929283e-5,2.0265330183061233e-4,1.3851763104579253e-4,1549860,tbalc,0,50,45,0,177,5,male_tbalc,England
47,male,1.1440247713651345e-4,3.7846992475929283e-5,2.0265330183061233e-4,1.3851763104579253e-4,1549860,tbalc,0,50,45,0,177,5,male_tbalc,England
48,male,1.1440247713651345e-4,3.7846992475929283e-5,2.0265330183061233e-4,1.3851763104579253e-4,1549860,tbalc,0,50,45,0,177,5,male_tbalc,England
49,male,1.1440247713651345e-4,3.7846992475929283e-5,2.0265330183061233e-4,1.3851763104579253e-4,1549860,tbalc,0,50,45,0,177,5,male_tbalc,England
50,male,2.598775387328717e-4,8.54095516346792e-5,5.120684406228985e-4,3.205447621745296e-4,1552090,tbalc,0,50,50,0,403,5,male_tbalc,England
51,male,2.598775387328717e-4,8.54095516346792e-5,5.120684406228985e-4,3.205447621745296e-4,1552090,tbalc,0,50,50,0,403,5,male_tbalc,England
52,male,2.598775387328717e-4,8.54095516346792e-5,5.120684406228985e-4,3.205447621745296e-4,1552090,tbalc,0,50,50,0,403,5,male_tbalc,England
53,male,2.598775387328717e-4,8.54095516346792e-5,5.120684406228985e-4,3.205447621745296e-4,1552090,tbalc,0,50,50,0,403,5,male_tbalc,England
54,male,2.598775387328717e-4,8.54095516346792e-5,5.120684406228985e-4,3.205447621745296e-4,1552090,tbalc,0,50,50,0,403,5,male_tbalc,England
55,male,5.594117021403725e-4,2.0326324312299368e-4,0.001397101086124563,7.354219924443676e-4,1367827,tbalc,0,50,55,0,765,5,male_tbalc,England
56,male,5.594117021403725e-4,2.0326324312299368e-4,0.001397101086124563,7.354219924443676e-4,1367827,tbalc,0,50,55,0,765,5,male_tbalc,England
57,male,5.594117021403725e-4,2.0326324312299368e-4,0.001397101086124563,7.354219924443676e-4,1367827,tbalc,0,50,55,0,765,5,male_tbalc,England
58,male,5.594117021403725e-4,2.0326324312299368e-4,0.001397101086124563,7.354219924443676e-4,1367827,tbalc,0,50,55,0,765,5,male_tbalc,England
59,male,5.594117021403725e-4,2.0326324312299368e-4,0.001397101086124563,7.354219924443676e-4,1367827,tbalc,0,50,55,0,765,5,male_tbalc,England
60,male,0.001081626733160515,4.058323479420154e-4,0.00310162172248848,0.001461777077430743,1159882,tbalc,0,50,60,0,1254,5,male_tbalc,England
61,male,0.001081626733160515,4.058323479420154e-4,0.00310162172248848,0.001461777077430743,1159882,tbalc,0,50,60,0,1254,5,male_tbalc,England
62,male,0.001081626733160515,4.058323479420154e-4,0.00310162172248848,0.001461777077430743,1159882,tbalc,0,50,60,0,1254,5,male_tbalc,England
63,male,0.001081626733160515,4.058323479420154e-4,0.00310162172248848,0.001461777077430743,1159882,tbalc,0,50,60,0,1254,5,male_tbalc,England
64,male,0.001081626733160515,4.058323479420154e-4,0.00310162172248848,0.001461777077430743,1159882,tbalc,0,50,60,0,1254,5,male_tbalc,England
65,male,0.0018114214358333444,6.660641067605051e-4,0.005189608712370641,0.0024379837316579125,1132496,tbalc,0,50,65,0,2050,5,male_tbalc,England
66,male,0.0018114214358333444,6.660641067605051e-4,0.005189608712370641,0.0024379837316579125,1132496,tbalc,0,50,65,0,2050,5,male_tbalc,England
67,male,0.0018114214358333444,6.660641067605051e-4,0.005189608712370641,0.0024379837316579125,1132496,tbalc,0,50,65,0,2050,5,male_tbalc,England
68,male,0.0018114214358333444,6.660641067605051e-4,0.005189608712370641,0.0024379837316579125,1132496,tbalc,0,50,65,0,2050,5,male_tbalc,England
69,male,0.0018114214358333444,6.660641067605051e-4,0.005189608712370641,0.0024379837316579125,1132496,tbalc,0,50,65,0,2050,5,male_tbalc,England
70,male,0.002536193356518636,8.784475856131458e-4,0.0067436533640377674,0.003317912270715486,960371,tbalc,0,50,70,0,2433,5,male_tbalc,England
71,male,0.002536193356518636,8.784475856131458e-4,0.0067436533640377674,0.003317912270715486,960371,tbalc,0,50,70,0,2433,5,male_tbalc,England
72,male,0.002536193356518636,8.784475856131458e-4,0.0067436533640377674,0.003317912270715486,960371,tbalc,0,50,70,0,2433,5,male_tbalc,England
73,male,0.002536193356518636,8.784475856131458e-4,0.0067436533640377674,0.003317912270715486,960371,tbalc,0,50,70,0,2433,5,male_tbalc,England
74,male,0.002536193356518636,8.784475856131458e-4,0.0067436533640377674,0.003317912270715486,960371,tbalc,0,50,70,0,2433,5,male_tbalc,England
75,male,0.0036487374311354875,0.0011628352635944272,0.008396351633693653,0.004642464697173797,669146,tbalc,0,50,75,0,2437,5,male_tbalc,England
76,male,0.0036487374311354875,0.0011628352635944272,0.008396351633693653,0.004642464697173797,669146,tbalc,0,50,75,0,2437,5,male_tbalc,England
77,male,0.0036487374311354875,0.0011628352635944272,0.008396351633693653,0.004642464697173797,669146,tbalc,0,50,75,0,2437,5,male_tbalc,England
78,male,0.0036487374311354875,0.0011628352635944272,0.008396351633693653,0.004642464697173797,669146,tbalc,0,50,75,0,2437,5,male_tbalc,England
79,male,0.0036487374311354875,0.0011628352635944272,0.008396351633693653,0.004642464697173797,669146,tbalc,0,50,75,0,2437,5,male_tbalc,England
80,male,0.004532359378552082,0.0011705868144956798,0.0072331534029231115,0.005148144113655017,465631,tbalc,0,20,80,0,2106,5,male_tbalc,England
81,male,0.004532359378552082,0.0011705868144956798,0.0072331534029231115,0.005148144113655017,465631,tbalc,0,20,80,0,2106,5,male_tbalc,England
82,male,0.004532359378552082,0.0011705868144956798,0.0072331534029231115,0.005148144113655017,465631,tbalc,0,20,80,0,2106,5,male_tbalc,England
83,male,0.004532359378552082,0.0011705868144956798,0.0072331534029231115,0.005148144113655017,465631,tbalc,0,20,80,0,2106,5,male_tbalc,England
84,male,0.004532359378552082,0.0011705868144956798,0.0072331534029231115,0.005148144113655017,465631,tbalc,0,20,80,0,2106,5,male_tbalc,England
85,male,0.005938635727073203,0.0014701099037590607,0.008647502575012183,0.006759806408764049,253142,tbalc,0,20,85,0,1499,5,male_tbalc,England
86,male,0.005938635727073203,0.0014701099037590607,0.008647502575012183,0.006759806408764049,253142,tbalc,0,20,85,0,1499,5,male_tbalc,England
87,male,0.005938635727073203,0.0014701099037590607,0.008647502575012183,0.006759806408764049,253142,tbalc,0,20,85,0,1499,5,male_tbalc,England
88,male,0.005938635727073203,0.0014701099037590607,0.008647502575012183,0.006759806408764049,253142,tbalc,0,20,85,0,1499,5,male_tbalc,England
89,male,0.005938635727073203,0.0014701099037590607,0.008647502575012183,0.006759806408764049,253142,tbalc,0,20,85,0,1499,5,male_tbalc,England
90,male,0.0055826289546769235,0.0013243637131842942,0.007217050437215096,0.006376807617645491,97381,tbalc,0,10,90,0,542,5,male_tbalc,England
91,male,0.0055826289546769235,0.0013243637131842942,0.007217050437215096,0.006376807617645491,97381,tbalc,0,10,90,0,542,5,male_tbalc,England
92,male,0.0055826289546769235,0.0013243637131842942,0.007217050437215096,0.006376807617645491,97381,tbalc,0,10,90,0,542,5,male_tbalc,England
93,male,0.0055826289546769235,0.0013243637131842942,0.007217050437215096,0.006376807617645491,97381,tbalc,0,10,90,0,542,5,male_tbalc,England
94,male,0.0055826289546769235,0.0013243637131842942,0.007217050437215096,0.006376807617645491,97381,tbalc,0,10,90,0,542,5,male_tbalc,England
95,male,0.00520557071197242,0.0010522381911112493,0.0034154265756803507,0.005966157663460521,17188,tbalc,0,10,95,0,89,6,male_tbalc,England
96,male,0.00520557071197242,0.0010522381911112493,0.0034154265756803507,0.005966157663460521,17188,tbalc,0,10,95,0,89,6,male_tbalc,England
97,male,0.00520557071197242,0.0010522381911112493,0.0034154265756803507,0.005966157663460521,17188,tbalc,0,10,95,0,89,6,male_tbalc,England
98,male,0.00520557071197242,0.0010522381911112493,0.0034154265756803507,0.005966157663460521,17188,tbalc,0,10,95,0,89,6,male_tbalc,England
99,male,0.00520557071197242,0.0010522381911112493,0.0034154265756803507,0.005966157663460521,17188,tbalc,0,10,95,0,89,6,male_tbalc,England
100,male,0.00520557071197242,0.0010522381911112493,0.0034154265756803507,0.005966157663460521,17188,tbalc,0,10,95,0,89,6,male_tbalc,England
