age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,185455,adaod,0,10,0,0,0,5,female_adaod,Greater London
1,female,0,0,0,1e-8,185455,adaod,0,10,0,0,0,5,female_adaod,Greater London
2,female,0,0,0,1e-8,185455,adaod,0,10,0,0,0,5,female_adaod,Greater London
3,female,0,0,0,1e-8,185455,adaod,0,10,0,0,0,5,female_adaod,Greater London
4,female,0,0,0,1e-8,185455,adaod,0,10,0,0,0,5,female_adaod,Greater London
5,female,0,0,0,1e-8,175468,adaod,0,10,5,0,0,5,female_adaod,Greater London
6,female,0,0,0,1e-8,175468,adaod,0,10,5,0,0,5,female_adaod,Greater London
7,female,0,0,0,1e-8,175468,adaod,0,10,5,0,0,5,female_adaod,Greater London
8,female,0,0,0,1e-8,175468,adaod,0,10,5,0,0,5,female_adaod,Greater London
9,female,0,0,0,1e-8,175468,adaod,0,10,5,0,0,5,female_adaod,Greater London
10,female,0,0,0,1e-8,150695,adaod,0,50,10,0,0,5,female_adaod,Greater London
11,female,0,0,0,1e-8,150695,adaod,0,50,10,0,0,5,female_adaod,Greater London
12,female,0,0,0,1e-8,150695,adaod,0,50,10,0,0,5,female_adaod,Greater London
13,female,0,0,0,1e-8,150695,adaod,0,50,10,0,0,5,female_adaod,Greater London
14,female,0,0,0,1e-8,150695,adaod,0,50,10,0,0,5,female_adaod,Greater London
15,female,0,0,0,1e-8,141648,adaod,0,50,15,0,0,5,female_adaod,Greater London
16,female,0,0,0,1e-8,141648,adaod,0,50,15,0,0,5,female_adaod,Greater London
17,female,0,0,0,1e-8,141648,adaod,0,50,15,0,0,5,female_adaod,Greater London
18,female,0,0,0,1e-8,141648,adaod,0,50,15,0,0,5,female_adaod,Greater London
19,female,0,0,0,1e-8,141648,adaod,0,50,15,0,0,5,female_adaod,Greater London
20,female,0,0,0,1e-8,182368,adaod,0,50,20,0,0,5,female_adaod,Greater London
21,female,0,0,0,1e-8,182368,adaod,0,50,20,0,0,5,female_adaod,Greater London
22,female,0,0,0,1e-8,182368,adaod,0,50,20,0,0,5,female_adaod,Greater London
23,female,0,0,0,1e-8,182368,adaod,0,50,20,0,0,5,female_adaod,Greater London
24,female,0,0,0,1e-8,182368,adaod,0,50,20,0,0,5,female_adaod,Greater London
25,female,0,0,0,1e-8,250647,adaod,0,50,25,0,0,5,female_adaod,Greater London
26,female,0,0,0,1e-8,250647,adaod,0,50,25,0,0,5,female_adaod,Greater London
27,female,0,0,0,1e-8,250647,adaod,0,50,25,0,0,5,female_adaod,Greater London
28,female,0,0,0,1e-8,250647,adaod,0,50,25,0,0,5,female_adaod,Greater London
29,female,0,0,0,1e-8,250647,adaod,0,50,25,0,0,5,female_adaod,Greater London
30,female,0,0,0,1e-8,263972,adaod,0,50,30,0,0,5,female_adaod,Greater London
31,female,0,0,0,1e-8,263972,adaod,0,50,30,0,0,5,female_adaod,Greater London
32,female,0,0,0,1e-8,263972,adaod,0,50,30,0,0,5,female_adaod,Greater London
33,female,0,0,0,1e-8,263972,adaod,0,50,30,0,0,5,female_adaod,Greater London
34,female,0,0,0,1e-8,263972,adaod,0,50,30,0,0,5,female_adaod,Greater London
35,female,0,0,0,1e-8,237491,adaod,0,50,35,0,0,5,female_adaod,Greater London
36,female,0,0,0,1e-8,237491,adaod,0,50,35,0,0,5,female_adaod,Greater London
37,female,0,0,0,1e-8,237491,adaod,0,50,35,0,0,5,female_adaod,Greater London
38,female,0,0,0,1e-8,237491,adaod,0,50,35,0,0,5,female_adaod,Greater London
39,female,0,0,0,1e-8,237491,adaod,0,50,35,0,0,5,female_adaod,Greater London
40,female,1.3810349329825718e-6,9.703059050581345e-6,7.286062435433266e-5,4.3265974583643246e-5,189048,adaod,0,50,40,0,0,5,female_adaod,Greater London
41,female,1.3810349329825718e-6,9.703059050581345e-6,7.286062435433266e-5,4.3265974583643246e-5,189048,adaod,0,50,40,0,0,5,female_adaod,Greater London
42,female,1.3810349329825718e-6,9.703059050581345e-6,7.286062435433266e-5,4.3265974583643246e-5,189048,adaod,0,50,40,0,0,5,female_adaod,Greater London
43,female,1.3810349329825718e-6,9.703059050581345e-6,7.286062435433266e-5,4.3265974583643246e-5,189048,adaod,0,50,40,0,0,5,female_adaod,Greater London
44,female,1.3810349329825718e-6,9.703059050581345e-6,7.286062435433266e-5,4.3265974583643246e-5,189048,adaod,0,50,40,0,0,5,female_adaod,Greater London
