age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,2.3220500560944174e-7,1.8192579781208206e-5,1.2807952685139163e-4,4.188279853573793e-5,185455,iscs,0,10,0,0,0,5,female_iscs,Greater London
1,female,2.3220500560944174e-7,1.8192579781208206e-5,1.2807952685139163e-4,4.188279853573793e-5,185455,iscs,0,10,0,0,0,5,female_iscs,Greater London
2,female,2.3220500560944174e-7,1.8192579781208206e-5,1.2807952685139163e-4,4.188279853573793e-5,185455,iscs,0,10,0,0,0,5,female_iscs,Greater London
3,female,2.3220500560944174e-7,1.8192579781208206e-5,1.2807952685139163e-4,4.188279853573793e-5,185455,iscs,0,10,0,0,0,5,female_iscs,Greater London
4,female,2.3220500560944174e-7,1.8192579781208206e-5,1.2807952685139163e-4,4.188279853573793e-5,185455,iscs,0,10,0,0,0,5,female_iscs,Greater London
5,female,3.680776397684344e-8,5.191706483960176e-5,3.6823070760011006e-4,3.58668940333086e-5,175468,iscs,0,10,5,0,0,5,female_iscs,Greater London
6,female,3.680776397684344e-8,5.191706483960176e-5,3.6823070760011006e-4,3.58668940333086e-5,175468,iscs,0,10,5,0,0,5,female_iscs,Greater London
7,female,3.680776397684344e-8,5.191706483960176e-5,3.6823070760011006e-4,3.58668940333086e-5,175468,iscs,0,10,5,0,0,5,female_iscs,Greater London
8,female,3.680776397684344e-8,5.191706483960176e-5,3.6823070760011006e-4,3.58668940333086e-5,175468,iscs,0,10,5,0,0,5,female_iscs,Greater London
9,female,3.680776397684344e-8,5.191706483960176e-5,3.6823070760011006e-4,3.58668940333086e-5,175468,iscs,0,10,5,0,0,5,female_iscs,Greater London
10,female,6.439502933954523e-8,8.288324871325745e-5,5.849346875156666e-4,3.2338152844267287e-005,150695,iscs,0,50,10,0,0,5,female_iscs,Greater London
11,female,6.439502933954523e-8,8.288324871325745e-5,5.849346875156666e-4,3.2338152844267287e-005,150695,iscs,0,50,10,0,0,5,female_iscs,Greater London
12,female,6.439502933954523e-8,8.288324871325745e-5,5.849346875156666e-4,3.2338152844267287e-005,150695,iscs,0,50,10,0,0,5,female_iscs,Greater London
13,female,6.439502933954523e-8,8.288324871325745e-5,5.849346875156666e-4,3.2338152844267287e-005,150695,iscs,0,50,10,0,0,5,female_iscs,Greater London
14,female,6.439502933954523e-8,8.288324871325745e-5,5.849346875156666e-4,3.2338152844267287e-005,150695,iscs,0,50,10,0,0,5,female_iscs,Greater London
15,female,1.0994210305342963e-7,1.0990368274473612e-4,7.920951319392841e-4,2.8829122437325027e-5,141648,iscs,0,50,15,0,0,5,female_iscs,Greater London
16,female,1.0994210305342963e-7,1.0990368274473612e-4,7.920951319392841e-4,2.8829122437325027e-5,141648,iscs,0,50,15,0,0,5,female_iscs,Greater London
17,female,1.0994210305342963e-7,1.0990368274473612e-4,7.920951319392841e-4,2.8829122437325027e-5,141648,iscs,0,50,15,0,0,5,female_iscs,Greater London
18,female,1.0994210305342963e-7,1.0990368274473612e-4,7.920951319392841e-4,2.8829122437325027e-5,141648,iscs,0,50,15,0,0,5,female_iscs,Greater London
19,female,1.0994210305342963e-7,1.0990368274473612e-4,7.920951319392841e-4,2.8829122437325027e-5,141648,iscs,0,50,15,0,0,5,female_iscs,Greater London
20,female,2.4345667685997783e-7,1.3918226860133888e-4,0.0010023507766795084,3.3832016830107556e-5,182368,iscs,0,50,20,0,0,5,female_iscs,Greater London
