age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,185455,lvrc,0,10,0,0,0,5,female_lvrc,Greater London
1,female,0,0,0,1e-8,185455,lvrc,0,10,0,0,0,5,female_lvrc,Greater London
2,female,0,0,0,1e-8,185455,lvrc,0,10,0,0,0,5,female_lvrc,Greater London
3,female,0,0,0,1e-8,185455,lvrc,0,10,0,0,0,5,female_lvrc,Greater London
4,female,0,0,0,1e-8,185455,lvrc,0,10,0,0,0,5,female_lvrc,Greater London
5,female,2.915814315821506e-7,2.2208476118089733e-7,0,1.0530454379135675e-6,175468,lvrc,0,10,5,0,0,5,female_lvrc,Greater London
6,female,2.915814315821506e-7,2.2208476118089733e-7,0,1.0530454379135675e-6,175468,lvrc,0,10,5,0,0,5,female_lvrc,Greater London
7,female,2.915814315821506e-7,2.2208476118089733e-7,0,1.0530454379135675e-6,175468,lvrc,0,10,5,0,0,5,female_lvrc,Greater London
8,female,2.915814315821506e-7,2.2208476118089733e-7,0,1.0530454379135675e-6,175468,lvrc,0,10,5,0,0,5,female_lvrc,Greater London
9,female,2.915814315821506e-7,2.2208476118089733e-7,0,1.0530454379135675e-6,175468,lvrc,0,10,5,0,0,5,female_lvrc,Greater London
10,female,4.816796109165575e-7,3.549069140537659e-7,0,1.6514954271161399e-6,150695,lvrc,0,50,10,0,0,5,female_lvrc,Greater London
11,female,4.816796109165575e-7,3.549069140537659e-7,0,1.6514954271161399e-6,150695,lvrc,0,50,10,0,0,5,female_lvrc,Greater London
12,female,4.816796109165575e-7,3.549069140537659e-7,0,1.6514954271161399e-6,150695,lvrc,0,50,10,0,0,5,female_lvrc,Greater London
13,female,4.816796109165575e-7,3.549069140537659e-7,0,1.6514954271161399e-6,150695,lvrc,0,50,10,0,0,5,female_lvrc,Greater London
14,female,4.816796109165575e-7,3.549069140537659e-7,0,1.6514954271161399e-6,150695,lvrc,0,50,10,0,0,5,female_lvrc,Greater London
15,female,7.291548962687055e-7,6.628821111547777e-7,0,3.078434975108519e-6,141648,lvrc,0,50,15,0,0,5,female_lvrc,Greater London
16,female,7.291548962687055e-7,6.628821111547777e-7,0,3.078434975108519e-6,141648,lvrc,0,50,15,0,0,5,female_lvrc,Greater London
17,female,7.291548962687055e-7,6.628821111547777e-7,0,3.078434975108519e-6,141648,lvrc,0,50,15,0,0,5,female_lvrc,Greater London
18,female,7.291548962687055e-7,6.628821111547777e-7,0,3.078434975108519e-6,141648,lvrc,0,50,15,0,0,5,female_lvrc,Greater London
19,female,7.291548962687055e-7,6.628821111547777e-7,0,3.078434975108519e-6,141648,lvrc,0,50,15,0,0,5,female_lvrc,Greater London
20,female,8.329980611040842e-7,8.15528211117452e-7,0,3.8107831871485574e-6,182368,lvrc,0,50,20,0,0,5,female_lvrc,Greater London
21,female,8.329980611040842e-7,8.15528211117452e-7,0,3.8107831871485574e-6,182368,lvrc,0,50,20,0,0,5,female_lvrc,Greater London
22,female,8.329980611040842e-7,8.15528211117452e-7,0,3.8107831871485574e-6,182368,lvrc,0,50,20,0,0,5,female_lvrc,Greater London
23,female,8.329980611040842e-7,8.15528211117452e-7,0,3.8107831871485574e-6,182368,lvrc,0,50,20,0,0,5,female_lvrc,Greater London
24,female,8.329980611040842e-7,8.15528211117452e-7,0,3.8107831871485574e-6,182368,lvrc,0,50,20,0,0,5,female_lvrc,Greater London
25,female,1.1305889453350835e-6,8.831191046863854e-7,0,3.22809670684473e-6,250647,lvrc,0,50,25,0,0,5,female_lvrc,Greater London
26,female,1.1305889453350835e-6,8.831191046863854e-7,0,3.22809670684473e-6,250647,lvrc,0,50,25,0,0,5,female_lvrc,Greater London
27,female,1.1305889453350835e-6,8.831191046863854e-7,0,3.22809670684473e-6,250647,lvrc,0,50,25,0,0,5,female_lvrc,Greater London
28,female,1.1305889453350835e-6,8.831191046863854e-7,0,3.22809670684473e-6,250647,lvrc,0,50,25,0,0,5,female_lvrc,Greater London
29,female,1.1305889453350835e-6,8.831191046863854e-7,0,3.22809670684473e-6,250647,lvrc,0,50,25,0,0,5,female_lvrc,Greater London
30,female,1.5509176039954035e-6,1.3196537681620328e-6,0,4.699977998006397e-6,263972,lvrc,0,50,30,0,0,5,female_lvrc,Greater London
31,female,1.5509176039954035e-6,1.3196537681620328e-6,0,4.699977998006397e-6,263972,lvrc,0,50,30,0,0,5,female_lvrc,Greater London
32,female,1.5509176039954035e-6,1.3196537681620328e-6,0,4.699977998006397e-6,263972,lvrc,0,50,30,0,0,5,female_lvrc,Greater London
33,female,1.5509176039954035e-6,1.3196537681620328e-6,0,4.699977998006397e-6,263972,lvrc,0,50,30,0,0,5,female_lvrc,Greater London
34,female,1.5509176039954035e-6,1.3196537681620328e-6,0,4.699977998006397e-6,263972,lvrc,0,50,30,0,0,5,female_lvrc,Greater London
35,female,2.7411895962242503e-6,1.8496230209494065e-6,0,6.196193302909229e-6,237491,lvrc,0,50,35,0,1,5,female_lvrc,Greater London
36,female,2.7411895962242503e-6,1.8496230209494065e-6,0,6.196193302909229e-6,237491,lvrc,0,50,35,0,1,5,female_lvrc,Greater London
