age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,185455,utrc,0,10,0,0,0,5,female_utrc,Greater London
1,female,0,0,0,1e-8,185455,utrc,0,10,0,0,0,5,female_utrc,Greater London
2,female,0,0,0,1e-8,185455,utrc,0,10,0,0,0,5,female_utrc,Greater London
3,female,0,0,0,1e-8,185455,utrc,0,10,0,0,0,5,female_utrc,Greater London
4,female,0,0,0,1e-8,185455,utrc,0,10,0,0,0,5,female_utrc,Greater London
5,female,0,0,0,1e-8,175468,utrc,0,10,5,0,0,5,female_utrc,Greater London
6,female,0,0,0,1e-8,175468,utrc,0,10,5,0,0,5,female_utrc,Greater London
7,female,0,0,0,1e-8,175468,utrc,0,10,5,0,0,5,female_utrc,Greater London
8,female,0,0,0,1e-8,175468,utrc,0,10,5,0,0,5,female_utrc,Greater London
9,female,0,0,0,1e-8,175468,utrc,0,10,5,0,0,5,female_utrc,Greater London
10,female,0,0,0,1e-8,150695,utrc,0,50,10,0,0,5,female_utrc,Greater London
11,female,0,0,0,1e-8,150695,utrc,0,50,10,0,0,5,female_utrc,Greater London
12,female,0,0,0,1e-8,150695,utrc,0,50,10,0,0,5,female_utrc,Greater London
13,female,0,0,0,1e-8,150695,utrc,0,50,10,0,0,5,female_utrc,Greater London
14,female,0,0,0,1e-8,150695,utrc,0,50,10,0,0,5,female_utrc,Greater London
15,female,8.399163318486511e-8,9.338917277631668e-7,1.3948866690837888e-5,1.622634530128689e-6,141648,utrc,0,50,15,0,0,5,female_utrc,Greater London
16,female,8.399163318486511e-8,9.338917277631668e-7,1.3948866690837888e-5,1.622634530128689e-6,141648,utrc,0,50,15,0,0,5,female_utrc,Greater London
17,female,8.399163318486511e-8,9.338917277631668e-7,1.3948866690837888e-5,1.622634530128689e-6,141648,utrc,0,50,15,0,0,5,female_utrc,Greater London
18,female,8.399163318486511e-8,9.338917277631668e-7,1.3948866690837888e-5,1.622634530128689e-6,141648,utrc,0,50,15,0,0,5,female_utrc,Greater London
19,female,8.399163318486511e-8,9.338917277631668e-7,1.3948866690837888e-5,1.622634530128689e-6,141648,utrc,0,50,15,0,0,5,female_utrc,Greater London
20,female,1.249270840827226e-7,1.5740373967338605e-6,2.3530765187620958e-5,2.7313628005104474e-6,182368,utrc,0,50,20,0,0,5,female_utrc,Greater London
21,female,1.249270840827226e-7,1.5740373967338605e-6,2.3530765187620958e-5,2.7313628005104474e-6,182368,utrc,0,50,20,0,0,5,female_utrc,Greater London
