age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,194823,adaod,0,10,0,0,0,5,male_adaod,Greater London
1,male,0,0,0,1e-8,194823,adaod,0,10,0,0,0,5,male_adaod,Greater London
2,male,0,0,0,1e-8,194823,adaod,0,10,0,0,0,5,male_adaod,Greater London
3,male,0,0,0,1e-8,194823,adaod,0,10,0,0,0,5,male_adaod,Greater London
4,male,0,0,0,1e-8,194823,adaod,0,10,0,0,0,5,male_adaod,Greater London
5,male,0,0,0,1e-8,183368,adaod,0,10,5,0,0,5,male_adaod,Greater London
6,male,0,0,0,1e-8,183368,adaod,0,10,5,0,0,5,male_adaod,Greater London
7,male,0,0,0,1e-8,183368,adaod,0,10,5,0,0,5,male_adaod,Greater London
8,male,0,0,0,1e-8,183368,adaod,0,10,5,0,0,5,male_adaod,Greater London
9,male,0,0,0,1e-8,183368,adaod,0,10,5,0,0,5,male_adaod,Greater London
10,male,0,0,0,1e-8,157108,adaod,0,50,10,0,0,5,male_adaod,Greater London
11,male,0,0,0,1e-8,157108,adaod,0,50,10,0,0,5,male_adaod,Greater London
12,male,0,0,0,1e-8,157108,adaod,0,50,10,0,0,5,male_adaod,Greater London
13,male,0,0,0,1e-8,157108,adaod,0,50,10,0,0,5,male_adaod,Greater London
14,male,0,0,0,1e-8,157108,adaod,0,50,10,0,0,5,male_adaod,Greater London
15,male,0,0,0,1e-8,147244,adaod,0,50,15,0,0,5,male_adaod,Greater London
16,male,0,0,0,1e-8,147244,adaod,0,50,15,0,0,5,male_adaod,Greater London
17,male,0,0,0,1e-8,147244,adaod,0,50,15,0,0,5,male_adaod,Greater London
18,male,0,0,0,1e-8,147244,adaod,0,50,15,0,0,5,male_adaod,Greater London
19,male,0,0,0,1e-8,147244,adaod,0,50,15,0,0,5,male_adaod,Greater London
20,male,0,0,0,1e-8,181375,adaod,0,50,20,0,0,5,male_adaod,Greater London
21,male,0,0,0,1e-8,181375,adaod,0,50,20,0,0,5,male_adaod,Greater London
22,male,0,0,0,1e-8,181375,adaod,0,50,20,0,0,5,male_adaod,Greater London
23,male,0,0,0,1e-8,181375,adaod,0,50,20,0,0,5,male_adaod,Greater London
24,male,0,0,0,1e-8,181375,adaod,0,50,20,0,0,5,male_adaod,Greater London
25,male,0,0,0,1e-8,247736,adaod,0,50,25,0,0,5,male_adaod,Greater London
26,male,0,0,0,1e-8,247736,adaod,0,50,25,0,0,5,male_adaod,Greater London
27,male,0,0,0,1e-8,247736,adaod,0,50,25,0,0,5,male_adaod,Greater London
28,male,0,0,0,1e-8,247736,adaod,0,50,25,0,0,5,male_adaod,Greater London
29,male,0,0,0,1e-8,247736,adaod,0,50,25,0,0,5,male_adaod,Greater London
30,male,0,0,0,1e-8,267369,adaod,0,50,30,0,0,5,male_adaod,Greater London
31,male,0,0,0,1e-8,267369,adaod,0,50,30,0,0,5,male_adaod,Greater London
32,male,0,0,0,1e-8,267369,adaod,0,50,30,0,0,5,male_adaod,Greater London
33,male,0,0,0,1e-8,267369,adaod,0,50,30,0,0,5,male_adaod,Greater London
34,male,0,0,0,1e-8,267369,adaod,0,50,30,0,0,5,male_adaod,Greater London
35,male,0,0,0,1e-8,237298,adaod,0,50,35,0,0,5,male_adaod,Greater London
36,male,0,0,0,1e-8,237298,adaod,0,50,35,0,0,5,male_adaod,Greater London
37,male,0,0,0,1e-8,237298,adaod,0,50,35,0,0,5,male_adaod,Greater London
38,male,0,0,0,1e-8,237298,adaod,0,50,35,0,0,5,male_adaod,Greater London
39,male,0,0,0,1e-8,237298,adaod,0,50,35,0,0,5,male_adaod,Greater London
40,male,1.4264513343357875e-6,7.872717113156409e-6,5.9128114097002585e-5,3.519076832452324e-5,190309,adaod,0,50,40,0,0,5,male_adaod,Greater London
41,male,1.4264513343357875e-6,7.872717113156409e-6,5.9128114097002585e-5,3.519076832452324e-5,190309,adaod,0,50,40,0,0,5,male_adaod,Greater London
42,male,1.4264513343357875e-6,7.872717113156409e-6,5.9128114097002585e-5,3.519076832452324e-5,190309,adaod,0,50,40,0,0,5,male_adaod,Greater London
43,male,1.4264513343357875e-6,7.872717113156409e-6,5.9128114097002585e-5,3.519076832452324e-5,190309,adaod,0,50,40,0,0,5,male_adaod,Greater London
44,male,1.4264513343357875e-6,7.872717113156409e-6,5.9128114097002585e-5,3.519076832452324e-5,190309,adaod,0,50,40,0,0,5,male_adaod,Greater London
45,male,5.276969699771284e-6,5.452968162470959e-5,4.184953124791965e-4,1.1729075270776775e-4,177151,adaod,0,50,45,0,1,5,male_adaod,Greater London
46,male,5.276969699771284e-6,5.452968162470959e-5,4.184953124791965e-4,1.1729075270776775e-4,177151,adaod,0,50,45,0,1,5,male_adaod,Greater London
47,male,5.276969699771284e-6,5.452968162470959e-5,4.184953124791965e-4,1.1729075270776775e-4,177151,adaod,0,50,45,0,1,5,male_adaod,Greater London
48,male,5.276969699771284e-6,5.452968162470959e-5,4.184953124791965e-4,1.1729075270776775e-4,177151,adaod,0,50,45,0,1,5,male_adaod,Greater London
49,male,5.276969699771284e-6,5.452968162470959e-5,4.184953124791965e-4,1.1729075270776775e-4,177151,adaod,0,50,45,0,1,5,male_adaod,Greater London
50,male,1.4500419381065847e-5,1.486967856392937e-4,0.0011880128484082026,2.0188244718878897e-4,161459,adaod,0,50,50,0,2,5,male_adaod,Greater London
51,male,1.4500419381065847e-5,1.486967856392937e-4,0.0011880128484082026,2.0188244718878897e-4,161459,adaod,0,50,50,0,2,5,male_adaod,Greater London
52,male,1.4500419381065847e-5,1.486967856392937e-4,0.0011880128484082026,2.0188244718878897e-4,161459,adaod,0,50,50,0,2,5,male_adaod,Greater London
53,male,1.4500419381065847e-5,1.486967856392937e-4,0.0011880128484082026,2.0188244718878897e-4,161459,adaod,0,50,50,0,2,5,male_adaod,Greater London
54,male,1.4500419381065847e-5,1.486967856392937e-4,0.0011880128484082026,2.0188244718878897e-4,161459,adaod,0,50,50,0,2,5,male_adaod,Greater London
55,male,3.5491714589278886e-5,2.993270035499943e-4,0.002466084422626571,3.801352947607392e-4,134508,adaod,0,50,55,0,5,5,male_adaod,Greater London
56,male,3.5491714589278886e-5,2.993270035499943e-4,0.002466084422626571,3.801352947607392e-4,134508,adaod,0,50,55,0,5,5,male_adaod,Greater London
