age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.0521157246629419e-5,7.167129256731308e-5,5.684776214267532e-4,2.6483396153903857e-4,194823,crdd,0,10,0,0,2,5,male_crdd,Greater London
1,male,1.0521157246629419e-5,7.167129256731308e-5,5.684776214267532e-4,2.6483396153903857e-4,194823,crdd,0,10,0,0,2,5,male_crdd,Greater London
2,male,1.0521157246629419e-5,7.167129256731308e-5,5.684776214267532e-4,2.6483396153903857e-4,194823,crdd,0,10,0,0,2,5,male_crdd,Greater London
3,male,1.0521157246629419e-5,7.167129256731308e-5,5.684776214267532e-4,2.6483396153903857e-4,194823,crdd,0,10,0,0,2,5,male_crdd,Greater London
4,male,1.0521157246629419e-5,7.167129256731308e-5,5.684776214267532e-4,2.6483396153903857e-4,194823,crdd,0,10,0,0,2,5,male_crdd,Greater London
5,male,2.3763905121272833e-6,1.7227070284848888e-4,0.0016371359861178307,2.2118510799998115e-4,183368,crdd,0,10,5,0,0,5,male_crdd,Greater London
6,male,2.3763905121272833e-6,1.7227070284848888e-4,0.0016371359861178307,2.2118510799998115e-4,183368,crdd,0,10,5,0,0,5,male_crdd,Greater London
7,male,2.3763905121272833e-6,1.7227070284848888e-4,0.0016371359861178307,2.2118510799998115e-4,183368,crdd,0,10,5,0,0,5,male_crdd,Greater London
8,male,2.3763905121272833e-6,1.7227070284848888e-4,0.0016371359861178307,2.2118510799998115e-4,183368,crdd,0,10,5,0,0,5,male_crdd,Greater London
9,male,2.3763905121272833e-6,1.7227070284848888e-4,0.0016371359861178307,2.2118510799998115e-4,183368,crdd,0,10,5,0,0,5,male_crdd,Greater London
10,male,3.031779617381109e-6,1.6463658770058905e-4,0.0010241706898580752,2.3003837606627207e-4,157108,crdd,0,50,10,0,0,5,male_crdd,Greater London
11,male,3.031779617381109e-6,1.6463658770058905e-4,0.0010241706898580752,2.3003837606627207e-4,157108,crdd,0,50,10,0,0,5,male_crdd,Greater London
12,male,3.031779617381109e-6,1.6463658770058905e-4,0.0010241706898580752,2.3003837606627207e-4,157108,crdd,0,50,10,0,0,5,male_crdd,Greater London
13,male,3.031779617381109e-6,1.6463658770058905e-4,0.0010241706898580752,2.3003837606627207e-4,157108,crdd,0,50,10,0,0,5,male_crdd,Greater London
14,male,3.031779617381109e-6,1.6463658770058905e-4,0.0010241706898580752,2.3003837606627207e-4,157108,crdd,0,50,10,0,0,5,male_crdd,Greater London
15,male,1.0938244357995553e-5,2.465632340336575e-4,0.00189301478305232,3.7268690373276164e-4,147244,crdd,0,50,15,0,2,5,male_crdd,Greater London
16,male,1.0938244357995553e-5,2.465632340336575e-4,0.00189301478305232,3.7268690373276164e-4,147244,crdd,0,50,15,0,2,5,male_crdd,Greater London
17,male,1.0938244357995553e-5,2.465632340336575e-4,0.00189301478305232,3.7268690373276164e-4,147244,crdd,0,50,15,0,2,5,male_crdd,Greater London
18,male,1.0938244357995553e-5,2.465632340336575e-4,0.00189301478305232,3.7268690373276164e-4,147244,crdd,0,50,15,0,2,5,male_crdd,Greater London
19,male,1.0938244357995553e-5,2.465632340336575e-4,0.00189301478305232,3.7268690373276164e-4,147244,crdd,0,50,15,0,2,5,male_crdd,Greater London
20,male,1.817367119925726e-5,3.2224711410127363e-4,0.002859771567811716,6.872544034797447e-4,181375,crdd,0,50,20,0,3,5,male_crdd,Greater London
21,male,1.817367119925726e-5,3.2224711410127363e-4,0.002859771567811716,6.872544034797447e-4,181375,crdd,0,50,20,0,3,5,male_crdd,Greater London
22,male,1.817367119925726e-5,3.2224711410127363e-4,0.002859771567811716,6.872544034797447e-4,181375,crdd,0,50,20,0,3,5,male_crdd,Greater London
23,male,1.817367119925726e-5,3.2224711410127363e-4,0.002859771567811716,6.872544034797447e-4,181375,crdd,0,50,20,0,3,5,male_crdd,Greater London
24,male,1.817367119925726e-5,3.2224711410127363e-4,0.002859771567811716,6.872544034797447e-4,181375,crdd,0,50,20,0,3,5,male_crdd,Greater London
25,male,2.558603911191636e-5,5.282752446402132e-4,0.0066736080405627035,0.0011775492879122255,247736,crdd,0,50,25,0,6,5,male_crdd,Greater London
26,male,2.558603911191636e-5,5.282752446402132e-4,0.0066736080405627035,0.0011775492879122255,247736,crdd,0,50,25,0,6,5,male_crdd,Greater London
27,male,2.558603911191636e-5,5.282752446402132e-4,0.0066736080405627035,0.0011775492879122255,247736,crdd,0,50,25,0,6,5,male_crdd,Greater London
28,male,2.558603911191636e-5,5.282752446402132e-4,0.0066736080405627035,0.0011775492879122255,247736,crdd,0,50,25,0,6,5,male_crdd,Greater London
29,male,2.558603911191636e-5,5.282752446402132e-4,0.0066736080405627035,0.0011775492879122255,247736,crdd,0,50,25,0,6,5,male_crdd,Greater London
30,male,4.9681352838586427e-005,7.52598876219259e-4,0.010088910409791433,0.0021134882811573493,267369,crdd,0,50,30,1,13,5,male_crdd,Greater London
