age,sex,mort,ylds (years lived with disability)_rate_dmt2,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,194823,dmt2,0,10,0,0,0,5,male_dmt2,Greater London
1,male,0,0,0,1e-8,194823,dmt2,0,10,0,0,0,5,male_dmt2,Greater London
2,male,0,0,0,1e-8,194823,dmt2,0,10,0,0,0,5,male_dmt2,Greater London
3,male,0,0,0,1e-8,194823,dmt2,0,10,0,0,0,5,male_dmt2,Greater London
4,male,0,0,0,1e-8,194823,dmt2,0,10,0,0,0,5,male_dmt2,Greater London
5,male,0,0,0,1e-8,183368,dmt2,0,10,5,0,0,5,male_dmt2,Greater London
6,male,0,0,0,1e-8,183368,dmt2,0,10,5,0,0,5,male_dmt2,Greater London
7,male,0,0,0,1e-8,183368,dmt2,0,10,5,0,0,5,male_dmt2,Greater London
8,male,0,0,0,1e-8,183368,dmt2,0,10,5,0,0,5,male_dmt2,Greater London
9,male,0,0,0,1e-8,183368,dmt2,0,10,5,0,0,5,male_dmt2,Greater London
10,male,0,5.197860096646184e-5,0.0010426342820762553,7.913758302715421e-4,157108,dmt2,0,50,10,0,0,5,male_dmt2,Greater London
11,male,0,5.197860096646184e-5,0.0010426342820762553,7.913758302715421e-4,157108,dmt2,0,50,10,0,0,5,male_dmt2,Greater London
12,male,0,5.197860096646184e-5,0.0010426342820762553,7.913758302715421e-4,157108,dmt2,0,50,10,0,0,5,male_dmt2,Greater London
13,male,0,5.197860096646184e-5,0.0010426342820762553,7.913758302715421e-4,157108,dmt2,0,50,10,0,0,5,male_dmt2,Greater London
14,male,0,5.197860096646184e-5,0.0010426342820762553,7.913758302715421e-4,157108,dmt2,0,50,10,0,0,5,male_dmt2,Greater London
15,male,1.0116711801492091e-7,5.602401172025269e-4,0.010664616655292012,0.003233394116753156,147244,dmt2,0,50,15,1,0,5,male_dmt2,Greater London
16,male,1.0116711801492091e-7,5.602401172025269e-4,0.010664616655292012,0.003233394116753156,147244,dmt2,0,50,15,1,0,5,male_dmt2,Greater London
