age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,194823,lvrc,0,10,0,0,0,5,male_lvrc,Greater London
1,male,0,0,0,1e-8,194823,lvrc,0,10,0,0,0,5,male_lvrc,Greater London
2,male,0,0,0,1e-8,194823,lvrc,0,10,0,0,0,5,male_lvrc,Greater London
3,male,0,0,0,1e-8,194823,lvrc,0,10,0,0,0,5,male_lvrc,Greater London
4,male,0,0,0,1e-8,194823,lvrc,0,10,0,0,0,5,male_lvrc,Greater London
5,male,5.393204935070188e-7,5.356572604378782e-7,0,2.5877295222966834e-6,183368,lvrc,0,10,5,0,0,5,male_lvrc,Greater London
6,male,5.393204935070188e-7,5.356572604378782e-7,0,2.5877295222966834e-6,183368,lvrc,0,10,5,0,0,5,male_lvrc,Greater London
7,male,5.393204935070188e-7,5.356572604378782e-7,0,2.5877295222966834e-6,183368,lvrc,0,10,5,0,0,5,male_lvrc,Greater London
8,male,5.393204935070188e-7,5.356572604378782e-7,0,2.5877295222966834e-6,183368,lvrc,0,10,5,0,0,5,male_lvrc,Greater London
9,male,5.393204935070188e-7,5.356572604378782e-7,0,2.5877295222966834e-6,183368,lvrc,0,10,5,0,0,5,male_lvrc,Greater London
10,male,4.887528247456073e-7,4.827397298689833e-7,0,2.2856588329717066e-6,157108,lvrc,0,50,10,0,0,5,male_lvrc,Greater London
11,male,4.887528247456073e-7,4.827397298689833e-7,0,2.2856588329717066e-6,157108,lvrc,0,50,10,0,0,5,male_lvrc,Greater London
12,male,4.887528247456073e-7,4.827397298689833e-7,0,2.2856588329717066e-6,157108,lvrc,0,50,10,0,0,5,male_lvrc,Greater London
13,male,4.887528247456073e-7,4.827397298689833e-7,0,2.2856588329717066e-6,157108,lvrc,0,50,10,0,0,5,male_lvrc,Greater London
14,male,4.887528247456073e-7,4.827397298689833e-7,0,2.2856588329717066e-6,157108,lvrc,0,50,10,0,0,5,male_lvrc,Greater London
15,male,8.434257744566114e-7,1.0167138106318439e-6,0,4.805717416804112e-6,147244,lvrc,0,50,15,0,0,5,male_lvrc,Greater London
16,male,8.434257744566114e-7,1.0167138106318439e-6,0,4.805717416804112e-6,147244,lvrc,0,50,15,0,0,5,male_lvrc,Greater London
