age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,194823,utrc,0,10,0,0,0,5,male_utrc,Greater London
1,male,0,0,0,1e-8,194823,utrc,0,10,0,0,0,5,male_utrc,Greater London
2,male,0,0,0,1e-8,194823,utrc,0,10,0,0,0,5,male_utrc,Greater London
3,male,0,0,0,1e-8,194823,utrc,0,10,0,0,0,5,male_utrc,Greater London
4,male,0,0,0,1e-8,194823,utrc,0,10,0,0,0,5,male_utrc,Greater London
5,male,0,0,0,1e-8,183368,utrc,0,10,5,0,0,5,male_utrc,Greater London
6,male,0,0,0,1e-8,183368,utrc,0,10,5,0,0,5,male_utrc,Greater London
7,male,0,0,0,1e-8,183368,utrc,0,10,5,0,0,5,male_utrc,Greater London
8,male,0,0,0,1e-8,183368,utrc,0,10,5,0,0,5,male_utrc,Greater London
9,male,0,0,0,1e-8,183368,utrc,0,10,5,0,0,5,male_utrc,Greater London
10,male,0,0,0,1e-8,157108,utrc,0,50,10,0,0,5,male_utrc,Greater London
11,male,0,0,0,1e-8,157108,utrc,0,50,10,0,0,5,male_utrc,Greater London
12,male,0,0,0,1e-8,157108,utrc,0,50,10,0,0,5,male_utrc,Greater London
13,male,0,0,0,1e-8,157108,utrc,0,50,10,0,0,5,male_utrc,Greater London
14,male,0,0,0,1e-8,157108,utrc,0,50,10,0,0,5,male_utrc,Greater London
15,male,0,0,0,1e-8,147244,utrc,0,50,15,0,0,5,male_utrc,Greater London
16,male,0,0,0,1e-8,147244,utrc,0,50,15,0,0,5,male_utrc,Greater London
17,male,0,0,0,1e-8,147244,utrc,0,50,15,0,0,5,male_utrc,Greater London
18,male,0,0,0,1e-8,147244,utrc,0,50,15,0,0,5,male_utrc,Greater London
19,male,0,0,0,1e-8,147244,utrc,0,50,15,0,0,5,male_utrc,Greater London
20,male,0,0,0,1e-8,181375,utrc,0,50,20,0,0,5,male_utrc,Greater London
21,male,0,0,0,1e-8,181375,utrc,0,50,20,0,0,5,male_utrc,Greater London
22,male,0,0,0,1e-8,181375,utrc,0,50,20,0,0,5,male_utrc,Greater London
23,male,0,0,0,1e-8,181375,utrc,0,50,20,0,0,5,male_utrc,Greater London
24,male,0,0,0,1e-8,181375,utrc,0,50,20,0,0,5,male_utrc,Greater London
25,male,0,0,0,1e-8,247736,utrc,0,50,25,0,0,5,male_utrc,Greater London
26,male,0,0,0,1e-8,247736,utrc,0,50,25,0,0,5,male_utrc,Greater London
27,male,0,0,0,1e-8,247736,utrc,0,50,25,0,0,5,male_utrc,Greater London
28,male,0,0,0,1e-8,247736,utrc,0,50,25,0,0,5,male_utrc,Greater London
29,male,0,0,0,1e-8,247736,utrc,0,50,25,0,0,5,male_utrc,Greater London
30,male,0,0,0,1e-8,267369,utrc,0,50,30,0,0,5,male_utrc,Greater London
31,male,0,0,0,1e-8,267369,utrc,0,50,30,0,0,5,male_utrc,Greater London
32,male,0,0,0,1e-8,267369,utrc,0,50,30,0,0,5,male_utrc,Greater London
33,male,0,0,0,1e-8,267369,utrc,0,50,30,0,0,5,male_utrc,Greater London
34,male,0,0,0,1e-8,267369,utrc,0,50,30,0,0,5,male_utrc,Greater London
35,male,0,0,0,1e-8,237298,utrc,0,50,35,0,0,5,male_utrc,Greater London
36,male,0,0,0,1e-8,237298,utrc,0,50,35,0,0,5,male_utrc,Greater London
37,male,0,0,0,1e-8,237298,utrc,0,50,35,0,0,5,male_utrc,Greater London
38,male,0,0,0,1e-8,237298,utrc,0,50,35,0,0,5,male_utrc,Greater London
39,male,0,0,0,1e-8,237298,utrc,0,50,35,0,0,5,male_utrc,Greater London
40,male,0,0,0,1e-8,190309,utrc,0,50,40,0,0,5,male_utrc,Greater London
41,male,0,0,0,1e-8,190309,utrc,0,50,40,0,0,5,male_utrc,Greater London
42,male,0,0,0,1e-8,190309,utrc,0,50,40,0,0,5,male_utrc,Greater London
43,male,0,0,0,1e-8,190309,utrc,0,50,40,0,0,5,male_utrc,Greater London
44,male,0,0,0,1e-8,190309,utrc,0,50,40,0,0,5,male_utrc,Greater London
45,male,0,0,0,1e-8,177151,utrc,0,50,45,0,0,5,male_utrc,Greater London
46,male,0,0,0,1e-8,177151,utrc,0,50,45,0,0,5,male_utrc,Greater London
47,male,0,0,0,1e-8,177151,utrc,0,50,45,0,0,5,male_utrc,Greater London
48,male,0,0,0,1e-8,177151,utrc,0,50,45,0,0,5,male_utrc,Greater London
49,male,0,0,0,1e-8,177151,utrc,0,50,45,0,0,5,male_utrc,Greater London
50,male,0,0,0,1e-8,161459,utrc,0,50,50,0,0,5,male_utrc,Greater London
51,male,0,0,0,1e-8,161459,utrc,0,50,50,0,0,5,male_utrc,Greater London
52,male,0,0,0,1e-8,161459,utrc,0,50,50,0,0,5,male_utrc,Greater London
53,male,0,0,0,1e-8,161459,utrc,0,50,50,0,0,5,male_utrc,Greater London
54,male,0,0,0,1e-8,161459,utrc,0,50,50,0,0,5,male_utrc,Greater London
