age,sex,mort,ylds (years lived with disability)_rate_copd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.035806359269036e-6,2.910700920156811e-5,3.9452057717144604e-4,1.331708605222636e-4,14431,copd,0,10,0,0,0,5,female_copd,North East England
1,female,1.035806359269036e-6,2.910700920156811e-5,3.9452057717144604e-4,1.331708605222636e-4,14431,copd,0,10,0,0,0,5,female_copd,North East England
2,female,1.035806359269036e-6,2.910700920156811e-5,3.9452057717144604e-4,1.331708605222636e-4,14431,copd,0,10,0,0,0,5,female_copd,North East England
3,female,1.035806359269036e-6,2.910700920156811e-5,3.9452057717144604e-4,1.331708605222636e-4,14431,copd,0,10,0,0,0,5,female_copd,North East England
4,female,1.035806359269036e-6,2.910700920156811e-5,3.9452057717144604e-4,1.331708605222636e-4,14431,copd,0,10,0,0,0,5,female_copd,North East England
5,female,4.02366342114172e-7,8.93114060537564e-5,0.0012455429584159593,1.6744385715814682e-4,15200,copd,0,10,5,0,0,5,female_copd,North East England
6,female,4.02366342114172e-7,8.93114060537564e-5,0.0012455429584159593,1.6744385715814682e-4,15200,copd,0,10,5,0,0,5,female_copd,North East England
7,female,4.02366342114172e-7,8.93114060537564e-5,0.0012455429584159593,1.6744385715814682e-4,15200,copd,0,10,5,0,0,5,female_copd,North East England
8,female,4.02366342114172e-7,8.93114060537564e-5,0.0012455429584159593,1.6744385715814682e-4,15200,copd,0,10,5,0,0,5,female_copd,North East England
9,female,4.02366342114172e-7,8.93114060537564e-5,0.0012455429584159593,1.6744385715814682e-4,15200,copd,0,10,5,0,0,5,female_copd,North East England
10,female,6.630000962708076e-7,1.7176841669669924e-4,0.0024198202720359333,3.6575216071523686e-4,14104,copd,0,50,10,0,0,5,female_copd,North East England
11,female,6.630000962708076e-7,1.7176841669669924e-4,0.0024198202720359333,3.6575216071523686e-4,14104,copd,0,50,10,0,0,5,female_copd,North East England
12,female,6.630000962708076e-7,1.7176841669669924e-4,0.0024198202720359333,3.6575216071523686e-4,14104,copd,0,50,10,0,0,5,female_copd,North East England
13,female,6.630000962708076e-7,1.7176841669669924e-4,0.0024198202720359333,3.6575216071523686e-4,14104,copd,0,50,10,0,0,5,female_copd,North East England
14,female,6.630000962708076e-7,1.7176841669669924e-4,0.0024198202720359333,3.6575216071523686e-4,14104,copd,0,50,10,0,0,5,female_copd,North East England
15,female,9.881831993181084e-7,3.6046743972376684e-4,0.005233104265614229,7.597713560365358e-4,14531,copd,0,50,15,0,0,5,female_copd,North East England
16,female,9.881831993181084e-7,3.6046743972376684e-4,0.005233104265614229,7.597713560365358e-4,14531,copd,0,50,15,0,0,5,female_copd,North East England
17,female,9.881831993181084e-7,3.6046743972376684e-4,0.005233104265614229,7.597713560365358e-4,14531,copd,0,50,15,0,0,5,female_copd,North East England
18,female,9.881831993181084e-7,3.6046743972376684e-4,0.005233104265614229,7.597713560365358e-4,14531,copd,0,50,15,0,0,5,female_copd,North East England
19,female,9.881831993181084e-7,3.6046743972376684e-4,0.005233104265614229,7.597713560365358e-4,14531,copd,0,50,15,0,0,5,female_copd,North East England
20,female,9.670530859495853e-7,6.775805998733192e-4,0.009964224214790018,0.0011255115343188511,16711,copd,0,50,20,0,0,5,female_copd,North East England
21,female,9.670530859495853e-7,6.775805998733192e-4,0.009964224214790018,0.0011255115343188511,16711,copd,0,50,20,0,0,5,female_copd,North East England
22,female,9.670530859495853e-7,6.775805998733192e-4,0.009964224214790018,0.0011255115343188511,16711,copd,0,50,20,0,0,5,female_copd,North East England
23,female,9.670530859495853e-7,6.775805998733192e-4,0.009964224214790018,0.0011255115343188511,16711,copd,0,50,20,0,0,5,female_copd,North East England
24,female,9.670530859495853e-7,6.775805998733192e-4,0.009964224214790018,0.0011255115343188511,16711,copd,0,50,20,0,0,5,female_copd,North East England
25,female,1.7554892184635145e-6,0.0011031233767837005,0.016419878679462402,0.001460471044281085,18190,copd,0,50,25,1,0,5,female_copd,North East England
26,female,1.7554892184635145e-6,0.0011031233767837005,0.016419878679462402,0.001460471044281085,18190,copd,0,50,25,1,0,5,female_copd,North East England
27,female,1.7554892184635145e-6,0.0011031233767837005,0.016419878679462402,0.001460471044281085,18190,copd,0,50,25,1,0,5,female_copd,North East England
