age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,14431,ishd,0,10,0,0,0,5,female_ishd,North East England
1,female,0,0,0,1e-8,14431,ishd,0,10,0,0,0,5,female_ishd,North East England
2,female,0,0,0,1e-8,14431,ishd,0,10,0,0,0,5,female_ishd,North East England
3,female,0,0,0,1e-8,14431,ishd,0,10,0,0,0,5,female_ishd,North East England
4,female,0,0,0,1e-8,14431,ishd,0,10,0,0,0,5,female_ishd,North East England
5,female,0,0,0,1e-8,15200,ishd,0,10,5,0,0,5,female_ishd,North East England
6,female,0,0,0,1e-8,15200,ishd,0,10,5,0,0,5,female_ishd,North East England
7,female,0,0,0,1e-8,15200,ishd,0,10,5,0,0,5,female_ishd,North East England
8,female,0,0,0,1e-8,15200,ishd,0,10,5,0,0,5,female_ishd,North East England
9,female,0,0,0,1e-8,15200,ishd,0,10,5,0,0,5,female_ishd,North East England
10,female,0,0,0,1e-8,14104,ishd,0,50,10,0,0,5,female_ishd,North East England
11,female,0,0,0,1e-8,14104,ishd,0,50,10,0,0,5,female_ishd,North East England
12,female,0,0,0,1e-8,14104,ishd,0,50,10,0,0,5,female_ishd,North East England
13,female,0,0,0,1e-8,14104,ishd,0,50,10,0,0,5,female_ishd,North East England
14,female,0,0,0,1e-8,14104,ishd,0,50,10,0,0,5,female_ishd,North East England
15,female,7.302539802351149e-7,4.710125567773931e-6,1.2877340445028828e-4,1.698440546103181e-5,14531,ishd,0,50,15,0,0,5,female_ishd,North East England
16,female,7.302539802351149e-7,4.710125567773931e-6,1.2877340445028828e-4,1.698440546103181e-5,14531,ishd,0,50,15,0,0,5,female_ishd,North East England
17,female,7.302539802351149e-7,4.710125567773931e-6,1.2877340445028828e-4,1.698440546103181e-5,14531,ishd,0,50,15,0,0,5,female_ishd,North East England
18,female,7.302539802351149e-7,4.710125567773931e-6,1.2877340445028828e-4,1.698440546103181e-5,14531,ishd,0,50,15,0,0,5,female_ishd,North East England
19,female,7.302539802351149e-7,4.710125567773931e-6,1.2877340445028828e-4,1.698440546103181e-5,14531,ishd,0,50,15,0,0,5,female_ishd,North East England
20,female,1.4315546213608125e-6,2.0548731807610916e-5,4.1539371091048853e-4,3.9438588324984586e-5,16711,ishd,0,50,20,0,0,5,female_ishd,North East England
21,female,1.4315546213608125e-6,2.0548731807610916e-5,4.1539371091048853e-4,3.9438588324984586e-5,16711,ishd,0,50,20,0,0,5,female_ishd,North East England
22,female,1.4315546213608125e-6,2.0548731807610916e-5,4.1539371091048853e-4,3.9438588324984586e-5,16711,ishd,0,50,20,0,0,5,female_ishd,North East England
23,female,1.4315546213608125e-6,2.0548731807610916e-5,4.1539371091048853e-4,3.9438588324984586e-5,16711,ishd,0,50,20,0,0,5,female_ishd,North East England
24,female,1.4315546213608125e-6,2.0548731807610916e-5,4.1539371091048853e-4,3.9438588324984586e-5,16711,ishd,0,50,20,0,0,5,female_ishd,North East England
25,female,4.0201689957156644e-006,4.282047273518389e-5,8.944536268540547e-4,5.053749406855009e-5,18190,ishd,0,50,25,0,0,5,female_ishd,North East England
26,female,4.0201689957156644e-006,4.282047273518389e-5,8.944536268540547e-4,5.053749406855009e-5,18190,ishd,0,50,25,0,0,5,female_ishd,North East England
27,female,4.0201689957156644e-006,4.282047273518389e-5,8.944536268540547e-4,5.053749406855009e-5,18190,ishd,0,50,25,0,0,5,female_ishd,North East England
28,female,4.0201689957156644e-006,4.282047273518389e-5,8.944536268540547e-4,5.053749406855009e-5,18190,ishd,0,50,25,0,0,5,female_ishd,North East England
29,female,4.0201689957156644e-006,4.282047273518389e-5,8.944536268540547e-4,5.053749406855009e-5,18190,ishd,0,50,25,0,0,5,female_ishd,North East England
30,female,1.58360780326827e-5,8.266657630677227e-5,0.0017559323011487355,1.0863657431804307e-4,17395,ishd,0,50,30,0,0,5,female_ishd,North East England
31,female,1.58360780326827e-5,8.266657630677227e-5,0.0017559323011487355,1.0863657431804307e-4,17395,ishd,0,50,30,0,0,5,female_ishd,North East England
32,female,1.58360780326827e-5,8.266657630677227e-5,0.0017559323011487355,1.0863657431804307e-4,17395,ishd,0,50,30,0,0,5,female_ishd,North East England
33,female,1.58360780326827e-5,8.266657630677227e-5,0.0017559323011487355,1.0863657431804307e-4,17395,ishd,0,50,30,0,0,5,female_ishd,North East England
34,female,1.58360780326827e-5,8.266657630677227e-5,0.0017559323011487355,1.0863657431804307e-4,17395,ishd,0,50,30,0,0,5,female_ishd,North East England
35,female,3.04948313452317e-5,1.4854364030634194e-4,0.003442402821122454,2.136439016973603e-4,16305,ishd,0,50,35,0,0,5,female_ishd,North East England
36,female,3.04948313452317e-5,1.4854364030634194e-4,0.003442402821122454,2.136439016973603e-4,16305,ishd,0,50,35,0,0,5,female_ishd,North East England
37,female,3.04948313452317e-5,1.4854364030634194e-4,0.003442402821122454,2.136439016973603e-4,16305,ishd,0,50,35,0,0,5,female_ishd,North East England
38,female,3.04948313452317e-5,1.4854364030634194e-4,0.003442402821122454,2.136439016973603e-4,16305,ishd,0,50,35,0,0,5,female_ishd,North East England
39,female,3.04948313452317e-5,1.4854364030634194e-4,0.003442402821122454,2.136439016973603e-4,16305,ishd,0,50,35,0,0,5,female_ishd,North East England
40,female,5.5922080039019816e-5,2.752919091629766e-4,0.00658473650849669,4.1600855984845784e-4,15593,ishd,0,50,40,0,1,5,female_ishd,North East England
41,female,5.5922080039019816e-5,2.752919091629766e-4,0.00658473650849669,4.1600855984845784e-4,15593,ishd,0,50,40,0,1,5,female_ishd,North East England
42,female,5.5922080039019816e-5,2.752919091629766e-4,0.00658473650849669,4.1600855984845784e-4,15593,ishd,0,50,40,0,1,5,female_ishd,North East England
43,female,5.5922080039019816e-5,2.752919091629766e-4,0.00658473650849669,4.1600855984845784e-4,15593,ishd,0,50,40,0,1,5,female_ishd,North East England
44,female,5.5922080039019816e-5,2.752919091629766e-4,0.00658473650849669,4.1600855984845784e-4,15593,ishd,0,50,40,0,1,5,female_ishd,North East England
45,female,1.2848926847707499e-4,4.5792453948063905e-4,0.01129959978191904,7.161031646499214e-4,18557,ishd,0,50,45,1,2,5,female_ishd,North East England
46,female,1.2848926847707499e-4,4.5792453948063905e-4,0.01129959978191904,7.161031646499214e-4,18557,ishd,0,50,45,1,2,5,female_ishd,North East England
47,female,1.2848926847707499e-4,4.5792453948063905e-4,0.01129959978191904,7.161031646499214e-4,18557,ishd,0,50,45,1,2,5,female_ishd,North East England
