age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,14431,lvrc,0,10,0,0,0,5,female_lvrc,North East England
1,female,0,0,0,1e-8,14431,lvrc,0,10,0,0,0,5,female_lvrc,North East England
2,female,0,0,0,1e-8,14431,lvrc,0,10,0,0,0,5,female_lvrc,North East England
3,female,0,0,0,1e-8,14431,lvrc,0,10,0,0,0,5,female_lvrc,North East England
4,female,0,0,0,1e-8,14431,lvrc,0,10,0,0,0,5,female_lvrc,North East England
5,female,2.1110605900777615e-7,1.0191021302413762e-7,0,4.5602717628798317e-7,15200,lvrc,0,10,5,0,0,5,female_lvrc,North East England
6,female,2.1110605900777615e-7,1.0191021302413762e-7,0,4.5602717628798317e-7,15200,lvrc,0,10,5,0,0,5,female_lvrc,North East England
7,female,2.1110605900777615e-7,1.0191021302413762e-7,0,4.5602717628798317e-7,15200,lvrc,0,10,5,0,0,5,female_lvrc,North East England
8,female,2.1110605900777615e-7,1.0191021302413762e-7,0,4.5602717628798317e-7,15200,lvrc,0,10,5,0,0,5,female_lvrc,North East England
9,female,2.1110605900777615e-7,1.0191021302413762e-7,0,4.5602717628798317e-7,15200,lvrc,0,10,5,0,0,5,female_lvrc,North East England
10,female,3.531476824141001e-7,1.5815254399363602e-7,0,6.944388466493725e-7,14104,lvrc,0,50,10,0,0,5,female_lvrc,North East England
11,female,3.531476824141001e-7,1.5815254399363602e-7,0,6.944388466493725e-7,14104,lvrc,0,50,10,0,0,5,female_lvrc,North East England
12,female,3.531476824141001e-7,1.5815254399363602e-7,0,6.944388466493725e-7,14104,lvrc,0,50,10,0,0,5,female_lvrc,North East England
13,female,3.531476824141001e-7,1.5815254399363602e-7,0,6.944388466493725e-7,14104,lvrc,0,50,10,0,0,5,female_lvrc,North East England
14,female,3.531476824141001e-7,1.5815254399363602e-7,0,6.944388466493725e-7,14104,lvrc,0,50,10,0,0,5,female_lvrc,North East England
15,female,9.059942438663374e-7,5.013371673556036e-7,0,2.1835459615161307e-6,14531,lvrc,0,50,15,0,0,5,female_lvrc,North East England
16,female,9.059942438663374e-7,5.013371673556036e-7,0,2.1835459615161307e-6,14531,lvrc,0,50,15,0,0,5,female_lvrc,North East England
17,female,9.059942438663374e-7,5.013371673556036e-7,0,2.1835459615161307e-6,14531,lvrc,0,50,15,0,0,5,female_lvrc,North East England
18,female,9.059942438663374e-7,5.013371673556036e-7,0,2.1835459615161307e-6,14531,lvrc,0,50,15,0,0,5,female_lvrc,North East England
19,female,9.059942438663374e-7,5.013371673556036e-7,0,2.1835459615161307e-6,14531,lvrc,0,50,15,0,0,5,female_lvrc,North East England
20,female,8.09710446672113e-7,5.01171279264163e-7,0,2.212924031072258e-6,16711,lvrc,0,50,20,0,0,5,female_lvrc,North East England
21,female,8.09710446672113e-7,5.01171279264163e-7,0,2.212924031072258e-6,16711,lvrc,0,50,20,0,0,5,female_lvrc,North East England
22,female,8.09710446672113e-7,5.01171279264163e-7,0,2.212924031072258e-6,16711,lvrc,0,50,20,0,0,5,female_lvrc,North East England
23,female,8.09710446672113e-7,5.01171279264163e-7,0,2.212924031072258e-6,16711,lvrc,0,50,20,0,0,5,female_lvrc,North East England
24,female,8.09710446672113e-7,5.01171279264163e-7,0,2.212924031072258e-6,16711,lvrc,0,50,20,0,0,5,female_lvrc,North East England
25,female,2.0568449108613105e-6,1.3230446184243647e-6,0,5.0058170856340444e-6,18190,lvrc,0,50,25,0,0,5,female_lvrc,North East England
26,female,2.0568449108613105e-6,1.3230446184243647e-6,0,5.0058170856340444e-6,18190,lvrc,0,50,25,0,0,5,female_lvrc,North East England
27,female,2.0568449108613105e-6,1.3230446184243647e-6,0,5.0058170856340444e-6,18190,lvrc,0,50,25,0,0,5,female_lvrc,North East England
28,female,2.0568449108613105e-6,1.3230446184243647e-6,0,5.0058170856340444e-6,18190,lvrc,0,50,25,0,0,5,female_lvrc,North East England
29,female,2.0568449108613105e-6,1.3230446184243647e-6,0,5.0058170856340444e-6,18190,lvrc,0,50,25,0,0,5,female_lvrc,North East England
30,female,3.488013862421581e-6,2.183803278989397e-6,0,8.302721499791221e-6,17395,lvrc,0,50,30,0,0,5,female_lvrc,North East England
31,female,3.488013862421581e-6,2.183803278989397e-6,0,8.302721499791221e-6,17395,lvrc,0,50,30,0,0,5,female_lvrc,North East England
32,female,3.488013862421581e-6,2.183803278989397e-6,0,8.302721499791221e-6,17395,lvrc,0,50,30,0,0,5,female_lvrc,North East England
33,female,3.488013862421581e-6,2.183803278989397e-6,0,8.302721499791221e-6,17395,lvrc,0,50,30,0,0,5,female_lvrc,North East England
34,female,3.488013862421581e-6,2.183803278989397e-6,0,8.302721499791221e-6,17395,lvrc,0,50,30,0,0,5,female_lvrc,North East England
35,female,4.750048872873745e-6,2.5076128492848414e-6,0,9.131114294549056e-6,16305,lvrc,0,50,35,0,0,5,female_lvrc,North East England
36,female,4.750048872873745e-6,2.5076128492848414e-6,0,9.131114294549056e-6,16305,lvrc,0,50,35,0,0,5,female_lvrc,North East England
37,female,4.750048872873745e-6,2.5076128492848414e-6,0,9.131114294549056e-6,16305,lvrc,0,50,35,0,0,5,female_lvrc,North East England
38,female,4.750048872873745e-6,2.5076128492848414e-6,0,9.131114294549056e-6,16305,lvrc,0,50,35,0,0,5,female_lvrc,North East England
39,female,4.750048872873745e-6,2.5076128492848414e-6,0,9.131114294549056e-6,16305,lvrc,0,50,35,0,0,5,female_lvrc,North East England
40,female,7.791731126521859e-6,3.962562714546323e-6,0,1.388314118616045e-5,15593,lvrc,0,50,40,0,0,5,female_lvrc,North East England
41,female,7.791731126521859e-6,3.962562714546323e-6,0,1.388314118616045e-5,15593,lvrc,0,50,40,0,0,5,female_lvrc,North East England
42,female,7.791731126521859e-6,3.962562714546323e-6,0,1.388314118616045e-5,15593,lvrc,0,50,40,0,0,5,female_lvrc,North East England
43,female,7.791731126521859e-6,3.962562714546323e-6,0,1.388314118616045e-5,15593,lvrc,0,50,40,0,0,5,female_lvrc,North East England
44,female,7.791731126521859e-6,3.962562714546323e-6,0,1.388314118616045e-5,15593,lvrc,0,50,40,0,0,5,female_lvrc,North East England
45,female,1.7632838447878312e-5,6.303719686293805e-6,0,2.4101587402879398e-5,18557,lvrc,0,50,45,0,0,5,female_lvrc,North East England
46,female,1.7632838447878312e-5,6.303719686293805e-6,0,2.4101587402879398e-5,18557,lvrc,0,50,45,0,0,5,female_lvrc,North East England
47,female,1.7632838447878312e-5,6.303719686293805e-6,0,2.4101587402879398e-5,18557,lvrc,0,50,45,0,0,5,female_lvrc,North East England
48,female,1.7632838447878312e-5,6.303719686293805e-6,0,2.4101587402879398e-5,18557,lvrc,0,50,45,0,0,5,female_lvrc,North East England
49,female,1.7632838447878312e-5,6.303719686293805e-6,0,2.4101587402879398e-5,18557,lvrc,0,50,45,0,0,5,female_lvrc,North East England
50,female,2.9662284130627204e-5,9.924173030634685e-6,0,3.839063907814671e-5,19845,lvrc,0,50,50,0,1,5,female_lvrc,North East England
51,female,2.9662284130627204e-5,9.924173030634685e-6,0,3.839063907814671e-5,19845,lvrc,0,50,50,0,1,5,female_lvrc,North East England
52,female,2.9662284130627204e-5,9.924173030634685e-6,0,3.839063907814671e-5,19845,lvrc,0,50,50,0,1,5,female_lvrc,North East England
53,female,2.9662284130627204e-5,9.924173030634685e-6,0,3.839063907814671e-5,19845,lvrc,0,50,50,0,1,5,female_lvrc,North East England
54,female,2.9662284130627204e-5,9.924173030634685e-6,0,3.839063907814671e-5,19845,lvrc,0,50,50,0,1,5,female_lvrc,North East England
55,female,5.4926263787572e-5,1.7045168312472816e-5,0,6.736830475329322e-5,18619,lvrc,0,50,55,0,1,5,female_lvrc,North East England
56,female,5.4926263787572e-5,1.7045168312472816e-5,0,6.736830475329322e-5,18619,lvrc,0,50,55,0,1,5,female_lvrc,North East England
57,female,5.4926263787572e-5,1.7045168312472816e-5,0,6.736830475329322e-5,18619,lvrc,0,50,55,0,1,5,female_lvrc,North East England
