age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.925923039705804e-6,3.4959607148815865e-5,0,9.080445903898088e-5,14431,strk,0,10,0,0,0,5,female_strk,North East England
1,female,1.925923039705804e-6,3.4959607148815865e-5,0,9.080445903898088e-5,14431,strk,0,10,0,0,0,5,female_strk,North East England
2,female,1.925923039705804e-6,3.4959607148815865e-5,0,9.080445903898088e-5,14431,strk,0,10,0,0,0,5,female_strk,North East England
3,female,1.925923039705804e-6,3.4959607148815865e-5,0,9.080445903898088e-5,14431,strk,0,10,0,0,0,5,female_strk,North East England
4,female,1.925923039705804e-6,3.4959607148815865e-5,0,9.080445903898088e-5,14431,strk,0,10,0,0,0,5,female_strk,North East England
5,female,5.646064903212417e-7,9.519836296176879e-5,2.879329616703439e-4,6.351339599379887e-5,15200,strk,0,10,5,0,0,5,female_strk,North East England
6,female,5.646064903212417e-7,9.519836296176879e-5,2.879329616703439e-4,6.351339599379887e-5,15200,strk,0,10,5,0,0,5,female_strk,North East England
7,female,5.646064903212417e-7,9.519836296176879e-5,2.879329616703439e-4,6.351339599379887e-5,15200,strk,0,10,5,0,0,5,female_strk,North East England
8,female,5.646064903212417e-7,9.519836296176879e-5,2.879329616703439e-4,6.351339599379887e-5,15200,strk,0,10,5,0,0,5,female_strk,North East England
9,female,5.646064903212417e-7,9.519836296176879e-5,2.879329616703439e-4,6.351339599379887e-5,15200,strk,0,10,5,0,0,5,female_strk,North East England
10,female,1.2967894828112496e-6,1.4907026730827397e-4,5.542172378001473e-4,5.834067794367246e-5,14104,strk,0,50,10,0,0,5,female_strk,North East England
11,female,1.2967894828112496e-6,1.4907026730827397e-4,5.542172378001473e-4,5.834067794367246e-5,14104,strk,0,50,10,0,0,5,female_strk,North East England
12,female,1.2967894828112496e-6,1.4907026730827397e-4,5.542172378001473e-4,5.834067794367246e-5,14104,strk,0,50,10,0,0,5,female_strk,North East England
13,female,1.2967894828112496e-6,1.4907026730827397e-4,5.542172378001473e-4,5.834067794367246e-5,14104,strk,0,50,10,0,0,5,female_strk,North East England
14,female,1.2967894828112496e-6,1.4907026730827397e-4,5.542172378001473e-4,5.834067794367246e-5,14104,strk,0,50,10,0,0,5,female_strk,North East England
15,female,2.6328363240157223e-6,1.9912326104758958e-4,8.477263907978716e-4,5.514848578203636e-5,14531,strk,0,50,15,0,0,5,female_strk,North East England
16,female,2.6328363240157223e-6,1.9912326104758958e-4,8.477263907978716e-4,5.514848578203636e-5,14531,strk,0,50,15,0,0,5,female_strk,North East England
17,female,2.6328363240157223e-6,1.9912326104758958e-4,8.477263907978716e-4,5.514848578203636e-5,14531,strk,0,50,15,0,0,5,female_strk,North East England
18,female,2.6328363240157223e-6,1.9912326104758958e-4,8.477263907978716e-4,5.514848578203636e-5,14531,strk,0,50,15,0,0,5,female_strk,North East England
19,female,2.6328363240157223e-6,1.9912326104758958e-4,8.477263907978716e-4,5.514848578203636e-5,14531,strk,0,50,15,0,0,5,female_strk,North East England
