age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15216,lvrc,0,10,0,0,0,5,male_lvrc,North East England
1,male,0,0,0,1e-8,15216,lvrc,0,10,0,0,0,5,male_lvrc,North East England
2,male,0,0,0,1e-8,15216,lvrc,0,10,0,0,0,5,male_lvrc,North East England
3,male,0,0,0,1e-8,15216,lvrc,0,10,0,0,0,5,male_lvrc,North East England
4,male,0,0,0,1e-8,15216,lvrc,0,10,0,0,0,5,male_lvrc,North East England
5,male,3.0678529558467846e-7,1.879391845427976e-7,0,8.704394033011141e-7,16036,lvrc,0,10,5,0,0,5,male_lvrc,North East England
6,male,3.0678529558467846e-7,1.879391845427976e-7,0,8.704394033011141e-7,16036,lvrc,0,10,5,0,0,5,male_lvrc,North East England
7,male,3.0678529558467846e-7,1.879391845427976e-7,0,8.704394033011141e-7,16036,lvrc,0,10,5,0,0,5,male_lvrc,North East England
8,male,3.0678529558467846e-7,1.879391845427976e-7,0,8.704394033011141e-7,16036,lvrc,0,10,5,0,0,5,male_lvrc,North East England
9,male,3.0678529558467846e-7,1.879391845427976e-7,0,8.704394033011141e-7,16036,lvrc,0,10,5,0,0,5,male_lvrc,North East England
10,male,5.759549573702718e-7,3.598157084031081e-7,0,1.6465400743608523e-6,14842,lvrc,0,50,10,0,0,5,male_lvrc,North East England
11,male,5.759549573702718e-7,3.598157084031081e-7,0,1.6465400743608523e-6,14842,lvrc,0,50,10,0,0,5,male_lvrc,North East England
12,male,5.759549573702718e-7,3.598157084031081e-7,0,1.6465400743608523e-6,14842,lvrc,0,50,10,0,0,5,male_lvrc,North East England
13,male,5.759549573702718e-7,3.598157084031081e-7,0,1.6465400743608523e-6,14842,lvrc,0,50,10,0,0,5,male_lvrc,North East England
14,male,5.759549573702718e-7,3.598157084031081e-7,0,1.6465400743608523e-6,14842,lvrc,0,50,10,0,0,5,male_lvrc,North East England
15,male,9.603642242507795e-7,7.17887766739002e-7,0,3.266145988963571e-6,15215,lvrc,0,50,15,0,0,5,male_lvrc,North East England
16,male,9.603642242507795e-7,7.17887766739002e-7,0,3.266145988963571e-6,15215,lvrc,0,50,15,0,0,5,male_lvrc,North East England
17,male,9.603642242507795e-7,7.17887766739002e-7,0,3.266145988963571e-6,15215,lvrc,0,50,15,0,0,5,male_lvrc,North East England
18,male,9.603642242507795e-7,7.17887766739002e-7,0,3.266145988963571e-6,15215,lvrc,0,50,15,0,0,5,male_lvrc,North East England
19,male,9.603642242507795e-7,7.17887766739002e-7,0,3.266145988963571e-6,15215,lvrc,0,50,15,0,0,5,male_lvrc,North East England
20,male,1.620646165297529e-6,1.3318454295516326e-6,0,6.116095775555237e-6,17404,lvrc,0,50,20,0,0,5,male_lvrc,North East England
21,male,1.620646165297529e-6,1.3318454295516326e-6,0,6.116095775555237e-6,17404,lvrc,0,50,20,0,0,5,male_lvrc,North East England
22,male,1.620646165297529e-6,1.3318454295516326e-6,0,6.116095775555237e-6,17404,lvrc,0,50,20,0,0,5,male_lvrc,North East England
23,male,1.620646165297529e-6,1.3318454295516326e-6,0,6.116095775555237e-6,17404,lvrc,0,50,20,0,0,5,male_lvrc,North East England
24,male,1.620646165297529e-6,1.3318454295516326e-6,0,6.116095775555237e-6,17404,lvrc,0,50,20,0,0,5,male_lvrc,North East England
25,male,2.834912484939323e-6,2.1127078943661276e-6,0,7.764748478545606e-6,18636,lvrc,0,50,25,0,0,5,male_lvrc,North East England
26,male,2.834912484939323e-6,2.1127078943661276e-6,0,7.764748478545606e-6,18636,lvrc,0,50,25,0,0,5,male_lvrc,North East England
27,male,2.834912484939323e-6,2.1127078943661276e-6,0,7.764748478545606e-6,18636,lvrc,0,50,25,0,0,5,male_lvrc,North East England
28,male,2.834912484939323e-6,2.1127078943661276e-6,0,7.764748478545606e-6,18636,lvrc,0,50,25,0,0,5,male_lvrc,North East England
29,male,2.834912484939323e-6,2.1127078943661276e-6,0,7.764748478545606e-6,18636,lvrc,0,50,25,0,0,5,male_lvrc,North East England
