age,sex,mort,ylds (years lived with disability)_rate_tbalc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,15216,tbalc,0,10,0,0,0,5,male_tbalc,North East England
1,male,0,0,0,1e-8,15216,tbalc,0,10,0,0,0,5,male_tbalc,North East England
2,male,0,0,0,1e-8,15216,tbalc,0,10,0,0,0,5,male_tbalc,North East England
3,male,0,0,0,1e-8,15216,tbalc,0,10,0,0,0,5,male_tbalc,North East England
4,male,0,0,0,1e-8,15216,tbalc,0,10,0,0,0,5,male_tbalc,North East England
5,male,0,0,0,1e-8,16036,tbalc,0,10,5,0,0,5,male_tbalc,North East England
6,male,0,0,0,1e-8,16036,tbalc,0,10,5,0,0,5,male_tbalc,North East England
7,male,0,0,0,1e-8,16036,tbalc,0,10,5,0,0,5,male_tbalc,North East England
8,male,0,0,0,1e-8,16036,tbalc,0,10,5,0,0,5,male_tbalc,North East England
9,male,0,0,0,1e-8,16036,tbalc,0,10,5,0,0,5,male_tbalc,North East England
10,male,0,0,0,1e-8,14842,tbalc,0,50,10,0,0,5,male_tbalc,North East England
11,male,0,0,0,1e-8,14842,tbalc,0,50,10,0,0,5,male_tbalc,North East England
12,male,0,0,0,1e-8,14842,tbalc,0,50,10,0,0,5,male_tbalc,North East England
13,male,0,0,0,1e-8,14842,tbalc,0,50,10,0,0,5,male_tbalc,North East England
14,male,0,0,0,1e-8,14842,tbalc,0,50,10,0,0,5,male_tbalc,North East England
15,male,1.916035365444131e-7,6.319204832859785e-8,2.654350956329038e-7,2.4754811152807914e-7,15215,tbalc,0,50,15,0,0,5,male_tbalc,North East England
16,male,1.916035365444131e-7,6.319204832859785e-8,2.654350956329038e-7,2.4754811152807914e-7,15215,tbalc,0,50,15,0,0,5,male_tbalc,North East England
17,male,1.916035365444131e-7,6.319204832859785e-8,2.654350956329038e-7,2.4754811152807914e-7,15215,tbalc,0,50,15,0,0,5,male_tbalc,North East England
18,male,1.916035365444131e-7,6.319204832859785e-8,2.654350956329038e-7,2.4754811152807914e-7,15215,tbalc,0,50,15,0,0,5,male_tbalc,North East England
19,male,1.916035365444131e-7,6.319204832859785e-8,2.654350956329038e-7,2.4754811152807914e-7,15215,tbalc,0,50,15,0,0,5,male_tbalc,North East England
20,male,8.497614153599329e-7,3.6147322212699793e-7,2.053128848794739e-6,1.280743629961594e-6,17404,tbalc,0,50,20,0,0,5,male_tbalc,North East England
21,male,8.497614153599329e-7,3.6147322212699793e-7,2.053128848794739e-6,1.280743629961594e-6,17404,tbalc,0,50,20,0,0,5,male_tbalc,North East England
22,male,8.497614153599329e-7,3.6147322212699793e-7,2.053128848794739e-6,1.280743629961594e-6,17404,tbalc,0,50,20,0,0,5,male_tbalc,North East England
23,male,8.497614153599329e-7,3.6147322212699793e-7,2.053128848794739e-6,1.280743629961594e-6,17404,tbalc,0,50,20,0,0,5,male_tbalc,North East England
24,male,8.497614153599329e-7,3.6147322212699793e-7,2.053128848794739e-6,1.280743629961594e-6,17404,tbalc,0,50,20,0,0,5,male_tbalc,North East England
25,male,2.1096444239182176e-6,1.061547187132984e-6,6.469285297226717e-6,3.6526186038596332e-6,18636,tbalc,0,50,25,0,0,5,male_tbalc,North East England
26,male,2.1096444239182176e-6,1.061547187132984e-6,6.469285297226717e-6,3.6526186038596332e-6,18636,tbalc,0,50,25,0,0,5,male_tbalc,North East England
27,male,2.1096444239182176e-6,1.061547187132984e-6,6.469285297226717e-6,3.6526186038596332e-6,18636,tbalc,0,50,25,0,0,5,male_tbalc,North East England
28,male,2.1096444239182176e-6,1.061547187132984e-6,6.469285297226717e-6,3.6526186038596332e-6,18636,tbalc,0,50,25,0,0,5,male_tbalc,North East England
29,male,2.1096444239182176e-6,1.061547187132984e-6,6.469285297226717e-6,3.6526186038596332e-6,18636,tbalc,0,50,25,0,0,5,male_tbalc,North East England
30,male,9.012761513704618e-6,3.896204266120605e-6,2.0854333351837457e-5,1.412324638634925e-5,17295,tbalc,0,50,30,0,0,5,male_tbalc,North East England
31,male,9.012761513704618e-6,3.896204266120605e-6,2.0854333351837457e-5,1.412324638634925e-5,17295,tbalc,0,50,30,0,0,5,male_tbalc,North East England
32,male,9.012761513704618e-6,3.896204266120605e-6,2.0854333351837457e-5,1.412324638634925e-5,17295,tbalc,0,50,30,0,0,5,male_tbalc,North East England
33,male,9.012761513704618e-6,3.896204266120605e-6,2.0854333351837457e-5,1.412324638634925e-5,17295,tbalc,0,50,30,0,0,5,male_tbalc,North East England
34,male,9.012761513704618e-6,3.896204266120605e-6,2.0854333351837457e-5,1.412324638634925e-5,17295,tbalc,0,50,30,0,0,5,male_tbalc,North East England
35,male,2.6142846414082518e-5,9.978321709767604e-6,5.2724714930791575e-5,3.635888630673962e-5,16399,tbalc,0,50,35,0,0,5,male_tbalc,North East England
36,male,2.6142846414082518e-5,9.978321709767604e-6,5.2724714930791575e-5,3.635888630673962e-5,16399,tbalc,0,50,35,0,0,5,male_tbalc,North East England
37,male,2.6142846414082518e-5,9.978321709767604e-6,5.2724714930791575e-5,3.635888630673962e-5,16399,tbalc,0,50,35,0,0,5,male_tbalc,North East England
38,male,2.6142846414082518e-5,9.978321709767604e-6,5.2724714930791575e-5,3.635888630673962e-5,16399,tbalc,0,50,35,0,0,5,male_tbalc,North East England
39,male,2.6142846414082518e-5,9.978321709767604e-6,5.2724714930791575e-5,3.635888630673962e-5,16399,tbalc,0,50,35,0,0,5,male_tbalc,North East England
40,male,6.690199463436298e-5,2.2883407887791662e-5,1.2110984633564457e-4,8.334490910278874e-5,15345,tbalc,0,50,40,0,1,5,male_tbalc,North East England
41,male,6.690199463436298e-5,2.2883407887791662e-5,1.2110984633564457e-4,8.334490910278874e-5,15345,tbalc,0,50,40,0,1,5,male_tbalc,North East England
42,male,6.690199463436298e-5,2.2883407887791662e-5,1.2110984633564457e-4,8.334490910278874e-5,15345,tbalc,0,50,40,0,1,5,male_tbalc,North East England
43,male,6.690199463436298e-5,2.2883407887791662e-5,1.2110984633564457e-4,8.334490910278874e-5,15345,tbalc,0,50,40,0,1,5,male_tbalc,North East England
44,male,6.690199463436298e-5,2.2883407887791662e-5,1.2110984633564457e-4,8.334490910278874e-5,15345,tbalc,0,50,40,0,1,5,male_tbalc,North East England
45,male,1.6005066866331194e-4,5.0907472221649945e-5,2.601564938393264e-4,1.8962991930490992e-4,17854,tbalc,0,50,45,0,3,5,male_tbalc,North East England
46,male,1.6005066866331194e-4,5.0907472221649945e-5,2.601564938393264e-4,1.8962991930490992e-4,17854,tbalc,0,50,45,0,3,5,male_tbalc,North East England
47,male,1.6005066866331194e-4,5.0907472221649945e-5,2.601564938393264e-4,1.8962991930490992e-4,17854,tbalc,0,50,45,0,3,5,male_tbalc,North East England
48,male,1.6005066866331194e-4,5.0907472221649945e-5,2.601564938393264e-4,1.8962991930490992e-4,17854,tbalc,0,50,45,0,3,5,male_tbalc,North East England
49,male,1.6005066866331194e-4,5.0907472221649945e-5,2.601564938393264e-4,1.8962991930490992e-4,17854,tbalc,0,50,45,0,3,5,male_tbalc,North East England
50,male,3.1601629663023407e-4,9.583830745632982e-5,5.430608641320525e-4,3.75010816000788e-4,19109,tbalc,0,50,50,0,6,5,male_tbalc,North East England
51,male,3.1601629663023407e-4,9.583830745632982e-5,5.430608641320525e-4,3.75010816000788e-4,19109,tbalc,0,50,50,0,6,5,male_tbalc,North East England
52,male,3.1601629663023407e-4,9.583830745632982e-5,5.430608641320525e-4,3.75010816000788e-4,19109,tbalc,0,50,50,0,6,5,male_tbalc,North East England
