age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,1.3489490485893326e-5,7.695203504070752e-5,3.6812814183725663e-4,3.368323710202144e-4,41816,crdd,0,10,0,0,1,5,female_crdd,North West England
1,female,1.3489490485893326e-5,7.695203504070752e-5,3.6812814183725663e-4,3.368323710202144e-4,41816,crdd,0,10,0,0,1,5,female_crdd,North West England
2,female,1.3489490485893326e-5,7.695203504070752e-5,3.6812814183725663e-4,3.368323710202144e-4,41816,crdd,0,10,0,0,1,5,female_crdd,North West England
3,female,1.3489490485893326e-5,7.695203504070752e-5,3.6812814183725663e-4,3.368323710202144e-4,41816,crdd,0,10,0,0,1,5,female_crdd,North West England
4,female,1.3489490485893326e-5,7.695203504070752e-5,3.6812814183725663e-4,3.368323710202144e-4,41816,crdd,0,10,0,0,1,5,female_crdd,North West England
5,female,3.0748530957901405e-6,1.3658712173679667e-4,3.4204549148574937e-4,2.6680012447905936e-4,44055,crdd,0,10,5,0,0,5,female_crdd,North West England
6,female,3.0748530957901405e-6,1.3658712173679667e-4,3.4204549148574937e-4,2.6680012447905936e-4,44055,crdd,0,10,5,0,0,5,female_crdd,North West England
7,female,3.0748530957901405e-6,1.3658712173679667e-4,3.4204549148574937e-4,2.6680012447905936e-4,44055,crdd,0,10,5,0,0,5,female_crdd,North West England
8,female,3.0748530957901405e-6,1.3658712173679667e-4,3.4204549148574937e-4,2.6680012447905936e-4,44055,crdd,0,10,5,0,0,5,female_crdd,North West England
9,female,3.0748530957901405e-6,1.3658712173679667e-4,3.4204549148574937e-4,2.6680012447905936e-4,44055,crdd,0,10,5,0,0,5,female_crdd,North West England
10,female,3.7568206594968893e-6,2.5855748144212214e-4,0.0019328551714550312,2.3488901751879418e-4,40864,crdd,0,50,10,0,0,5,female_crdd,North West England
11,female,3.7568206594968893e-6,2.5855748144212214e-4,0.0019328551714550312,2.3488901751879418e-4,40864,crdd,0,50,10,0,0,5,female_crdd,North West England
12,female,3.7568206594968893e-6,2.5855748144212214e-4,0.0019328551714550312,2.3488901751879418e-4,40864,crdd,0,50,10,0,0,5,female_crdd,North West England
13,female,3.7568206594968893e-6,2.5855748144212214e-4,0.0019328551714550312,2.3488901751879418e-4,40864,crdd,0,50,10,0,0,5,female_crdd,North West England
14,female,3.7568206594968893e-6,2.5855748144212214e-4,0.0019328551714550312,2.3488901751879418e-4,40864,crdd,0,50,10,0,0,5,female_crdd,North West England
15,female,1.1155451074382462e-5,6.793703380948985e-4,0.008819358238599724,3.147301800361139e-4,40790,crdd,0,50,15,0,0,5,female_crdd,North West England
16,female,1.1155451074382462e-5,6.793703380948985e-4,0.008819358238599724,3.147301800361139e-4,40790,crdd,0,50,15,0,0,5,female_crdd,North West England
17,female,1.1155451074382462e-5,6.793703380948985e-4,0.008819358238599724,3.147301800361139e-4,40790,crdd,0,50,15,0,0,5,female_crdd,North West England
18,female,1.1155451074382462e-5,6.793703380948985e-4,0.008819358238599724,3.147301800361139e-4,40790,crdd,0,50,15,0,0,5,female_crdd,North West England
19,female,1.1155451074382462e-5,6.793703380948985e-4,0.008819358238599724,3.147301800361139e-4,40790,crdd,0,50,15,0,0,5,female_crdd,North West England
20,female,1.805259921591604e-5,8.146719957368757e-4,0.010500206787380192,5.842999085729108e-4,45346,crdd,0,50,20,1,1,5,female_crdd,North West England
21,female,1.805259921591604e-5,8.146719957368757e-4,0.010500206787380192,5.842999085729108e-4,45346,crdd,0,50,20,1,1,5,female_crdd,North West England
22,female,1.805259921591604e-5,8.146719957368757e-4,0.010500206787380192,5.842999085729108e-4,45346,crdd,0,50,20,1,1,5,female_crdd,North West England
23,female,1.805259921591604e-5,8.146719957368757e-4,0.010500206787380192,5.842999085729108e-4,45346,crdd,0,50,20,1,1,5,female_crdd,North West England
24,female,1.805259921591604e-5,8.146719957368757e-4,0.010500206787380192,5.842999085729108e-4,45346,crdd,0,50,20,1,1,5,female_crdd,North West England
25,female,2.3879390491178783e-5,0.0012835444197700026,0.01880337274048622,0.0010593831089985922,51062,crdd,0,50,25,1,1,5,female_crdd,North West England
26,female,2.3879390491178783e-5,0.0012835444197700026,0.01880337274048622,0.0010593831089985922,51062,crdd,0,50,25,1,1,5,female_crdd,North West England
27,female,2.3879390491178783e-5,0.0012835444197700026,0.01880337274048622,0.0010593831089985922,51062,crdd,0,50,25,1,1,5,female_crdd,North West England
28,female,2.3879390491178783e-5,0.0012835444197700026,0.01880337274048622,0.0010593831089985922,51062,crdd,0,50,25,1,1,5,female_crdd,North West England
29,female,2.3879390491178783e-5,0.0012835444197700026,0.01880337274048622,0.0010593831089985922,51062,crdd,0,50,25,1,1,5,female_crdd,North West England
30,female,5.974613661738147e-5,0.0015423895370608128,0.022951908443797315,0.0018844608468252923,49924,crdd,0,50,30,1,3,5,female_crdd,North West England
31,female,5.974613661738147e-5,0.0015423895370608128,0.022951908443797315,0.0018844608468252923,49924,crdd,0,50,30,1,3,5,female_crdd,North West England
32,female,5.974613661738147e-5,0.0015423895370608128,0.022951908443797315,0.0018844608468252923,49924,crdd,0,50,30,1,3,5,female_crdd,North West England
33,female,5.974613661738147e-5,0.0015423895370608128,0.022951908443797315,0.0018844608468252923,49924,crdd,0,50,30,1,3,5,female_crdd,North West England
34,female,5.974613661738147e-5,0.0015423895370608128,0.022951908443797315,0.0018844608468252923,49924,crdd,0,50,30,1,3,5,female_crdd,North West England
35,female,1.0895562794915311e-4,0.0016055534233755382,0.02408900785832917,0.003056562054240922,46153,crdd,0,50,35,1,5,5,female_crdd,North West England
36,female,1.0895562794915311e-4,0.0016055534233755382,0.02408900785832917,0.003056562054240922,46153,crdd,0,50,35,1,5,5,female_crdd,North West England
37,female,1.0895562794915311e-4,0.0016055534233755382,0.02408900785832917,0.003056562054240922,46153,crdd,0,50,35,1,5,5,female_crdd,North West England
38,female,1.0895562794915311e-4,0.0016055534233755382,0.02408900785832917,0.003056562054240922,46153,crdd,0,50,35,1,5,5,female_crdd,North West England
39,female,1.0895562794915311e-4,0.0016055534233755382,0.02408900785832917,0.003056562054240922,46153,crdd,0,50,35,1,5,5,female_crdd,North West England
40,female,1.8767310011460597e-4,0.0026501845018213543,0.053190778051062614,0.0063084126333078855,44545,crdd,0,50,40,3,8,5,female_crdd,North West England
41,female,1.8767310011460597e-4,0.0026501845018213543,0.053190778051062614,0.0063084126333078855,44545,crdd,0,50,40,3,8,5,female_crdd,North West England
42,female,1.8767310011460597e-4,0.0026501845018213543,0.053190778051062614,0.0063084126333078855,44545,crdd,0,50,40,3,8,5,female_crdd,North West England
43,female,1.8767310011460597e-4,0.0026501845018213543,0.053190778051062614,0.0063084126333078855,44545,crdd,0,50,40,3,8,5,female_crdd,North West England
44,female,1.8767310011460597e-4,0.0026501845018213543,0.053190778051062614,0.0063084126333078855,44545,crdd,0,50,40,3,8,5,female_crdd,North West England
45,female,3.0681450943317905e-4,0.003410204441112057,0.06863293431710077,0.007810320476974559,51998,crdd,0,50,45,3,16,5,female_crdd,North West England
46,female,3.0681450943317905e-4,0.003410204441112057,0.06863293431710077,0.007810320476974559,51998,crdd,0,50,45,3,16,5,female_crdd,North West England
47,female,3.0681450943317905e-4,0.003410204441112057,0.06863293431710077,0.007810320476974559,51998,crdd,0,50,45,3,16,5,female_crdd,North West England
48,female,3.0681450943317905e-4,0.003410204441112057,0.06863293431710077,0.007810320476974559,51998,crdd,0,50,45,3,16,5,female_crdd,North West England
49,female,3.0681450943317905e-4,0.003410204441112057,0.06863293431710077,0.007810320476974559,51998,crdd,0,50,45,3,16,5,female_crdd,North West England
50,female,4.638181659392253e-4,0.004369668227452971,0.08540341876413013,0.010657892116966643,53032,crdd,0,50,50,4,25,5,female_crdd,North West England
51,female,4.638181659392253e-4,0.004369668227452971,0.08540341876413013,0.010657892116966643,53032,crdd,0,50,50,4,25,5,female_crdd,North West England
52,female,4.638181659392253e-4,0.004369668227452971,0.08540341876413013,0.010657892116966643,53032,crdd,0,50,50,4,25,5,female_crdd,North West England
53,female,4.638181659392253e-4,0.004369668227452971,0.08540341876413013,0.010657892116966643,53032,crdd,0,50,50,4,25,5,female_crdd,North West England
54,female,4.638181659392253e-4,0.004369668227452971,0.08540341876413013,0.010657892116966643,53032,crdd,0,50,50,4,25,5,female_crdd,North West England
55,female,7.602728963499713e-4,0.0061453087321451695,0.11645944509622985,0.015777638520990653,47267,crdd,0,50,55,6,36,5,female_crdd,North West England
56,female,7.602728963499713e-4,0.0061453087321451695,0.11645944509622985,0.015777638520990653,47267,crdd,0,50,55,6,36,5,female_crdd,North West England
57,female,7.602728963499713e-4,0.0061453087321451695,0.11645944509622985,0.015777638520990653,47267,crdd,0,50,55,6,36,5,female_crdd,North West England
58,female,7.602728963499713e-4,0.0061453087321451695,0.11645944509622985,0.015777638520990653,47267,crdd,0,50,55,6,36,5,female_crdd,North West England
59,female,7.602728963499713e-4,0.0061453087321451695,0.11645944509622985,0.015777638520990653,47267,crdd,0,50,55,6,36,5,female_crdd,North West England
60,female,0.0013275531928536794,0.008810402178588087,0.16445057946016328,0.025465591794802792,40291,crdd,0,50,60,8,53,5,female_crdd,North West England
61,female,0.0013275531928536794,0.008810402178588087,0.16445057946016328,0.025465591794802792,40291,crdd,0,50,60,8,53,5,female_crdd,North West England
