age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,0,0,0,1e-8,41816,lvrc,0,10,0,0,0,5,female_lvrc,North West England
1,female,0,0,0,1e-8,41816,lvrc,0,10,0,0,0,5,female_lvrc,North West England
2,female,0,0,0,1e-8,41816,lvrc,0,10,0,0,0,5,female_lvrc,North West England
3,female,0,0,0,1e-8,41816,lvrc,0,10,0,0,0,5,female_lvrc,North West England
4,female,0,0,0,1e-8,41816,lvrc,0,10,0,0,0,5,female_lvrc,North West England
5,female,3.2944681993947657e-7,1.6309852588833774e-7,0,7.427694900018413e-7,44055,lvrc,0,10,5,0,0,5,female_lvrc,North West England
6,female,3.2944681993947657e-7,1.6309852588833774e-7,0,7.427694900018413e-7,44055,lvrc,0,10,5,0,0,5,female_lvrc,North West England
7,female,3.2944681993947657e-7,1.6309852588833774e-7,0,7.427694900018413e-7,44055,lvrc,0,10,5,0,0,5,female_lvrc,North West England
8,female,3.2944681993947657e-7,1.6309852588833774e-7,0,7.427694900018413e-7,44055,lvrc,0,10,5,0,0,5,female_lvrc,North West England
9,female,3.2944681993947657e-7,1.6309852588833774e-7,0,7.427694900018413e-7,44055,lvrc,0,10,5,0,0,5,female_lvrc,North West England
10,female,4.003662510578555e-7,1.8415748501990976e-7,0,8.243759628164862e-7,40864,lvrc,0,50,10,0,0,5,female_lvrc,North West England
11,female,4.003662510578555e-7,1.8415748501990976e-7,0,8.243759628164862e-7,40864,lvrc,0,50,10,0,0,5,female_lvrc,North West England
12,female,4.003662510578555e-7,1.8415748501990976e-7,0,8.243759628164862e-7,40864,lvrc,0,50,10,0,0,5,female_lvrc,North West England
13,female,4.003662510578555e-7,1.8415748501990976e-7,0,8.243759628164862e-7,40864,lvrc,0,50,10,0,0,5,female_lvrc,North West England
14,female,4.003662510578555e-7,1.8415748501990976e-7,0,8.243759628164862e-7,40864,lvrc,0,50,10,0,0,5,female_lvrc,North West England
15,female,1.095639169020587e-6,6.355457026441876e-7,0,2.824045194392222e-6,40790,lvrc,0,50,15,0,0,5,female_lvrc,North West England
16,female,1.095639169020587e-6,6.355457026441876e-7,0,2.824045194392222e-6,40790,lvrc,0,50,15,0,0,5,female_lvrc,North West England
17,female,1.095639169020587e-6,6.355457026441876e-7,0,2.824045194392222e-6,40790,lvrc,0,50,15,0,0,5,female_lvrc,North West England
18,female,1.095639169020587e-6,6.355457026441876e-7,0,2.824045194392222e-6,40790,lvrc,0,50,15,0,0,5,female_lvrc,North West England
19,female,1.095639169020587e-6,6.355457026441876e-7,0,2.824045194392222e-6,40790,lvrc,0,50,15,0,0,5,female_lvrc,North West England
20,female,1.0620765306819633e-6,6.968010358703036e-7,0,3.1313644923658125e-6,45346,lvrc,0,50,20,0,0,5,female_lvrc,North West England
21,female,1.0620765306819633e-6,6.968010358703036e-7,0,3.1313644923658125e-6,45346,lvrc,0,50,20,0,0,5,female_lvrc,North West England
22,female,1.0620765306819633e-6,6.968010358703036e-7,0,3.1313644923658125e-6,45346,lvrc,0,50,20,0,0,5,female_lvrc,North West England
23,female,1.0620765306819633e-6,6.968010358703036e-7,0,3.1313644923658125e-6,45346,lvrc,0,50,20,0,0,5,female_lvrc,North West England
24,female,1.0620765306819633e-6,6.968010358703036e-7,0,3.1313644923658125e-6,45346,lvrc,0,50,20,0,0,5,female_lvrc,North West England
25,female,1.6151810720638802e-6,1.0280109149578447e-6,0,3.910503002745123e-6,51062,lvrc,0,50,25,0,0,5,female_lvrc,North West England
26,female,1.6151810720638802e-6,1.0280109149578447e-6,0,3.910503002745123e-6,51062,lvrc,0,50,25,0,0,5,female_lvrc,North West England
27,female,1.6151810720638802e-6,1.0280109149578447e-6,0,3.910503002745123e-6,51062,lvrc,0,50,25,0,0,5,female_lvrc,North West England
