age,sex,mort,ylds (years lived with disability)_rate_strk,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,female,2.133925578126853e-6,3.5870402721876796e-5,0,9.813338703697729e-5,41816,strk,0,10,0,0,0,5,female_strk,North West England
1,female,2.133925578126853e-6,3.5870402721876796e-5,0,9.813338703697729e-5,41816,strk,0,10,0,0,0,5,female_strk,North West England
2,female,2.133925578126853e-6,3.5870402721876796e-5,0,9.813338703697729e-5,41816,strk,0,10,0,0,0,5,female_strk,North West England
3,female,2.133925578126853e-6,3.5870402721876796e-5,0,9.813338703697729e-5,41816,strk,0,10,0,0,0,5,female_strk,North West England
4,female,2.133925578126853e-6,3.5870402721876796e-5,0,9.813338703697729e-5,41816,strk,0,10,0,0,0,5,female_strk,North West England
5,female,8.852391995084362e-7,9.551247448054916e-5,2.902212327000534e-4,6.30001054248322e-5,44055,strk,0,10,5,0,0,5,female_strk,North West England
6,female,8.852391995084362e-7,9.551247448054916e-5,2.902212327000534e-4,6.30001054248322e-5,44055,strk,0,10,5,0,0,5,female_strk,North West England
7,female,8.852391995084362e-7,9.551247448054916e-5,2.902212327000534e-4,6.30001054248322e-5,44055,strk,0,10,5,0,0,5,female_strk,North West England
8,female,8.852391995084362e-7,9.551247448054916e-5,2.902212327000534e-4,6.30001054248322e-5,44055,strk,0,10,5,0,0,5,female_strk,North West England
9,female,8.852391995084362e-7,9.551247448054916e-5,2.902212327000534e-4,6.30001054248322e-5,44055,strk,0,10,5,0,0,5,female_strk,North West England
10,female,1.4241263196923613e-6,1.4843523452210203e-4,5.537756947650997e-4,5.8116656199994194e-5,40864,strk,0,50,10,0,0,5,female_strk,North West England
11,female,1.4241263196923613e-6,1.4843523452210203e-4,5.537756947650997e-4,5.8116656199994194e-5,40864,strk,0,50,10,0,0,5,female_strk,North West England
12,female,1.4241263196923613e-6,1.4843523452210203e-4,5.537756947650997e-4,5.8116656199994194e-5,40864,strk,0,50,10,0,0,5,female_strk,North West England
13,female,1.4241263196923613e-6,1.4843523452210203e-4,5.537756947650997e-4,5.8116656199994194e-5,40864,strk,0,50,10,0,0,5,female_strk,North West England
14,female,1.4241263196923613e-6,1.4843523452210203e-4,5.537756947650997e-4,5.8116656199994194e-5,40864,strk,0,50,10,0,0,5,female_strk,North West England
15,female,3.287032352198804e-6,1.9847895094250273e-4,8.416116942040103e-4,5.5084128798548415e-5,40790,strk,0,50,15,0,0,5,female_strk,North West England
16,female,3.287032352198804e-6,1.9847895094250273e-4,8.416116942040103e-4,5.5084128798548415e-5,40790,strk,0,50,15,0,0,5,female_strk,North West England
17,female,3.287032352198804e-6,1.9847895094250273e-4,8.416116942040103e-4,5.5084128798548415e-5,40790,strk,0,50,15,0,0,5,female_strk,North West England
18,female,3.287032352198804e-6,1.9847895094250273e-4,8.416116942040103e-4,5.5084128798548415e-5,40790,strk,0,50,15,0,0,5,female_strk,North West England
19,female,3.287032352198804e-6,1.9847895094250273e-4,8.416116942040103e-4,5.5084128798548415e-5,40790,strk,0,50,15,0,0,5,female_strk,North West England
20,female,6.030245022756539e-6,2.5410349358015395e-4,0.0011672491718611778,7.061905744076114e-5,45346,strk,0,50,20,0,0,5,female_strk,North West England
21,female,6.030245022756539e-6,2.5410349358015395e-4,0.0011672491718611778,7.061905744076114e-5,45346,strk,0,50,20,0,0,5,female_strk,North West England
22,female,6.030245022756539e-6,2.5410349358015395e-4,0.0011672491718611778,7.061905744076114e-5,45346,strk,0,50,20,0,0,5,female_strk,North West England
23,female,6.030245022756539e-6,2.5410349358015395e-4,0.0011672491718611778,7.061905744076114e-5,45346,strk,0,50,20,0,0,5,female_strk,North West England
24,female,6.030245022756539e-6,2.5410349358015395e-4,0.0011672491718611778,7.061905744076114e-5,45346,strk,0,50,20,0,0,5,female_strk,North West England
25,female,8.547820140896573e-6,3.157200766619852e-4,0.0017379536233506053,1.0468038298722746e-4,51062,strk,0,50,25,0,0,5,female_strk,North West England
26,female,8.547820140896573e-6,3.157200766619852e-4,0.0017379536233506053,1.0468038298722746e-4,51062,strk,0,50,25,0,0,5,female_strk,North West England
27,female,8.547820140896573e-6,3.157200766619852e-4,0.0017379536233506053,1.0468038298722746e-4,51062,strk,0,50,25,0,0,5,female_strk,North West England
28,female,8.547820140896573e-6,3.157200766619852e-4,0.0017379536233506053,1.0468038298722746e-4,51062,strk,0,50,25,0,0,5,female_strk,North West England
29,female,8.547820140896573e-6,3.157200766619852e-4,0.0017379536233506053,1.0468038298722746e-4,51062,strk,0,50,25,0,0,5,female_strk,North West England
30,female,2.1714494706889863e-5,4.1532432991934955e-4,0.0025394618808495316,1.9683354598327413e-4,49924,strk,0,50,30,0,1,5,female_strk,North West England
31,female,2.1714494706889863e-5,4.1532432991934955e-4,0.0025394618808495316,1.9683354598327413e-4,49924,strk,0,50,30,0,1,5,female_strk,North West England
32,female,2.1714494706889863e-5,4.1532432991934955e-4,0.0025394618808495316,1.9683354598327413e-4,49924,strk,0,50,30,0,1,5,female_strk,North West England
33,female,2.1714494706889863e-5,4.1532432991934955e-4,0.0025394618808495316,1.9683354598327413e-4,49924,strk,0,50,30,0,1,5,female_strk,North West England
34,female,2.1714494706889863e-5,4.1532432991934955e-4,0.0025394618808495316,1.9683354598327413e-4,49924,strk,0,50,30,0,1,5,female_strk,North West England
35,female,3.926901900282724e-5,5.871791950123036e-4,0.0041456596840192435,3.4732940903976973e-4,46153,strk,0,50,35,0,2,5,female_strk,North West England
36,female,3.926901900282724e-5,5.871791950123036e-4,0.0041456596840192435,3.4732940903976973e-4,46153,strk,0,50,35,0,2,5,female_strk,North West England
37,female,3.926901900282724e-5,5.871791950123036e-4,0.0041456596840192435,3.4732940903976973e-4,46153,strk,0,50,35,0,2,5,female_strk,North West England
38,female,3.926901900282724e-5,5.871791950123036e-4,0.0041456596840192435,3.4732940903976973e-4,46153,strk,0,50,35,0,2,5,female_strk,North West England
39,female,3.926901900282724e-5,5.871791950123036e-4,0.0041456596840192435,3.4732940903976973e-4,46153,strk,0,50,35,0,2,5,female_strk,North West England
40,female,6.390520761002606e-5,8.519403126878925e-4,0.006389501623637416,5.504962710338965e-4,44545,strk,0,50,40,0,3,5,female_strk,North West England
41,female,6.390520761002606e-5,8.519403126878925e-4,0.006389501623637416,5.504962710338965e-4,44545,strk,0,50,40,0,3,5,female_strk,North West England
42,female,6.390520761002606e-5,8.519403126878925e-4,0.006389501623637416,5.504962710338965e-4,44545,strk,0,50,40,0,3,5,female_strk,North West England
43,female,6.390520761002606e-5,8.519403126878925e-4,0.006389501623637416,5.504962710338965e-4,44545,strk,0,50,40,0,3,5,female_strk,North West England
44,female,6.390520761002606e-5,8.519403126878925e-4,0.006389501623637416,5.504962710338965e-4,44545,strk,0,50,40,0,3,5,female_strk,North West England
45,female,9.581333713060266e-5,0.0012492412311758258,0.009693839283481878,8.050412709451578e-4,51998,strk,0,50,45,0,5,5,female_strk,North West England
46,female,9.581333713060266e-5,0.0012492412311758258,0.009693839283481878,8.050412709451578e-4,51998,strk,0,50,45,0,5,5,female_strk,North West England
