age,sex,mort,ylds (years lived with disability)_rate_adaod,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,43992,adaod,0,10,0,0,0,5,male_adaod,North West England
1,male,0,0,0,1e-8,43992,adaod,0,10,0,0,0,5,male_adaod,North West England
2,male,0,0,0,1e-8,43992,adaod,0,10,0,0,0,5,male_adaod,North West England
3,male,0,0,0,1e-8,43992,adaod,0,10,0,0,0,5,male_adaod,North West England
4,male,0,0,0,1e-8,43992,adaod,0,10,0,0,0,5,male_adaod,North West England
5,male,0,0,0,1e-8,46321,adaod,0,10,5,0,0,5,male_adaod,North West England
6,male,0,0,0,1e-8,46321,adaod,0,10,5,0,0,5,male_adaod,North West England
7,male,0,0,0,1e-8,46321,adaod,0,10,5,0,0,5,male_adaod,North West England
8,male,0,0,0,1e-8,46321,adaod,0,10,5,0,0,5,male_adaod,North West England
9,male,0,0,0,1e-8,46321,adaod,0,10,5,0,0,5,male_adaod,North West England
10,male,0,0,0,1e-8,42952,adaod,0,50,10,0,0,5,male_adaod,North West England
11,male,0,0,0,1e-8,42952,adaod,0,50,10,0,0,5,male_adaod,North West England
12,male,0,0,0,1e-8,42952,adaod,0,50,10,0,0,5,male_adaod,North West England
13,male,0,0,0,1e-8,42952,adaod,0,50,10,0,0,5,male_adaod,North West England
14,male,0,0,0,1e-8,42952,adaod,0,50,10,0,0,5,male_adaod,North West England
15,male,0,0,0,1e-8,42564,adaod,0,50,15,0,0,5,male_adaod,North West England
16,male,0,0,0,1e-8,42564,adaod,0,50,15,0,0,5,male_adaod,North West England
17,male,0,0,0,1e-8,42564,adaod,0,50,15,0,0,5,male_adaod,North West England
18,male,0,0,0,1e-8,42564,adaod,0,50,15,0,0,5,male_adaod,North West England
19,male,0,0,0,1e-8,42564,adaod,0,50,15,0,0,5,male_adaod,North West England
20,male,0,0,0,1e-8,46436,adaod,0,50,20,0,0,5,male_adaod,North West England
21,male,0,0,0,1e-8,46436,adaod,0,50,20,0,0,5,male_adaod,North West England
22,male,0,0,0,1e-8,46436,adaod,0,50,20,0,0,5,male_adaod,North West England
23,male,0,0,0,1e-8,46436,adaod,0,50,20,0,0,5,male_adaod,North West England
24,male,0,0,0,1e-8,46436,adaod,0,50,20,0,0,5,male_adaod,North West England
25,male,0,0,0,1e-8,51928,adaod,0,50,25,0,0,5,male_adaod,North West England
26,male,0,0,0,1e-8,51928,adaod,0,50,25,0,0,5,male_adaod,North West England
27,male,0,0,0,1e-8,51928,adaod,0,50,25,0,0,5,male_adaod,North West England
28,male,0,0,0,1e-8,51928,adaod,0,50,25,0,0,5,male_adaod,North West England
29,male,0,0,0,1e-8,51928,adaod,0,50,25,0,0,5,male_adaod,North West England
30,male,0,0,0,1e-8,51265,adaod,0,50,30,0,0,5,male_adaod,North West England
31,male,0,0,0,1e-8,51265,adaod,0,50,30,0,0,5,male_adaod,North West England
32,male,0,0,0,1e-8,51265,adaod,0,50,30,0,0,5,male_adaod,North West England
33,male,0,0,0,1e-8,51265,adaod,0,50,30,0,0,5,male_adaod,North West England
34,male,0,0,0,1e-8,51265,adaod,0,50,30,0,0,5,male_adaod,North West England
35,male,0,0,0,1e-8,47317,adaod,0,50,35,0,0,5,male_adaod,North West England
36,male,0,0,0,1e-8,47317,adaod,0,50,35,0,0,5,male_adaod,North West England
37,male,0,0,0,1e-8,47317,adaod,0,50,35,0,0,5,male_adaod,North West England
38,male,0,0,0,1e-8,47317,adaod,0,50,35,0,0,5,male_adaod,North West England
39,male,0,0,0,1e-8,47317,adaod,0,50,35,0,0,5,male_adaod,North West England
40,male,2.0690137635279248e-6,7.979445334674234e-6,5.9933112007544865e-5,3.568158445411952e-5,44682,adaod,0,50,40,0,0,5,male_adaod,North West England
41,male,2.0690137635279248e-6,7.979445334674234e-6,5.9933112007544865e-5,3.568158445411952e-5,44682,adaod,0,50,40,0,0,5,male_adaod,North West England
42,male,2.0690137635279248e-6,7.979445334674234e-6,5.9933112007544865e-5,3.568158445411952e-5,44682,adaod,0,50,40,0,0,5,male_adaod,North West England
43,male,2.0690137635279248e-6,7.979445334674234e-6,5.9933112007544865e-5,3.568158445411952e-5,44682,adaod,0,50,40,0,0,5,male_adaod,North West England
44,male,2.0690137635279248e-6,7.979445334674234e-6,5.9933112007544865e-5,3.568158445411952e-5,44682,adaod,0,50,40,0,0,5,male_adaod,North West England
45,male,7.17533611747287e-6,5.5298041201309486e-5,4.2448175681279173e-4,1.1925539067473323e-4,51128,adaod,0,50,45,0,0,5,male_adaod,North West England
46,male,7.17533611747287e-6,5.5298041201309486e-5,4.2448175681279173e-4,1.1925539067473323e-4,51128,adaod,0,50,45,0,0,5,male_adaod,North West England
47,male,7.17533611747287e-6,5.5298041201309486e-5,4.2448175681279173e-4,1.1925539067473323e-4,51128,adaod,0,50,45,0,0,5,male_adaod,North West England
48,male,7.17533611747287e-6,5.5298041201309486e-5,4.2448175681279173e-4,1.1925539067473323e-4,51128,adaod,0,50,45,0,0,5,male_adaod,North West England
49,male,7.17533611747287e-6,5.5298041201309486e-5,4.2448175681279173e-4,1.1925539067473323e-4,51128,adaod,0,50,45,0,0,5,male_adaod,North West England
50,male,1.66099653539336e-5,1.506105800232342e-4,0.0012059557702874403,2.0506110025662e-4,52127,adaod,0,50,50,0,1,5,male_adaod,North West England
51,male,1.66099653539336e-5,1.506105800232342e-4,0.0012059557702874403,2.0506110025662e-4,52127,adaod,0,50,50,0,1,5,male_adaod,North West England
52,male,1.66099653539336e-5,1.506105800232342e-4,0.0012059557702874403,2.0506110025662e-4,52127,adaod,0,50,50,0,1,5,male_adaod,North West England
53,male,1.66099653539336e-5,1.506105800232342e-4,0.0012059557702874403,2.0506110025662e-4,52127,adaod,0,50,50,0,1,5,male_adaod,North West England
54,male,1.66099653539336e-5,1.506105800232342e-4,0.0012059557702874403,2.0506110025662e-4,52127,adaod,0,50,50,0,1,5,male_adaod,North West England
55,male,4.112905978739331e-5,3.0319490434732723e-4,0.002499156445844211,3.848126105438233e-4,46610,adaod,0,50,55,0,2,5,male_adaod,North West England
56,male,4.112905978739331e-5,3.0319490434732723e-4,0.002499156445844211,3.848126105438233e-4,46610,adaod,0,50,55,0,2,5,male_adaod,North West England
57,male,4.112905978739331e-5,3.0319490434732723e-4,0.002499156445844211,3.848126105438233e-4,46610,adaod,0,50,55,0,2,5,male_adaod,North West England
58,male,4.112905978739331e-5,3.0319490434732723e-4,0.002499156445844211,3.848126105438233e-4,46610,adaod,0,50,55,0,2,5,male_adaod,North West England
59,male,4.112905978739331e-5,3.0319490434732723e-4,0.002499156445844211,3.848126105438233e-4,46610,adaod,0,50,55,0,2,5,male_adaod,North West England
60,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
61,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
62,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
63,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
64,male,1.0635164351704794e-4,6.174231297540314e-4,0.0051567634048976605,8.5234118915345e-4,39801,adaod,0,50,60,0,4,5,male_adaod,North West England
65,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
66,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
67,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
68,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
69,male,2.768013531517814e-4,0.0012956258645267396,0.010950537777087693,0.0019232403023764493,39780,adaod,0,50,65,1,11,5,male_adaod,North West England
70,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
71,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
72,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
73,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
74,male,7.610482422194046e-4,0.003321482625629759,0.024245256781036388,0.0046419924186447735,32360,adaod,0,50,70,1,25,5,male_adaod,North West England
75,male,0.002475354865709626,0.007284387775744677,0.05415145052129691,0.010471123419602065,22688,adaod,0,50,75,3,56,5,male_adaod,North West England
