age,sex,mort,ylds (years lived with disability)_rate_brsc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,43992,brsc,0,10,0,0,0,5,male_brsc,North West England
1,male,0,0,0,1e-8,43992,brsc,0,10,0,0,0,5,male_brsc,North West England
2,male,0,0,0,1e-8,43992,brsc,0,10,0,0,0,5,male_brsc,North West England
3,male,0,0,0,1e-8,43992,brsc,0,10,0,0,0,5,male_brsc,North West England
4,male,0,0,0,1e-8,43992,brsc,0,10,0,0,0,5,male_brsc,North West England
5,male,0,0,0,1e-8,46321,brsc,0,10,5,0,0,5,male_brsc,North West England
6,male,0,0,0,1e-8,46321,brsc,0,10,5,0,0,5,male_brsc,North West England
7,male,0,0,0,1e-8,46321,brsc,0,10,5,0,0,5,male_brsc,North West England
8,male,0,0,0,1e-8,46321,brsc,0,10,5,0,0,5,male_brsc,North West England
9,male,0,0,0,1e-8,46321,brsc,0,10,5,0,0,5,male_brsc,North West England
10,male,0,0,0,1e-8,42952,brsc,0,50,10,0,0,5,male_brsc,North West England
11,male,0,0,0,1e-8,42952,brsc,0,50,10,0,0,5,male_brsc,North West England
12,male,0,0,0,1e-8,42952,brsc,0,50,10,0,0,5,male_brsc,North West England
13,male,0,0,0,1e-8,42952,brsc,0,50,10,0,0,5,male_brsc,North West England
14,male,0,0,0,1e-8,42952,brsc,0,50,10,0,0,5,male_brsc,North West England
15,male,1.0365080794374498e-7,5.862935811922623e-7,6.2596152783239045e-6,7.053707244322002e-7,42564,brsc,0,50,15,0,0,5,male_brsc,North West England
16,male,1.0365080794374498e-7,5.862935811922623e-7,6.2596152783239045e-6,7.053707244322002e-7,42564,brsc,0,50,15,0,0,5,male_brsc,North West England
17,male,1.0365080794374498e-7,5.862935811922623e-7,6.2596152783239045e-6,7.053707244322002e-7,42564,brsc,0,50,15,0,0,5,male_brsc,North West England
18,male,1.0365080794374498e-7,5.862935811922623e-7,6.2596152783239045e-6,7.053707244322002e-7,42564,brsc,0,50,15,0,0,5,male_brsc,North West England
19,male,1.0365080794374498e-7,5.862935811922623e-7,6.2596152783239045e-6,7.053707244322002e-7,42564,brsc,0,50,15,0,0,5,male_brsc,North West England
20,male,8.848564565040873e-8,6.322706785614519e-7,7.34934618943935e-6,7.050119918931187e-7,46436,brsc,0,50,20,0,0,5,male_brsc,North West England
21,male,8.848564565040873e-8,6.322706785614519e-7,7.34934618943935e-6,7.050119918931187e-7,46436,brsc,0,50,20,0,0,5,male_brsc,North West England
22,male,8.848564565040873e-8,6.322706785614519e-7,7.34934618943935e-6,7.050119918931187e-7,46436,brsc,0,50,20,0,0,5,male_brsc,North West England
23,male,8.848564565040873e-8,6.322706785614519e-7,7.34934618943935e-6,7.050119918931187e-7,46436,brsc,0,50,20,0,0,5,male_brsc,North West England
24,male,8.848564565040873e-8,6.322706785614519e-7,7.34934618943935e-6,7.050119918931187e-7,46436,brsc,0,50,20,0,0,5,male_brsc,North West England
25,male,1.1339526193143296e-7,9.239019675107524e-7,1.0772704297188325e-5,1.0332498725666697e-6,51928,brsc,0,50,25,0,0,5,male_brsc,North West England
26,male,1.1339526193143296e-7,9.239019675107524e-7,1.0772704297188325e-5,1.0332498725666697e-6,51928,brsc,0,50,25,0,0,5,male_brsc,North West England
27,male,1.1339526193143296e-7,9.239019675107524e-7,1.0772704297188325e-5,1.0332498725666697e-6,51928,brsc,0,50,25,0,0,5,male_brsc,North West England
28,male,1.1339526193143296e-7,9.239019675107524e-7,1.0772704297188325e-5,1.0332498725666697e-6,51928,brsc,0,50,25,0,0,5,male_brsc,North West England
29,male,1.1339526193143296e-7,9.239019675107524e-7,1.0772704297188325e-5,1.0332498725666697e-6,51928,brsc,0,50,25,0,0,5,male_brsc,North West England
30,male,1.974021016345883e-7,1.064350227479736e-6,1.2288134362621528e-5,1.211899963840255e-6,51265,brsc,0,50,30,0,0,5,male_brsc,North West England
31,male,1.974021016345883e-7,1.064350227479736e-6,1.2288134362621528e-5,1.211899963840255e-6,51265,brsc,0,50,30,0,0,5,male_brsc,North West England
32,male,1.974021016345883e-7,1.064350227479736e-6,1.2288134362621528e-5,1.211899963840255e-6,51265,brsc,0,50,30,0,0,5,male_brsc,North West England
33,male,1.974021016345883e-7,1.064350227479736e-6,1.2288134362621528e-5,1.211899963840255e-6,51265,brsc,0,50,30,0,0,5,male_brsc,North West England
34,male,1.974021016345883e-7,1.064350227479736e-6,1.2288134362621528e-5,1.211899963840255e-6,51265,brsc,0,50,30,0,0,5,male_brsc,North West England
35,male,5.427739764352187e-7,2.2505046225487337e-6,2.468155545909931e-5,2.6788603401443183e-6,47317,brsc,0,50,35,0,0,5,male_brsc,North West England
36,male,5.427739764352187e-7,2.2505046225487337e-6,2.468155545909931e-5,2.6788603401443183e-6,47317,brsc,0,50,35,0,0,5,male_brsc,North West England
37,male,5.427739764352187e-7,2.2505046225487337e-6,2.468155545909931e-5,2.6788603401443183e-6,47317,brsc,0,50,35,0,0,5,male_brsc,North West England
38,male,5.427739764352187e-7,2.2505046225487337e-6,2.468155545909931e-5,2.6788603401443183e-6,47317,brsc,0,50,35,0,0,5,male_brsc,North West England
39,male,5.427739764352187e-7,2.2505046225487337e-6,2.468155545909931e-5,2.6788603401443183e-6,47317,brsc,0,50,35,0,0,5,male_brsc,North West England
40,male,1.1243609112353891e-6,4.211450786402778e-6,4.5151670614303545e-5,5.0699438708522545e-6,44682,brsc,0,50,40,0,0,5,male_brsc,North West England
41,male,1.1243609112353891e-6,4.211450786402778e-6,4.5151670614303545e-5,5.0699438708522545e-6,44682,brsc,0,50,40,0,0,5,male_brsc,North West England
42,male,1.1243609112353891e-6,4.211450786402778e-6,4.5151670614303545e-5,5.0699438708522545e-6,44682,brsc,0,50,40,0,0,5,male_brsc,North West England
43,male,1.1243609112353891e-6,4.211450786402778e-6,4.5151670614303545e-5,5.0699438708522545e-6,44682,brsc,0,50,40,0,0,5,male_brsc,North West England
44,male,1.1243609112353891e-6,4.211450786402778e-6,4.5151670614303545e-5,5.0699438708522545e-6,44682,brsc,0,50,40,0,0,5,male_brsc,North West England
45,male,2.0170912026574134e-6,6.6699796142788674e-6,7.042649240485867e-5,8.007771646742266e-6,51128,brsc,0,50,45,0,0,5,male_brsc,North West England
46,male,2.0170912026574134e-6,6.6699796142788674e-6,7.042649240485867e-5,8.007771646742266e-6,51128,brsc,0,50,45,0,0,5,male_brsc,North West England
47,male,2.0170912026574134e-6,6.6699796142788674e-6,7.042649240485867e-5,8.007771646742266e-6,51128,brsc,0,50,45,0,0,5,male_brsc,North West England
