age,sex,mort,ylds (years lived with disability)_rate_carc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,43992,carc,0,10,0,0,0,5,male_carc,North West England
1,male,0,0,0,1e-8,43992,carc,0,10,0,0,0,5,male_carc,North West England
2,male,0,0,0,1e-8,43992,carc,0,10,0,0,0,5,male_carc,North West England
3,male,0,0,0,1e-8,43992,carc,0,10,0,0,0,5,male_carc,North West England
4,male,0,0,0,1e-8,43992,carc,0,10,0,0,0,5,male_carc,North West England
5,male,0,0,0,1e-8,46321,carc,0,10,5,0,0,5,male_carc,North West England
6,male,0,0,0,1e-8,46321,carc,0,10,5,0,0,5,male_carc,North West England
7,male,0,0,0,1e-8,46321,carc,0,10,5,0,0,5,male_carc,North West England
8,male,0,0,0,1e-8,46321,carc,0,10,5,0,0,5,male_carc,North West England
9,male,0,0,0,1e-8,46321,carc,0,10,5,0,0,5,male_carc,North West England
10,male,0,0,0,1e-8,42952,carc,0,50,10,0,0,5,male_carc,North West England
11,male,0,0,0,1e-8,42952,carc,0,50,10,0,0,5,male_carc,North West England
12,male,0,0,0,1e-8,42952,carc,0,50,10,0,0,5,male_carc,North West England
13,male,0,0,0,1e-8,42952,carc,0,50,10,0,0,5,male_carc,North West England
14,male,0,0,0,1e-8,42952,carc,0,50,10,0,0,5,male_carc,North West England
15,male,5.164046391147113e-7,1.8592875715312814e-6,1.6616314381513615e-5,2.4053406993479205e-6,42564,carc,0,50,15,0,0,5,male_carc,North West England
16,male,5.164046391147113e-7,1.8592875715312814e-6,1.6616314381513615e-5,2.4053406993479205e-6,42564,carc,0,50,15,0,0,5,male_carc,North West England
17,male,5.164046391147113e-7,1.8592875715312814e-6,1.6616314381513615e-5,2.4053406993479205e-6,42564,carc,0,50,15,0,0,5,male_carc,North West England
18,male,5.164046391147113e-7,1.8592875715312814e-6,1.6616314381513615e-5,2.4053406993479205e-6,42564,carc,0,50,15,0,0,5,male_carc,North West England
19,male,5.164046391147113e-7,1.8592875715312814e-6,1.6616314381513615e-5,2.4053406993479205e-6,42564,carc,0,50,15,0,0,5,male_carc,North West England
20,male,1.5197363237137269e-6,6.3290343571460275e-6,5.886645486307334e-5,8.313756826487636e-6,46436,carc,0,50,20,0,0,5,male_carc,North West England
21,male,1.5197363237137269e-6,6.3290343571460275e-6,5.886645486307334e-5,8.313756826487636e-6,46436,carc,0,50,20,0,0,5,male_carc,North West England
22,male,1.5197363237137269e-6,6.3290343571460275e-6,5.886645486307334e-5,8.313756826487636e-6,46436,carc,0,50,20,0,0,5,male_carc,North West England
23,male,1.5197363237137269e-6,6.3290343571460275e-6,5.886645486307334e-5,8.313756826487636e-6,46436,carc,0,50,20,0,0,5,male_carc,North West England
24,male,1.5197363237137269e-6,6.3290343571460275e-6,5.886645486307334e-5,8.313756826487636e-6,46436,carc,0,50,20,0,0,5,male_carc,North West England
25,male,4.483063236872136e-6,1.8479741863473725e-5,1.8092267829094877e-4,2.5600802069218475e-5,51928,carc,0,50,25,0,0,5,male_carc,North West England
26,male,4.483063236872136e-6,1.8479741863473725e-5,1.8092267829094877e-4,2.5600802069218475e-5,51928,carc,0,50,25,0,0,5,male_carc,North West England
27,male,4.483063236872136e-6,1.8479741863473725e-5,1.8092267829094877e-4,2.5600802069218475e-5,51928,carc,0,50,25,0,0,5,male_carc,North West England
28,male,4.483063236872136e-6,1.8479741863473725e-5,1.8092267829094877e-4,2.5600802069218475e-5,51928,carc,0,50,25,0,0,5,male_carc,North West England
29,male,4.483063236872136e-6,1.8479741863473725e-5,1.8092267829094877e-4,2.5600802069218475e-5,51928,carc,0,50,25,0,0,5,male_carc,North West England
30,male,1.0988549128610825e-5,4.0670216178899375e-5,4.268724984880812e-4,6.11005242970598e-5,51265,carc,0,50,30,0,1,5,male_carc,North West England
