age,sex,mort,ylds (years lived with disability)_rate_crdd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,1.4745886861025785e-5,9.544371866168604e-5,9.369043283677203e-4,3.267243483323525e-4,43992,crdd,0,10,0,0,1,5,male_crdd,North West England
1,male,1.4745886861025785e-5,9.544371866168604e-5,9.369043283677203e-4,3.267243483323525e-4,43992,crdd,0,10,0,0,1,5,male_crdd,North West England
2,male,1.4745886861025785e-5,9.544371866168604e-5,9.369043283677203e-4,3.267243483323525e-4,43992,crdd,0,10,0,0,1,5,male_crdd,North West England
3,male,1.4745886861025785e-5,9.544371866168604e-5,9.369043283677203e-4,3.267243483323525e-4,43992,crdd,0,10,0,0,1,5,male_crdd,North West England
4,male,1.4745886861025785e-5,9.544371866168604e-5,9.369043283677203e-4,3.267243483323525e-4,43992,crdd,0,10,0,0,1,5,male_crdd,North West England
5,male,2.3129219907622664e-6,2.128833629727998e-4,0.002300982914853825,2.3058671283757084e-4,46321,crdd,0,10,5,0,0,5,male_crdd,North West England
6,male,2.3129219907622664e-6,2.128833629727998e-4,0.002300982914853825,2.3058671283757084e-4,46321,crdd,0,10,5,0,0,5,male_crdd,North West England
7,male,2.3129219907622664e-6,2.128833629727998e-4,0.002300982914853825,2.3058671283757084e-4,46321,crdd,0,10,5,0,0,5,male_crdd,North West England
8,male,2.3129219907622664e-6,2.128833629727998e-4,0.002300982914853825,2.3058671283757084e-4,46321,crdd,0,10,5,0,0,5,male_crdd,North West England
9,male,2.3129219907622664e-6,2.128833629727998e-4,0.002300982914853825,2.3058671283757084e-4,46321,crdd,0,10,5,0,0,5,male_crdd,North West England
10,male,6.346596046697114e-6,2.0423465459841264e-4,0.0016282245800148549,2.3060748171756877e-4,42952,crdd,0,50,10,0,0,5,male_crdd,North West England
11,male,6.346596046697114e-6,2.0423465459841264e-4,0.0016282245800148549,2.3060748171756877e-4,42952,crdd,0,50,10,0,0,5,male_crdd,North West England
12,male,6.346596046697114e-6,2.0423465459841264e-4,0.0016282245800148549,2.3060748171756877e-4,42952,crdd,0,50,10,0,0,5,male_crdd,North West England
13,male,6.346596046697114e-6,2.0423465459841264e-4,0.0016282245800148549,2.3060748171756877e-4,42952,crdd,0,50,10,0,0,5,male_crdd,North West England
14,male,6.346596046697114e-6,2.0423465459841264e-4,0.0016282245800148549,2.3060748171756877e-4,42952,crdd,0,50,10,0,0,5,male_crdd,North West England
15,male,1.5727559560122474e-5,3.0657129619975537e-4,0.0029004951885949425,3.7370437903221494e-4,42564,crdd,0,50,15,0,1,5,male_crdd,North West England
16,male,1.5727559560122474e-5,3.0657129619975537e-4,0.0029004951885949425,3.7370437903221494e-4,42564,crdd,0,50,15,0,1,5,male_crdd,North West England
17,male,1.5727559560122474e-5,3.0657129619975537e-4,0.0029004951885949425,3.7370437903221494e-4,42564,crdd,0,50,15,0,1,5,male_crdd,North West England
18,male,1.5727559560122474e-5,3.0657129619975537e-4,0.0029004951885949425,3.7370437903221494e-4,42564,crdd,0,50,15,0,1,5,male_crdd,North West England
19,male,1.5727559560122474e-5,3.0657129619975537e-4,0.0029004951885949425,3.7370437903221494e-4,42564,crdd,0,50,15,0,1,5,male_crdd,North West England
20,male,2.366957362912366e-5,3.845003107083885e-4,0.0037249108722279397,6.894437779522102e-4,46436,crdd,0,50,20,0,1,5,male_crdd,North West England
21,male,2.366957362912366e-5,3.845003107083885e-4,0.0037249108722279397,6.894437779522102e-4,46436,crdd,0,50,20,0,1,5,male_crdd,North West England
22,male,2.366957362912366e-5,3.845003107083885e-4,0.0037249108722279397,6.894437779522102e-4,46436,crdd,0,50,20,0,1,5,male_crdd,North West England
23,male,2.366957362912366e-5,3.845003107083885e-4,0.0037249108722279397,6.894437779522102e-4,46436,crdd,0,50,20,0,1,5,male_crdd,North West England
24,male,2.366957362912366e-5,3.845003107083885e-4,0.0037249108722279397,6.894437779522102e-4,46436,crdd,0,50,20,0,1,5,male_crdd,North West England
25,male,4.4884746194523156e-5,6.298270250315494e-4,0.00826762320789156,0.001184891367282346,51928,crdd,0,50,25,0,2,5,male_crdd,North West England
26,male,4.4884746194523156e-5,6.298270250315494e-4,0.00826762320789156,0.001184891367282346,51928,crdd,0,50,25,0,2,5,male_crdd,North West England
27,male,4.4884746194523156e-5,6.298270250315494e-4,0.00826762320789156,0.001184891367282346,51928,crdd,0,50,25,0,2,5,male_crdd,North West England
28,male,4.4884746194523156e-5,6.298270250315494e-4,0.00826762320789156,0.001184891367282346,51928,crdd,0,50,25,0,2,5,male_crdd,North West England
29,male,4.4884746194523156e-5,6.298270250315494e-4,0.00826762320789156,0.001184891367282346,51928,crdd,0,50,25,0,2,5,male_crdd,North West England
30,male,8.454471360531326e-5,8.601416581061624e-4,0.011765509592527425,0.0021445809547158763,51265,crdd,0,50,30,1,4,5,male_crdd,North West England
31,male,8.454471360531326e-5,8.601416581061624e-4,0.011765509592527425,0.0021445809547158763,51265,crdd,0,50,30,1,4,5,male_crdd,North West England
32,male,8.454471360531326e-5,8.601416581061624e-4,0.011765509592527425,0.0021445809547158763,51265,crdd,0,50,30,1,4,5,male_crdd,North West England
33,male,8.454471360531326e-5,8.601416581061624e-4,0.011765509592527425,0.0021445809547158763,51265,crdd,0,50,30,1,4,5,male_crdd,North West England
34,male,8.454471360531326e-5,8.601416581061624e-4,0.011765509592527425,0.0021445809547158763,51265,crdd,0,50,30,1,4,5,male_crdd,North West England
35,male,1.8227779395247573e-4,0.001230885546527503,0.01932287961517745,0.0034831654121521382,47317,crdd,0,50,35,1,9,5,male_crdd,North West England
36,male,1.8227779395247573e-4,0.001230885546527503,0.01932287961517745,0.0034831654121521382,47317,crdd,0,50,35,1,9,5,male_crdd,North West England
37,male,1.8227779395247573e-4,0.001230885546527503,0.01932287961517745,0.0034831654121521382,47317,crdd,0,50,35,1,9,5,male_crdd,North West England
