age,sex,mort,ylds (years lived with disability)_rate_iscs,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,8.431585302703993e-7,2.123752028940511e-5,1.7643364388888187e-4,7.006010559108103e-5,43992,iscs,0,10,0,0,0,5,male_iscs,North West England
1,male,8.431585302703993e-7,2.123752028940511e-5,1.7643364388888187e-4,7.006010559108103e-5,43992,iscs,0,10,0,0,0,5,male_iscs,North West England
2,male,8.431585302703993e-7,2.123752028940511e-5,1.7643364388888187e-4,7.006010559108103e-5,43992,iscs,0,10,0,0,0,5,male_iscs,North West England
3,male,8.431585302703993e-7,2.123752028940511e-5,1.7643364388888187e-4,7.006010559108103e-5,43992,iscs,0,10,0,0,0,5,male_iscs,North West England
4,male,8.431585302703993e-7,2.123752028940511e-5,1.7643364388888187e-4,7.006010559108103e-5,43992,iscs,0,10,0,0,0,5,male_iscs,North West England
5,male,9.560497651976505e-8,5.134436002097861e-5,4.368172045151107e-4,3.1881082884148684e-5,46321,iscs,0,10,5,0,0,5,male_iscs,North West England
6,male,9.560497651976505e-8,5.134436002097861e-5,4.368172045151107e-4,3.1881082884148684e-5,46321,iscs,0,10,5,0,0,5,male_iscs,North West England
7,male,9.560497651976505e-8,5.134436002097861e-5,4.368172045151107e-4,3.1881082884148684e-5,46321,iscs,0,10,5,0,0,5,male_iscs,North West England
8,male,9.560497651976505e-8,5.134436002097861e-5,4.368172045151107e-4,3.1881082884148684e-5,46321,iscs,0,10,5,0,0,5,male_iscs,North West England
9,male,9.560497651976505e-8,5.134436002097861e-5,4.368172045151107e-4,3.1881082884148684e-5,46321,iscs,0,10,5,0,0,5,male_iscs,North West England
10,male,1.2978899982453178e-7,7.825835510854081e-5,6.537150530775281e-4,2.9133842859436796e-5,42952,iscs,0,50,10,0,0,5,male_iscs,North West England
11,male,1.2978899982453178e-7,7.825835510854081e-5,6.537150530775281e-4,2.9133842859436796e-5,42952,iscs,0,50,10,0,0,5,male_iscs,North West England
12,male,1.2978899982453178e-7,7.825835510854081e-5,6.537150530775281e-4,2.9133842859436796e-5,42952,iscs,0,50,10,0,0,5,male_iscs,North West England
13,male,1.2978899982453178e-7,7.825835510854081e-5,6.537150530775281e-4,2.9133842859436796e-5,42952,iscs,0,50,10,0,0,5,male_iscs,North West England
14,male,1.2978899982453178e-7,7.825835510854081e-5,6.537150530775281e-4,2.9133842859436796e-5,42952,iscs,0,50,10,0,0,5,male_iscs,North West England
15,male,3.5541201668600996e-7,1.0173914195922775e-4,8.584599796542067e-4,2.5411618585794757e-5,42564,iscs,0,50,15,0,0,5,male_iscs,North West England
16,male,3.5541201668600996e-7,1.0173914195922775e-4,8.584599796542067e-4,2.5411618585794757e-5,42564,iscs,0,50,15,0,0,5,male_iscs,North West England
17,male,3.5541201668600996e-7,1.0173914195922775e-4,8.584599796542067e-4,2.5411618585794757e-5,42564,iscs,0,50,15,0,0,5,male_iscs,North West England
18,male,3.5541201668600996e-7,1.0173914195922775e-4,8.584599796542067e-4,2.5411618585794757e-5,42564,iscs,0,50,15,0,0,5,male_iscs,North West England
19,male,3.5541201668600996e-7,1.0173914195922775e-4,8.584599796542067e-4,2.5411618585794757e-5,42564,iscs,0,50,15,0,0,5,male_iscs,North West England
20,male,4.3680673246274544e-7,1.2781127567479677e-4,0.0010647673023289723,2.6310072732122822e-5,46436,iscs,0,50,20,0,0,5,male_iscs,North West England
21,male,4.3680673246274544e-7,1.2781127567479677e-4,0.0010647673023289723,2.6310072732122822e-5,46436,iscs,0,50,20,0,0,5,male_iscs,North West England
22,male,4.3680673246274544e-7,1.2781127567479677e-4,0.0010647673023289723,2.6310072732122822e-5,46436,iscs,0,50,20,0,0,5,male_iscs,North West England
23,male,4.3680673246274544e-7,1.2781127567479677e-4,0.0010647673023289723,2.6310072732122822e-5,46436,iscs,0,50,20,0,0,5,male_iscs,North West England
24,male,4.3680673246274544e-7,1.2781127567479677e-4,0.0010647673023289723,2.6310072732122822e-5,46436,iscs,0,50,20,0,0,5,male_iscs,North West England
25,male,8.329286887760942e-7,1.556149161048031e-4,0.0013002926797179588,3.180134562740741e-5,51928,iscs,0,50,25,0,0,5,male_iscs,North West England
26,male,8.329286887760942e-7,1.556149161048031e-4,0.0013002926797179588,3.180134562740741e-5,51928,iscs,0,50,25,0,0,5,male_iscs,North West England
27,male,8.329286887760942e-7,1.556149161048031e-4,0.0013002926797179588,3.180134562740741e-5,51928,iscs,0,50,25,0,0,5,male_iscs,North West England
28,male,8.329286887760942e-7,1.556149161048031e-4,0.0013002926797179588,3.180134562740741e-5,51928,iscs,0,50,25,0,0,5,male_iscs,North West England
29,male,8.329286887760942e-7,1.556149161048031e-4,0.0013002926797179588,3.180134562740741e-5,51928,iscs,0,50,25,0,0,5,male_iscs,North West England
30,male,1.8074647451467364e-6,1.917895347764265e-4,0.0016165385896645121,5.951345808998896e-5,51265,iscs,0,50,30,0,0,5,male_iscs,North West England
31,male,1.8074647451467364e-6,1.917895347764265e-4,0.0016165385896645121,5.951345808998896e-5,51265,iscs,0,50,30,0,0,5,male_iscs,North West England
32,male,1.8074647451467364e-6,1.917895347764265e-4,0.0016165385896645121,5.951345808998896e-5,51265,iscs,0,50,30,0,0,5,male_iscs,North West England
33,male,1.8074647451467364e-6,1.917895347764265e-4,0.0016165385896645121,5.951345808998896e-5,51265,iscs,0,50,30,0,0,5,male_iscs,North West England
34,male,1.8074647451467364e-6,1.917895347764265e-4,0.0016165385896645121,5.951345808998896e-5,51265,iscs,0,50,30,0,0,5,male_iscs,North West England
35,male,3.549199462764076e-6,2.4878059176862167e-4,0.002201241370127888,1.094634317341879e-4,47317,iscs,0,50,35,0,0,5,male_iscs,North West England
36,male,3.549199462764076e-6,2.4878059176862167e-4,0.002201241370127888,1.094634317341879e-4,47317,iscs,0,50,35,0,0,5,male_iscs,North West England
37,male,3.549199462764076e-6,2.4878059176862167e-4,0.002201241370127888,1.094634317341879e-4,47317,iscs,0,50,35,0,0,5,male_iscs,North West England
38,male,3.549199462764076e-6,2.4878059176862167e-4,0.002201241370127888,1.094634317341879e-4,47317,iscs,0,50,35,0,0,5,male_iscs,North West England
39,male,3.549199462764076e-6,2.4878059176862167e-4,0.002201241370127888,1.094634317341879e-4,47317,iscs,0,50,35,0,0,5,male_iscs,North West England
40,male,9.238923000847928e-6,3.715683568006323e-4,0.0032412755892939115,2.567497492896029e-4,44682,iscs,0,50,40,0,0,5,male_iscs,North West England
41,male,9.238923000847928e-6,3.715683568006323e-4,0.0032412755892939115,2.567497492896029e-4,44682,iscs,0,50,40,0,0,5,male_iscs,North West England
42,male,9.238923000847928e-6,3.715683568006323e-4,0.0032412755892939115,2.567497492896029e-4,44682,iscs,0,50,40,0,0,5,male_iscs,North West England
43,male,9.238923000847928e-6,3.715683568006323e-4,0.0032412755892939115,2.567497492896029e-4,44682,iscs,0,50,40,0,0,5,male_iscs,North West England
44,male,9.238923000847928e-6,3.715683568006323e-4,0.0032412755892939115,2.567497492896029e-4,44682,iscs,0,50,40,0,0,5,male_iscs,North West England
45,male,2.03720681407582e-5,6.160759772747524e-4,0.005292540102944391,5.012985781244969e-4,51128,iscs,0,50,45,0,1,5,male_iscs,North West England
46,male,2.03720681407582e-5,6.160759772747524e-4,0.005292540102944391,5.012985781244969e-4,51128,iscs,0,50,45,0,1,5,male_iscs,North West England
47,male,2.03720681407582e-5,6.160759772747524e-4,0.005292540102944391,5.012985781244969e-4,51128,iscs,0,50,45,0,1,5,male_iscs,North West England
48,male,2.03720681407582e-5,6.160759772747524e-4,0.005292540102944391,5.012985781244969e-4,51128,iscs,0,50,45,0,1,5,male_iscs,North West England
49,male,2.03720681407582e-5,6.160759772747524e-4,0.005292540102944391,5.012985781244969e-4,51128,iscs,0,50,45,0,1,5,male_iscs,North West England
50,male,3.3343570661148065e-5,0.0010245736332120652,0.008728160613052895,9.45670365690312e-4,52127,iscs,0,50,50,0,2,5,male_iscs,North West England
51,male,3.3343570661148065e-5,0.0010245736332120652,0.008728160613052895,9.45670365690312e-4,52127,iscs,0,50,50,0,2,5,male_iscs,North West England
52,male,3.3343570661148065e-5,0.0010245736332120652,0.008728160613052895,9.45670365690312e-4,52127,iscs,0,50,50,0,2,5,male_iscs,North West England
53,male,3.3343570661148065e-5,0.0010245736332120652,0.008728160613052895,9.45670365690312e-4,52127,iscs,0,50,50,0,2,5,male_iscs,North West England
54,male,3.3343570661148065e-5,0.0010245736332120652,0.008728160613052895,9.45670365690312e-4,52127,iscs,0,50,50,0,2,5,male_iscs,North West England
55,male,5.542466461236551e-5,0.0017461447418672053,0.01454355650459542,0.001590319765545732,46610,iscs,0,50,55,1,3,5,male_iscs,North West England
56,male,5.542466461236551e-5,0.0017461447418672053,0.01454355650459542,0.001590319765545732,46610,iscs,0,50,55,1,3,5,male_iscs,North West England
57,male,5.542466461236551e-5,0.0017461447418672053,0.01454355650459542,0.001590319765545732,46610,iscs,0,50,55,1,3,5,male_iscs,North West England
58,male,5.542466461236551e-5,0.0017461447418672053,0.01454355650459542,0.001590319765545732,46610,iscs,0,50,55,1,3,5,male_iscs,North West England
59,male,5.542466461236551e-5,0.0017461447418672053,0.01454355650459542,0.001590319765545732,46610,iscs,0,50,55,1,3,5,male_iscs,North West England
60,male,1.2849632185661915e-4,0.002774654265586211,0.022928043850717512,0.0021035376218134245,39801,iscs,0,50,60,1,5,5,male_iscs,North West England
61,male,1.2849632185661915e-4,0.002774654265586211,0.022928043850717512,0.0021035376218134245,39801,iscs,0,50,60,1,5,5,male_iscs,North West England
62,male,1.2849632185661915e-4,0.002774654265586211,0.022928043850717512,0.0021035376218134245,39801,iscs,0,50,60,1,5,5,male_iscs,North West England
63,male,1.2849632185661915e-4,0.002774654265586211,0.022928043850717512,0.0021035376218134245,39801,iscs,0,50,60,1,5,5,male_iscs,North West England
64,male,1.2849632185661915e-4,0.002774654265586211,0.022928043850717512,0.0021035376218134245,39801,iscs,0,50,60,1,5,5,male_iscs,North West England
