age,sex,mort,ylds (years lived with disability)_rate_ishd,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,43992,ishd,0,10,0,0,0,5,male_ishd,North West England
1,male,0,0,0,1e-8,43992,ishd,0,10,0,0,0,5,male_ishd,North West England
2,male,0,0,0,1e-8,43992,ishd,0,10,0,0,0,5,male_ishd,North West England
3,male,0,0,0,1e-8,43992,ishd,0,10,0,0,0,5,male_ishd,North West England
4,male,0,0,0,1e-8,43992,ishd,0,10,0,0,0,5,male_ishd,North West England
5,male,0,0,0,1e-8,46321,ishd,0,10,5,0,0,5,male_ishd,North West England
6,male,0,0,0,1e-8,46321,ishd,0,10,5,0,0,5,male_ishd,North West England
7,male,0,0,0,1e-8,46321,ishd,0,10,5,0,0,5,male_ishd,North West England
8,male,0,0,0,1e-8,46321,ishd,0,10,5,0,0,5,male_ishd,North West England
9,male,0,0,0,1e-8,46321,ishd,0,10,5,0,0,5,male_ishd,North West England
10,male,0,0,0,1e-8,42952,ishd,0,50,10,0,0,5,male_ishd,North West England
11,male,0,0,0,1e-8,42952,ishd,0,50,10,0,0,5,male_ishd,North West England
12,male,0,0,0,1e-8,42952,ishd,0,50,10,0,0,5,male_ishd,North West England
13,male,0,0,0,1e-8,42952,ishd,0,50,10,0,0,5,male_ishd,North West England
14,male,0,0,0,1e-8,42952,ishd,0,50,10,0,0,5,male_ishd,North West England
15,male,1.3847020595097798e-6,5.244151147480093e-6,1.3154747825128385e-4,2.1893615775524482e-5,42564,ishd,0,50,15,0,0,5,male_ishd,North West England
16,male,1.3847020595097798e-6,5.244151147480093e-6,1.3154747825128385e-4,2.1893615775524482e-5,42564,ishd,0,50,15,0,0,5,male_ishd,North West England
17,male,1.3847020595097798e-6,5.244151147480093e-6,1.3154747825128385e-4,2.1893615775524482e-5,42564,ishd,0,50,15,0,0,5,male_ishd,North West England
18,male,1.3847020595097798e-6,5.244151147480093e-6,1.3154747825128385e-4,2.1893615775524482e-5,42564,ishd,0,50,15,0,0,5,male_ishd,North West England
19,male,1.3847020595097798e-6,5.244151147480093e-6,1.3154747825128385e-4,2.1893615775524482e-5,42564,ishd,0,50,15,0,0,5,male_ishd,North West England
20,male,4.0709182034280815e-6,2.161966713761773e-5,4.4329295763392596e-4,6.673032350070888e-5,46436,ishd,0,50,20,0,0,5,male_ishd,North West England
21,male,4.0709182034280815e-6,2.161966713761773e-5,4.4329295763392596e-4,6.673032350070888e-5,46436,ishd,0,50,20,0,0,5,male_ishd,North West England
22,male,4.0709182034280815e-6,2.161966713761773e-5,4.4329295763392596e-4,6.673032350070888e-5,46436,ishd,0,50,20,0,0,5,male_ishd,North West England
23,male,4.0709182034280815e-6,2.161966713761773e-5,4.4329295763392596e-4,6.673032350070888e-5,46436,ishd,0,50,20,0,0,5,male_ishd,North West England
24,male,4.0709182034280815e-6,2.161966713761773e-5,4.4329295763392596e-4,6.673032350070888e-5,46436,ishd,0,50,20,0,0,5,male_ishd,North West England
25,male,1.361473154707312e-5,4.5978027810941856e-5,0.0010359394169000137,1.1259925228829915e-4,51928,ishd,0,50,25,0,1,5,male_ishd,North West England
26,male,1.361473154707312e-5,4.5978027810941856e-5,0.0010359394169000137,1.1259925228829915e-4,51928,ishd,0,50,25,0,1,5,male_ishd,North West England
27,male,1.361473154707312e-5,4.5978027810941856e-5,0.0010359394169000137,1.1259925228829915e-4,51928,ishd,0,50,25,0,1,5,male_ishd,North West England
28,male,1.361473154707312e-5,4.5978027810941856e-5,0.0010359394169000137,1.1259925228829915e-4,51928,ishd,0,50,25,0,1,5,male_ishd,North West England
29,male,1.361473154707312e-5,4.5978027810941856e-5,0.0010359394169000137,1.1259925228829915e-4,51928,ishd,0,50,25,0,1,5,male_ishd,North West England
30,male,3.555515693436773e-5,9.050841393053516e-5,0.0022802022581090518,3.105993403920052e-4,51265,ishd,0,50,30,0,2,5,male_ishd,North West England
31,male,3.555515693436773e-5,9.050841393053516e-5,0.0022802022581090518,3.105993403920052e-4,51265,ishd,0,50,30,0,2,5,male_ishd,North West England
32,male,3.555515693436773e-5,9.050841393053516e-5,0.0022802022581090518,3.105993403920052e-4,51265,ishd,0,50,30,0,2,5,male_ishd,North West England
33,male,3.555515693436773e-5,9.050841393053516e-5,0.0022802022581090518,3.105993403920052e-4,51265,ishd,0,50,30,0,2,5,male_ishd,North West England
34,male,3.555515693436773e-5,9.050841393053516e-5,0.0022802022581090518,3.105993403920052e-4,51265,ishd,0,50,30,0,2,5,male_ishd,North West England
35,male,9.45736399005923e-5,1.733850464140465e-4,0.005100838927402889,6.60398951928135e-4,47317,ishd,0,50,35,0,4,5,male_ishd,North West England
36,male,9.45736399005923e-5,1.733850464140465e-4,0.005100838927402889,6.60398951928135e-4,47317,ishd,0,50,35,0,4,5,male_ishd,North West England
37,male,9.45736399005923e-5,1.733850464140465e-4,0.005100838927402889,6.60398951928135e-4,47317,ishd,0,50,35,0,4,5,male_ishd,North West England
38,male,9.45736399005923e-5,1.733850464140465e-4,0.005100838927402889,6.60398951928135e-4,47317,ishd,0,50,35,0,4,5,male_ishd,North West England
39,male,9.45736399005923e-5,1.733850464140465e-4,0.005100838927402889,6.60398951928135e-4,47317,ishd,0,50,35,0,4,5,male_ishd,North West England
40,male,2.47165151568116e-4,3.412937663431159e-4,0.010643594910991365,0.0013698297105293367,44682,ishd,0,50,40,1,11,5,male_ishd,North West England
41,male,2.47165151568116e-4,3.412937663431159e-4,0.010643594910991365,0.0013698297105293367,44682,ishd,0,50,40,1,11,5,male_ishd,North West England
42,male,2.47165151568116e-4,3.412937663431159e-4,0.010643594910991365,0.0013698297105293367,44682,ishd,0,50,40,1,11,5,male_ishd,North West England
43,male,2.47165151568116e-4,3.412937663431159e-4,0.010643594910991365,0.0013698297105293367,44682,ishd,0,50,40,1,11,5,male_ishd,North West England
44,male,2.47165151568116e-4,3.412937663431159e-4,0.010643594910991365,0.0013698297105293367,44682,ishd,0,50,40,1,11,5,male_ishd,North West England
45,male,4.969565840192749e-4,6.029953818181444e-4,0.019825925082795768,0.002439694166728274,51128,ishd,0,50,45,1,25,5,male_ishd,North West England
46,male,4.969565840192749e-4,6.029953818181444e-4,0.019825925082795768,0.002439694166728274,51128,ishd,0,50,45,1,25,5,male_ishd,North West England
