age,sex,mort,ylds (years lived with disability)_rate_lvrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,43992,lvrc,0,10,0,0,0,5,male_lvrc,North West England
1,male,0,0,0,1e-8,43992,lvrc,0,10,0,0,0,5,male_lvrc,North West England
2,male,0,0,0,1e-8,43992,lvrc,0,10,0,0,0,5,male_lvrc,North West England
3,male,0,0,0,1e-8,43992,lvrc,0,10,0,0,0,5,male_lvrc,North West England
4,male,0,0,0,1e-8,43992,lvrc,0,10,0,0,0,5,male_lvrc,North West England
5,male,3.56899115958432e-7,2.357808783562531e-7,0,1.1013837430921633e-6,46321,lvrc,0,10,5,0,0,5,male_lvrc,North West England
6,male,3.56899115958432e-7,2.357808783562531e-7,0,1.1013837430921633e-6,46321,lvrc,0,10,5,0,0,5,male_lvrc,North West England
7,male,3.56899115958432e-7,2.357808783562531e-7,0,1.1013837430921633e-6,46321,lvrc,0,10,5,0,0,5,male_lvrc,North West England
8,male,3.56899115958432e-7,2.357808783562531e-7,0,1.1013837430921633e-6,46321,lvrc,0,10,5,0,0,5,male_lvrc,North West England
9,male,3.56899115958432e-7,2.357808783562531e-7,0,1.1013837430921633e-6,46321,lvrc,0,10,5,0,0,5,male_lvrc,North West England
10,male,6.744037323841863e-7,4.2994331988030675e-7,0,1.970844197467061e-6,42952,lvrc,0,50,10,0,0,5,male_lvrc,North West England
11,male,6.744037323841863e-7,4.2994331988030675e-7,0,1.970844197467061e-6,42952,lvrc,0,50,10,0,0,5,male_lvrc,North West England
12,male,6.744037323841863e-7,4.2994331988030675e-7,0,1.970844197467061e-6,42952,lvrc,0,50,10,0,0,5,male_lvrc,North West England
13,male,6.744037323841863e-7,4.2994331988030675e-7,0,1.970844197467061e-6,42952,lvrc,0,50,10,0,0,5,male_lvrc,North West England
14,male,6.744037323841863e-7,4.2994331988030675e-7,0,1.970844197467061e-6,42952,lvrc,0,50,10,0,0,5,male_lvrc,North West England
15,male,8.80306714363347e-7,6.762871582903904e-7,0,3.083825599116475e-6,42564,lvrc,0,50,15,0,0,5,male_lvrc,North West England
16,male,8.80306714363347e-7,6.762871582903904e-7,0,3.083825599116475e-6,42564,lvrc,0,50,15,0,0,5,male_lvrc,North West England
17,male,8.80306714363347e-7,6.762871582903904e-7,0,3.083825599116475e-6,42564,lvrc,0,50,15,0,0,5,male_lvrc,North West England
18,male,8.80306714363347e-7,6.762871582903904e-7,0,3.083825599116475e-6,42564,lvrc,0,50,15,0,0,5,male_lvrc,North West England
19,male,8.80306714363347e-7,6.762871582903904e-7,0,3.083825599116475e-6,42564,lvrc,0,50,15,0,0,5,male_lvrc,North West England
20,male,1.152216886116887e-6,9.894591951382528e-7,0,4.554837390481851e-6,46436,lvrc,0,50,20,0,0,5,male_lvrc,North West England
21,male,1.152216886116887e-6,9.894591951382528e-7,0,4.554837390481851e-6,46436,lvrc,0,50,20,0,0,5,male_lvrc,North West England
22,male,1.152216886116887e-6,9.894591951382528e-7,0,4.554837390481851e-6,46436,lvrc,0,50,20,0,0,5,male_lvrc,North West England
23,male,1.152216886116887e-6,9.894591951382528e-7,0,4.554837390481851e-6,46436,lvrc,0,50,20,0,0,5,male_lvrc,North West England
24,male,1.152216886116887e-6,9.894591951382528e-7,0,4.554837390481851e-6,46436,lvrc,0,50,20,0,0,5,male_lvrc,North West England
25,male,2.0381857424815064e-6,1.5048171540345542e-6,0,5.562183951658241e-6,51928,lvrc,0,50,25,0,0,5,male_lvrc,North West England
26,male,2.0381857424815064e-6,1.5048171540345542e-6,0,5.562183951658241e-6,51928,lvrc,0,50,25,0,0,5,male_lvrc,North West England
27,male,2.0381857424815064e-6,1.5048171540345542e-6,0,5.562183951658241e-6,51928,lvrc,0,50,25,0,0,5,male_lvrc,North West England
28,male,2.0381857424815064e-6,1.5048171540345542e-6,0,5.562183951658241e-6,51928,lvrc,0,50,25,0,0,5,male_lvrc,North West England
29,male,2.0381857424815064e-6,1.5048171540345542e-6,0,5.562183951658241e-6,51928,lvrc,0,50,25,0,0,5,male_lvrc,North West England
30,male,3.768980868509459e-6,2.9314413403117416e-6,0,1.063997034980485e-5,51265,lvrc,0,50,30,0,0,5,male_lvrc,North West England
31,male,3.768980868509459e-6,2.9314413403117416e-6,0,1.063997034980485e-5,51265,lvrc,0,50,30,0,0,5,male_lvrc,North West England
32,male,3.768980868509459e-6,2.9314413403117416e-6,0,1.063997034980485e-5,51265,lvrc,0,50,30,0,0,5,male_lvrc,North West England
33,male,3.768980868509459e-6,2.9314413403117416e-6,0,1.063997034980485e-5,51265,lvrc,0,50,30,0,0,5,male_lvrc,North West England
34,male,3.768980868509459e-6,2.9314413403117416e-6,0,1.063997034980485e-5,51265,lvrc,0,50,30,0,0,5,male_lvrc,North West England
35,male,5.5774358647654305e-6,3.4874244471816175e-6,0,1.201076799353651e-5,47317,lvrc,0,50,35,0,0,5,male_lvrc,North West England
36,male,5.5774358647654305e-6,3.4874244471816175e-6,0,1.201076799353651e-5,47317,lvrc,0,50,35,0,0,5,male_lvrc,North West England
37,male,5.5774358647654305e-6,3.4874244471816175e-6,0,1.201076799353651e-5,47317,lvrc,0,50,35,0,0,5,male_lvrc,North West England
38,male,5.5774358647654305e-6,3.4874244471816175e-6,0,1.201076799353651e-5,47317,lvrc,0,50,35,0,0,5,male_lvrc,North West England
39,male,5.5774358647654305e-6,3.4874244471816175e-6,0,1.201076799353651e-5,47317,lvrc,0,50,35,0,0,5,male_lvrc,North West England
40,male,1.3227608135769114e-5,7.871041739562376e-6,0,2.656526967059608e-5,44682,lvrc,0,50,40,0,1,5,male_lvrc,North West England
41,male,1.3227608135769114e-5,7.871041739562376e-6,0,2.656526967059608e-5,44682,lvrc,0,50,40,0,1,5,male_lvrc,North West England
42,male,1.3227608135769114e-5,7.871041739562376e-6,0,2.656526967059608e-5,44682,lvrc,0,50,40,0,1,5,male_lvrc,North West England
43,male,1.3227608135769114e-5,7.871041739562376e-6,0,2.656526967059608e-5,44682,lvrc,0,50,40,0,1,5,male_lvrc,North West England
44,male,1.3227608135769114e-5,7.871041739562376e-6,0,2.656526967059608e-5,44682,lvrc,0,50,40,0,1,5,male_lvrc,North West England
