age,sex,mort,ylds (years lived with disability)_rate_stmc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,43992,stmc,0,10,0,0,0,5,male_stmc,North West England
1,male,0,0,0,1e-8,43992,stmc,0,10,0,0,0,5,male_stmc,North West England
2,male,0,0,0,1e-8,43992,stmc,0,10,0,0,0,5,male_stmc,North West England
3,male,0,0,0,1e-8,43992,stmc,0,10,0,0,0,5,male_stmc,North West England
4,male,0,0,0,1e-8,43992,stmc,0,10,0,0,0,5,male_stmc,North West England
5,male,0,0,0,1e-8,46321,stmc,0,10,5,0,0,5,male_stmc,North West England
6,male,0,0,0,1e-8,46321,stmc,0,10,5,0,0,5,male_stmc,North West England
7,male,0,0,0,1e-8,46321,stmc,0,10,5,0,0,5,male_stmc,North West England
8,male,0,0,0,1e-8,46321,stmc,0,10,5,0,0,5,male_stmc,North West England
9,male,0,0,0,1e-8,46321,stmc,0,10,5,0,0,5,male_stmc,North West England
10,male,0,0,0,1e-8,42952,stmc,0,50,10,0,0,5,male_stmc,North West England
11,male,0,0,0,1e-8,42952,stmc,0,50,10,0,0,5,male_stmc,North West England
12,male,0,0,0,1e-8,42952,stmc,0,50,10,0,0,5,male_stmc,North West England
13,male,0,0,0,1e-8,42952,stmc,0,50,10,0,0,5,male_stmc,North West England
14,male,0,0,0,1e-8,42952,stmc,0,50,10,0,0,5,male_stmc,North West England
15,male,2.2557211185571417e-7,3.5429440375284306e-7,3.5319595877349513e-6,8.863994836535979e-7,42564,stmc,0,50,15,0,0,5,male_stmc,North West England
16,male,2.2557211185571417e-7,3.5429440375284306e-7,3.5319595877349513e-6,8.863994836535979e-7,42564,stmc,0,50,15,0,0,5,male_stmc,North West England
17,male,2.2557211185571417e-7,3.5429440375284306e-7,3.5319595877349513e-6,8.863994836535979e-7,42564,stmc,0,50,15,0,0,5,male_stmc,North West England
18,male,2.2557211185571417e-7,3.5429440375284306e-7,3.5319595877349513e-6,8.863994836535979e-7,42564,stmc,0,50,15,0,0,5,male_stmc,North West England
19,male,2.2557211185571417e-7,3.5429440375284306e-7,3.5319595877349513e-6,8.863994836535979e-7,42564,stmc,0,50,15,0,0,5,male_stmc,North West England
20,male,5.013577792198011e-7,7.993726335284483e-7,8.087644330816364e-6,1.964397155027543e-6,46436,stmc,0,50,20,0,0,5,male_stmc,North West England
21,male,5.013577792198011e-7,7.993726335284483e-7,8.087644330816364e-6,1.964397155027543e-6,46436,stmc,0,50,20,0,0,5,male_stmc,North West England
22,male,5.013577792198011e-7,7.993726335284483e-7,8.087644330816364e-6,1.964397155027543e-6,46436,stmc,0,50,20,0,0,5,male_stmc,North West England
23,male,5.013577792198011e-7,7.993726335284483e-7,8.087644330816364e-6,1.964397155027543e-6,46436,stmc,0,50,20,0,0,5,male_stmc,North West England
24,male,5.013577792198011e-7,7.993726335284483e-7,8.087644330816364e-6,1.964397155027543e-6,46436,stmc,0,50,20,0,0,5,male_stmc,North West England
25,male,1.5063028649323288e-6,2.0833818371769633e-6,2.0682519023523375e-5,5.232728156421713e-6,51928,stmc,0,50,25,0,0,5,male_stmc,North West England
26,male,1.5063028649323288e-6,2.0833818371769633e-6,2.0682519023523375e-5,5.232728156421713e-6,51928,stmc,0,50,25,0,0,5,male_stmc,North West England
27,male,1.5063028649323288e-6,2.0833818371769633e-6,2.0682519023523375e-5,5.232728156421713e-6,51928,stmc,0,50,25,0,0,5,male_stmc,North West England
28,male,1.5063028649323288e-6,2.0833818371769633e-6,2.0682519023523375e-5,5.232728156421713e-6,51928,stmc,0,50,25,0,0,5,male_stmc,North West England
29,male,1.5063028649323288e-6,2.0833818371769633e-6,2.0682519023523375e-5,5.232728156421713e-6,51928,stmc,0,50,25,0,0,5,male_stmc,North West England
30,male,3.972726384277158e-6,5.43427701603933e-6,5.469610818343735e-5,1.342864813341866e-5,51265,stmc,0,50,30,0,0,5,male_stmc,North West England
31,male,3.972726384277158e-6,5.43427701603933e-6,5.469610818343735e-5,1.342864813341866e-5,51265,stmc,0,50,30,0,0,5,male_stmc,North West England
32,male,3.972726384277158e-6,5.43427701603933e-6,5.469610818343735e-5,1.342864813341866e-5,51265,stmc,0,50,30,0,0,5,male_stmc,North West England
33,male,3.972726384277158e-6,5.43427701603933e-6,5.469610818343735e-5,1.342864813341866e-5,51265,stmc,0,50,30,0,0,5,male_stmc,North West England
34,male,3.972726384277158e-6,5.43427701603933e-6,5.469610818343735e-5,1.342864813341866e-5,51265,stmc,0,50,30,0,0,5,male_stmc,North West England
35,male,9.586387945318615e-6,1.2358893293172068e-5,1.253959311898034e-4,3.107331953718363e-5,47317,stmc,0,50,35,0,0,5,male_stmc,North West England
36,male,9.586387945318615e-6,1.2358893293172068e-5,1.253959311898034e-4,3.107331953718363e-5,47317,stmc,0,50,35,0,0,5,male_stmc,North West England
37,male,9.586387945318615e-6,1.2358893293172068e-5,1.253959311898034e-4,3.107331953718363e-5,47317,stmc,0,50,35,0,0,5,male_stmc,North West England
