age,sex,mort,ylds (years lived with disability)_rate_utrc,prev,inc,pop,disease,rem,prevdenom,agegrp,prevn,ndieddis,ningrp,sex_disease,city_region
0,male,0,0,0,1e-8,43992,utrc,0,10,0,0,0,5,male_utrc,North West England
1,male,0,0,0,1e-8,43992,utrc,0,10,0,0,0,5,male_utrc,North West England
2,male,0,0,0,1e-8,43992,utrc,0,10,0,0,0,5,male_utrc,North West England
3,male,0,0,0,1e-8,43992,utrc,0,10,0,0,0,5,male_utrc,North West England
4,male,0,0,0,1e-8,43992,utrc,0,10,0,0,0,5,male_utrc,North West England
5,male,0,0,0,1e-8,46321,utrc,0,10,5,0,0,5,male_utrc,North West England
6,male,0,0,0,1e-8,46321,utrc,0,10,5,0,0,5,male_utrc,North West England
7,male,0,0,0,1e-8,46321,utrc,0,10,5,0,0,5,male_utrc,North West England
8,male,0,0,0,1e-8,46321,utrc,0,10,5,0,0,5,male_utrc,North West England
9,male,0,0,0,1e-8,46321,utrc,0,10,5,0,0,5,male_utrc,North West England
10,male,0,0,0,1e-8,42952,utrc,0,50,10,0,0,5,male_utrc,North West England
11,male,0,0,0,1e-8,42952,utrc,0,50,10,0,0,5,male_utrc,North West England
12,male,0,0,0,1e-8,42952,utrc,0,50,10,0,0,5,male_utrc,North West England
13,male,0,0,0,1e-8,42952,utrc,0,50,10,0,0,5,male_utrc,North West England
14,male,0,0,0,1e-8,42952,utrc,0,50,10,0,0,5,male_utrc,North West England
15,male,0,0,0,1e-8,42564,utrc,0,50,15,0,0,5,male_utrc,North West England
16,male,0,0,0,1e-8,42564,utrc,0,50,15,0,0,5,male_utrc,North West England
17,male,0,0,0,1e-8,42564,utrc,0,50,15,0,0,5,male_utrc,North West England
18,male,0,0,0,1e-8,42564,utrc,0,50,15,0,0,5,male_utrc,North West England
19,male,0,0,0,1e-8,42564,utrc,0,50,15,0,0,5,male_utrc,North West England
20,male,0,0,0,1e-8,46436,utrc,0,50,20,0,0,5,male_utrc,North West England
21,male,0,0,0,1e-8,46436,utrc,0,50,20,0,0,5,male_utrc,North West England
22,male,0,0,0,1e-8,46436,utrc,0,50,20,0,0,5,male_utrc,North West England
23,male,0,0,0,1e-8,46436,utrc,0,50,20,0,0,5,male_utrc,North West England
24,male,0,0,0,1e-8,46436,utrc,0,50,20,0,0,5,male_utrc,North West England
25,male,0,0,0,1e-8,51928,utrc,0,50,25,0,0,5,male_utrc,North West England
26,male,0,0,0,1e-8,51928,utrc,0,50,25,0,0,5,male_utrc,North West England
27,male,0,0,0,1e-8,51928,utrc,0,50,25,0,0,5,male_utrc,North West England
28,male,0,0,0,1e-8,51928,utrc,0,50,25,0,0,5,male_utrc,North West England
29,male,0,0,0,1e-8,51928,utrc,0,50,25,0,0,5,male_utrc,North West England
30,male,0,0,0,1e-8,51265,utrc,0,50,30,0,0,5,male_utrc,North West England
31,male,0,0,0,1e-8,51265,utrc,0,50,30,0,0,5,male_utrc,North West England
32,male,0,0,0,1e-8,51265,utrc,0,50,30,0,0,5,male_utrc,North West England
33,male,0,0,0,1e-8,51265,utrc,0,50,30,0,0,5,male_utrc,North West England
34,male,0,0,0,1e-8,51265,utrc,0,50,30,0,0,5,male_utrc,North West England
35,male,0,0,0,1e-8,47317,utrc,0,50,35,0,0,5,male_utrc,North West England
36,male,0,0,0,1e-8,47317,utrc,0,50,35,0,0,5,male_utrc,North West England
37,male,0,0,0,1e-8,47317,utrc,0,50,35,0,0,5,male_utrc,North West England
38,male,0,0,0,1e-8,47317,utrc,0,50,35,0,0,5,male_utrc,North West England
39,male,0,0,0,1e-8,47317,utrc,0,50,35,0,0,5,male_utrc,North West England
40,male,0,0,0,1e-8,44682,utrc,0,50,40,0,0,5,male_utrc,North West England
41,male,0,0,0,1e-8,44682,utrc,0,50,40,0,0,5,male_utrc,North West England
42,male,0,0,0,1e-8,44682,utrc,0,50,40,0,0,5,male_utrc,North West England
43,male,0,0,0,1e-8,44682,utrc,0,50,40,0,0,5,male_utrc,North West England
44,male,0,0,0,1e-8,44682,utrc,0,50,40,0,0,5,male_utrc,North West England
45,male,0,0,0,1e-8,51128,utrc,0,50,45,0,0,5,male_utrc,North West England
46,male,0,0,0,1e-8,51128,utrc,0,50,45,0,0,5,male_utrc,North West England
47,male,0,0,0,1e-8,51128,utrc,0,50,45,0,0,5,male_utrc,North West England
48,male,0,0,0,1e-8,51128,utrc,0,50,45,0,0,5,male_utrc,North West England
49,male,0,0,0,1e-8,51128,utrc,0,50,45,0,0,5,male_utrc,North West England
50,male,0,0,0,1e-8,52127,utrc,0,50,50,0,0,5,male_utrc,North West England
51,male,0,0,0,1e-8,52127,utrc,0,50,50,0,0,5,male_utrc,North West England
52,male,0,0,0,1e-8,52127,utrc,0,50,50,0,0,5,male_utrc,North West England
53,male,0,0,0,1e-8,52127,utrc,0,50,50,0,0,5,male_utrc,North West England
54,male,0,0,0,1e-8,52127,utrc,0,50,50,0,0,5,male_utrc,North West England
55,male,0,0,0,1e-8,46610,utrc,0,50,55,0,0,5,male_utrc,North West England
56,male,0,0,0,1e-8,46610,utrc,0,50,55,0,0,5,male_utrc,North West England
57,male,0,0,0,1e-8,46610,utrc,0,50,55,0,0,5,male_utrc,North West England
58,male,0,0,0,1e-8,46610,utrc,0,50,55,0,0,5,male_utrc,North West England
59,male,0,0,0,1e-8,46610,utrc,0,50,55,0,0,5,male_utrc,North West England
60,male,0,0,0,1e-8,39801,utrc,0,50,60,0,0,5,male_utrc,North West England
61,male,0,0,0,1e-8,39801,utrc,0,50,60,0,0,5,male_utrc,North West England
62,male,0,0,0,1e-8,39801,utrc,0,50,60,0,0,5,male_utrc,North West England
63,male,0,0,0,1e-8,39801,utrc,0,50,60,0,0,5,male_utrc,North West England
64,male,0,0,0,1e-8,39801,utrc,0,50,60,0,0,5,male_utrc,North West England
65,male,0,0,0,1e-8,39780,utrc,0,50,65,0,0,5,male_utrc,North West England
66,male,0,0,0,1e-8,39780,utrc,0,50,65,0,0,5,male_utrc,North West England
67,male,0,0,0,1e-8,39780,utrc,0,50,65,0,0,5,male_utrc,North West England
68,male,0,0,0,1e-8,39780,utrc,0,50,65,0,0,5,male_utrc,North West England
69,male,0,0,0,1e-8,39780,utrc,0,50,65,0,0,5,male_utrc,North West England
70,male,0,0,0,1e-8,32360,utrc,0,50,70,0,0,5,male_utrc,North West England
71,male,0,0,0,1e-8,32360,utrc,0,50,70,0,0,5,male_utrc,North West England
72,male,0,0,0,1e-8,32360,utrc,0,50,70,0,0,5,male_utrc,North West England
73,male,0,0,0,1e-8,32360,utrc,0,50,70,0,0,5,male_utrc,North West England
74,male,0,0,0,1e-8,32360,utrc,0,50,70,0,0,5,male_utrc,North West England
75,male,0,0,0,1e-8,22688,utrc,0,50,75,0,0,5,male_utrc,North West England
76,male,0,0,0,1e-8,22688,utrc,0,50,75,0,0,5,male_utrc,North West England
77,male,0,0,0,1e-8,22688,utrc,0,50,75,0,0,5,male_utrc,North West England
78,male,0,0,0,1e-8,22688,utrc,0,50,75,0,0,5,male_utrc,North West England
79,male,0,0,0,1e-8,22688,utrc,0,50,75,0,0,5,male_utrc,North West England
80,male,0,0,0,1e-8,15298,utrc,0,20,80,0,0,5,male_utrc,North West England
81,male,0,0,0,1e-8,15298,utrc,0,20,80,0,0,5,male_utrc,North West England
82,male,0,0,0,1e-8,15298,utrc,0,20,80,0,0,5,male_utrc,North West England
83,male,0,0,0,1e-8,15298,utrc,0,20,80,0,0,5,male_utrc,North West England
84,male,0,0,0,1e-8,15298,utrc,0,20,80,0,0,5,male_utrc,North West England
85,male,0,0,0,1e-8,7996,utrc,0,20,85,0,0,5,male_utrc,North West England
86,male,0,0,0,1e-8,7996,utrc,0,20,85,0,0,5,male_utrc,North West England
87,male,0,0,0,1e-8,7996,utrc,0,20,85,0,0,5,male_utrc,North West England
88,male,0,0,0,1e-8,7996,utrc,0,20,85,0,0,5,male_utrc,North West England
89,male,0,0,0,1e-8,7996,utrc,0,20,85,0,0,5,male_utrc,North West England
90,male,0,0,0,1e-8,3023,utrc,0,10,90,0,0,5,male_utrc,North West England
91,male,0,0,0,1e-8,3023,utrc,0,10,90,0,0,5,male_utrc,North West England
92,male,0,0,0,1e-8,3023,utrc,0,10,90,0,0,5,male_utrc,North West England
93,male,0,0,0,1e-8,3023,utrc,0,10,90,0,0,5,male_utrc,North West England
94,male,0,0,0,1e-8,3023,utrc,0,10,90,0,0,5,male_utrc,North West England
95,male,0,0,0,1e-8,495,utrc,0,10,95,0,0,6,male_utrc,North West England
96,male,0,0,0,1e-8,495,utrc,0,10,95,0,0,6,male_utrc,North West England
97,male,0,0,0,1e-8,495,utrc,0,10,95,0,0,6,male_utrc,North West England
98,male,0,0,0,1e-8,495,utrc,0,10,95,0,0,6,male_utrc,North West England
99,male,0,0,0,1e-8,495,utrc,0,10,95,0,0,6,male_utrc,North West England
100,male,0,0,0,1e-8,495,utrc,0,10,95,0,0,6,male_utrc,North West England
